,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.023025648783718808,-0.007840055531772003,-0.009683883899081612,-0.0027200224310642927,0.001116803827672543,0.005522199565599736,-0.0026090224706877517,-0.010910330719399931,-0.005219401909106268,-0.0007857230866192798,-0.010937644541294894,-0.002638080965379412,0.004242288216689292,0.006858677083629767,0.0037566294658486496,0.0072877696653508225,0.010581983299061497,0.004472429943826961,-0.004997595840886151,-0.004316281728522555,-0.002323089984562361,-0.001355649533540405,-0.008889631301011808,-0.0004230831531990978,-0.0011007140674363335,0.0021952442390710397,-0.011446546210838203,-0.007099461314827292,-0.0010183848966855164,-0.01770022892433323,-0.007011898125686384,0.01114977736811999,0.011598817375483284,0.04630733799297959,-0.01420551361577544,0.014300637053702037,0.010267380023310377,-0.014403107502628059,0.000771009679367135,0.004273866794309515,-0.0065566548372681666,-0.011191416892201166,0.0012305177235106147,0.008020803633509845,-0.005736639237567133,-0.003550506067545511,-0.0023500161013913865,-0.0014668433464499128,0.006969483191473343,-0.014968381488757988,-0.006559950330328593,-0.0007574400020594896,-0.0033775120671263245,0.008274575984416117,-0.00795028008201668,-0.015994326634229193,0.005492365660776212,0.003651445081461098,-0.00473897717665572,0.039118956521280626,0.010792565305622864,-0.01375085188495612,-0.002694065576900098
Fz,-0.008381457211174987,0.009484528113895885,-0.014072086453677777,0.0009203018590097553,0.0015741520021373342,-0.01574094353561849,0.011199711591094688,-0.009745998992856327,-0.004410484975328484,0.001377547300310292,0.006680824234428073,0.001684998683075943,0.0011440013913137804,0.010129154484946182,-0.01804102945966728,0.012407956554926665,0.0030293865227684433,0.00405873642716174,-7.701849684521762e-05,-0.00462590617219316,0.008275107119124048,0.007346088795501273,0.014233779178192348,0.005671167083419748,0.0030802325663444007,-0.005335952146701512,-0.021374938817566837,0.0033478141943060445,-0.011063522596373773,0.004538141980877921,-0.002407335333877259,-0.007788299488315857,0.0007064717628284083,6.069242026844612e-05,-0.0017832779745592681,0.002738076741138018,0.003865267807840972,-0.0010559835462664174,0.00024050985691485144,0.0032071747295578496,0.00032647541267502144,0.004611586266043194,0.009203018590097553,-0.007832181583973474,0.006655735574377893,0.005705871525860482,0.007271975786860396,0.004000741960225895,0.003872439290631049,0.000642205130880022,-0.019382972999759305,-0.005039038923534145,-0.01451478139452642,0.0010947464484211515,0.00616602245536536,0.005625278817335322,-0.0008799939750320793,0.0028632433282265914,-0.004644930202102531,-0.01136716917315755,0.008660914445686119,0.003941848175512517,-0.002078623156473499
F3,-0.012519529405914068,-0.018062119595203076,-0.006100639899961721,0.007455417986923975,-0.0026973000403843293,-0.008464434209001151,-0.001199325000703317,-0.005331122075609972,-0.002969724344471335,0.012102524851175075,-0.0061161123435112905,-0.0008771418191082809,-0.006355240723271042,0.0038936819751144575,-0.010012242129783334,0.014425065003333064,0.015622881469253218,0.009621958564750633,-0.00976372098627936,0.01422276764261884,0.006252187873536694,0.00015261248679932643,0.005330478813608095,0.0029505915693535546,-0.011829582521936118,-0.0026520895375621353,0.011149472423261204,0.0032067009274460503,-0.013541695497233159,0.005686897195904805,0.018150314800469292,-0.013782850436928031,0.01824080980970682,-0.008809803285584204,-0.0027519033069507487,0.004030178756362331,0.018457839578039256,-0.000313012428630223,-0.007977797965704983,0.016185280314168705,0.019400707973020747,-0.0015088763382083972,0.010819701027077652,0.003284985343816082,-0.008124700790664637,-0.005239761793591159,-0.004438086561729648,0.0090106661151084,-0.009555070701723586,-0.007983359620358378,-0.018713282903793517,0.003450377681891638,-0.00913596558345634,-0.002375042855196156,0.0018156838501833476,-0.005715274727580535,0.0026246512822608262,0.004759922495695353,-0.018481446724249735,-0.004642188471599579,0.001608838114783285,0.0004950897306659728,0.0036321589695548417
F7,-0.005440076228583722,0.0006650410108623365,0.009286907212184373,-0.0014719028719305666,0.001810603078332574,0.002364590260843863,-0.003563156412439028,0.0025104049071559094,0.008497746249907633,-0.011196188281551386,0.006501144033577602,0.00021921503071574346,-0.009903513173150224,-0.003566854371796581,0.013891474721210023,-0.0212383009714227,-0.004098719539662239,-0.003808569430781169,-0.007965519503793678,0.008527264183268367,-0.013514184254490077,0.0,-0.002650861621243235,0.002903719864425249,-0.0031904842860722956,0.006696133321657645,0.01027118894554053,0.011527377521613832,0.00509864774994458,-0.007208900583863406,0.012146563836442512,-0.008621438881574052,0.009665003012275516,0.0031636124480740766,-0.009297392981384902,-0.0011397110739978424,0.0058084258513458435,-0.0012766506178517626,0.005320328086898692,-0.011086860167567193,0.010947751154223511,-0.004408592098450265,-0.011376024153952918,0.01876844213420049,-0.014976275207591934,0.005514396993983076,0.007537131456439814,-0.012088333303092242,0.002785516647982932,-0.006043057263738855,0.011749057858567944,-0.002243001357167519,0.005072022442570198,0.0011822951304219316,-0.005184013087291828,0.0033971262549723586,0.00864078331785778,-0.001463882408968404,-0.0037077384056318904,0.0019121079538536746,-0.007868024859753658,0.0021733482382461436,-0.006957143510801199
FT9,-0.001922661892793491,0.002416770780281843,0.0026349175859379445,0.00370803451556056,0.013834973383758664,0.001604841383307666,0.011628500953947865,-0.006295266028168005,0.014427674296958272,-0.01036043879505485,-0.002169795995003755,-0.008900735136958646,-0.0152952556138717,-9.508705320342148e-06,0.005814430756660341,-0.004035464351587046,-0.01447593894230562,-0.00652968831621104,-0.019198394675634833,-0.014115237022759632,-0.003305432242852537,-0.0043307037822124805,-0.015047140454763306,0.003907323227508151,-0.010056730411719058,0.027331683380102917,0.005948097662755201,0.005212380455072548,-0.008945377418374431,0.01571883741101667,0.012905711258788404,-0.018322604344163548,0.026546519227734145,0.000866541564303441,0.000721403839091978,-0.0028851541757747732,-0.0005437151491066456,0.011568564247043276,0.006670121999372492,-0.0001010153201006711,-0.013992780997628879,0.010127358123282762,-0.0064426258053282255,0.0061349344986880595,0.00016043215070026765,-0.005988815716578465,0.007345282002625238,-0.011318126414765801,0.004055664061566502,-0.004696570924401617,-0.0008594142278640325,0.015396111617040197,0.00977404347832868,-0.0013202510318328815,0.0077049022440527784,-0.006981175731791724,0.001769977576057945,-0.0030816003382482943,-0.0263464087758206,0.0035823753815829185,-0.00476095173520372,0.005510202497019558,0.007606368914053361
FC5,0.003605421856703154,-0.014743190331601815,-0.003049857468680771,0.003400614304519526,0.003271264274006133,0.008612469431043684,0.0019950440116482306,-0.036663315045855384,-0.004822273258306843,-0.0007518420465529568,-0.019154857335926794,-0.004541627743186765,-0.0012583995925193711,0.00859024365180686,-0.005313072526562108,0.009825476373536137,0.0051322728205991566,-0.005383794555629182,-0.008804341980175965,0.01010996634776745,0.012154677967881387,-0.0030038040522441176,-0.0031372288089509264,-0.0026000457410541335,0.005323384487199011,0.01491882404563405,-0.01151825979917587,-0.0051778156448101,-0.007992189981315526,0.004387889425186486,0.001511373011328379,0.0011350064713059379,0.009464868111224847,0.01241717242995806,0.004058797718297499,0.006202183788933106,0.0,-0.0030334884826212234,0.0034083032227419964,0.011356782504891774,0.006773276187584456,0.0047169811320754715,0.0,-0.0019424730356245624,0.010628437712333783,-0.002829241580724651,0.00682673819710005,-0.006114812448662956,0.013735321324497857,-0.013442251398552154,-0.011503672880100171,-0.0022287450768397245,-0.012248666983861239,-0.00536686491928258,0.0029618253620008776,-0.01283284455974796,-0.006571141735876609,0.006119547941266117,0.015502060529967495,-0.00017423208831459508,0.0015797523231245456,0.0013014995833367207,0.0051768745532568316
FC1,-0.006092813065174338,0.004474071761110296,0.0012496914124878605,-0.004742501897444206,0.009474752894928058,-0.0017823358713494556,0.00832197272097325,-0.009045150972272063,-0.00671340359835452,-0.0013746264423801224,-0.0036077482634367577,0.0008475622515856859,-0.002411183102108628,-0.004261365586932901,-0.010566631177736131,0.006757389755266324,0.0005677179305689575,0.007878079014584136,0.003159892391789921,-0.017928098071024655,0.00035438200827112715,-0.006260396037222487,0.016482065188988943,0.011824579287802981,-0.0007977684175632382,-0.006810262357877547,-0.012812024340639503,-0.006426640794514719,-0.01955199106457389,-0.0016779026413779067,0.00911100338336551,-0.005213133659446649,0.012079653516082742,-0.005419323689877914,-0.0005547643615917496,0.016541427695841278,0.003415850016738618,-0.004464223200226885,-0.009956973771646773,0.0058085255213079,0.00637980327805763,0.007613182464925981,0.008639033406607152,0.0020461216152951826,-0.0027517281447336115,-0.0014232832311851275,-0.009008336946731836,0.0029371889662006753,0.001078294965710434,0.011983249574646693,-0.01988114816202107,-0.010489871879056874,-0.0035379074475805753,0.02131049271886535,-0.0015141069045540188,0.000924548959308432,0.0022331218210566344,0.01766234436420258,-0.0069664573847478956,-0.0048371128060373594,0.014988258914817164,-0.00144671510916618,-0.005816327400799911
C3,-0.011363636363636364,-0.004389313851873584,0.0009168516648425419,0.004715525196187392,-0.004326121078367766,-0.034932215916142935,0.002991304586215264,0.007168407518307066,0.0008959600347523897,0.016519395366254075,-0.006239038505478016,-0.009031729361537684,0.010554879050684328,-0.01477359996107281,-0.029573656042317802,0.01550923656870931,0.014126730743734979,0.010044664894727339,-0.0013386400130603535,-0.009306240532653706,-0.0016437944454003855,-0.02185602784351834,0.002364985416408092,0.0029838228262831865,0.008343771067930768,0.011027320786836969,-0.017970493172932624,-0.006293350132437071,-0.01240687357549054,0.012516708896555227,0.0002766047416419377,0.00043344623040946894,0.012360561591698918,-0.01669295236285218,0.005566231051203358,0.007022717047288074,0.017215000701676687,0.00039201557158089623,-0.017678219708723075,0.014910244003661411,0.010398908046503886,0.005833436763063175,0.01613503785528112,-0.010495873418230335,-0.00227464233881887,0.0016272552382456812,-0.00488838800887427,0.01167888400966974,0.00016275858020129222,-0.0014387347217834304,-0.008125665094299708,0.007441717641068749,-0.002839520723086641,0.006945772821064688,0.004449189968914665,-0.018612657365983276,0.005205024022730094,0.01557904061756011,-0.003634173981969375,-0.0020488672857876264,0.005222257413796022,0.0017840967270132124,0.00285466054362666
T7,-0.007944912246833106,-0.007277413792348676,-0.0009208403461070675,0.00820970761918479,0.007371382179181502,-0.00935619345507585,-0.004806430974476878,-0.008046259839320127,0.004443462910161927,0.0,0.0027717098289155584,-0.01067942264401468,-0.0009221081391489767,0.0026581719187178665,-0.010027701169607346,0.01058620193000144,0.010874261846464065,0.00021604493734696817,-0.008748736378755707,-0.001991410301215057,-4.341920272591532e-05,0.0013374241366730308,-0.01290750931806214,0.0005138137646262669,-0.007571487598881901,0.018280199512916078,-0.007082314529788129,-0.002535293516194314,0.002613539102139864,0.010434944467847446,0.0033972085754474905,-0.00880745578468826,0.012350807306770243,0.00816507480260679,0.001501077797459031,0.001804015319447655,0.0048970185798646116,-9.965720176447271e-05,-0.007413371051296032,0.01000807746705266,-0.008658202952557797,0.006978225470295956,0.00021604493734696817,-0.004719538389835222,0.0063526183653843694,-0.0021881999544981494,-0.01048780168544091,0.0,0.006468529324096401,-0.010301674496715419,-0.00462014124818191,0.019083969465648856,0.006661678135823242,-0.004265711824183414,0.003941514388107381,-0.02425115799349581,0.00219505903993002,0.006423419730647941,-0.005921633746162867,0.0018338247096894786,0.002294456181583332,0.0043764540881861234,0.0033360619418107695
TP9,-0.00621681094644063,-0.0010096054941310835,0.008634511327436235,-0.014271231961464764,-0.008104275005065172,-0.002741767541253672,-0.002733806478838788,0.0057164358192326415,0.0,-0.002324150686513461,0.0013346858149591587,0.010421492211948272,-0.011188357413497982,0.012280331780304805,0.014761572832920658,-0.0015565102909333092,-0.0014591278929425439,-0.00967681198188352,0.005354665384666404,-0.0001762935447354036,0.002773611790913212,0.0007882136845925218,0.0058341535396962095,0.00711147139084956,0.0004318551860248076,-0.002930002679611401,0.010738059820656084,0.008650314468996216,0.005149956471773525,-0.014294668060059306,-0.0046213750985186,-0.0017479651886825702,0.0067761188477298145,0.004506877137446555,-0.008704462673410499,0.005061310330228079,0.00905907608402133,0.0009134453788208635,0.005926005018418664,0.012726782247423567,0.0074060487279684305,-0.012517184203808505,-0.010325973885184182,0.02507230964846476,-0.01671655809437289,0.001257757722710983,0.0030430836581068817,-0.01114446700916085,0.006310331796493741,-0.0027076121317173496,0.0028235703420095137,-0.01573678495097585,-0.001624611987895421,0.009396188137312477,-0.013806771753964504,0.002989696225508515,-0.006259911734532806,-0.0010871897971399085,0.001798266267373715,0.004610998315171661,-0.007997604700923708,-0.0029028095941344752,-0.013074494628386711
