,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.3134910163191405,0.0,0.0,0.0,-0.004485016172365108,0.0,0.0,-0.022676530181216386,0.0,-0.015213368349423653,0.0,-0.023920086252613913,0.0889839666975494,0.0,-0.12091654711991744,0.0,0.0,0.06716845648613459,-0.023920086252613913,0.0,0.0,-0.0538201940683813,-0.023920086252613913,0.0,0.0,-0.023920086252613913,0.0,0.0,0.0,-0.023920086252613913,0.1387388732895905,0.0,0.014926323663585464,0.0,0.0,0.0,-0.05626075842428368,0.0,0.0,0.0,-0.06279022641311152,0.0,0.0,0.0,-0.0882053180565138,0.0,-0.07026525336705337,0.0,-0.08611340575145462,0.0,0.0,0.0,0.0,-0.023920086252613913,0.0,0.0,-0.01644505929867206,0.0,0.01865790457948183,-0.05626075842428368,0.11930380320934168,-0.17681952647632013,0.0,0.0,0.08955794198151279,0.0,0.12296419339234338,0.0
bankssts-rh,0.0,-0.051199076833421724,0.0,0.018022200845939012,-0.029386199712683886,0.0,-0.0036412716004100075,0.0,0.029236014705634396,-0.08374924680943016,-0.0032651333014093206,-0.027411544990366493,-0.042952213805987044,-0.060846299777634935,0.0629528629828207,0.00829038461430662,0.0020082619050509213,-0.07828733940881516,-0.05224213282254913,0.0,0.028285376080825476,0.015619240733147141,0.055022813325860835,0.0,0.05486758924208098,-0.031503780850049665,0.08011188987223539,0.004805920225583736,0.05446709588994901,-0.01838375734439149,0.06778056736563337,0.02151498362363213,-0.0054999019296652855,0.0,-0.009795399904227961,-0.012018289857443548,0.0,-0.03550239810399757,0.03964884186106582,0.0370997191212132,0.053265615833553076,0.0,-0.04032651327199357,0.02780468899894671,-0.016385722201845032,0.03541098542783665,0.05446709588994901,0.013216280620355274,0.0,0.0,0.0629528629828207,0.02202713436725879,0.005890589720941171,-0.0020936995558921857,0.002803453464923846,-0.0274556996301358,0.0,0.0,-0.027447436304916757,-0.030737864776129317,0.015738215745705175,-0.08283892890932766,-0.008192861100922516,0.015218747381015163,0.03861493224489248,-0.13539714433607905,-0.010923814801230022,0.0003393068677784815
caudalanteriorcingulate-lh,0.0,0.0,1.0,-0.16824493011380307,-0.015648929347752992,0.02652292897144802,0.0,0.0,-0.011963847211270792,0.0,-0.05377923588296892,-0.03987510966859945,-0.031297858695505984,0.0,0.004822350722081458,-0.029875228754801166,0.0,0.0,-0.07197493921382667,0.0,-0.028452598814096352,-0.007113149703524088,0.0,0.0,-0.07397675691665051,-0.01754697590986383,-0.03841100839903007,0.0,-0.088118591441723,-0.056905197628192704,0.0,0.0,0.0,0.0,-0.03983363833973489,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030379233490106634,0.0,0.04822350722081458,0.0,-0.11485293322819962,0.0,0.0,0.0,0.0,0.0,-0.015648929347752992,-0.06802008923891135,0.0800211381256721,0.0,-0.006074138836671495,-0.013041377777046366,-0.029510823121134625,0.002411175361040729,-0.04785538884508317,0.0,0.0,0.0056935642113124605,-0.05184333791550677,-0.03841100839903007,0.0,0.0,-0.006380718512677757
caudalanteriorcingulate-rh,0.0,0.02914456745698187,-0.17092133631788783,-0.007154540276527184,-0.008919388530679119,0.0,0.0,0.010706167637258646,0.015627185560017645,0.004758296727670509,-0.14644692222734193,-0.07696134418712974,-0.03185495903813971,0.0,0.0,-0.0331291573996653,-0.021661372145935005,-0.025483967230511773,-0.04929639424308752,0.017843612728764408,0.007911151876492838,-0.002799851428171978,0.002973935454794068,0.0,-0.008058639732381004,0.027029553115580564,-0.04714533937644678,0.0,-0.06300523896320907,-0.02284369282674338,0.009516593455341019,0.02557584491122899,0.041334434760698216,0.002973935454794068,-0.059887322991702664,-0.012741983615255886,0.0,0.10630454901870624,0.022007122365476105,0.22905185511605128,0.022007122365476105,-0.009211674032384173,0.039850735094240516,0.14467052166244376,0.0,-0.10209605385892459,0.22845706802509244,0.05769434782300492,0.004163509636711696,0.0,0.0,0.006798948373073918,-0.07965020224526663,-0.026825870856949117,-0.008444034529685493,-0.025590170329202036,-0.005470099074891425,0.02119598964033337,0.004758296727670509,0.006074596975498547,0.0,-0.025483967230511773,-0.008444034529685493,-0.01509399697684624,0.0,0.011300954728217459,0.0,-0.005109342496456812
caudalmiddlefrontal-lh,-0.0014902668634007676,-0.009958409584933723,-0.018494189229162628,-0.015648929347752992,0.09379444553320825,-0.07898414376024068,0.0,-0.07004254257983608,-0.01138103952563854,0.0,0.010688373262374028,-0.06374927312944866,0.015581185064862276,0.0,-0.04619827276542379,0.02817553230879054,-0.021712042666471143,-0.021339449110572263,-0.06544097727242161,-0.0074513343170038385,0.07219980154127575,0.0,-0.05663014080922917,0.24685036676786357,-0.09314474837845309,0.056281797991254635,-0.0005578167319007639,-0.02533453667781305,-0.03556574851762044,-0.03442018508222142,0.0,-0.004336844018211224,0.0,0.0,0.01363632829681814,-0.0241847089919819,0.021131649231592907,0.0,0.0,-0.02533453667781305,0.05106815230968286,-0.001830237395625861,0.0,-0.014902668634007677,0.0,0.0,-0.052159340219026865,-0.12071161593546216,-0.013412401770606909,0.11474611316381327,0.0,-0.015648929347752992,-0.06970886709453605,-0.029875228754801166,0.07003122331705532,0.010565824615796453,0.033588985566304005,0.0035219415385988177,0.0,0.0,-0.017747928515417313,0.02784713428576067,0.10192839285658788,0.10918018769656336,0.0,0.014894988761199691,-0.028315070404614586,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.01608978235219194,0.0,-0.0614849717065386,0.156206183299667,-0.009644701444162917,-0.07836319923382369,0.0,0.008938767973439964,0.0,0.040677080518320696,0.044652742083413896,0.1176869548299569,0.05542036143532778,-0.06243780801677548,0.03933057908313584,0.07151014378751971,0.0,0.10534373742751715,-0.07025666138204884,-0.02411175361040729,0.0,0.05733443702016695,-0.08318554995590516,-0.04863922711064919,0.021787673937312898,-0.03496204273509057,0.0,-0.01080871713569982,-0.10280752875609868,0.005162860219633015,0.010726521568127959,0.0,-0.004735255034135123,0.0,-0.02893410433248875,0.0,-0.037483653608850726,-0.045812331859773854,0.0,0.011489418787375567,-0.07566101994989874,0.007086278732829626,0.026693010568962106,0.04648159346188782,0.0,0.10732491244449231,0.0,0.0,0.0,0.0,0.0,-0.04053268925887433,-0.07566101994989874,0.0,-0.04053268925887433,0.0,0.0,0.0,0.012729090117297014,0.007178308326762476,0.0,-0.01339030591723,-0.016788444676552765,-0.003616763041561094,0.0,0.0
cuneus-lh,0.0,-0.006227539011959499,0.0,0.0,0.0,-0.004151692674639666,0.7079003695593659,-0.007265462180619416,-0.02387223287917808,0.0,0.0,0.0,0.0,-0.020667217380349108,-0.01666822667565037,-0.02698600238515783,-0.04151692674639666,0.0,0.0,0.0,0.0,-0.04151692674639666,-0.04359277308371649,0.11445151467045303,-0.032175618228457416,0.0,0.0,-0.009341308517939248,0.0,0.0,0.0,-0.02387223287917808,-0.03425146456577725,0.0,-0.08095800715547348,0.0,0.10810106370431012,0.0504485287503912,-0.07161669863753424,-0.17567134773296741,0.04021269434367269,0.0,-0.017644693867218578,-0.039441080409076824,0.0,0.0,-0.04151692674639666,-0.23767299987401472,0.0,0.024746273442260113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04047900357773674,0.0,0.06805225196621532,0.0,-0.016606770698558666,-0.018682617035878497,-0.04151692674639666,0.0
cuneus-rh,0.024551290785597004,0.0,0.0,0.04214491387365308,-0.05524298640504543,-0.07979542480728784,-0.011048597281009084,0.5337615083066601,0.0,-0.12055876805203644,0.0,0.0,0.0,-0.028235304162578773,0.0,0.0,-0.028235304162578773,0.0,-0.011048597281009084,-0.008593353440784844,0.0,0.11754479885073554,0.0,-0.02332481648213029,-0.11171359473020297,-0.03682865760336362,-0.054015364484933305,-0.02332481648213029,0.0,0.0,0.11019824892256458,-0.03682865760336362,0.0,0.12116662738675259,-0.056470608325157545,0.0,-0.17681952647632013,0.0,-0.013503841121233326,-0.027007682242466653,0.0,-0.007854029315227124,0.0,0.09377724757248639,0.0,0.0,0.0,0.06641193877626159,-0.13406260917326976,0.0,0.0,0.0,0.0,0.0,0.0,0.03424274252234313,0.039510856756549764,0.0,-0.02455243840224241,-0.16878227527285103,-0.03314579184302726,0.0,0.0,0.0,0.0,-0.012276219201121204,-0.008037251203469098,0.10799634180123602
entorhinal-lh,0.0,0.037969373933955476,-0.016315366401994838,-0.009880121227875476,-0.03083142264937326,0.0,-0.034113947931443754,0.0,0.12353594701674186,0.0,-0.1717003872543764,-0.08755828427278618,-0.03083142264937326,0.0,0.015286371324059998,-0.019269639155858286,-0.160114288758772,0.0,0.0,0.0019724350095561287,0.01314619850119121,-0.058833532785038944,-0.011865721019632609,0.0,-0.012171067464329638,0.050297092743681285,-0.01541571132468663,-0.004449645382362229,-0.0675951894175903,-0.007382484723266948,0.021696785105117414,0.035996938924399355,0.0049310875238903215,0.0,0.0,-0.010382505892178534,0.0,0.23805089055405276,0.02166956301310856,0.04092802644828967,0.03205206890528709,-0.04894609920598452,0.033993392952547385,-0.023731442039265218,0.2771582625533133,-0.04004680844126006,0.040434917695900637,0.030079633895730963,0.0,0.0,0.0,0.01824502383839419,-0.11584064599667461,-0.041985161646629,0.021696785105117414,-0.07075908503031632,0.0,-0.017798581529448916,0.0,0.0429004614578458,0.0,0.003944870019112257,0.008382848790613547,0.011780165873319053,-0.022248226911811143,0.005424196276279354,0.0,-0.0015065483491759554
entorhinal-rh,0.013243953947511721,-0.08628940395299042,0.0,0.007645190169153532,0.0,0.002866946313432574,0.0,-0.052071963008794894,0.0009556487711441915,0.042923804213324486,0.013379082796018679,-0.0013791636071569953,0.01541571132468663,-0.07401544575259106,0.003163484734381947,-0.021845622200468328,0.01541571132468663,0.05914255220885074,0.0,0.11754479885073554,-0.03530021070804154,0.0,-0.026465556522045325,0.0,0.0,-0.04314470197649521,0.0,0.0,0.04232488833983305,0.012856685209672774,0.10405605144163474,-0.014758246403175676,0.0809324844546048,0.0,0.01541571132468663,-0.054911438879175725,-0.12252226590304682,-0.06432418959909958,0.0,0.0033990802485639616,-0.01837833988545702,0.0,0.005733892626865148,0.0,0.010362660658110999,0.08218579431840047,0.0,0.010512136482586107,-0.11850356048432646,-0.019611228171134188,-0.007844491268453676,0.005733892626865148,0.06355565031280475,-0.007137201072117686,0.0,0.03733296756781325,0.02783914534956112,0.0,-0.06275593014762941,-0.04986805639651448,0.057808917467574855,-0.05981424592195928,-0.07535310993703546,0.045871141014921187,0.1288715867447888,0.07814795404657954,-0.08834315309208476,0.0
