,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,-0.0379740583854371,-0.18183780170147085,0.0038678219004657814,0.04316356125002251,-0.005182189574164305,-0.1704475022123499,-0.19409405791998072,0.08525690981217285,-0.004288989251016236,-0.001609388281572032,0.09935304824530271,0.09578024695271044,-0.0025025886047200996,-0.16748944829478474,-0.006075389897312371,0.07604387109557002,-0.006075389897312371,-0.006075389897312371,0.014971284383762795,0.07294717202533914,-0.0025025886047200996,0.09351774408405292,-0.00786179054360851,-0.00696859022046044,-0.00696859022046044,-0.006075389897312371,0.03274525284907748,-0.001609388281572032,-0.001609388281572032,-0.004288989251016236,0.03560186618324578,-0.006075389897312371,0.10808998473954418,-0.0025025886047200996,-0.006075389897312371,-0.006075389897312371,0.05291271192975593,-0.008754990866756577,0.00833934606945696,-0.00786179054360851,-0.005182189574164305,-0.005182189574164305,-0.005182189574164305,-0.004288989251016236,-0.004288989251016236,-0.006075389897312371,-0.005182189574164305,-0.0025025886047200996,-0.0025025886047200996,-0.004288989251016236,-0.005182189574164305,0.08615011013532091
S1_D3 hbo,-0.1634820030305662,0.13728870175415606,0.09847503046595821,0.001702169018988262,4.6771086753841934e-05,-0.16149124645501167,-0.16853549297515813,-0.0028480606444574153,-0.006445676122647818,0.0013583517748722467,0.00025475315338263345,-0.001608626845480578,0.00025475315338263345,-0.1368967265938691,-0.007549274744137431,0.2932686457596709,-0.0019524440895965932,-0.007205457500021416,-0.008309056121511029,-0.001608626845480578,0.0037013841953386973,0.09413278286914131,-0.008309056121511029,-0.001608626845480578,-0.0010568275347357715,-0.0019524440895965932,0.005012964883457102,0.0031495848845938903,0.0013583517748722467,-0.006997475433392625,-0.003830973347206917,-0.008101074054882237,-0.0010568275347357715,0.00025475315338263345,-0.0010568275347357715,-0.0019524440895965932,0.17714581926118725,-0.014113868842680656,-0.02150193260694314,-0.008309056121511029,-0.00665365818927661,-0.00665365818927661,-0.0005050282239909647,-0.013146105398678273,-0.014041721953539095,-0.008101074054882237,-0.00665365818927661,-0.00499826025704219,0.002045986263104277,-0.005206242323670981,4.6771086753841934e-05,-0.0057580416344157875
S2_D1 hbo,-0.00332106270036912,-0.0008460381130911622,0.6793776919302595,0.0019598672598324257,-0.03722643344785763,-0.002156852528653005,-0.03722643344785763,-0.04003233882078122,-0.03672806979540372,0.001553641878278461,-0.00034767446063724495,-0.0005319510024371471,0.0005569145733706333,-0.00184276541799899,-0.03772479710031154,-0.004095841165522884,-0.002341129070452904,-0.03731857171875758,-0.0005319510024371471,-0.0014365400364450254,-0.07192746128346246,-0.0040581688675687165,-0.03822316075276546,-0.0005319510024371471,-0.036820208066303664,-0.0014365400364450254,0.0076638162765795504,-0.03342380077002621,0.001553641878278461,0.0013693653364785625,-0.07351469051172416,-0.03641398268474969,-0.0005319510024371471,0.0005569145733706333,-0.03731857171875758,-0.002341129070452904,0.20059045289058677,-0.03591561903229578,-0.034106440964280026,-0.03641398268474969,0.0008710016840246486,-0.03591561903229578,0.0008710016840246486,-0.03541725537984187,-0.03632184441384975,-0.03731857171875758,0.0008710016840246486,0.0023660926413863934,-0.03442052807493404,0.0013693653364785625,-0.03632184441384975,0.0008710016840246486
S2_D2 hbo,0.06227907377775756,-0.019604757506114893,-0.02055250441388269,0.2658553267951996,-0.02229453743118542,-0.0037403961591262894,0.06111989072207993,0.04517184860332258,-0.04882695382895531,-0.0010641072932410665,0.06674798713289042,0.0714226391405992,0.00013996973904755732,-0.021436168790520283,-0.04693146001341972,0.06419986332926561,0.0014334250384388401,-0.03995152326742165,-0.0024244938714295065,0.06700431725741124,-0.027186732768257272,0.06441740665862868,-0.03730053013750888,0.004968082544989202,-0.019668840037245103,0.004084418168351614,0.0007032214600341123,-0.019643544301272648,0.0007673039911643202,-0.019259049114491406,-0.042948224788957906,-0.035533201384233694,0.07230630351723677,0.0027909628689603274,-0.017491720361216222,0.002317089415076431,-0.04812204598652303,-0.03859398543690016,-0.04036131419017535,-0.039067858890784055,-0.018375384737853814,-0.039067858890784055,0.0014334250384388401,-0.045702087245158646,-0.04617596069904254,-0.04083518764405924,-0.018375384737853814,-0.0245357396383445,-0.022640245822808904,-0.020744752007273305,-0.019668840037245103,0.04896283623439377
S2_D4 hbo,-0.006471043034623673,-0.019769682269732608,-0.02022845305926639,-0.0004440690140269544,0.20208796210856636,-0.005548600863720484,-0.03888758582532887,0.03987099234660965,-0.045208972324665024,0.12931789616257405,0.14228983017671634,0.004042234327174045,0.12936614814372469,-0.021503360873730875,-0.04475020153513124,-0.0039694793868453515,0.1291633390354509,-0.03898899037946576,-0.01951372058847258,-0.0016707248473407984,-0.04291511837699609,-0.004017731367995986,-0.03327603120495091,0.006490645401966121,-0.019871086823869493,0.008122919451827504,0.007205377872759926,-0.016553386151160473,0.09266565572903987,-0.019412316034335696,-0.06198476995144172,-0.034092168229881606,0.006490645401966121,0.10840536064977302,-0.0178814465386112,0.0032260973022433526,-0.0666787829927521,-0.038530219589931976,-0.03934635661486267,-0.03898899037946576,-0.0190549497989388,-0.038530219589931976,-0.00039581703287631665,-0.04311792748526985,-0.04439283529973433,-0.03980512740439645,-0.0190549497989388,-0.023183886904742892,-0.021348803746607737,-0.020890032957073954,-0.019412316034335696,-0.0190549497989388
S3_D1 hbo,-0.15528244910837902,-0.16685663288889543,0.0020611560157084013,-0.0007620254798683436,-0.0024028384082945293,-0.15180171336807718,-0.1683387844607383,-0.002949776051103259,-0.009323861362032053,-0.0002150878370596138,-0.00130896312267707,-0.0034967136939119854,-0.0007620254798683436,-0.14593490267109954,-0.010417736647649513,-0.0024692083694443506,-0.002949776051103259,-0.010417736647649513,-0.011511611933266969,-0.0034967136939119854,0.000331849805749116,-0.004612712299912717,-0.011511611933266969,-0.0034967136939119854,-0.0034967136939119854,-0.002949776051103259,0.018143580860994286,-0.0002150878370596138,-0.0002150878370596138,-0.009323861362032053,0.010261422543938949,-0.010417736647649513,-0.002949776051103259,-0.0007620254798683436,-0.002949776051103259,-0.002949776051103259,0.006344365762744747,-0.0120585495760757,-0.008591555430347758,-0.011511611933266969,-0.009870799004840784,-0.009870799004840784,-0.0024028384082945293,-0.009323861362032053,-0.009323861362032053,-0.010417736647649513,-0.009870799004840784,-0.008229986076414597,-0.0007620254798683436,-0.009323861362032053,-0.0024028384082945293,-0.009870799004840784
S3_D3 hbo,-0.12807618606847712,-0.13192035559183005,-0.005278547428056905,0.5446975915718171,-0.005278547428056905,-0.12682814924604835,0.24246586792507488,-0.008190633347057398,-0.010415272489928722,0.0025528025913315994,0.000557834640328017,-0.00030255438119485565,0.0014749526083249235,-0.1105130663228199,-0.011493122472935399,-0.004623409137633899,-0.0015978653256853343,-0.010197811528444919,-0.005600011458076439,-0.0012196723491917658,-0.007342454555918461,-0.004888144221179399,-0.012192779479448503,-0.00030255438119485565,-0.00543927944306667,-0.0006807473576884278,0.005247427548848289,-0.0012886115260497366,0.0025528025913315994,-0.0043614294600599944,-0.02191509438130486,-0.011114929496441826,0.00023637061030848218,0.0014749526083249235,-0.00543927944306667,-0.0015978653256853343,-0.03952548824902376,-0.015656000620336265,-0.023544079586198807,-0.011275661511451596,-0.003983236483566426,-0.009658886536941582,0.0007752956018118201,-0.014795611598813397,-0.015712729566810302,-0.011114929496441826,-0.003983236483566426,-0.0023664615090564123,-0.0023664615090564123,-0.002527193524066178,-0.0043614294600599944,-0.003066118515569516
S3_D4 hbo,0.059442816532106695,-0.020871708425623282,-0.020871708425623282,0.031003297814823024,0.03927038763666558,-0.005348451241132308,-0.03992962311666461,0.08853801860955328,-0.04272747877677913,0.052657915144663454,0.12459317379381761,0.06960620146115255,0.051037448921590005,-0.02180432697899478,-0.04366009733015063,0.048115963221927134,0.051823204944759775,-0.04039593239335037,-0.006672323592514767,0.04958956691479884,-0.04127959676998796,0.06170217624814815,-0.033792926656935396,0.006041277301688541,-0.02092066260235719,0.009158579708287063,0.010557507538344321,-0.015667630519265563,0.04883524850794972,-0.01998804404898569,-0.061589576760884814,-0.03421028175688723,0.07272350386775109,0.05457210642814037,-0.01826966947244442,0.0038565934484615194,-0.06679365466724252,-0.04039593239335037,-0.04039593239335037,-0.040862241670036124,-0.020454353325671443,-0.03992962311666461,-0.0009790835346782682,-0.043193788053464875,-0.043193788053464875,-0.04039593239335037,-0.020454353325671443,-0.0227858997091002,-0.021853281155728696,-0.021853281155728696,-0.01998804404898569,0.038404239820441256
S3_D5 hbo,-0.005437256711646487,-0.032817736519495114,-0.015858804404239608,-0.0039975834108108635,-0.02192082500115438,-0.0032868013094549107,-0.049744977713034114,-0.0219842068445874,-0.04027868494646715,-0.0021640372257843658,-0.0026620374241866232,0.002064437186103913,0.0024990555410731564,-0.017289423156013374,-0.03887975711640989,-0.002417564599516423,0.0001358182359278885,-0.031821736122690604,-0.014396494730749339,0.001100127711015899,-0.03887975711640989,-0.0022908009126503936,-0.03278604559777861,0.002064437186103913,-0.014894494929151594,0.001100127711015899,-0.0011997277506963517,-0.019059587497606858,-0.0012314186724128606,-0.014894494929151594,-0.05313590633670041,-0.03278604559777861,0.002064437186103913,0.0024990555410731564,-0.01536080420583735,0.0001358182359278885,-0.07641038642260276,-0.04924697751463186,-0.03278604559777861,-0.031821736122690604,-0.014396494730749339,-0.031821736122690604,0.002064437186103913,-0.05530899811154663,-0.055775307388232394,-0.03278604559777861,-0.014396494730749339,-0.019525896774292607,-0.017660659667549605,-0.016261731837492344,-0.014894494929151594,-0.014396494730749339
S4_D2 hbo,-0.00474287604985669,-0.04083630577949952,-1.0999248724156647e-05,-0.0013507077433265362,0.14174301182269958,-0.003459483708722,-0.04042361396736913,0.057231018776737086,-0.04674378228426999,0.1502337644257079,0.15913720884084662,0.003997126986358815,0.15101383114522515,-0.04180863936671504,-0.04577144869705447,-0.0028263669521594974,0.11914243787057766,-0.04098325574245426,-0.0404970889488465,-1.0999248724156647e-05,-0.004799192203324376,-0.0026341000844612235,-0.03780051313163207,0.004895985592096962,0.0008878593570139866,0.003997126986358815,0.002465151624058167,0.0009331762617575188,0.10111512409586812,-0.04008439713671612,-0.04263402299097581,-0.03559010410802539,0.004895985592096962,0.11162401885478485,0.0030982683806206686,0.0021994097748825217,-0.04788022466244994,-0.0391120635495006,-0.04090978076097689,-0.03959823034310836,-0.04008439713671612,-0.04008439713671612,0.001300551169144375,-0.0449460650727937,-0.04543223186640146,-0.0404970889488465,-0.04008439713671612,-0.04543223186640146,-0.002588783179717698,-0.042029064311147155,0.0013740261506217449,-0.03959823034310836
