,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.022058823529411766,0.011029411764705883,0.025735294117647058,0.025735294117647058,0.025735294117647058,0.01838235294117647,0.014705882352941176,0.025735294117647058,0.01838235294117647,0.025735294117647058,0.025735294117647058,0.025735294117647058,0.025735294117647058,0.011029411764705883,0.014705882352941176,0.0,0.022058823529411766,0.01838235294117647,0.022058823529411766,0.01838235294117647,0.014705882352941176,0.0,0.014705882352941176,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.01838235294117647,0.014705882352941176,0.01838235294117647,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.01838235294117647,0.014705882352941176,0.011029411764705883,0.022058823529411766,0.022058823529411766,0.01838235294117647,0.022058823529411766,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.022058823529411766,0.01838235294117647,0.022058823529411766,0.01838235294117647
S1_D3 hbo,0.020242914979757085,0.016194331983805668,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.016194331983805668,0.020242914979757085,0.0,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.0,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.016194331983805668,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085
S2_D1 hbo,0.021604938271604937,0.012345679012345678,0.024691358024691357,0.024691358024691357,0.027777777777777776,0.018518518518518517,0.015432098765432098,0.024691358024691357,0.018518518518518517,0.024691358024691357,0.027777777777777776,0.024691358024691357,0.024691358024691357,0.012345679012345678,0.015432098765432098,0.0,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.0,0.015432098765432098,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.018518518518518517,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.012345679012345678,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517
S2_D2 hbo,0.01881720430107527,0.013440860215053764,0.024193548387096774,0.024193548387096774,0.026881720430107527,0.016129032258064516,0.016129032258064516,0.024193548387096774,0.01881720430107527,0.024193548387096774,0.026881720430107527,0.024193548387096774,0.024193548387096774,0.013440860215053764,0.016129032258064516,0.0,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.0,0.016129032258064516,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.01881720430107527,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.013440860215053764,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527
S2_D4 hbo,0.01881720430107527,0.013440860215053764,0.024193548387096774,0.024193548387096774,0.026881720430107527,0.016129032258064516,0.016129032258064516,0.024193548387096774,0.01881720430107527,0.024193548387096774,0.026881720430107527,0.024193548387096774,0.024193548387096774,0.013440860215053764,0.016129032258064516,0.0,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.0,0.016129032258064516,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.01881720430107527,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.013440860215053764,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527
S3_D1 hbo,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.01893939393939394,0.015151515151515152,0.022727272727272728,0.01893939393939394,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.015151515151515152,0.0,0.022727272727272728,0.01893939393939394,0.022727272727272728,0.01893939393939394,0.015151515151515152,0.0,0.015151515151515152,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.01893939393939394,0.015151515151515152,0.01893939393939394,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.01893939393939394,0.015151515151515152,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.01893939393939394,0.022727272727272728,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.01893939393939394,0.022727272727272728,0.01893939393939394
S3_D3 hbo,0.0158311345646438,0.013192612137203167,0.018469656992084433,0.021108179419525065,0.021108179419525065,0.0158311345646438,0.018469656992084433,0.018469656992084433,0.021108179419525065,0.021108179419525065,0.018469656992084433,0.021108179419525065,0.018469656992084433,0.0158311345646438,0.018469656992084433,0.0,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.018469656992084433,0.0,0.018469656992084433,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.018469656992084433,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.018469656992084433,0.0158311345646438,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065,0.021108179419525065
S3_D4 hbo,0.021604938271604937,0.012345679012345678,0.024691358024691357,0.024691358024691357,0.027777777777777776,0.018518518518518517,0.015432098765432098,0.024691358024691357,0.018518518518518517,0.024691358024691357,0.027777777777777776,0.024691358024691357,0.024691358024691357,0.012345679012345678,0.015432098765432098,0.0,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.0,0.015432098765432098,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.018518518518518517,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.015432098765432098,0.012345679012345678,0.021604938271604937,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.021604938271604937,0.018518518518518517,0.021604938271604937,0.018518518518518517
S3_D5 hbo,0.01728395061728395,0.012345679012345678,0.019753086419753086,0.022222222222222223,0.022222222222222223,0.014814814814814815,0.01728395061728395,0.019753086419753086,0.019753086419753086,0.022222222222222223,0.019753086419753086,0.022222222222222223,0.019753086419753086,0.014814814814814815,0.01728395061728395,0.0,0.022222222222222223,0.019753086419753086,0.022222222222222223,0.019753086419753086,0.01728395061728395,0.0,0.01728395061728395,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.019753086419753086,0.01728395061728395,0.019753086419753086,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.019753086419753086,0.01728395061728395,0.014814814814814815,0.022222222222222223,0.022222222222222223,0.019753086419753086,0.022222222222222223,0.019753086419753086,0.019753086419753086,0.019753086419753086,0.019753086419753086,0.019753086419753086,0.022222222222222223,0.019753086419753086,0.022222222222222223,0.019753086419753086
S4_D2 hbo,0.01881720430107527,0.013440860215053764,0.024193548387096774,0.024193548387096774,0.026881720430107527,0.016129032258064516,0.016129032258064516,0.024193548387096774,0.01881720430107527,0.024193548387096774,0.026881720430107527,0.024193548387096774,0.024193548387096774,0.013440860215053764,0.016129032258064516,0.0,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.0,0.016129032258064516,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.01881720430107527,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.016129032258064516,0.013440860215053764,0.021505376344086023,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.021505376344086023,0.01881720430107527,0.021505376344086023,0.01881720430107527
