,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.10476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190476,0.10952380952380952,0.0,0.0,0.0,0.10952380952380952,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.05238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.09047619047619047,0.047619047619047616,0.10952380952380952
Fz,0.0,0.09433962264150944,0.0509433962264151,0.0,0.04339622641509434,0.07735849056603773,0.052830188679245285,0.0,0.04339622641509434,0.0,0.0,0.0,0.0,0.045283018867924525,0.0,0.0,0.0,0.0,0.05849056603773585,0.045283018867924525,0.062264150943396226,0.052830188679245285,0.0,0.0,0.062264150943396226,0.0,0.05660377358490566,0.0,0.045283018867924525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026415094339622643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026415094339622643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06037735849056604,0.09622641509433963,0.0,0.0,0.0,0.0
F3,0.0,0.06178489702517163,0.059496567505720827,0.0,0.05034324942791762,0.06178489702517163,0.057208237986270026,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05491990846681922,0.0,0.0,0.0,0.0,0.059496567505720827,0.05491990846681922,0.06178489702517163,0.059496567505720827,0.0,0.0,0.06178489702517163,0.0,0.06178489702517163,0.0,0.05491990846681922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032036613272311214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032036613272311214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06178489702517163,0.06178489702517163,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.06199460916442048,0.05390835579514825,0.0,0.05929919137466307,0.06199460916442048,0.05121293800539083,0.0,0.05390835579514825,0.0,0.0,0.0,0.0,0.04851752021563342,0.0,0.0,0.0,0.0,0.06199460916442048,0.05121293800539083,0.06199460916442048,0.06199460916442048,0.0,0.0,0.06199460916442048,0.0,0.06199460916442048,0.0,0.05121293800539083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05929919137466307,0.06199460916442048,0.0,0.0,0.0,0.0
FC5,0.0,0.07692307692307693,0.05325443786982249,0.0,0.045364891518737675,0.07889546351084813,0.05325443786982249,0.0,0.045364891518737675,0.0,0.0,0.0,0.0,0.047337278106508875,0.0,0.0,0.0,0.0,0.0650887573964497,0.047337278106508875,0.06903353057199212,0.055226824457593686,0.0,0.0,0.0611439842209073,0.0,0.05917159763313609,0.0,0.047337278106508875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027613412228796843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027613412228796843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05917159763313609,0.08086785009861933,0.0,0.0,0.0,0.0
FC1,0.0,0.06349206349206349,0.061224489795918366,0.0,0.047619047619047616,0.06349206349206349,0.061224489795918366,0.0,0.05215419501133787,0.0,0.0,0.0,0.0,0.05442176870748299,0.0,0.0,0.0,0.0,0.05668934240362812,0.05442176870748299,0.061224489795918366,0.05668934240362812,0.0,0.0,0.06349206349206349,0.0,0.05895691609977324,0.0,0.05442176870748299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,0.06349206349206349,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.059895833333333336,0.057291666666666664,0.0,0.057291666666666664,0.059895833333333336,0.0546875,0.0,0.057291666666666664,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.059895833333333336,0.0546875,0.059895833333333336,0.059895833333333336,0.0,0.0,0.059895833333333336,0.0,0.059895833333333336,0.0,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036458333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036458333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059895833333333336,0.059895833333333336,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
