,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.08679377524202696,0.0026155187445510027,0.00043591979075850045,0.02027815593942292,0.008282476024411508,0.007959479015918957,0.004925704379511391,0.006102877070619006,0.023003127771812706,0.012458095554122818,0.009498446207750161,0.010073784629127516,0.012401634162989842,0.01295930868546526,0.01022203520919734,0.021817123131254123,0.016307248380914408,0.016316080330365378,0.000361794500723589,0.010435579129851106,0.013691729636363406,0.009572571497785074,0.02406201542563057,0.012837553953748342,0.004062696747445358,0.012022175763364317,0.005788712011577424,0.011037413399581366,0.009489614258299193,0.001447178002894356,0.006224631802335924,0.03532180469531667,0.000723589001447178,0.06499431600967477,0.007959479015918957,0.0,0.020008150627636178,0.0052310374891020054,0.009563739548334105,0.009860240708473751,0.01705733323071449,0.019581062786328648,0.021808291181803156,0.01268930337367852,0.014127649427121906,0.018552140675290853,0.029114836791882683,0.014702987848499263,0.0029773132452745915,0.00413682203748027,0.024515599115291005,0.011603919871507752,0.014053524137086996,0.018421553994122968,0.018560972624741823,0.018003298102266405,0.013608772396877527,0.018744551002615517,0.006882927463199159,0.060282155550817146,0.05879081780066795,0.002894356005788712,0.021742997841219212
Fz,0.0010460251046025104,0.06401344183441506,0.00530631239086746,0.0060194489287165465,0.026469788818238724,0.014463836633391538,0.0390413083824773,0.009290679669225447,0.022333047804170923,0.008106694560669456,0.013603130937084748,0.02928938929704917,0.010726561899427844,0.032370496052010235,0.03158117264630624,0.006014644351464435,0.011064255043433379,0.006803967757168429,0.014041033835205746,0.01048427393228566,0.035441993652467085,0.029047101329906986,0.009623568235978871,0.01098806817557847,0.03197102977190613,0.0008510965418025675,0.02589461228434312,0.018529195356856543,0.02940332641474209,0.020754400992762934,0.006285759782119285,0.010812357921786973,0.0228656695109764,0.0032142621816624384,0.008368200836820083,0.02333171350443119,0.0010460251046025104,0.01833907137130871,0.04500378875234738,0.007916570575121625,0.004588371275766261,0.0036041193072623243,0.007060669456066946,0.02797705333904392,0.009152719665271966,0.008182881428524363,0.024567862594581533,0.00653765690376569,0.022770264334113048,0.010940708771236232,0.018343875948560823,0.0,0.01905701248640991,0.021486755839620467,0.0015690376569037657,0.02587539397533467,0.003927398719511525,0.009033977970326932,0.03248923774695527,0.0012457582446545646,0.006946732338374021,0.012229021842980924,0.0006561679790026247
F3,0.005597014925373134,0.01885310290652003,0.10408483896307934,0.006677140612725845,0.04192851531814611,0.004713275726630008,0.020031421838177535,0.016496465043205028,0.02209347996857816,0.0,0.01728201099764336,0.023173605655930872,0.007168106834249803,0.01767478397486253,0.02543205027494108,0.009721131186174391,0.020129615082482327,0.010899450117831892,0.009819324430479183,0.012568735271013355,0.005106048703849175,0.013059701492537313,0.0019638648860958365,0.01021209740769835,0.028279654359780047,0.012274155538098979,0.027690494893951294,0.019442262372348782,0.03898271798900235,0.020031421838177535,0.002356637863315004,0.0054988216810683424,0.009033778476040848,0.005597014925373134,0.00589159465828751,0.00864100549882168,0.01993322859387274,0.012961508248232521,0.02749410840534171,0.02474469756480754,0.016987431264728986,0.012470542026708562,0.012077769049489394,0.027003142183817753,0.005597014925373134,0.003142183817753339,0.02199528672427337,0.010113904163393557,0.027494108405341715,0.00432050274941084,0.011194029850746268,0.003927729772191673,0.01610369206598586,0.018067556952081697,0.013256087981146896,0.004713275726630008,0.006677140612725845,0.02896700706991359,0.02877062058130401,0.007462686567164179,0.0056952081696779264,0.01728201099764336,0.003142183817753339
F7,0.015288674652924139,0.005086310049902777,0.004266211604095563,0.0640467141672219,0.010278850468433434,0.012055022231891546,0.009319377778986443,0.002880684316205032,0.011627834509515975,0.012447932955323189,0.007610626889484157,0.005655138263782186,0.014403421581025158,0.001245019920318725,0.000747011952191235,0.02827115882318281,0.018810140552692527,0.030903972279256127,0.0073239465346803916,0.01290939767664269,0.012374846461707209,0.011095549542444556,0.023434985881275808,0.020304164457075,0.003343282161456563,0.03168412810645926,0.0035568760226443487,0.0049081263115909515,0.003592286145520308,0.01988037610649552,0.010845412434448781,0.013546779888409955,0.011167502912128506,0.011840295246771729,0.027417916502363696,0.005478087649402391,0.02514147052291403,0.0070783419224127375,0.005334180910034492,0.02215682208594518,0.02133898988800203,0.0335721958582054,0.03506282039079178,0.003982930621087889,0.018741586554804672,0.03574014522116313,0.005512364648346319,0.035845242465858976,0.005229083665338645,0.010810002311572822,0.012128108725507526,0.02915867814294585,0.008925333931622769,0.012732347062262894,0.040968095762569746,0.009279435160382361,0.024716549048402522,0.011703187250996016,0.007006388552728789,0.0063644738452334005,0.02613408708737292,0.029870279972261125,0.02581879535328538
FT9,0.005978602894902455,0.0275544527217469,0.017092714255953743,0.011458353748340488,0.06504656799231742,0.013476808188940256,0.027763865328458412,0.01966264608979119,0.022258890599515267,0.005034612964128383,0.027030376804777365,0.02461723222587817,0.005244025570839893,0.025299184198167478,0.013947169953755018,0.00031466331025802394,0.012032877416320246,0.0014680658477436064,0.008073817762399077,0.011012127058649322,0.019033319469275143,0.026270575605209692,0.012323405651454674,0.021472776724060963,0.030699997023945623,0.005270338246726522,0.0202404361589155,0.0190618097459248,0.028419504624861085,0.019296446228141424,0.008626383956018271,0.02351645504016585,0.012007653540815134,0.010906876355102808,0.0075256067703059456,0.022414589054072002,0.00461361014994233,0.020999148558101654,0.029337181879748528,0.010593301845226302,0.006921504025295011,0.008311720645760247,0.0012586532410320957,0.012558042133671298,0.006607929515418502,0.00416847226063268,0.03722898851170424,0.003461296412838263,0.027240878211870392,0.010643749596236525,0.022915618696299458,0.0063974281083254755,0.013318932133620487,0.03313836547834993,0.002097392468259654,0.01426292206439456,0.008625295155636757,0.021472776724060963,0.02750291617035516,0.0028319697923222154,0.011274165017134088,0.019243820876368167,0.001520691199516863
FC5,0.007119741100323625,0.021393809135601176,0.0035598705501618125,0.01612605713250492,0.016606141456063636,0.07329808872090054,0.025634691239078695,0.019965084776468457,0.03209565453692038,0.0029908512232680318,0.018793283760303696,0.027319515468926275,0.010467979281438111,0.022777242520813264,0.019842387410756196,0.010333753304182416,0.010825366239284567,0.011628251686059438,0.011438853067845879,0.01182917891581643,0.017643716494972702,0.020757265083952994,0.016449681727974175,0.01617052463417245,0.03192848966954059,0.016784011462733762,0.010066124821924125,0.018335433187578742,0.014162075808855621,0.017096930918912685,0.013425068142328946,0.013648229122919703,0.012063868507950624,0.009061488673139158,0.013380600640661412,0.005825242718446602,0.003236245954692557,0.00917348089956109,0.02238691667284271,0.019060912242561984,0.017063168556535488,0.0088383276925484,0.013849156352676696,0.018670586394591435,0.009374408129318083,0.010735607763696402,0.020333176873605245,0.013056976045192157,0.020947487174419657,0.016415919365596977,0.019362303087197476,0.007197970964368356,0.021460510388102472,0.01834696179912218,0.004285349605145055,0.019853092550046525,0.0029686174724342664,0.015613033918822105,0.01929560183469618,0.005501618122977346,0.01257689172163344,0.017498785378426675,0.01205233989640719
FC1,0.0037749804568692987,0.03314323680153233,0.00916136058447032,0.009232646783895695,0.02419190908012747,0.014488824389827114,0.06364531353812919,0.013413920320137522,0.01480483011822797,0.015041005505232968,0.01332363296916585,0.028067633897544263,0.013570265365746662,0.023514753947839924,0.02350952544305202,0.014212733832124187,0.016044623375497186,0.016185282906742603,0.010130291788824517,0.010371695680617424,0.02161680670982946,0.019302109382870653,0.012827052538821647,0.01646137346444553,0.02816314975330384,0.0016565433462175593,0.017329560308252237,0.018996560664045613,0.028309037789337167,0.02038747046213606,0.006596715223748124,0.010507126707074932,0.0216619503853153,0.00823757305560196,0.011496971930580758,0.01976923165209274,0.009713541699876174,0.011937951675863308,0.024980265582538325,0.00997585961082071,0.00525617760593142,0.007464902067554832,0.010156434312764055,0.02134594465691444,0.010161662817551964,0.016416229788959694,0.021476147178584044,0.01789219843323391,0.022274960690570708,0.012309558089325816,0.013328861473953757,0.004011155843874297,0.015256266873086337,0.02502540925802416,0.0057180713703656,0.013222888608618363,0.00935762080077739,0.015216351702388407,0.0262808880296571,0.009618025844116593,0.008850583360857374,0.016145367736044674,0.0034589747284684436
C3,0.0045871559633027525,0.011724947402910947,0.017269736842105265,0.005171867455335587,0.026283455197627096,0.019781571187142168,0.02093159360557357,0.07327970873284129,0.036440729116368906,0.003931847968545216,0.041554933779402635,0.02485697471890736,0.007786632579154308,0.01567619593709043,0.009424902566048148,0.005653648168586604,0.021098654031868662,0.005904238808029248,0.011924342105263159,0.023559292439815135,0.005171867455335587,0.017873309995171414,0.008525470787059392,0.02330870180037249,0.032932999068772846,0.015425605297647789,0.013363217389804788,0.014532640373870457,0.02215867938194109,0.017333866489618543,0.018368024418845278,0.015033821652755741,0.01511735186590329,0.007465445436986963,0.0090331189211561,0.017320932779195695,0.013646142305304546,0.017828580913292407,0.008448407429123266,0.005255397668483134,0.016074446437193902,0.005750112092156997,0.0076260390080706356,0.008936654997585707,0.00918724563702835,0.006476016589639236,0.036126008829412984,0.007131324584396772,0.03340831292681244,0.002627698834241567,0.005242463958060288,0.019350986410981583,0.012547315823963578,0.02084806339242602,0.009611363557977513,0.021573967889908258,0.009354306063323447,0.016678558494861006,0.023366364592674344,0.00885312478443816,0.002621231979030144,0.022101016589639234,0.009521366489618542
T7,0.015382113363580837,0.02161617783457231,0.010995066710586792,0.011606555133826718,0.01879130271173666,0.023114069282341845,0.017345414678260257,0.025067438910471918,0.0631402834172285,0.0,0.01907849398112207,0.03005369731861016,0.004072681185688881,0.021254774796248693,0.022680799456626394,0.0038424591738712775,0.013857047717891547,0.004562920268972142,0.009365994236311239,0.017850551291367544,0.015062782053000998,0.027464010050866787,0.010348817384424136,0.014802764981535339,0.027902245719856916,0.015877318290138775,0.011413439006478218,0.0144834336709555,0.025886940990884365,0.01171056196241298,0.008786645854265742,0.02326014783867189,0.011705596119138306,0.015429150934599293,0.008108256486908657,0.007580911519156292,0.0019212295869356388,0.014379426842369238,0.02224752963091094,0.01683296724033192,0.016592813541964964,0.006766375282018516,0.006144955172229238,0.022064345190111793,0.007231785148928398,0.008155294057927113,0.03484683959939991,0.005706719503239109,0.021846399846389915,0.006625262568963148,0.02320814442437876,0.014243279972588545,0.02368845182111267,0.015089956250920751,0.0024015369836695487,0.027082743639444462,0.005998876615899196,0.014953809381140059,0.023339325450884775,0.016483840870104023,0.013084583208497551,0.01423831412931387,0.011324329707715982
TP9,0.013121620558359203,0.007717750826901874,0.0,0.017876866567269126,0.004410143329658214,0.002809623833099779,0.018726924681962735,0.003583241455347299,0.0,0.06743321292088333,0.0,0.0019294377067254685,0.015518913917547849,0.0076181540940730985,0.010879449110551376,0.04072211615170176,0.02219438493539658,0.04220685444634674,0.007273051414821388,0.015725079154503416,0.02101540861053594,0.0027563395810363835,0.015196967478678828,0.012134865927858103,0.0019294377067254685,0.012540224630471223,0.015847832127714883,0.014439534325515986,0.004685777287761852,0.02275486554939052,0.026352050547333847,0.0021819154244464164,0.016820643215619956,0.008053640808366923,0.025548304913405623,0.014286653340623814,0.024024225909293272,0.007993384785005513,0.004762217780207938,0.017770298063142335,0.005114292230757662,0.028265303784974636,0.029513748830983347,0.008322302995172545,0.03285148433990771,0.04255892889689647,0.005267173215649834,0.039374074372864276,0.009624032293244654,0.01700365221219283,0.0073193638955867685,0.03197129821353341,0.009156176640781475,0.004685777287761852,0.027813632601596135,0.0020058781991715543,0.03438950688661609,0.008421899728001322,0.010833136629785998,0.01296873957346703,0.015280379742422929,0.016797486975237266,0.029620317335110138
