,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.18975148198814412,0.02696078431372549,0.024509803921568627,0.06429548563611491,0.07102143182854537,0.02696078431372549,0.024509803921568627,0.11998404012767898,0.02696078431372549,0.02696078431372549,0.024509803921568627,0.029411764705882353,0.02696078431372549,0.03858869129046968,0.024509803921568627,0.02696078431372549,0.08264933880528956,0.11998404012767898,0.024509803921568627
caudalmiddlefrontal-rh,0.026905829596412557,0.07972273100486327,0.045790437693425126,0.02914798206278027,0.0317059306511716,0.05155371692035622,0.052832691214551884,0.044511463399229456,0.0726804774837365,0.04099033663866608,0.05635381797511527,0.07492262995010421,0.0726804774837365,0.06915935072317311,0.05987494473567864,0.044511463399229456,0.035227057411734986,0.04803259015979284,0.06339607149624202
inferiorparietal-rh,0.027149321266968326,0.05114932126696833,0.0808868778280543,0.03914932126696832,0.056886877828054294,0.04714932126696833,0.0368868778280543,0.055149321266968324,0.07514932126696833,0.03514932126696833,0.040886877828054294,0.055149321266968324,0.05114932126696833,0.06714932126696832,0.0728868778280543,0.04714932126696833,0.040886877828054294,0.05114932126696833,0.06888687782805429
parsopercularis-lh,0.03978129713423831,0.02696078431372549,0.06297134238310709,0.2473604826546003,0.06297134238310709,0.03978129713423831,0.024509803921568627,0.06542232277526396,0.06542232277526396,0.02696078431372549,0.024509803921568627,0.029411764705882353,0.02696078431372549,0.05260180995475113,0.05015082956259427,0.02696078431372549,0.024509803921568627,0.05260180995475113,0.05015082956259427
parstriangularis-rh,0.053465110740652536,0.04030721600381043,0.06436056203858061,0.04030721600381043,0.12576407081051044,0.049079145828371834,0.033658807652615697,0.08416686512661745,0.06223704056521394,0.027149321266968326,0.024886877828054297,0.027149321266968326,0.027149321266968326,0.053465110740652536,0.0512026673017385,0.04469318091609113,0.055588632214019204,0.08416686512661745,0.0512026673017385
postcentral-lh,0.026905829596412557,0.05710717187829176,0.034730791224004576,0.02914798206278027,0.034730791224004576,0.09737562825413068,0.061576428807897196,0.0638185812742649,0.07388569536822465,0.026905829596412557,0.02466367713004484,0.04928221025069973,0.05710717187829176,0.08395280946218436,0.07164354290185693,0.04704005778433202,0.02466367713004484,0.06717428597225147,0.06828783820387034
postcentral-rh,0.027149321266968326,0.0619319299626205,0.03358253000196734,0.027149321266968326,0.024886877828054297,0.07497540822349007,0.09445209521935864,0.04454062561479441,0.0619319299626205,0.0619319299626205,0.0466260082628369,0.05758410387566398,0.05758410387566398,0.07932323431044658,0.06836513869761951,0.04454062561479441,0.024886877828054297,0.048888451701750935,0.059669486523706475
precentral-lh,0.0583523704769157,0.04891840821276476,0.040386947570296414,0.032292636150830584,0.05296556392249767,0.06464167865301633,0.04353160165834673,0.09294356544546917,0.06778633274106664,0.026905829596412557,0.02466367713004484,0.041726598414981525,0.04262910003666413,0.07093098682911696,0.049820909834447355,0.04577375412471445,0.040386947570296414,0.09294356544546917,0.06239952618664861
precentral-rh,0.026905829596412557,0.06084248118012296,0.05181299839701317,0.03367286894060832,0.038238337763529,0.06084248118012296,0.04276322464135706,0.05631759430229491,0.08346691556926324,0.03595560335206867,0.04276322464135706,0.06308463364649067,0.06762981149686505,0.0721546983746931,0.06312521559158331,0.04274293366881075,0.029188564007872897,0.058580037741208936,0.06991254590832538
rostralmiddlefrontal-lh,0.025,0.058333333333333334,0.05606060606060606,0.02727272727272727,0.022727272727272728,0.025,0.09772727272727272,0.025,0.058333333333333334,0.13863636363636364,0.08787878787878788,0.06060606060606061,0.058333333333333334,0.058333333333333334,0.05606060606060606,0.04924242424242424,0.022727272727272728,0.025,0.04772727272727273
rostralmiddlefrontal-rh,0.026200873362445413,0.07259262593976501,0.05494530230045469,0.026200873362445413,0.03432674559942376,0.026200873362445413,0.039481384774681494,0.026200873362445413,0.06743798676450727,0.05852428757934543,0.11085850628010624,0.07259262593976501,0.07259262593976501,0.06743798676450727,0.07040921982622789,0.0379057308783145,0.05494530230045469,0.03135551253770315,0.049790663125196956
superiorfrontal-lh,0.026905829596412557,0.06825921305505916,0.050979466603729054,0.02914798206278027,0.02466367713004484,0.04194342358137496,0.04346066961124785,0.03442462658889376,0.07201861155129977,0.04194342358137496,0.054738865099969655,0.1043359519875923,0.09833440102498398,0.06825921305505916,0.06601706058869146,0.03442462658889376,0.04346066961124785,0.03818402508513436,0.058498263596210257
superiorfrontal-rh,0.026905829596412557,0.065100274040857,0.0489692326856004,0.02914798206278027,0.02466367713004484,0.04426694070752367,0.04202478824115595,0.033850274040857,0.07551694070752367,0.040794718485301446,0.055913677130044845,0.10206464872944694,0.10676694070752366,0.065100274040857,0.0663303437967115,0.033850274040857,0.038552566018933726,0.03732249626307922,0.06285812157448929
superiorparietal-lh,0.03381827199272592,0.05916389411254159,0.04770515178442272,0.02914798206278027,0.03388026699179599,0.06838048397429275,0.0523134467152983,0.05916389411254159,0.07298877890516832,0.03612241945816371,0.04079270938810936,0.05910189911347151,0.056859746647103804,0.08911781116323284,0.07305077390423839,0.04303486185447707,0.02927197206092042,0.05455559918166601,0.061530036577049446
superiorparietal-rh,0.027149321266968326,0.05745235156999863,0.05266465560583207,0.027149321266968326,0.0349878879290644,0.06250285662050367,0.0551899081310846,0.052401846519493575,0.06755336167100873,0.03725033136797843,0.0450888980300745,0.06250285662050367,0.05997760409525116,0.08775538187302893,0.0854929384341149,0.044826088943736006,0.0349878879290644,0.047351341468988534,0.057715160656337125
superiortemporal-lh,0.024774774774774775,0.06644144144144144,0.04037966537966538,0.02702702702702703,0.034427284427284426,0.060489060489060484,0.05228442728442728,0.060489060489060484,0.06644144144144144,0.046492921492921495,0.03523166023166023,0.05083655083655084,0.04858429858429858,0.06644144144144144,0.058236808236808234,0.11422136422136422,0.02252252252252252,0.060489060489060484,0.06418918918918919
superiortemporal-rh,0.09066339066339066,0.02702702702702703,0.04295659295659296,0.02702702702702703,0.0884111384111384,0.02702702702702703,0.024774774774774775,0.09066339066339066,0.02702702702702703,0.02702702702702703,0.033865683865683865,0.054299754299754296,0.04520884520884521,0.02702702702702703,0.04295659295659296,0.02702702702702703,0.16339066339066338,0.09975429975429975,0.033865683865683865
supramarginal-lh,0.05485614015541877,0.051750550093306966,0.037086037378492046,0.02914798206278027,0.05261398768905105,0.07038409046597777,0.043297217502715646,0.08591204077653677,0.07038409046597777,0.026905829596412557,0.02466367713004484,0.04467593237333928,0.048644960031195165,0.057961730217530566,0.04640280756482745,0.045539369969083365,0.043297217502715646,0.10143999108709578,0.06503634793749825
supramarginal-rh,0.027149321266968326,0.06263319223471026,0.05391913589257043,0.027149321266968326,0.03779010363450591,0.06585899868632317,0.04424171653773172,0.05295577287987155,0.07553641804116187,0.03037512771858123,0.03456429718289301,0.06263319223471026,0.07553641804116187,0.06585899868632317,0.06359655524740913,0.04650415997664575,0.03456429718289301,0.05940738578309736,0.07972558750547365
