,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.05382775119617225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04066985645933014,0.0,0.0,0.03110047846889952,0.0,0.0,0.050239234449760764,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.045454545454545456,0.039473684210526314,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.056220095693779906,0.04425837320574163,0.0,0.0,0.03827751196172249,0.0,0.0,0.04784688995215311,0.056220095693779906,0.01076555023923445,0.0,0.0,0.0,0.034688995215311005,0.0430622009569378,0.0,0.05502392344497608,0.03588516746411483,0.0,0.056220095693779906,0.0,0.0,0.0,0.0,0.03229665071770335,0.0,0.0,0.04066985645933014,0.0,0.0,0.056220095693779906,0.0,0.03349282296650718
Fz,0.0,0.03720238095238095,0.03720238095238095,0.03869047619047619,0.03869047619047619,0.0,0.03720238095238095,0.03571428571428571,0.0,0.0,0.028273809523809524,0.0,0.025297619047619048,0.02976190476190476,0.0,0.03571428571428571,0.03125,0.03571428571428571,0.0,0.03273809523809524,0.03125,0.0,0.0,0.0,0.0,0.010416666666666666,0.028273809523809524,0.03571428571428571,0.02976190476190476,0.03571428571428571,0.0,0.0,0.025297619047619048,0.0,0.0,0.0,0.03720238095238095,0.0,0.0,0.00744047619047619,0.03720238095238095,0.022321428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.02976190476190476,0.0,0.03720238095238095,0.017857142857142856,0.03571428571428571,0.03869047619047619,0.0,0.02976190476190476,0.028273809523809524,0.0,0.0,0.0,0.0,0.03869047619047619,0.0
F3,0.0,0.021616541353383457,0.046052631578947366,0.047932330827067667,0.03101503759398496,0.0,0.047932330827067667,0.03477443609022556,0.0,0.0,0.02631578947368421,0.0,0.019736842105263157,0.03665413533834586,0.0,0.03571428571428571,0.02631578947368421,0.03759398496240601,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.006578947368421052,0.015977443609022556,0.02725563909774436,0.03101503759398496,0.03571428571428571,0.0,0.0,0.02443609022556391,0.0,0.0,0.0,0.03665413533834586,0.0,0.0,0.002819548872180451,0.03759398496240601,0.023496240601503758,0.0,0.0,0.0,0.0,0.0,0.0,0.02537593984962406,0.0,0.047932330827067667,0.02725563909774436,0.03853383458646616,0.047932330827067667,0.0,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.03477443609022556,0.0
F7,0.0,0.02099737532808399,0.04461942257217848,0.06124234470691164,0.02974628171478565,0.0,0.051618547681539804,0.03237095363079615,0.0,0.0,0.024496937882764653,0.0,0.01837270341207349,0.03499562554680665,0.0,0.033245844269466314,0.024496937882764653,0.03499562554680665,0.0,0.033245844269466314,0.033245844269466314,0.0,0.0,0.0,0.0,0.006124234470691163,0.015748031496062992,0.02537182852143482,0.028871391076115485,0.033245844269466314,0.0,0.0,0.022747156605424323,0.0,0.0,0.0,0.03499562554680665,0.0,0.0,0.003499562554680665,0.03587051618547681,0.021872265966754154,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.06299212598425197,0.02537182852143482,0.03587051618547681,0.06299212598425197,0.0,0.033245844269466314,0.016622922134733157,0.0,0.0,0.0,0.0,0.033245844269466314,0.0
FT9,0.0,0.027114967462039046,0.03796095444685466,0.039045553145336226,0.03796095444685466,0.0,0.03796095444685466,0.0368763557483731,0.0,0.0,0.03036876355748373,0.0,0.0227765726681128,0.03253796095444685,0.0,0.0368763557483731,0.03036876355748373,0.0368763557483731,0.0,0.03470715835140998,0.033622559652928416,0.0,0.0,0.0,0.0,0.007592190889370932,0.020607375271149676,0.031453362255965296,0.03253796095444685,0.0368763557483731,0.0,0.0,0.028199566160520606,0.0,0.0,0.0,0.03796095444685466,0.0,0.0,0.005422993492407809,0.03796095444685466,0.027114967462039046,0.0,0.0,0.0,0.0,0.0,0.0,0.02928416485900217,0.0,0.03796095444685466,0.02386117136659436,0.0368763557483731,0.039045553145336226,0.0,0.03253796095444685,0.020607375271149676,0.0,0.0,0.0,0.0,0.039045553145336226,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.021004566210045664,0.045662100456621,0.052968036529680365,0.030136986301369864,0.0,0.052054794520547946,0.033789954337899546,0.0,0.0,0.025570776255707764,0.0,0.019178082191780823,0.0365296803652968,0.0,0.034703196347031964,0.025570776255707764,0.0365296803652968,0.0,0.034703196347031964,0.034703196347031964,0.0,0.0,0.0,0.0,0.006392694063926941,0.015525114155251141,0.026484018264840183,0.030136986301369864,0.034703196347031964,0.0,0.0,0.023744292237442923,0.0,0.0,0.0,0.03561643835616438,0.0,0.0,0.0027397260273972603,0.0365296803652968,0.0228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.024657534246575342,0.0,0.053881278538812784,0.026484018264840183,0.03744292237442922,0.053881278538812784,0.0,0.034703196347031964,0.017351598173515982,0.0,0.0,0.0,0.0,0.033789954337899546,0.0
C3,0.0,0.022964509394572025,0.038622129436325675,0.038622129436325675,0.033402922755741124,0.0,0.038622129436325675,0.037578288100208766,0.0,0.0,0.029227557411273485,0.0,0.021920668058455117,0.03549060542797495,0.0,0.038622129436325675,0.029227557411273485,0.038622129436325675,0.0,0.037578288100208766,0.03653444676409186,0.0,0.0,0.0,0.0,0.007306889352818371,0.016701461377870562,0.029227557411273485,0.03444676409185804,0.038622129436325675,0.0,0.0,0.027139874739039668,0.0,0.0,0.0,0.038622129436325675,0.0,0.0,0.0020876826722338203,0.038622129436325675,0.026096033402922755,0.0,0.0,0.0,0.0,0.0,0.0,0.028183716075156576,0.0,0.038622129436325675,0.027139874739039668,0.038622129436325675,0.038622129436325675,0.0,0.03549060542797495,0.019832985386221295,0.0,0.0,0.0,0.0,0.037578288100208766,0.0
T7,0.04836415362731152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694167852062589,0.0,0.0,0.034139402560455195,0.0,0.0,0.04551920341394026,0.0,0.0,0.0,0.0,0.0,0.0,0.04836415362731152,0.04551920341394026,0.04694167852062589,0.04836415362731152,0.0,0.0,0.0,0.0,0.0,0.04836415362731152,0.04836415362731152,0.0,0.0,0.04267425320056899,0.0,0.0,0.04836415362731152,0.04836415362731152,0.00995732574679943,0.0,0.0,0.0,0.03840682788051209,0.04267425320056899,0.0,0.04836415362731152,0.04267425320056899,0.0,0.04836415362731152,0.0,0.0,0.0,0.0,0.03556187766714083,0.0,0.0,0.04551920341394026,0.0,0.0,0.04836415362731152,0.0,0.03982930298719772
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
