,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.05711318795430945,0.0,0.0,0.04880581516095535,0.04257528556593977,0.0,0.0,0.0,0.0,0.0,0.004153686396677051,0.0,0.01142263759086189,0.02284527518172378,0.0,0.058151609553478714,0.058151609553478714,0.037383177570093455,0.0,0.0,0.058151609553478714,0.04880581516095535,0.0,0.0,0.05399792315680166,0.05711318795430945,0.0,0.030114226375908618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03946002076843198,0.0,0.0,0.0,0.0,0.058151609553478714,0.058151609553478714,0.058151609553478714,0.0,0.05399792315680166,0.0,0.0,0.0,0.02596053997923157,0.0,0.0,0.02596053997923157,0.0,0.0,0.05088265835929388,0.0,0.0,0.0,0.0,0.0,0.040498442367601244
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.053469852104664393,0.0,0.0,0.05233219567690557,0.04664391353811149,0.0,0.0,0.0,0.0,0.0,0.004550625711035267,0.0,0.012514220705346985,0.02502844141069397,0.0,0.053469852104664393,0.053469852104664393,0.040955631399317405,0.0,0.0,0.053469852104664393,0.05233219567690557,0.0,0.0,0.053469852104664393,0.053469852104664393,0.0,0.03299203640500569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04323094425483504,0.0,0.0,0.0,0.0,0.053469852104664393,0.053469852104664393,0.053469852104664393,0.0,0.053469852104664393,0.0,0.0,0.0,0.02844141069397042,0.0,0.0,0.02844141069397042,0.0,0.0,0.053469852104664393,0.0,0.0,0.0,0.0,0.0,0.04436860068259386
FC1,0.0,0.0,0.05112219451371571,0.0,0.0,0.05112219451371571,0.04987531172069826,0.0,0.0,0.0,0.0,0.0,0.004987531172069825,0.0,0.01371571072319202,0.02743142144638404,0.0,0.05112219451371571,0.05112219451371571,0.04488778054862843,0.0,0.0,0.05112219451371571,0.05112219451371571,0.0,0.0,0.05112219451371571,0.05112219451371571,0.0,0.03615960099750624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04738154613466334,0.0,0.0,0.0,0.0,0.05112219451371571,0.05112219451371571,0.05112219451371571,0.0,0.05112219451371571,0.0,0.0,0.0,0.03117206982543641,0.0,0.0,0.03117206982543641,0.0,0.0,0.05112219451371571,0.0,0.0,0.0,0.0,0.0,0.048628428927680795
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
