,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.10434782608695652,0.02608695652173913,0.02608695652173913,0.0391304347826087,0.013043478260869565,0.0782608695652174,0.07608695652173914,0.10217391304347827,0.015217391304347827,0.02608695652173913,0.03695652173913044,0.10434782608695652,0.034782608695652174,0.07608695652173914,0.07173913043478261,0.0391304347826087,0.01956521739130435,0.03695652173913044,0.07391304347826087
caudalmiddlefrontal-rh,0.026052104208416832,0.1402805611222445,0.014028056112224449,0.10220440881763528,0.10020040080160321,0.006012024048096192,0.014028056112224449,0.06412825651302605,0.014028056112224449,0.07414829659318638,0.11422845691382766,0.07014028056112225,0.08617234468937876,0.004008016032064128,0.014028056112224449,0.0781563126252505,0.014028056112224449,0.052104208416833664,0.012024048096192385
inferiorparietal-rh,0.06832298136645963,0.037267080745341616,0.09316770186335403,0.09937888198757763,0.0,0.018633540372670808,0.043478260869565216,0.06832298136645963,0.043478260869565216,0.037267080745341616,0.06832298136645963,0.055900621118012424,0.062111801242236024,0.012422360248447204,0.049689440993788817,0.08074534161490683,0.055900621118012424,0.06832298136645963,0.037267080745341616
parsopercularis-lh,0.03420523138832998,0.09859154929577464,0.030181086519114688,0.19114688128772636,0.056338028169014086,0.006036217303822937,0.014084507042253521,0.07243460764587525,0.014084507042253521,0.0744466800804829,0.08048289738430583,0.0744466800804829,0.04627766599597585,0.004024144869215292,0.01609657947686117,0.096579476861167,0.018108651911468814,0.060362173038229376,0.012072434607645875
parstriangularis-rh,0.020771513353115726,0.1543026706231454,0.002967359050445104,0.08605341246290801,0.18397626112759644,0.002967359050445104,0.002967359050445104,0.05637982195845697,0.002967359050445104,0.05637982195845697,0.13353115727002968,0.05637982195845697,0.12759643916913946,0.002967359050445104,0.002967359050445104,0.05637982195845697,0.002967359050445104,0.04451038575667656,0.002967359050445104
postcentral-lh,0.09736842105263158,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.0,0.14473684210526316,0.11578947368421053,0.09736842105263158,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.1,0.010526315789473684,0.11315789473684211,0.07631578947368421,0.010526315789473684,0.010526315789473684,0.039473684210526314,0.12105263157894737
postcentral-rh,0.09476309226932668,0.014962593516209476,0.0199501246882793,0.0199501246882793,0.0,0.10972568578553615,0.11471321695760599,0.09476309226932668,0.017456359102244388,0.014962593516209476,0.0199501246882793,0.09476309226932668,0.0199501246882793,0.0798004987531172,0.08229426433915212,0.0199501246882793,0.0199501246882793,0.04738154613466334,0.11471321695760599
precentral-lh,0.07790143084260731,0.0492845786963434,0.019077901430842606,0.058823529411764705,0.028616852146263912,0.057233704292527825,0.058823529411764705,0.10651828298887123,0.011128775834658187,0.0492845786963434,0.057233704292527825,0.10492845786963434,0.03656597774244833,0.05564387917329094,0.05246422893481717,0.058823529411764705,0.014308426073131956,0.04769475357710652,0.05564387917329094
precentral-rh,0.064,0.048,0.064,0.064,0.0,0.024,0.056,0.064,0.056,0.048,0.064,0.064,0.064,0.016,0.064,0.064,0.064,0.064,0.048
rostralmiddlefrontal-lh,0.033854166666666664,0.09895833333333333,0.018229166666666668,0.10416666666666667,0.046875,0.0078125,0.018229166666666668,0.08333333333333333,0.018229166666666668,0.1015625,0.09375,0.09114583333333333,0.052083333333333336,0.005208333333333333,0.018229166666666668,0.10677083333333333,0.018229166666666668,0.06770833333333333,0.015625
