,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.05415300313465678,0.0530648638528287,0.05500479189104519,0.04762416744368833,0.04949272689187009,0.05081721669913783,0.05275714473735432,0.055548861531959225,0.052284443686475,0.05415300313465678,0.054460722250131155,0.0530648638528287,0.05415300313465678,0.04258480349539255,0.05252079421191466,0.05500479189104519,0.055548861531959225,0.05360893349374274,0.05415300313465678
caudalmiddlefrontal-rh,0.053482587064676616,0.053756218905472636,0.053756218905472636,0.04902985074626866,0.05180762852404644,0.050986733001658374,0.052927031509121064,0.054311774461028195,0.05208955223880597,0.052927031509121064,0.054311774461028195,0.052927031509121064,0.054311774461028195,0.044875621890547265,0.05264510779436153,0.055414593698175786,0.054311774461028195,0.052371475953565505,0.053756218905472636
inferiorparietal-rh,0.05406271825932071,0.05297811956083915,0.05491450701570913,0.04755512606843134,0.04941483405824683,0.05073224269882154,0.05266863015369151,0.055999105714190686,0.052203010269505225,0.05460501760856149,0.053829908317227566,0.05297811956083915,0.05406271825932071,0.04252107299515534,0.05243582021159837,0.05545680636494991,0.05545680636494991,0.05406271825932071,0.05406271825932071
parsopercularis-lh,0.052121001390820584,0.05292745300372381,0.05292745300372381,0.07066938848759477,0.054651397550361164,0.04911727758086949,0.05061913948584504,0.05292745300372381,0.05292745300372381,0.051425591098748266,0.05292745300372381,0.052121001390820584,0.052121001390820584,0.04296962627304948,0.05073018080667594,0.05373390461662703,0.05223204271165149,0.051425591098748266,0.051425591098748266
parstriangularis-rh,0.05132919748024315,0.05209961350489646,0.05073253876902596,0.05117842393842556,0.06631461657552835,0.05262088544520485,0.052273370818332596,0.05132919748024315,0.05073253876902596,0.05073253876902596,0.05192585619146033,0.05132919748024315,0.056722109652816335,0.0520472105056062,0.050309637371244914,0.052273370818332596,0.05132919748024315,0.05013588005780878,0.05458461889229253
postcentral-lh,0.052499931282812454,0.051394958907121854,0.05305241747065777,0.045870097028668816,0.05443683974235636,0.05554089588887973,0.05443500728402188,0.05305241747065777,0.05028998653143124,0.052499931282812454,0.051394958907121854,0.051394958907121854,0.05830424305727348,0.0480818742383845,0.052224146303473426,0.05388160486700934,0.052499931282812454,0.052499931282812454,0.05664586826457033
postcentral-rh,0.05335533553355336,0.052266010914816974,0.05335533553355336,0.04627472551176687,0.052017946892728484,0.05337151362195043,0.054460838240686815,0.05389999784292154,0.0506320239867124,0.05335533553355336,0.052810673224185166,0.052266010914816974,0.05665566556655666,0.04518540089303048,0.05254643111369961,0.05418041804180418,0.05389999784292154,0.052810673224185166,0.05665566556655666
precentral-lh,0.05394324842428279,0.052863334817371335,0.054795037180671205,0.0474637667828141,0.049311762043704306,0.05061980050113878,0.052551502864438646,0.055874950787582645,0.052095253163392585,0.05502316203119423,0.05425508037721548,0.052863334817371335,0.05394324842428279,0.04243674134689327,0.052323378013915615,0.055874950787582645,0.055874950787582645,0.05394324842428279,0.05394324842428279
precentral-rh,0.05399165834459261,0.05399165834459261,0.05426873445730286,0.04881924455148916,0.05084101901349155,0.0505639429007813,0.05256515694452603,0.054843447100981026,0.053694021813624704,0.053416945700914445,0.054843447100981026,0.05399165834459261,0.05399165834459261,0.043113238951222856,0.05226752041355813,0.05426873445730286,0.05426873445730286,0.05284223305723629,0.053416945700914445
rostralmiddlefrontal-lh,0.053854321200462844,0.052777894935661984,0.05470610995685126,0.04685755047925724,0.049235040517271414,0.05053610429048472,0.052464319311674,0.05578253622165212,0.05201504429484911,0.05600717373006457,0.054167896824450834,0.052777894935661984,0.053854321200462844,0.042373969188902724,0.05223968180326155,0.05685896248645299,0.05578253622165212,0.053854321200462844,0.053854321200462844
