,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.1937984496124031,0.0,0.02260981912144703,0.0,0.0,0.0,0.006459948320413436,0.0,0.0,0.0,0.03875968992248062,0.040051679586563305,0.0,0.0,0.0,0.05490956072351421,0.0,0.0,0.0,0.0,0.0,0.0,0.02454780361757106,0.00904392764857881,0.00904392764857881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006459948320413437,0.02260981912144703,0.0,0.16795865633074936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.11434108527131782,0.06718346253229975,0.0,0.0,0.0,0.01614987080103359,0.07751937984496124,0.1227390180878553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.022103148024112524,0.0,0.09109176155391828,0.0,0.0,0.029470864032150032,0.07568653717347622,0.0,0.034829202947086406,0.0,0.09176155391828533,0.0,0.0,0.0,0.0,0.036838580040187544,0.0,0.0,0.0,0.0,0.0,0.0,0.07970529135967849,0.0783657066309444,0.0783657066309444,0.0622906898861353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06898861352980576,0.0,0.0,0.048894842598794376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041527126590756865,0.0,0.0,0.0,0.0,0.02679169457468185,0.08573342263898191,0.03951774949765573,0.008037508372404554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.026365348399246705,0.0,0.0,0.09353421217827998,0.09416195856873823,0.0,0.0006277463904582549,0.0,0.040175768989328314,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.015693659761456372,0.09165097300690521,0.05712492153170119,0.09416195856873823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416195856873823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062146892655367235,0.09416195856873823,0.0,0.0,0.0,0.0,0.07909604519774012,0.06340238543628374,0.0,0.0,0.0,0.0,0.05649717514124294,0.0,0.0,0.0,0.0,0.0
FC1,0.0027491408934707906,0.0,0.03814432989690722,0.0,0.0,0.05154639175257732,0.12405498281786942,0.0,0.017869415807560136,0.0,0.04570446735395189,0.0,0.0,0.0,0.0,0.010309278350515464,0.003092783505154639,0.0288659793814433,0.0,0.0,0.0,0.0,0.03230240549828179,0.09690721649484536,0.054982817869415807,0.07388316151202749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11786941580756014,0.0,0.0,0.016494845360824743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04261168384879725,0.09587628865979382,0.0,0.0,0.0,0.0,0.04329896907216495,0.058419243986254296,0.01168384879725086,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.08695652173913043,0.0,0.0,0.005016722408026756,0.08695652173913043,0.0,0.08528428093645485,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.01839464882943144,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.048494983277591976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03511705685618729,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.02508361204013378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
