,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.045002760905577026,0.0,0.0176697956929873,0.013252346769740474,0.010215350635008284,0.001932633903920486,0.012976256212037547,0.005245720596355604,0.02567642186637217,0.005797901711761457,0.008558807288790724,0.038376587520706794,0.024295969077857537,0.028437327443401435,0.02871341800110436,0.030093870789618993,0.0,0.0008282716731087797,0.0,0.002484815019326339,0.0005521811154058532,0.009939260077305357,0.03340695748205411,0.03754831584759801,0.0353395913859746,0.024572059635560462,0.010491441192711209,0.017393705135284373,0.024019878520154612,0.020430701270016567,0.029265599116510214,0.0353395913859746,0.01601325234676974,0.0013804527885146328,0.016565433462175594,0.005245720596355604,0.003865267807840972,0.021811154058531197,0.012424075096631695,0.0011043622308117063,0.014632799558255107,0.004969630038652678,0.00800662617338487,0.030369961347321922,0.020982882385422418,0.02319160684704583,0.0013804527885146328,0.011043622308117063,0.034235229155162895,0.034235229155162895,0.005797901711761457,0.020982882385422418,0.0041413583655438985,0.015461071231363888,0.02650469353948095,0.02567642186637217,0.0,0.017117614577581448,0.0013804527885146328,0.00717835450027609,0.03202650469353948,0.0008282716731087797,0.0013804527885146328,0.0022087244616234127
Fz,0.0006854009595613434,0.045236463331048665,0.03289924605894448,0.006854009595613434,0.011651816312542838,0.018505825908156272,0.0006854009595613434,0.04043865661411926,0.00616860863605209,0.03495544893762851,0.03221384509938314,0.0013708019191226869,0.0006854009595613434,0.006854009595613434,0.00411240575736806,0.026730637422892393,0.023989033584647018,0.006854009595613434,0.03769705277587389,0.01233721727210418,0.039753255654557916,0.00616860863605209,0.0006854009595613434,0.0006854009595613434,0.0,0.0006854009595613434,0.00616860863605209,0.00616860863605209,0.0075394105551747775,0.029472241261137764,0.0205620287868403,0.0006854009595613434,0.011651816312542838,0.033584647018505824,0.0013708019191226869,0.03427004797806717,0.03495544893762851,0.031528444139821796,0.00205620287868403,0.03838245373543523,0.0006854009595613434,0.03427004797806717,0.027416038382453736,0.015764222069910898,0.022618231665524333,0.0075394105551747775,0.02467443454420836,0.006854009595613434,0.003427004797806717,0.01233721727210418,0.01439342015078821,0.0,0.01233721727210418,0.0,0.0006854009595613434,0.01233721727210418,0.006854009595613434,0.00616860863605209,0.031528444139821796,0.011651816312542838,0.017135023989033583,0.01233721727210418,0.02810143934201508,0.033584647018505824
F3,0.017947950942267425,0.015554890816631767,0.041280287167215074,0.006880047861202512,0.006580915345498056,0.00807657792402034,0.0005982650314089142,0.01854621597367634,0.01734968591085851,0.013161830690996112,0.029314986539036792,0.024229733772061023,0.01525575830092731,0.013161830690996112,0.01854621597367634,0.03350284175889919,0.01136703559676937,0.0011965300628178283,0.014059228238109482,0.011965300628178284,0.01764881842656297,0.008375710439724798,0.02123840861501645,0.02273407119353874,0.02572539635058331,0.01764881842656297,0.003290457672749028,0.010768770565360455,0.02153754113072091,0.027221058929105594,0.028417588991923422,0.013161830690996112,0.010768770565360455,0.014059228238109482,0.0071791803769069695,0.014956625785222853,0.01525575830092731,0.031408914148967994,0.0002991325157044571,0.013161830690996112,0.0023930601256356566,0.013161830690996112,0.01734968591085851,0.03260544421178582,0.026323661381992224,0.014059228238109482,0.012563565659587198,0.003888722704157942,0.022135806162129824,0.030212384086150165,0.010768770565360455,0.014059228238109482,0.014358360753813939,0.011965300628178284,0.011666168112473826,0.023930601256356567,0.0017947950942267424,0.00927310798683817,0.012563565659587198,0.006580915345498056,0.03260544421178582,0.005982650314089142,0.01226443314388274,0.014059228238109482
F7,0.018411183088987385,0.002727582679849983,0.009205591544493692,0.06102966246164337,0.04159563586771224,0.01125127855438118,0.013637913399249914,0.02079781793385612,0.013637913399249914,0.016706443914081145,0.011933174224343675,0.014319809069212411,0.013296965564268667,0.04500511421752472,0.018070235254006136,0.009205591544493692,0.03716331401295602,0.008864643709512444,0.025912035458574838,0.011933174224343675,0.02557108762359359,0.02386634844868735,0.014319809069212411,0.016706443914081145,0.013978861234231163,0.015683600409137403,0.016706443914081145,0.018070235254006136,0.007159904534606206,0.007159904534606206,0.007159904534606206,0.015001704739174906,0.028980565973406067,0.0,0.013637913399249914,0.0064780088646437094,0.006137061029662462,0.006137061029662462,0.012274122059324924,0.0010228435049437436,0.013637913399249914,0.026252983293556086,0.0,0.00477326968973747,0.006137061029662462,0.03136720081827481,0.009887487214456188,0.014319809069212411,0.008182748039549948,0.005796113194681214,0.018752130923968633,0.0064780088646437094,0.018752130923968633,0.009887487214456188,0.01909307875894988,0.0037504261847937266,0.03341288782816229,0.00954653937947494,0.013637913399249914,0.03682236617797477,0.005796113194681214,0.0320490964882373,0.010910330719399931,0.0
FT9,0.00914866581956798,0.004066073697585769,0.005844980940279542,0.03176620076238882,0.054637865311308764,0.029987293519695046,0.00914866581956798,0.012198221092757306,0.02185514612452351,0.010419313850063533,0.01855146124523507,0.004320203303684879,0.0055908513341804324,0.02439644218551461,0.010165184243964422,0.0035578144853875477,0.04371029224904702,0.024650571791613722,0.03252858958068615,0.02744599745870394,0.01855146124523507,0.02744599745870394,0.0048284625158831005,0.006861499364675985,0.0063532401524777635,0.00914866581956798,0.029733163913595935,0.013214739517153748,0.0038119440914866584,0.0035578144853875477,0.0,0.009656925031766201,0.04015247776365947,0.002287166454891995,0.011181702668360865,0.005082592121982211,0.006607369758576874,0.0,0.008132147395171537,0.007623888182973317,0.00914866581956798,0.019313850063532402,0.017534942820838628,0.0,0.0071156289707750954,0.017789072426937738,0.028970775095298603,0.0312579415501906,0.0005082592121982211,0.0,0.023125794155019058,0.0027954256670902162,0.019567979669631513,0.011944091486658195,0.009911054637865312,0.008386277001270648,0.03735705209656925,0.026429479034307497,0.028970775095298603,0.0434561626429479,0.0,0.03811944091486658,0.01905972045743329,0.0010165184243964421
FC5,0.0014858841010401188,0.008915304606240713,0.009212481426448737,0.010104011887072809,0.03536404160475483,0.05260029717682021,0.0014858841010401188,0.010104011887072809,0.01634472511144131,0.012778603268945022,0.023179791976225855,0.0005943536404160475,0.0008915304606240713,0.002674591381872214,0.002674591381872214,0.012481426448737,0.03952451708766716,0.04219910846953938,0.032095096582466565,0.03150074294205052,0.011292719167904903,0.02674591381872214,0.0008915304606240713,0.0017830609212481426,0.001188707280832095,0.0014858841010401188,0.04011887072808321,0.006835066864784547,0.005052005943536404,0.00713224368499257,0.005052005943536404,0.00237741456166419,0.026151560178306093,0.008023774145616641,0.003863298662704309,0.011589895988112928,0.013670133729569094,0.005943536404160475,0.00029717682020802375,0.01426448736998514,0.0014858841010401188,0.01723625557206538,0.029717682020802376,0.004457652303120356,0.016047548291233282,0.007429420505200594,0.03476968796433878,0.03952451708766716,0.00029717682020802375,0.003566121842496285,0.025557206537890044,0.00237741456166419,0.02288261515601783,0.006835066864784547,0.0029717682020802376,0.011292719167904903,0.037444279346210994,0.03179791976225854,0.04457652303120357,0.041604754829123326,0.005052005943536404,0.04219910846953938,0.02436849925705795,0.006537890044576523
FC1,0.04527938342967245,0.0,0.004816955684007707,0.03757225433526012,0.03564547206165703,0.00674373795761079,0.04816955684007707,0.0,0.049132947976878616,0.0,0.00674373795761079,0.018304431599229287,0.023121387283236993,0.027938342967244702,0.04527938342967245,0.0009633911368015414,0.0,0.002890173410404624,0.0,0.0009633911368015414,0.0,0.008670520231213872,0.019267822736030827,0.025048169556840076,0.025048169556840076,0.04720616570327553,0.027938342967244702,0.04527938342967245,0.0009633911368015414,0.0009633911368015414,0.0009633911368015414,0.046242774566473986,0.0394990366088632,0.0,0.04816955684007707,0.0,0.0009633911368015414,0.0009633911368015414,0.04238921001926782,0.0,0.04816955684007707,0.0,0.0009633911368015414,0.0009633911368015414,0.005780346820809248,0.038535645472061654,0.004816955684007707,0.02601156069364162,0.0038535645472061657,0.0009633911368015414,0.005780346820809248,0.0,0.0009633911368015414,0.028901734104046242,0.04816955684007707,0.0009633911368015414,0.0,0.023121387283236993,0.0,0.025048169556840076,0.0009633911368015414,0.002890173410404624,0.0,0.0
C3,0.009248554913294798,0.022350674373795763,0.022736030828516378,0.022736030828516378,0.018111753371868978,0.011946050096339113,0.0003853564547206166,0.047398843930635835,0.0,0.03352601156069364,0.02003853564547206,0.01464354527938343,0.009633911368015413,0.028901734104046242,0.011175337186897881,0.02003853564547206,0.02466281310211946,0.004624277456647399,0.029672447013487476,0.009248554913294798,0.037379576107899805,0.006551059730250481,0.011560693641618497,0.005780346820809248,0.012716763005780347,0.0011560693641618498,0.0038535645472061657,0.0003853564547206166,0.018497109826589597,0.03044315992292871,0.02581888246628131,0.003468208092485549,0.013102119460500963,0.018111753371868978,0.0003853564547206166,0.023506743737957612,0.022736030828516378,0.030828516377649325,0.0011560693641618498,0.018882466281310212,0.0003853564547206166,0.03314065510597303,0.01233140655105973,0.016570327552986513,0.01348747591522158,0.026204238921001925,0.017341040462427744,0.003468208092485549,0.01579961464354528,0.019653179190751446,0.020809248554913295,0.006165703275529865,0.010789980732177264,0.0,0.011175337186897881,0.01348747591522158,0.011560693641618497,0.0,0.023121387283236993,0.017726396917148363,0.022736030828516378,0.017726396917148363,0.020809248554913295,0.018111753371868978
T7,0.023578363384188627,0.002219140083217753,0.014979195561719833,0.010818307905686546,0.02330097087378641,0.015533980582524271,0.012760055478502081,0.0,0.046324549237170595,0.0,0.020527045769764215,0.022191400832177532,0.011373092926490984,0.010818307905686546,0.021359223300970873,0.020249653259361997,0.010818307905686546,0.01331484049930652,0.011650485436893204,0.01969486823855756,0.0,0.018030513176144243,0.02246879334257975,0.024410540915395285,0.02302357836338419,0.028016643550624134,0.024687933425797504,0.024965325936199722,0.009986130374479889,0.004715672676837725,0.010263522884882107,0.021081830790568655,0.027184466019417475,0.005547850208044383,0.02163661581137309,0.00332871012482663,0.008599167822468794,0.012760055478502081,0.011927877947295423,0.004715672676837725,0.014424410540915394,0.0005547850208044383,0.023578363384188627,0.020527045769764215,0.021081830790568655,0.012760055478502081,0.0130374479889043,0.02524271844660194,0.011650485436893204,0.021359223300970873,0.013592233009708738,0.009153952843273232,0.01331484049930652,0.024133148404993063,0.018307905686546465,0.024133148404993063,0.011095700416088766,0.027184466019417475,0.012760055478502081,0.01636615811373093,0.02163661581137309,0.012205270457697643,0.00943134535367545,0.0036061026352288486
TP9,0.010679196924391286,0.021358393848782572,0.016659547202050404,0.02093122597180692,0.01751388295600171,0.01794105083297736,0.00042716787697565144,0.03545493378897907,0.0,0.04784280222127296,0.0149508756941478,0.010679196924391286,0.0,0.02050405809483127,0.0008543357539513029,0.025630072618539085,0.027765912003417343,0.011533532678342588,0.037590773173857325,0.0034173430158052115,0.03502776591200342,0.00897052541648868,0.006407518154634771,0.010252029047415635,0.010252029047415635,0.00042716787697565144,0.011106364801366937,0.0021358393848782574,0.014096539940196497,0.027765912003417343,0.023067065356685176,0.006407518154634771,0.009824861170439982,0.02093122597180692,0.00042716787697565144,0.024775736864587783,0.025630072618539085,0.02947458351131995,0.0012815036309269544,0.023067065356685176,0.00042716787697565144,0.048697137975224264,0.015378043571123452,0.01836821870995301,0.01708671507902606,0.012815036309269542,0.015378043571123452,0.007689021785561726,0.01196070055531824,0.01751388295600171,0.012387868432293891,0.011106364801366937,0.010679196924391286,0.0021358393848782574,0.003844510892780863,0.004271678769756515,0.02007689021785562,0.0021358393848782574,0.031183255019222554,0.018795386586928663,0.02007689021785562,0.01836821870995301,0.024775736864587783,0.021785561725758223
