,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.08571428571428572,0.11428571428571428,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.11428571428571428,0.08571428571428572,0.08571428571428572
caudalmiddlefrontal-rh,0.06557377049180328,0.11475409836065574,0.0,0.06557377049180328,0.09836065573770492,0.0,0.0,0.11475409836065574,0.13114754098360656,0.0,0.0,0.0,0.03278688524590164,0.0,0.08196721311475409,0.0,0.09836065573770492,0.09836065573770492,0.09836065573770492
inferiorparietal-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsopercularis-lh,0.07142857142857142,0.10714285714285714,0.0,0.10714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142
parstriangularis-rh,0.07142857142857142,0.09523809523809523,0.0,0.09523809523809523,0.21428571428571427,0.0,0.0,0.11904761904761904,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.07142857142857142,0.07142857142857142
postcentral-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precentral-lh,0.08333333333333333,0.10416666666666667,0.0,0.08333333333333333,0.14583333333333334,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.10416666666666667,0.08333333333333333,0.08333333333333333
precentral-rh,0.06451612903225806,0.11290322580645161,0.0,0.06451612903225806,0.11290322580645161,0.0,0.0,0.11290322580645161,0.12903225806451613,0.0,0.0,0.0,0.03225806451612903,0.0,0.08064516129032258,0.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorfrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-rh,0.07692307692307693,0.11538461538461539,0.0,0.057692307692307696,0.07692307692307693,0.0,0.0,0.09615384615384616,0.11538461538461539,0.0,0.0,0.0,0.038461538461538464,0.0,0.09615384615384616,0.0,0.09615384615384616,0.11538461538461539,0.11538461538461539
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-rh,0.0851063829787234,0.10638297872340426,0.0,0.0851063829787234,0.1276595744680851,0.0,0.0,0.1276595744680851,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.10638297872340426,0.0851063829787234,0.0851063829787234
supramarginal-lh,0.0625,0.125,0.0,0.0625,0.078125,0.0,0.0,0.09375,0.125,0.0,0.0,0.0,0.03125,0.0,0.09375,0.0,0.09375,0.125,0.109375
supramarginal-rh,0.06896551724137931,0.1206896551724138,0.0,0.06896551724137931,0.08620689655172414,0.0,0.0,0.10344827586206896,0.1206896551724138,0.0,0.0,0.0,0.034482758620689655,0.0,0.08620689655172414,0.0,0.10344827586206896,0.10344827586206896,0.10344827586206896
