,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,-0.038056624134666796,0.035780059507974776,-0.001978267683186403,-0.05639076580989329,0.04135942912036574,-0.037397677372577,0.0317549916823099,0.01617482087822327,-0.09435525321430031,-0.04511261264791463,0.14207336424428818,-0.05188587212793369,0.09253860631861038,-0.04793872508762426,0.045467959048685495,-0.08256084656251277,0.0,0.061970611221256564,0.037182366732753935,0.029499536283194225,0.0010325069796177633,0.06770863077878031,0.024788244488502625,-0.1298401490890749,0.1050161906655166,-0.12973847316966294,0.012707499694208584,0.08655020045312195,-0.03538321995536262,-0.03300530434514213,0.14071278807083648,0.030776650353991054,0.12360737403189356,-0.10228597492843332,0.05577355009913091,0.05724438978320213,0.032247490038062265,0.00841102336940005,0.014273998181419988,0.02039033014376829,-0.06956700872579769,-0.09435525321430031,-0.0983206140713668,-0.022389382118647532,0.07575211104692421,0.004218793438939257,-0.08136141537758523,0.10111631599383407,-0.10614965986608786,-0.11085790538687139,0.07895083210621714,-0.10614965986608786
S1_D3 hbo,0.024571565066683735,-0.21121665002983506,0.18534390110391044,0.07122596224780786,0.0789682459382439,-0.12240048386728261,-0.072448998511218,0.07122596224780786,0.0,0.0553979706371839,0.10517924543019953,-0.0025147276390710955,-0.012698765036468348,-0.06319005827435882,0.030597589885646818,0.0,-0.08542677715079759,0.0025909202441567595,-0.06834142172063808,0.07122596224780786,0.02374198741593596,0.012055900152017324,0.0,-0.01708535543015952,0.09878575668540186,0.0,0.09751315434484918,0.019661037153299147,-0.05125606629047856,-0.006286819097677745,0.1577231525822479,-0.15376819887143567,0.10005835902595454,-0.01708535543015952,0.018373196291729333,-0.10472035037826215,-0.24682758696189525,0.08677557209643594,-0.04962888958284432,0.027559794437593998,0.0,0.0,0.0,0.0,-0.07972099914279066,0.04481277359894197,0.0,-0.060258932473425925,0.0,0.039569979026559926,0.0019184480283831735,0.0
S2_D1 hbo,0.034118306576599235,0.19469498308284744,-0.04327636676016421,0.08125035693453639,0.0652112884047323,0.05130701214790285,0.09987848754879594,0.05687524985417547,-0.01987101120681596,-0.007478870436944229,0.06948714910793238,-0.00032803381897475925,0.11081454433979915,-0.0715809681469043,0.07550338046843504,0.0315997544069366,0.008125035693453637,0.034085515592049406,0.016250071386907275,-0.02396593262097836,-0.031616986720178285,-0.010862819459726055,0.0,-0.15167728698152327,0.034461899066882136,-0.03945610858331803,0.0023381397679003266,0.008917722102571066,-0.02756418529467677,-0.16933289216223218,-0.009859130193505452,-0.11205799830968464,0.08283572975277124,-0.13852525078708394,0.0,0.0267531663077132,0.08236830325609061,-0.009948499573419806,-0.0704269300469869,0.008917722102571066,0.0,-0.05289405860807127,-0.10550220338582864,0.008917722102571066,0.0267531663077132,-0.039620962313772164,0.0,0.008917722102571066,-0.013152036194439344,-0.09118109730743913,0.059253309081527754,-0.03945610858331803
S2_D2 hbo,-0.044945213736743685,0.06064896311464209,0.0693131007024481,-0.5710039148736802,0.07797723829025412,0.0693131007024481,0.10833728503099968,0.06045737002974224,-0.389349730813551,0.007776155266174414,0.0693131007024481,0.10833728503099968,0.09346989109556826,0.030985305610628282,0.0668522194622675,0.014715955089881846,0.030985305610628282,0.046477958415942426,0.015492652805314141,0.07797723829025412,0.0,0.04332068793903006,0.0,0.006051817502075832,0.07614161591995623,-0.04057757975941616,0.03634073387597236,0.0774632640265707,0.025367153893535322,0.07797723829025412,0.0693131007024481,0.0774632640265707,0.05198482552683607,0.020334106806974808,0.015492652805314141,0.0,0.10029840631307638,0.0177619409605949,0.1089625439008824,-0.02735421510938278,-0.09876566163387765,-0.5731958774366122,-0.0007766977154322917,0.05131941241760309,0.0,0.0693131007024481,-0.056070232564730295,-0.12187553540180457,-0.029341276325230238,-0.016380635126945736,0.08113450876716648,-0.044833929130544375
S2_D4 hbo,0.04649242799511968,0.014904416607291707,-0.04070555492950648,0.09668011221777767,-0.07220301695265886,0.0819712240373276,0.06481018234214991,0.07849013961742801,0.0,0.0352267172517139,0.12170886930938105,-0.03077417086443728,-0.004201558128004638,-0.24875784955525082,0.05067093799559889,0.0,-0.044670627981660986,0.0019870595851551485,-0.03943549022846377,0.04065646485761021,0.00878910111070706,0.019795272771862753,0.016966431842478594,-0.0877503854892993,0.07075393611356093,-0.0292501284964331,0.02559027338148921,0.03817447164557684,-0.031094731194406353,-0.05072748835925127,0.03156147855743537,-0.16100746406595157,0.09969817942052626,-0.07312532124108274,0.02544964776371789,-0.006992921232372939,0.16362818401928875,0.008382885579093875,-0.10991190525236008,0.03393286368495719,0.008483215921239297,0.0,-0.0585002569928662,0.008483215921239297,0.009476745713816872,-0.11916658970894276,0.008483215921239297,-0.0032480781680420743,0.0,-0.04380487993576399,0.07333087608840508,-0.0292501284964331
S3_D1 hbo,-0.015865571992540885,-0.05626557454048173,-0.0008931303315343172,0.068986152114229,0.039317937169174796,-0.31517887169361425,0.009191608230516296,0.06006394310745538,0.0,0.0551889216913832,0.009336708081080211,0.02510101541972506,0.07165679495041571,-0.08291038817508736,0.04154560221390892,0.0,0.051969567926052514,0.08324329021783633,0.0369614413310751,0.0683273654363814,0.0137972304228458,-0.021132466850181542,0.03412514991250528,-0.032939333892379616,0.08158762256709483,0.0,0.04110083073529903,0.019500085664288732,0.0,-0.0009164167963829922,-0.20568446643809377,-0.04628184888676123,0.10715848961743572,-0.016469666946189808,0.01462506424821655,-0.031753517872253945,-0.1036125589167001,0.04810137143272854,-0.010618093011672712,0.019500085664288732,0.0,0.0,0.0,0.0,-0.031753517872253945,0.009278397514371286,0.0,-0.029908915174280695,0.0,0.0015537421647348864,-0.009034078442634529,0.0
S3_D3 hbo,-0.07716888775868046,-0.12534428682740872,0.0904216116479263,0.05950651314036714,0.03178199880304837,-0.1508777148215361,-0.19473465192145512,0.08799689803949028,0.0,0.038896447468661034,0.10249629433509758,0.02778317676332931,0.08138433901863454,-0.12973847316966294,-0.07453962248830569,0.0,-0.023989673214647168,0.03271733859554989,-0.016357039785941326,0.10699048797223905,0.005556635352665862,-0.03742662779473007,0.02374198741593596,0.0,0.08244026268682442,0.0,0.07145409390451554,-0.007293694967311542,0.0,0.08799689803949028,0.08799689803949028,-0.03538321995536262,0.12133671015548546,0.0,0.026319875136732847,-0.2370861756968028,-0.03756523215422558,0.14346222183246404,0.05276685219648855,0.06021372127616098,0.014245192449561574,0.0,0.0,0.014245192449561574,-0.20374636358080764,0.05521763799426258,0.014245192449561574,-0.14235990500383447,0.0,0.02778317676332931,-0.05538608478616216,0.0
S3_D4 hbo,0.013391159229025989,0.06983832271135353,0.05634656602480691,-0.05503031847742209,0.0968218360844468,0.07658420105462686,0.1391990999339536,0.16753746220441051,-0.0491851383003219,-0.03185839598027058,0.06454789072296453,0.018782188674935637,0.06983832271135353,0.04382510690818315,0.12667764081732982,-0.04628184888676123,0.0,0.11225418791083917,0.06071290508945985,0.0838152281828616,0.05634656602480691,0.04382510690818315,0.0,-0.04628184888676123,0.14355783570239858,-0.13209966831701037,0.07171692174365749,0.1623400243773342,0.0,0.05634656602480691,0.05154128282137934,0.0,0.13535651100424095,-0.023140924443380614,0.11225418791083917,0.053967026746186524,0.08284493061293874,0.005682586612037743,0.07658420105462686,0.04860699535404776,-0.04824583878416992,-0.0491851383003219,-0.032790092200214595,-0.04243925995704858,0.08527067453774592,0.06983832271135353,-0.05789500654100391,0.08527067453774592,-0.09256369777352245,-0.031373247195309144,0.09730698486940824,-0.07232606274370251
S3_D5 hbo,-0.11870993707967976,0.0,0.0,-0.7247170774663507,0.0,0.0,0.0,-0.017616771484427363,-0.21718831512513712,0.08297353431413347,0.0,0.030726985188885707,0.0,0.08964080475285521,0.0,0.10935657807521411,0.14235935826438395,0.0,0.0,0.0,-0.03561298112390393,0.0,0.008347639411082505,0.07814924919993642,0.0,-0.006217782162740374,-0.01187099370796798,0.028125123554262596,0.1260827123077897,-0.01187099370796798,0.0,0.17312553816379123,0.0,0.10671552173006942,0.1265630559941817,0.1265630559941817,0.0,-0.03561298112390393,0.008347639411082505,-0.01187099370796798,0.015340976484143237,-0.5858810734988523,0.14493036448859647,0.12081727821772227,0.0,0.0,0.04301661176242446,0.0,0.0838725108660962,0.06627825549196846,0.0,0.06583710651609807
S4_D2 hbo,-0.0674538707892012,0.042713388575398796,0.009707588312590634,-0.004949061172033795,0.03902450501661435,0.05125606629047856,0.042713388575398796,0.0037190313485750905,0.07907403488611098,0.0845271671034445,0.06834142172063808,0.008060313078429306,0.05979874400555831,0.028751344167551048,0.01708535543015952,-0.029935549350527946,0.1885466891739343,0.0,0.0,0.019153493809798396,-0.03561298112390393,0.02562803314523928,0.014451644514047972,-0.008975599976473526,-0.012383506134409092,-0.08392059357285651,0.027153511308646374,0.0,-0.08410268622319207,0.006379272319702407,-0.014755534235137775,-0.12116155534545578,0.03417071086031904,-0.0323304897714975,0.0,0.0,0.06834142172063808,-0.07230766494549654,0.040830960580870344,-0.01187099370796798,-0.11019378941961579,0.013476062036422433,0.01861083359356664,-0.05290334152463991,0.0,0.009707588312590634,-0.07496790591662388,0.0,-0.14025837131044774,0.002561356220613965,0.03417071086031904,-0.07987114244817584
