,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.11917098445595854,0.09326424870466321,0.0,0.0,0.0,0.08290155440414508,0.06217616580310881,0.11917098445595854,0.0,0.046632124352331605,0.07253886010362694,0.05181347150259067,0.10880829015544041,0.12435233160621761,0.09844559585492228,0.02072538860103627,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.08444444444444445,0.2,0.0,0.0,0.0,0.10222222222222223,0.05333333333333334,0.08444444444444445,0.0,0.04,0.06222222222222222,0.044444444444444446,0.08444444444444445,0.1111111111111111,0.08444444444444445,0.017777777777777778,0.0,0.0,0.03111111111111111
inferiorparietal-rh,0.007518796992481203,0.007518796992481203,0.22556390977443608,0.0,0.0,0.007518796992481203,0.09022556390977443,0.007518796992481203,0.0,0.007518796992481203,0.007518796992481203,0.0,0.007518796992481203,0.16541353383458646,0.09774436090225563,0.007518796992481203,0.18045112781954886,0.0,0.18045112781954886
parsopercularis-lh,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45714285714285713,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.3617021276595745,0.0,0.0,0.2978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.08374384236453201,0.11822660098522167,0.0,0.0,0.0,0.14285714285714285,0.059113300492610835,0.08374384236453201,0.0,0.04433497536945813,0.06896551724137931,0.04433497536945813,0.08374384236453201,0.11822660098522167,0.08374384236453201,0.019704433497536946,0.0,0.0,0.04926108374384237
postcentral-rh,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.0,0.0,0.06349206349206349,0.1164021164021164,0.06349206349206349,0.0,0.031746031746031744,0.0582010582010582,0.037037037037037035,0.06349206349206349,0.12698412698412698,0.1164021164021164,0.005291005291005291,0.06349206349206349,0.0,0.06349206349206349
precentral-lh,0.11917098445595854,0.09326424870466321,0.0,0.0,0.0,0.08290155440414508,0.06217616580310881,0.11917098445595854,0.0,0.046632124352331605,0.07253886010362694,0.05181347150259067,0.10880829015544041,0.12435233160621761,0.09844559585492228,0.02072538860103627,0.0,0.0,0.0
precentral-rh,0.0,0.0,0.0,0.0,0.30612244897959184,0.0,0.0,0.0,0.3877551020408163,0.0,0.0,0.30612244897959184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.07936507936507936,0.07936507936507936,0.0,0.0,0.0,0.07936507936507936,0.06349206349206349,0.07936507936507936,0.0,0.16666666666666666,0.07936507936507936,0.015873015873015872,0.07936507936507936,0.09523809523809523,0.07936507936507936,0.031746031746031744,0.0,0.07142857142857142,0.0
