,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.0,0.0,0.045454545454545456,0.05303030303030303,0.0,0.0,0.05303030303030303,0.0,0.03787878787878788,0.05303030303030303,0.05303030303030303,0.022727272727272728,0.0,0.0,0.0,0.05303030303030303,0.045454545454545456,0.0,0.05303030303030303,0.0,0.007575757575757576,0.0,0.045454545454545456,0.05303030303030303,0.05303030303030303,0.05303030303030303,0.0,0.0,0.045454545454545456,0.030303030303030304,0.0,0.05303030303030303,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.05303030303030303,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.05303030303030303,0.0,0.0,0.0
S2_D4 hbo,0.0,0.0,0.0,0.02564102564102564,0.0641025641025641,0.021367521367521368,0.0,0.05982905982905983,0.0,0.021367521367521368,0.05128205128205128,0.04700854700854701,0.01282051282051282,0.0,0.03418803418803419,0.02564102564102564,0.06837606837606838,0.0641025641025641,0.0,0.05982905982905983,0.0,0.004273504273504274,0.0,0.02564102564102564,0.03418803418803419,0.0641025641025641,0.06837606837606838,0.0,0.0,0.02564102564102564,0.017094017094017096,0.0,0.029914529914529916,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.03418803418803419,0.0,0.05982905982905983,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0
S3_D1 hbo,0.0,0.0,0.0,0.0,0.0784313725490196,0.0784313725490196,0.0,0.058823529411764705,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0
S3_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.0,0.0,0.0,0.026200873362445413,0.06550218340611354,0.021834061135371178,0.0,0.0611353711790393,0.0,0.021834061135371178,0.05240174672489083,0.048034934497816595,0.013100436681222707,0.0,0.03056768558951965,0.021834061135371178,0.06550218340611354,0.0611353711790393,0.0,0.0611353711790393,0.0,0.004366812227074236,0.0,0.026200873362445413,0.034934497816593885,0.06550218340611354,0.06550218340611354,0.0,0.0,0.026200873362445413,0.017467248908296942,0.0,0.03056768558951965,0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.013100436681222707,0.034934497816593885,0.0,0.0611353711790393,0.0,0.0,0.0,0.0,0.0,0.06550218340611354,0.0,0.0,0.0
S3_D5 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_D2 hbo,0.0,0.0,0.0,0.05084745762711865,0.05084745762711865,0.0,0.0,0.05084745762711865,0.0,0.0423728813559322,0.05084745762711865,0.05084745762711865,0.025423728813559324,0.0,0.0,0.0,0.05084745762711865,0.0423728813559322,0.0,0.05084745762711865,0.0,0.00847457627118644,0.0,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.0,0.0,0.05084745762711865,0.03389830508474576,0.0,0.05084745762711865,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.025423728813559324,0.05084745762711865,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0
S4_D4 hbo,0.0,0.0,0.0,0.028846153846153848,0.0625,0.014423076923076924,0.0,0.0625,0.0,0.02403846153846154,0.057692307692307696,0.052884615384615384,0.014423076923076924,0.0,0.02403846153846154,0.014423076923076924,0.0625,0.057692307692307696,0.0,0.0625,0.0,0.004807692307692308,0.0,0.028846153846153848,0.038461538461538464,0.0625,0.0625,0.0,0.0,0.028846153846153848,0.019230769230769232,0.0,0.03365384615384615,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.038461538461538464,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
S4_D6 hbo,0.0,0.0,0.0,0.030612244897959183,0.061224489795918366,0.01020408163265306,0.0,0.061224489795918366,0.0,0.025510204081632654,0.061224489795918366,0.05612244897959184,0.015306122448979591,0.0,0.02040816326530612,0.01020408163265306,0.061224489795918366,0.05612244897959184,0.0,0.061224489795918366,0.0,0.00510204081632653,0.0,0.030612244897959183,0.04081632653061224,0.061224489795918366,0.061224489795918366,0.0,0.0,0.030612244897959183,0.02040816326530612,0.0,0.03571428571428571,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.015306122448979591,0.04081632653061224,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0
S4_D11 hbo,0.0,0.0,0.0,0.04819277108433735,0.04819277108433735,0.0,0.0,0.04819277108433735,0.0,0.04819277108433735,0.04819277108433735,0.04819277108433735,0.03614457831325301,0.0,0.0,0.0,0.04819277108433735,0.03614457831325301,0.0,0.04819277108433735,0.0,0.012048192771084338,0.0,0.04819277108433735,0.04819277108433735,0.04819277108433735,0.04819277108433735,0.0,0.0,0.04819277108433735,0.04819277108433735,0.0,0.04819277108433735,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.04819277108433735,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.04819277108433735,0.0,0.0,0.0
