,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.04063604240282685,0.014134275618374558,0.04063604240282685,0.038869257950530034,0.04151943462897526,0.04063604240282685,0.014134275618374558,0.04063604240282685,0.014134275618374558,0.0353356890459364,0.04151943462897526,0.03356890459363958,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.018551236749116608,0.03975265017667844,0.014134275618374558,0.014134275618374558,0.03445229681978799,0.00530035335689046,0.0,0.0,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.01678445229681979,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.00441696113074205,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.03445229681978799,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.014134275618374558,0.026501766784452298
S1_D3 hbo,0.012668250197941409,0.02454473475851148,0.0166270783847981,0.01979414093428345,0.015043547110055424,0.014251781472684086,0.02454473475851148,0.0166270783847981,0.026128266033254157,0.010292953285827395,0.014251781472684086,0.0166270783847981,0.0166270783847981,0.026128266033254157,0.022961203483768806,0.026128266033254157,0.0166270783847981,0.02454473475851148,0.025336500395882817,0.022169437846397466,0.0055423594615993665,0.0,0.0,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.02454473475851148,0.0166270783847981,0.021377672209026127,0.021377672209026127,0.023752969121140142,0.022961203483768806,0.0166270783847981,0.021377672209026127,0.0166270783847981,0.0166270783847981,0.023752969121140142,0.010292953285827395,0.025336500395882817,0.0166270783847981,0.022961203483768806,0.0166270783847981,0.023752969121140142,0.022169437846397466,0.023752969121140142,0.026128266033254157,0.023752969121140142,0.025336500395882817,0.026128266033254157,0.022961203483768806,0.02454473475851148
S2_D1 hbo,0.03374012921751615,0.016511127063890883,0.0366116295764537,0.0366116295764537,0.03589375448671931,0.03445800430725054,0.015793251974156496,0.03589375448671931,0.016511127063890883,0.029432878679109833,0.035175879396984924,0.03015075376884422,0.014357501794687724,0.016511127063890883,0.016511127063890883,0.020100502512562814,0.035175879396984924,0.016511127063890883,0.015793251974156496,0.033022254127781765,0.005025125628140704,0.0,0.0,0.014357501794687724,0.014357501794687724,0.014357501794687724,0.016511127063890883,0.016511127063890883,0.014357501794687724,0.016511127063890883,0.015793251974156496,0.016511127063890883,0.016511127063890883,0.014357501794687724,0.016511127063890883,0.014357501794687724,0.014357501794687724,0.016511127063890883,0.00574300071787509,0.016511127063890883,0.014357501794687724,0.016511127063890883,0.030868628858578606,0.016511127063890883,0.016511127063890883,0.01507537688442211,0.016511127063890883,0.016511127063890883,0.016511127063890883,0.016511127063890883,0.014357501794687724,0.025843503230437905
S2_D2 hbo,0.025806451612903226,0.015249266862170088,0.02932551319648094,0.03401759530791789,0.029912023460410556,0.02756598240469208,0.01407624633431085,0.031085043988269796,0.01818181818181818,0.026392961876832845,0.02932551319648094,0.02873900293255132,0.016422287390029325,0.017008797653958945,0.0187683284457478,0.020527859237536656,0.03225806451612903,0.01935483870967742,0.0187683284457478,0.03225806451612903,0.007038123167155425,0.0,0.0,0.016422287390029325,0.016422287390029325,0.016422287390029325,0.017595307917888565,0.01935483870967742,0.016422287390029325,0.015249266862170088,0.01466275659824047,0.017008797653958945,0.01935483870967742,0.016422287390029325,0.017595307917888565,0.016422287390029325,0.016422287390029325,0.017008797653958945,0.005865102639296188,0.01935483870967742,0.016422287390029325,0.01935483870967742,0.029912023460410556,0.017595307917888565,0.0187683284457478,0.01466275659824047,0.017595307917888565,0.01935483870967742,0.01935483870967742,0.0187683284457478,0.012903225806451613,0.025219941348973606
S2_D4 hbo,0.03335649756775538,0.014593467685892982,0.035441278665740095,0.035441278665740095,0.037526059763724806,0.03474635163307853,0.01320361362056984,0.03683113273106324,0.015983321751216122,0.03127171646977067,0.03683113273106324,0.03127171646977067,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.019457956914523976,0.03683113273106324,0.015983321751216122,0.015983321751216122,0.031966643502432245,0.006949270326615705,0.0,0.0,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.018068102849200834,0.015983321751216122,0.015983321751216122,0.014593467685892982,0.01389854065323141,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.0034746351633078527,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.031966643502432245,0.015983321751216122,0.015983321751216122,0.01389854065323141,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.015983321751216122,0.0118137595552467,0.02501737317581654
S3_D1 hbo,0.03706624605678233,0.01498422712933754,0.038643533123028394,0.03706624605678233,0.03943217665615142,0.03785488958990536,0.01498422712933754,0.038643533123028394,0.01498422712933754,0.032334384858044164,0.038643533123028394,0.032334384858044164,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01892744479495268,0.03785488958990536,0.01498422712933754,0.01498422712933754,0.033123028391167195,0.005520504731861199,0.0,0.0,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.017350157728706624,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.003943217665615142,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.033123028391167195,0.01498422712933754,0.01498422712933754,0.014195583596214511,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.01498422712933754,0.013406940063091483,0.026025236593059938
S3_D3 hbo,0.012479201331114808,0.024958402662229616,0.016638935108153077,0.01913477537437604,0.014975041597337771,0.014143094841930116,0.029950083194675542,0.015806988352745424,0.025790349417637273,0.009983361064891847,0.014143094841930116,0.015806988352745424,0.015806988352745424,0.025790349417637273,0.022462562396006656,0.026622296173044926,0.015806988352745424,0.024126455906821963,0.024958402662229616,0.021630615640599003,0.004991680532445923,0.0,0.0,0.015806988352745424,0.015806988352745424,0.015806988352745424,0.015806988352745424,0.024126455906821963,0.015806988352745424,0.021630615640599003,0.021630615640599003,0.024126455906821963,0.022462562396006656,0.015806988352745424,0.020798668885191347,0.015806988352745424,0.015806988352745424,0.02329450915141431,0.010815307820299502,0.024958402662229616,0.015806988352745424,0.022462562396006656,0.015806988352745424,0.024126455906821963,0.021630615640599003,0.029118136439267885,0.026622296173044926,0.02329450915141431,0.024958402662229616,0.029950083194675542,0.024126455906821963,0.025790349417637273
S3_D4 hbo,0.030976430976430977,0.014141414141414142,0.032996632996632996,0.035016835016835016,0.035016835016835016,0.03232323232323232,0.012794612794612794,0.03569023569023569,0.016835016835016835,0.028956228956228958,0.03434343434343434,0.03164983164983165,0.016835016835016835,0.01616161616161616,0.016835016835016835,0.019528619528619527,0.03569023569023569,0.016835016835016835,0.016835016835016835,0.03232323232323232,0.006734006734006734,0.0,0.0,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.018855218855218854,0.016835016835016835,0.016835016835016835,0.014141414141414142,0.013468013468013467,0.015488215488215488,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.01616161616161616,0.003367003367003367,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.03232323232323232,0.01616161616161616,0.016835016835016835,0.013468013468013467,0.01616161616161616,0.016835016835016835,0.016835016835016835,0.016835016835016835,0.011447811447811448,0.024242424242424242
S3_D5 hbo,0.011111111111111112,0.022222222222222223,0.015277777777777777,0.02013888888888889,0.015277777777777777,0.013194444444444444,0.021527777777777778,0.016666666666666666,0.025694444444444443,0.011111111111111112,0.014583333333333334,0.017361111111111112,0.018055555555555554,0.025,0.02361111111111111,0.025694444444444443,0.017361111111111112,0.025,0.025694444444444443,0.022222222222222223,0.006944444444444444,0.0,0.0,0.018055555555555554,0.018055555555555554,0.018055555555555554,0.017361111111111112,0.025,0.018055555555555554,0.019444444444444445,0.019444444444444445,0.022916666666666665,0.02361111111111111,0.018055555555555554,0.021527777777777778,0.018055555555555554,0.018055555555555554,0.022916666666666665,0.009027777777777777,0.025694444444444443,0.018055555555555554,0.02361111111111111,0.018055555555555554,0.022916666666666665,0.022222222222222223,0.022222222222222223,0.025694444444444443,0.024305555555555556,0.025694444444444443,0.025694444444444443,0.02013888888888889,0.024305555555555556
S4_D2 hbo,0.03494837172359015,0.011914217633042097,0.035742652899126294,0.03733121525019857,0.03812549642573471,0.035742652899126294,0.011119936457505957,0.03733121525019857,0.014297061159650517,0.05003971405877681,0.03812549642573471,0.03256552819698173,0.015091342335186657,0.013502779984114376,0.014297061159650517,0.018268467037331215,0.03891977760127085,0.015091342335186657,0.015091342335186657,0.03335980937251787,0.011119936457505957,0.0,0.0,0.015091342335186657,0.015091342335186657,0.015091342335186657,0.017474185861795076,0.015091342335186657,0.024622716441620333,0.011914217633042097,0.011914217633042097,0.014297061159650517,0.015091342335186657,0.015091342335186657,0.013502779984114376,0.015091342335186657,0.015091342335186657,0.013502779984114376,0.003177124702144559,0.015091342335186657,0.015091342335186657,0.015091342335186657,0.03335980937251787,0.014297061159650517,0.015091342335186657,0.012708498808578236,0.014297061159650517,0.015091342335186657,0.015091342335186657,0.015091342335186657,0.010325655281969817,0.026211278792692614
