,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.09072521273010861,0.031868458809678604,0.04522616484547453,0.005696103851754907,-0.056281449585479405,0.04502682116670273,0.09030396872690571,0.01656707063691784,0.03963704703766277,-0.07874384133457366,-0.006241129479735968,-0.0013375242066969023,-0.03504715793095323,-0.015378250529786726,0.004260063630589787,-0.008389645463831613,0.024214243069252156,-0.15691361694010936,-0.03519253903388068
caudalmiddlefrontal-rh,0.008628891240169374,-0.26230968067600746,-0.11161120631689514,0.054275657903098386,0.0201544788304665,-0.05407846495907559,0.17777283891488402,-0.12645960834325431,0.017066256000224645,-0.08267597501350608,-0.07010889135678973,0.10171982691786725,-0.10243266807758178,0.1227786733881624,0.10655672051033416,0.12350284747569434,-0.10005728640705451,0.08703461905207863,0.09024297091718494
inferiorparietal-rh,0.10122530378897221,-0.35129493272328277,-1.0,0.24391525841572528,0.280203377154981,0.0674835358593148,0.23475677854910398,0.0843544198241435,0.0337417679296574,0.0,-0.11182985942400739,0.0337417679296574,0.050612651894486105,0.1349670717186296,0.0,-0.07808809149434999,-0.15473010722028607,0.15073768064227383,0.280203377154981
parsopercularis-lh,0.1256434843504806,-0.07064569541318232,-0.01357686003054644,-0.2503665036141445,-0.016913545970257005,-0.04820935892202507,0.07225650931511157,-0.04855453332958135,0.1156334265313489,-0.020365290045819655,-0.18466830804260198,0.09630365970819804,0.09285191563263538,0.11873999619935528,0.10631371752732974,0.011045581041800498,-0.15993080883440294,-0.1347330770827956,0.20917569097909686
parstriangularis-rh,-0.012916546569928848,0.05118779566601435,0.26048900461149527,0.021931551912562356,-0.3085136978949529,0.15128837385733132,-0.04103610151475782,0.06825039422135247,0.0671128876509966,-0.09822953934661943,0.0,-0.1595126036043256,0.034125197110676235,-0.2037330693066936,0.0,0.034125197110676235,0.0,0.09663490396761593,0.038796252128557425
postcentral-lh,0.04259387772466336,-0.05275478255533767,0.04437956668580555,-0.09438962821852127,0.08541873587913111,-0.24481000089356883,0.1284462369132186,-0.11524510097226982,-0.037881237304068165,-0.01995904198570593,-0.1385050324966713,0.17746175625932686,-0.00481841826352534,0.16483061661827628,0.07904269302101247,-0.022309906335719002,-0.1809925444624255,0.026959686779846316,0.16253252360653256
postcentral-rh,0.061168899987511814,0.16247261601858634,-0.00841919207697868,0.011721405003014981,-0.2993506637197015,0.1165659238415227,-0.6248276932573823,0.1527678758671406,0.12627066399296846,-0.01028425562823327,0.11743826003491106,-0.000657927718889845,0.11743826003491106,-0.212985705000403,0.0362019520256179,0.09890111592540791,0.07153156785784741,-0.10529416403931323,0.1893410608514617
precentral-lh,-0.003904283123442268,-0.08182759671722764,0.051522356422001384,-0.0644071158841646,0.036801683158572414,-0.061976380045376166,0.14174338997982117,-0.13074551357282266,-0.04310955891988441,-0.10314980902147268,-0.11942246098090567,0.16724023296448434,0.012464279065323653,0.14808867934239942,0.03511411604058824,-0.010427422648561495,-0.08251638334923486,-0.004050237632729823,0.1125620249226317
precentral-rh,0.027620900039216103,-0.002383737556395477,0.03575020649689891,0.04765132373177741,0.04724134429947357,-0.04911553599000562,0.17619744630614464,-0.07082101850597995,-0.13922901521039985,-0.05691685890184528,-0.03977971863154284,0.16423776058093698,-0.04609340188902269,0.0673713344255944,-0.10005840887827998,-0.07008305552783296,-0.0966965775333881,-0.04690164705556464,0.15200865980021533
rostralmiddlefrontal-lh,-0.10162657651088884,-0.016798260446784657,0.0,-0.05897229715184107,-0.10510560710088282,0.0411279399580455,0.024897580092862786,-0.0653897442646584,0.032302457946663705,-0.0673386835579158,-0.0079963130540999,0.040437932224363364,0.07319812145061255,0.03578558151382239,-0.013902479102760244,0.19172391851168194,0.021405929489944336,-0.06833702890467194,0.04458752890650715
rostralmiddlefrontal-rh,-0.01236810952642813,0.020820852010045715,-0.03990077226666273,-0.05419716547362695,0.01756150494584508,-0.08907056495166325,0.1464602072632002,-0.06135573849153346,0.040268558511261224,0.005261995048111658,-0.18114164307438493,0.12306773387830498,-0.033981604305005124,0.18460160081745747,-0.05330709970299982,0.07816495339160887,-0.27523554554239843,0.1055062289324599,0.07884460853640766
superiorfrontal-lh,-0.016880832201619293,0.1139204993312742,0.019756693064075716,-0.01656000925070382,-0.13853764231304722,0.16395126041714117,0.03168239725425581,0.16242807565340284,0.12486183765946347,0.008067637518869162,0.11425812834266964,-0.19179636139338077,0.008582196059117439,-0.14982069257659938,-0.05118563561287808,0.09908486473466083,0.10136964188026831,-0.14436507601808574,-0.23881698254888425
superiorfrontal-rh,-0.013381853017949972,0.018906946260894748,0.036622162752920843,0.028100036111618328,0.036622162752920843,-0.00633959882037845,0.12257831334655322,-0.008893095194396409,-0.03811988216486016,0.02713160809961099,-0.009786424881417033,0.08064850211282765,-0.1979690894257294,0.04501446956619912,-0.04362752708321635,0.017586991238480974,-0.07156552989584328,-0.047375421071866104,0.023847229313630484
superiorparietal-lh,-0.054022180355604396,0.06453829598017329,0.04379400295870117,0.011027651900709512,-0.1196313262488441,0.10541150961620374,0.030996677614506547,0.10010949663199688,0.03344478958114202,0.014149106138678222,0.10200466527647788,-0.11687871323613742,-0.04130894316639179,-0.09728489906237375,0.040134894154029266,0.06780690448936055,0.056306575232615785,-0.0781599400557825,-0.1624385674494609
superiorparietal-rh,0.008182846026022103,0.08774586878543639,-0.03264149288847292,0.08864792151853675,0.0,0.06813492082267196,0.08902583067812342,0.03408769737403702,-0.019097266046227798,0.017006203360719563,-0.1258943945454205,-0.027113869479372808,-0.028157227376492535,0.1581020926434972,-0.2063345326090775,0.055628519470477145,-0.11437534066839898,-0.013660594577406827,-0.03928718248865175
superiortemporal-lh,-0.004645126454012534,0.05705892413829423,-0.09984456648238776,0.004631563180121144,0.03264149288847292,-0.05888053079266072,0.07972728276368987,-0.05565247160651566,-0.11526306035906818,0.05756017556471428,-0.02892751467248072,0.13685166444119898,-0.0021087942363271425,0.12777724450031477,-0.035975109727946465,0.0027816505628509686,-0.22484016041985158,0.08106238068064865,0.04604495603094476
superiortemporal-rh,0.07954586145924857,0.034161103477687554,-0.07997658309456097,-0.10118396167424282,0.016058916287377052,-0.049120425967549085,0.11779346805059716,0.01590072965253734,0.052470539019831626,0.020614536601936934,-0.20319494345332256,0.16825909304087597,-0.03690082118817981,0.10270515864389651,-0.10241639871177864,-0.0042593282997068676,-0.16039171654741413,0.024088374431065582,0.10584639827170059
supramarginal-lh,-0.19615806901547475,0.11611466072777392,0.08311436392473232,-0.17940528391266192,0.059129960801701784,0.03148315285045668,-0.016645297022409855,0.04056668989141103,-0.053244988399636685,-0.018727547644010148,0.09946473059845015,-0.14937785325455982,-0.06324310074539943,0.02937919281360254,0.01722853899563114,0.13251334408787982,0.0,0.25170279931269973,-0.18389529401018637
supramarginal-rh,-0.058616950185302275,0.08007672591835124,0.08999771965694722,0.11893772682261082,-0.04485135835572721,0.12784766784558682,0.135066459542076,0.12419478530037535,0.1155038883806396,0.012659460672558038,0.04584100543317482,-0.2019625078894571,-0.04330360602282275,-0.16479909878530902,-0.08817543481893811,0.030395590561388724,0.024719355654558253,-0.15397522354146911,-0.1495562061892416
