,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.1814516129032258,0.0,0.0,0.05241935483870968,0.04032258064516129,0.0,0.0,0.004032258064516129,0.0,0.0,0.04032258064516129,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10483870967741936,0.0,0.0,0.0,0.0,0.0,0.1814516129032258,0.17338709677419356,0.0,0.09274193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0
Fz,0.0006954102920723226,0.022253129346314324,0.0013908205841446453,0.0,0.0013908205841446453,0.022253129346314324,0.022253129346314324,0.0,0.015299026425591099,0.019471488178025034,0.0,0.0,0.019471488178025034,0.002086230876216968,0.01808066759388039,0.01808066759388039,0.02294853963838665,0.022253129346314324,0.022253129346314324,0.020166898470097356,0.011126564673157162,0.01808066759388039,0.02294853963838665,0.02086230876216968,0.019471488178025034,0.0,0.02294853963838665,0.022253129346314324,0.02364394993045897,0.02364394993045897,0.02364394993045897,0.0006954102920723226,0.0006954102920723226,0.022253129346314324,0.0,0.022253129346314324,0.02364394993045897,0.01808066759388039,0.02364394993045897,0.01808066759388039,0.02294853963838665,0.024339360222531293,0.015299026425591099,0.02294853963838665,0.016689847009735744,0.0006954102920723226,0.022253129346314324,0.02294853963838665,0.022253129346314324,0.021557719054242003,0.019471488178025034,0.022253129346314324,0.0,0.022253129346314324,0.02294853963838665,0.019471488178025034,0.0006954102920723226,0.021557719054242003,0.02364394993045897,0.0,0.022253129346314324,0.021557719054242003,0.02364394993045897
F3,0.0,0.02027027027027027,0.013513513513513514,0.0,0.0,0.02027027027027027,0.02027027027027027,0.0,0.02027027027027027,0.02027027027027027,0.0,0.0,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.0,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.0,0.0,0.02027027027027027,0.0,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.006756756756756757,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.0,0.02027027027027027,0.02027027027027027,0.02027027027027027,0.006756756756756757,0.02027027027027027,0.02027027027027027,0.0,0.02027027027027027,0.02027027027027027,0.02027027027027027
F7,0.12149532710280374,0.0,0.0,0.102803738317757,0.056074766355140186,0.0,0.0,0.009345794392523364,0.0,0.0,0.06542056074766354,0.12149532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12149532710280374,0.0,0.0,0.0,0.0,0.0,0.12149532710280374,0.12149532710280374,0.0,0.12149532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037383177570093455,0.0,0.0,0.0
FT9,0.13186813186813187,0.0,0.0,0.0989010989010989,0.10989010989010989,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.12087912087912088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12087912087912088,0.0,0.0,0.0,0.0,0.0,0.13186813186813187,0.13186813186813187,0.0,0.10989010989010989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0
FC5,0.0,0.0214987714987715,0.0012285012285012285,0.0,0.0006142506142506142,0.02334152334152334,0.022727272727272728,0.0,0.013513513513513514,0.019041769041769043,0.0,0.0,0.018427518427518427,0.0018427518427518428,0.0171990171990172,0.0171990171990172,0.023955773955773956,0.022727272727272728,0.022727272727272728,0.019041769041769043,0.009828009828009828,0.0171990171990172,0.023955773955773956,0.02027027027027027,0.018427518427518427,0.0,0.023955773955773956,0.022727272727272728,0.023955773955773956,0.02457002457002457,0.02457002457002457,0.0,0.0,0.02334152334152334,0.0,0.02334152334152334,0.025184275184275184,0.0171990171990172,0.025184275184275184,0.016584766584766583,0.022727272727272728,0.025798525798525797,0.014127764127764128,0.023955773955773956,0.014742014742014743,0.0006142506142506142,0.022113022113022112,0.023955773955773956,0.022727272727272728,0.020884520884520884,0.018427518427518427,0.02334152334152334,0.0,0.022727272727272728,0.023955773955773956,0.019041769041769043,0.0006142506142506142,0.020884520884520884,0.025184275184275184,0.0,0.022727272727272728,0.0214987714987715,0.02457002457002457
FC1,0.0,0.021551724137931036,0.0012315270935960591,0.0,0.0006157635467980296,0.023399014778325122,0.022783251231527094,0.0,0.013546798029556651,0.019088669950738917,0.0,0.0,0.01847290640394089,0.0018472906403940886,0.017241379310344827,0.017241379310344827,0.02401477832512315,0.022783251231527094,0.022783251231527094,0.019088669950738917,0.009852216748768473,0.017241379310344827,0.02401477832512315,0.020320197044334975,0.01847290640394089,0.0,0.02401477832512315,0.022783251231527094,0.02401477832512315,0.024630541871921183,0.024630541871921183,0.0,0.0,0.023399014778325122,0.0,0.023399014778325122,0.024630541871921183,0.017241379310344827,0.024630541871921183,0.0166256157635468,0.022783251231527094,0.025246305418719212,0.01416256157635468,0.02401477832512315,0.014778325123152709,0.0006157635467980296,0.022167487684729065,0.02401477832512315,0.022783251231527094,0.020935960591133004,0.01847290640394089,0.023399014778325122,0.0,0.022783251231527094,0.02401477832512315,0.019088669950738917,0.0006157635467980296,0.020935960591133004,0.024630541871921183,0.0,0.022783251231527094,0.021551724137931036,0.024630541871921183
C3,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.02230843840931135,0.0019398642095053346,0.0,0.0009699321047526673,0.02133850630455868,0.02133850630455868,0.0,0.019398642095053348,0.020368574199806012,0.0,0.0,0.02230843840931135,0.002909796314258002,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.014548981571290009,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.0,0.02133850630455868,0.02133850630455868,0.02230843840931135,0.02133850630455868,0.02133850630455868,0.0,0.0,0.02133850630455868,0.0,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02230843840931135,0.02230843840931135,0.01842870999030068,0.02133850630455868,0.020368574199806012,0.0009699321047526673,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.02133850630455868,0.020368574199806012,0.02133850630455868,0.0,0.02133850630455868,0.02133850630455868,0.020368574199806012,0.0009699321047526673,0.02133850630455868,0.02133850630455868,0.0,0.02133850630455868,0.02133850630455868,0.02133850630455868
TP9,0.0,0.02166317260656883,0.001397624039133473,0.0,0.0,0.02236198462613557,0.02236198462613557,0.0,0.015373864430468204,0.02026554856743536,0.0,0.0,0.019566736547868623,0.0020964360587002098,0.018867924528301886,0.018867924528301886,0.023060796645702306,0.02236198462613557,0.02236198462613557,0.020964360587002098,0.011180992313067784,0.018867924528301886,0.02236198462613557,0.02166317260656883,0.02026554856743536,0.0,0.02236198462613557,0.02236198462613557,0.02236198462613557,0.023060796645702306,0.023060796645702306,0.0,0.0,0.02236198462613557,0.0,0.02236198462613557,0.023060796645702306,0.018867924528301886,0.023060796645702306,0.01816911250873515,0.02236198462613557,0.023060796645702306,0.01607267645003494,0.02236198462613557,0.016771488469601678,0.0006988120195667365,0.02236198462613557,0.02236198462613557,0.02236198462613557,0.02236198462613557,0.02026554856743536,0.02236198462613557,0.0,0.02236198462613557,0.023060796645702306,0.02026554856743536,0.0006988120195667365,0.02236198462613557,0.023060796645702306,0.0,0.02236198462613557,0.02236198462613557,0.023060796645702306
