,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.1877237229872859,0.011282023094258568,0.0031679555534884505,0.007839870787158205,0.007264416998930274,0.006688963210702341,0.0259791382146134,0.016412906062771397,0.00716674629718108,0.005494505494505495,0.011070191832023304,0.003512762727845452,0.022545230836881473,0.008361204013377926,0.05219124853599652,0.01596218325729676,0.013236705579914507,0.01855468502255728,0.024759945710311235,0.020574058492488657,0.0173790426579961,0.00951211158983379,0.01598099860893243,0.008361204013377926,0.006477131948467077,0.010334701850669531,0.014539404420127775,0.012582396441573048,0.017441408149372752,0.0022123893805309734,0.01826399841020849,0.00023889154323936931,0.007114951228071659,0.0038846301832065585,0.019960974000989392,0.0033091763949786267,0.006238240405227708,0.011379693796007763,0.011697440689360659,0.004433023690430385,0.00699022024531836,0.0,0.02579436723338224,0.008352959084009487,0.018369914041326124,0.02049287764947634,0.00752212389380531,0.009123754275735807,0.005388589863387863,0.013467352193785437,0.008352959084009487,0.008317653873636945,0.0034068470967278204,0.0022123893805309734,0.0048401963561640355,0.01105137648038764,0.012723617283063223,0.004088216516073384,0.01574210706569306,0.011795111391109852,0.04823600793204487,0.009954589465939984,0.02566963625062894,0.004707220444042298,0.001398044049063672,0.018342853760322016,0.014069866263017476,0.008458874715127119
bankssts-rh,0.0148484894558392,0.22108578755581232,0.0026217228464419477,0.008928453776487103,0.0013531799729364006,0.008795669824086604,0.02491270215343135,0.03126757993644615,0.005557667259633171,0.003044654939106901,0.0,0.0006765899864682003,0.018303913072123985,0.020683888035760444,0.014872562882324024,0.021118983543912465,0.0170837704560774,0.009822464814786658,0.0,0.0061617835621575875,0.03532711985525536,0.02323339060274792,0.013084540805724914,0.039930212403642945,0.002368064952638701,0.005291845950342856,0.0153195684014738,0.024465696634281574,0.004397834912043302,0.0,0.004772366747249295,0.026205571857911034,0.004083613345294025,0.01959678277660367,0.017023460187620684,0.013870094722598106,0.008795669824086604,0.004506545437958979,0.0,0.004470308595987087,0.0020297699594046007,0.007925732212271873,0.016986969941159478,0.04572937414159229,0.016467490738065915,0.0029237809977041554,0.012975830279809237,0.00585972541089538,0.005183135424427179,0.005751014884979702,0.015343895232447939,0.03806971664310005,0.0,0.0020297699594046007,0.0013531799729364006,0.009605043762955304,0.0,0.00033829499323410016,0.02056326749884701,0.016382853638635064,0.010728639268573283,0.021445115121659496,0.0,0.012202693182912429,0.0040595399188092015,0.0,0.0033829499323410014,0.024779664796541537
caudalanteriorcingulate-lh,0.0026604667427996918,0.0015228426395939086,0.267701201553988,0.02506925737515914,0.011504100801582401,0.008305420926382279,0.007614213197969543,0.004122111543988678,0.004813319272401414,0.0010152284263959391,0.014965603536360804,0.007198395742378957,0.008629441624365483,0.0,0.013363531552403381,0.007644812117172004,0.008782436220377787,0.013993541442411194,0.013687552250386583,0.016317420073983815,0.012690355329949238,0.013889177271559944,0.005706152021987509,0.008904831897187632,0.015008769868807134,0.017289482167933426,0.0015228426395939086,0.011675126903553299,0.03920322600033878,0.030372159354799935,0.002061055771994339,0.005076142131979695,0.022837175501193907,0.0066295836907760645,0.0,0.004183309382393601,0.02245195696480578,0.00968783638320775,0.022084769934376247,0.010782294153967205,0.0052291367279920006,0.003767491926803014,0.0040609137055837565,0.008721238381972866,0.00938184719118314,0.020653724052389723,0.008244223087977356,0.020286537021960187,0.005382131324004306,0.0037368930076005532,0.008121827411167513,0.013705583756345178,0.05210777376470524,0.024482413817597658,0.028775551463557234,0.001076426264800861,0.017699835530809286,0.014531754574811625,0.008121827411167513,0.007614213197969543,0.0015228426395939086,0.0,0.0,0.004721522514794031,0.008121827411167513,0.002061055771994339,0.0005382131324004305,0.01636605049914487
caudalanteriorcingulate-rh,0.013708737596281814,0.015839953246860713,0.023696359737134267,0.2702032347931622,0.012754539122999373,0.01683897405131812,0.017850062406476484,0.019433928435976473,0.008130081300813009,0.014001806684733513,0.0037405097333416083,0.0013804416033982223,0.008810604963555997,0.011196101146762102,0.018123737217015934,0.027818290269416686,0.0028625954198473282,0.013028213933538826,0.004115896756931946,0.011819734927629175,0.013575563554617736,0.009663091223787557,0.017474675382886145,0.019733031299778644,0.011291779584462511,0.0018575408400394436,0.0019083969465648854,0.006653961259714378,0.006927636070253833,0.015413710116744934,0.014682330347476503,0.009962194087589731,0.005922581490445947,0.009414844466510822,0.004968383017163505,0.0076784101174345075,0.01734753511657254,0.0033396946564885495,0.008206365460601172,0.007379307253632332,0.007430163360157774,0.00047709923664122136,0.01383587786259542,0.007907262596798996,0.007608159732996821,0.007455591413420496,0.0027608832067964446,0.012754539122999373,0.0013550135501355014,0.009866515649889322,0.012601970803423047,0.009236848093671776,0.013378172903866444,0.00818093740733845,0.012697649241123455,0.0151654633594682,0.020960904583600545,0.005871725383920506,0.02337182882006937,0.01963131908672776,0.02088462042381238,0.02289472958342815,0.005197235496527994,0.014936610880103712,0.002258355916892502,0.002258355916892502,0.00045167118337850043,0.00981565954336388
caudalmiddlefrontal-lh,0.014939334010369341,0.0009442870632672333,0.011903065072662592,0.01163878347319472,0.2555870317909978,0.00786608940438648,0.0018885741265344666,0.004721435316336166,0.008385744234800839,0.009433962264150943,0.006133411726976321,0.01509523045949365,0.01310272536687631,0.0010482180293501049,0.010226807062554563,0.0084985835694051,0.009433962264150943,0.007710192955262173,0.032092397598303846,0.02611042813619114,0.005453406263176962,0.0,0.005557337229259834,0.0033050047214353163,0.007554296506137866,0.00996252546308669,0.015467897209305088,0.004721435316336166,0.018820413229521146,0.018244338731804657,0.006761451707734246,0.00393304470219324,0.02988757638926007,0.01053859996080318,0.021129165404647793,0.005609302712301269,0.010070910613430257,0.0024646486242509546,0.009494836115713768,0.01909360319751041,0.012955737286273392,0.009915014164305949,0.0,0.00141643059490085,0.015411477542002958,0.023650233696200878,0.016936293287247373,0.0233904062809937,0.01426823691509137,0.019249499646634714,0.006185377210017757,0.009022692584080153,0.012006996038745464,0.01777219520017104,0.015047719160712906,0.01273896698558626,0.026638991335126885,0.01069895059418818,0.011378956057987541,0.0066100094428706326,0.007861635220125786,0.005189124663709088,0.012427174087337645,0.0009442870632672333,0.004457153716868292,0.017767741015910346,0.01409897791318498,0.007129664273284991
caudalmiddlefrontal-rh,0.008832807570977918,0.009735202492211837,0.006102282889629215,0.011312489558457895,0.010331475967255324,0.21436707057008364,0.006230529595015576,0.005451713395638629,0.010296834615800388,0.022392808357164617,0.011997700403903416,0.009424413062492015,0.014264866299124384,0.003060968778560689,0.01215026976031133,0.000778816199376947,0.03147744135538587,0.012357135135666343,0.007309816523678961,0.027317530980669635,0.0052495160038130055,0.007753520642314533,0.003765834291498373,0.0,0.013353135410831687,0.00473186119873817,0.018217911298485608,0.029308548797625716,0.01791277258566978,0.018933095511856676,0.015048350482030721,0.008921744941379954,0.0031545741324921135,0.011371453560934382,0.026489086745874975,0.019854162367208154,0.0012618296529968455,0.017582328488457796,0.0009463722397476341,0.0003154574132492114,0.002893412738190002,0.01387545819943591,0.0065310003243020135,0.001557632398753894,0.014249879615161611,0.020164951796927975,0.005377762709199367,0.015857140049333217,0.004879762571616695,0.02836684454140747,0.014018691588785047,0.025962095973741363,0.010292166632270998,0.025962095973741363,0.008458386155252219,0.02847543657930167,0.011336812209479446,0.020628310583055712,0.002430053952062266,0.0033567715243177374,0.022244906984286095,0.010203229261868962,0.008832807570977918,0.0,0.019873817034700314,0.007570977917981073,0.004100946372239748,0.0031349194649999508
cuneus-lh,0.02155141303650478,0.01996976647206005,0.005998588567395907,0.010044628536601014,0.002556818181818182,0.004261363636363636,0.155880100404183,0.039661055687431834,0.003693181818181818,0.005965909090909091,0.010227272727272727,0.0,0.023076722589337267,0.008133781356258422,0.031961329954449225,0.03258584878424328,0.025803754731507027,0.009820282928081094,0.004829545454545454,0.006818181818181818,0.0361866058253673,0.032654616026175656,0.04043553923141079,0.02125830018605248,0.010511363636363636,0.0014204545454545455,0.015768148136267403,0.040582095656636945,0.0017045454545454545,0.0014204545454545455,0.014470592480913582,0.008444938089433501,0.0037619490601141976,0.0008522727272727272,0.007162018027843716,0.006818181818181818,0.007386363636363636,0.004829545454545454,0.003977272727272727,0.0005681818181818182,0.00909090909090909,0.013068181818181817,0.04949938249823571,0.014407438891383847,0.006456301725797139,0.012619490601141977,0.003409090909090909,0.00798722493103227,0.0008522727272727272,0.0011363636363636363,0.027801413036504782,0.028342529030602425,0.007377341695002246,0.0014204545454545455,0.00909090909090909,0.00529287226534933,0.0,0.0022727272727272726,0.027613155193430425,0.016327308013087828,0.004898312696477834,0.01944328607172644,0.010287018027843715,0.01895289343683839,0.0,0.007102272727272727,0.007670454545454545,0.0045274106627317635
cuneus-rh,0.023393328255362344,0.021778141920669878,0.003030529145755745,0.010810943593888409,0.0030826140567200987,0.0027743526510480886,0.04223643003371113,0.1522903693152644,0.00030826140567200987,0.0012330456226880395,0.0,0.0027743526510480886,0.012986135070580596,0.02959752770289289,0.017770743646933748,0.0433001073466321,0.01172704699241038,0.0416370841610894,0.002730948558577794,0.008323057953144267,0.020879400159136027,0.034972616635107895,0.019867807757179407,0.03547628880602914,0.004623921085080148,0.008631319358816275,0.02439180708044496,0.0306048720447354,0.00030826140567200987,0.00030826140567200987,0.00605237747301743,0.01320315553293207,0.0014979029358897543,0.0054445354801674695,0.00583960507078007,0.020345252774352653,0.002396644697423607,0.004272255586937843,0.005548705302096177,0.007020565782503756,0.007090012330456227,0.005479258754143706,0.03306228247161742,0.05332072706102948,0.011327544643417833,0.004254893949949725,0.002396644697423607,0.006660219465867391,0.0006078419928499607,0.011713933415536375,0.0209488467070885,0.037213006599638436,0.0014979029358897543,0.0032953864589574597,0.0018495684340320592,0.011926705817773735,0.0,0.00030826140567200987,0.022147169055800303,0.03185527930441156,0.00975151434108155,0.013832791921150094,0.004571836174115794,0.011127885818054477,0.0,0.0012330456226880395,0.0006165228113440197,0.008440341351946979
entorhinal-lh,0.005229517722254503,0.007941776066339041,0.0039548022598870055,0.010169491525423728,0.002324230098779779,0.010669135340443902,0.0096045197740113,0.001694915254237288,0.1807358092292945,0.03220043530072189,0.00610110400929692,0.01556085182376558,0.048568530318399826,0.005956332049754281,0.004616288650994528,0.001694915254237288,0.054154889582656254,0.01641536749426329,0.006327289678514331,0.01651188213395838,0.008974220086206615,0.0341386068407213,0.00903954802259887,0.006230775038819239,0.01625352491817594,0.008344905241664122,0.01531759553800346,0.005197346175689472,0.01864406779661017,0.0062146892655367235,0.04706762918681492,0.020498855940410416,0.0002905287623474724,0.0037768739105171413,0.03155601952615908,0.026052058814839615,0.01791725346911039,0.010442949671226491,0.009232577301989056,0.0005649717514124294,0.004648460197559558,0.00453585978458195,0.011299435028248588,0.009620605547293815,0.0028731160769096932,0.005794489473666933,0.0026147588611272515,0.002905287623474724,0.008715862870424172,0.005165174629124442,0.011299435028248588,0.002824858757062147,0.001694915254237288,0.012994350282485875,0.004938988959907031,0.02527698716749229,0.004357931435212086,0.012686750903593693,0.0005810575246949448,0.002324230098779779,0.018498310993805334,0.01220220801859384,0.0031958163858221964,0.0022920585522147484,0.060886293279757864,0.0037447023639521106,0.022935686452167803,0.002905287623474724
entorhinal-rh,0.004694835680751174,0.008158508158508158,0.0,0.018065268065268064,0.007042253521126761,0.02305375896925193,0.011655011655011656,0.002913752913752914,0.031204971345816415,0.2193504200546454,0.0005216484089723526,0.011199025283532327,0.013102312398087046,0.005782819163100854,0.01178177586628291,0.002913752913752914,0.0216602646180111,0.018053412419609602,0.01040013716070054,0.021599162444232867,0.009800971068576702,0.014267813563588212,0.0,0.008741258741258742,0.0264162024725405,0.013880225147830782,0.014834148636965538,0.00921822048582612,0.003757327700989673,0.0013041210224308817,0.03182055294731351,0.011981497896990854,0.010139312956214366,0.000782472613458529,0.02190923317683881,0.02917492001999044,0.0020865936358894104,0.010522341508257002,0.003313196975168806,0.0103062039681758,0.008036303810951698,0.009906759906759906,0.011072261072261072,0.009324009324009324,0.01205901558014234,0.008929125126308224,0.011072261072261072,0.0,0.009389671361502348,0.008607198748043818,0.0017482517482517483,0.0005827505827505828,0.028815602759264734,0.00641025641025641,0.00579923467247411,0.0188851315611879,0.004694835680751174,0.005216484089723527,0.0034965034965034965,0.00507786423279381,0.01584461443616373,0.019912012869759348,0.01278038601982264,0.0005827505827505828,0.016060751976244934,0.031795017710510666,0.04429816401647388,0.012193075573357264
