subject,session,condition,sigma_ratio,sigma_eig,ci_low,ci_high,ci_method,state,window
S07,Sess01,MOTOR_EXECUTION-LEFT,0.9847351742726193,1.0000000000000002,0.951215617471124,1.0176276253726693,bootstrap,critical,fullwin_broadband
S07,Sess01,MOTOR_EXECUTION-RIGHT,0.9637012788798502,1.0,0.9292262895834323,0.9916235500610502,bootstrap,critical,fullwin_broadband
S07,Sess01,MOTOR_IMAGERY-LEFT,0.9864181286549708,1.0000000000000018,0.9418607456140351,1.0329644945697578,bootstrap,critical,fullwin_broadband
S07,Sess01,MOTOR_IMAGERY-RIGHT,0.9897008575765053,1.0000000000000002,0.9453811876091668,1.0324764362005294,bootstrap,critical,fullwin_broadband
S07,Sess01,MOTOR_EXECUTION,0.9742182265762347,1.0,0.9402209535272782,1.0046255877168597,bootstrap,critical,fullwin_broadband
S07,Sess01,MOTOR_IMAGERY,0.988059493115738,1.0000000000000009,0.9436209666116009,1.0327204653851436,bootstrap,critical,fullwin_broadband
S07,Sess01,LEFT,0.985576651463795,1.0000000000000009,0.9465381815425795,1.0252960599712135,bootstrap,critical,fullwin_broadband
S07,Sess01,RIGHT,0.9767010682281778,1.0,0.9373037385962996,1.0120499931307898,bootstrap,critical,fullwin_broadband
S07,Sess01,LEFT_vs_RIGHT,0.008875583235617213,0.0,-0.06551181158821029,0.08799232137491397,bootstrap,delta,fullwin_broadband
S07,Sess01,IMAGERY_vs_EXECUTION,0.01384126653950335,0.0,-0.06100462110525884,0.09249951185786542,bootstrap,delta,fullwin_broadband
S07,Sess01,ME_LEFT_vs_ME_RIGHT,0.02103389539276901,0.0,-0.04040793258992614,0.08840133578923692,bootstrap,delta,fullwin_broadband
S07,Sess01,MI_LEFT_vs_MI_RIGHT,-0.0032827289215344724,0.0,-0.09061569058649432,0.08758330696059102,bootstrap,delta,fullwin_broadband
