,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.029264214046822744,0.029264214046822744,0.07471875950136819,0.01839464882943144,0.0,0.06970203709334144,0.07555487990270598,0.07555487990270598,0.07639100030404378,0.029264214046822744,0.029264214046822744,0.028428093645484948,0.07304651869869261,0.07639100030404378,0.07304651869869261,0.07137427789601702,0.030936454849498328,0.0638491942839769,0.07555487990270598
caudalmiddlefrontal-rh,0.028,0.0336,0.07665454545454545,0.0176,0.0,0.06865454545454545,0.07425454545454546,0.07425454545454546,0.07505454545454546,0.028,0.0344,0.0272,0.07825454545454547,0.07505454545454546,0.07185454545454545,0.07025454545454546,0.0296,0.06305454545454546,0.07425454545454546
inferiorparietal-rh,0.027317880794701987,0.030629139072847682,0.11561810154525386,0.1032008830022075,0.0,0.046988331756543676,0.06468779564806054,0.040878271838536734,0.040878271838536734,0.11230684326710816,0.033112582781456956,0.026490066225165563,0.04170608640807316,0.04170608640807316,0.03922264269946389,0.038394828129927464,0.11396247240618101,0.04202144433932513,0.040878271838536734
parsopercularis-lh,0.024719101123595506,0.024719101123595506,0.08193604148660329,0.18772687986171133,0.0,0.02359550561797753,0.088504753673293,0.02696629213483146,0.025842696629213482,0.1612791702679343,0.0665514261019879,0.02359550561797753,0.025842696629213482,0.02696629213483146,0.02696629213483146,0.02696629213483146,0.10501296456352636,0.025842696629213482,0.02696629213483146
parstriangularis-rh,0.0,0.0,0.0,0.0,0.6714285714285715,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.12857142857142856,0.08571428571428572,0.0,0.0
postcentral-lh,0.028130671506352088,0.028130671506352088,0.05754243621223444,0.019963702359346643,0.0,0.1503149354115512,0.05754243621223444,0.05754243621223444,0.05754243621223444,0.028130671506352088,0.028130671506352088,0.0566349951959005,0.05754243621223444,0.05754243621223444,0.05754243621223444,0.0566349951959005,0.028130671506352088,0.11545852460766522,0.05754243621223444
postcentral-rh,0.028135048231511254,0.028135048231511254,0.07518948093706937,0.10045360587965091,0.0,0.041972898484152504,0.11009990813045475,0.03867133670188333,0.03867133670188333,0.11009990813045475,0.07518948093706937,0.027331189710610933,0.03625976113918236,0.048403766651355075,0.03706361966008268,0.035455902618282034,0.08492191088654111,0.04527446026642168,0.03867133670188333
precentral-lh,0.028526148969889066,0.028526148969889066,0.06344426835710512,0.019809825673534072,0.0,0.09043845747490756,0.06344426835710512,0.06344426835710512,0.06344426835710512,0.029318541996830427,0.030110935023771792,0.0277337559429477,0.060274696249339677,0.09756999471737982,0.06106708927628103,0.05948230322239831,0.03169572107765452,0.11822503961965135,0.06344426835710512
precentral-rh,0.02908805031446541,0.02908805031446541,0.06242138364779874,0.018867924528301886,0.0,0.09025157232704403,0.06320754716981132,0.0639937106918239,0.06477987421383648,0.02908805031446541,0.02908805031446541,0.02830188679245283,0.06006289308176101,0.09811320754716982,0.060849056603773585,0.05927672955974843,0.03223270440251572,0.11808176100628931,0.06320754716981132
rostralmiddlefrontal-lh,0.027138157894736843,0.027138157894736843,0.08184406912804398,0.14736351139041634,0.0,0.023026315789473683,0.08102170070699136,0.028782894736842105,0.028782894736842105,0.20036331500392773,0.06691869599371562,0.02631578947368421,0.02631578947368421,0.029605263157894735,0.027138157894736843,0.02631578947368421,0.10505449725058916,0.018092105263157895,0.028782894736842105
rostralmiddlefrontal-rh,0.02619047619047619,0.03253968253968254,0.05348516218081435,0.055279503105590065,0.07246376811594203,0.029468599033816427,0.07125603864734299,0.03502415458937198,0.03502415458937198,0.0640096618357488,0.1362663906142167,0.025396825396825397,0.04216701173222912,0.035817805383022774,0.033436853002070395,0.09061421670117323,0.10182884748102139,0.024706694271911665,0.03502415458937198
superiorfrontal-lh,0.03042763157894737,0.03042763157894737,0.05819465944272446,0.018092105263157895,0.0,0.112906346749226,0.05901702786377709,0.05983939628482972,0.06066176470588235,0.028782894736842105,0.028782894736842105,0.14725232198142416,0.056549922600619196,0.06066176470588235,0.056549922600619196,0.05490518575851393,0.03042763157894737,0.04750386996904025,0.05901702786377709
superiorfrontal-rh,0.026446280991735537,0.03305785123966942,0.06986649713922441,0.019008264462809916,0.0,0.10006357279084552,0.06656071201525747,0.06656071201525747,0.06573426573426573,0.02809917355371901,0.03801652892561983,0.0256198347107438,0.0739987285441831,0.06656071201525747,0.06573426573426573,0.06490781945327401,0.02809917355371901,0.09510489510489512,0.06656071201525747
superiorparietal-lh,0.028951486697965573,0.028951486697965573,0.06306729264475744,0.019561815336463225,0.0,0.09014084507042253,0.06306729264475744,0.06384976525821597,0.06463223787167449,0.028951486697965573,0.0297339593114241,0.028169014084507043,0.05993740219092332,0.09796557120500782,0.060719874804381846,0.05915492957746479,0.032081377151799685,0.11799687010954617,0.06306729264475744
superiorparietal-rh,0.02787162162162162,0.02787162162162162,0.06373873873873874,0.021114864864864864,0.0,0.09115990990990991,0.06289414414414414,0.06289414414414414,0.062049549549549554,0.02956081081081081,0.030405405405405407,0.02702702702702703,0.061204954954954954,0.09622747747747748,0.062049549549549554,0.061204954954954954,0.030405405405405407,0.11942567567567568,0.06289414414414414
superiortemporal-lh,0.027624309392265192,0.027624309392265192,0.042291502236253616,0.022099447513812154,0.10714285714285714,0.04775059194948698,0.04137069192317811,0.04137069192317811,0.0404498816101026,0.029465930018416207,0.10181531176006314,0.026703499079189688,0.039529071297027096,0.04137069192317811,0.0404498816101026,0.13568797684819783,0.10181531176006314,0.044067350697184954,0.04137069192317811
superiortemporal-rh,0.02800658978583196,0.02800658978583196,0.08381109280615047,0.08643602416254804,0.04,0.03055464030752334,0.06298736957715541,0.03632070291048874,0.0371444261394838,0.09632070291048875,0.0771444261394838,0.027182866556836903,0.03384953322350357,0.0371444261394838,0.03467325645249863,0.07302580999450851,0.12628226249313565,0.024788577704557935,0.03632070291048874
supramarginal-lh,0.025179856115107913,0.025179856115107913,0.05882793764988009,0.027577937649880094,0.0,0.09487410071942445,0.05882793764988009,0.05882793764988009,0.05762889688249401,0.027577937649880094,0.027577937649880094,0.023980815347721823,0.05762889688249401,0.09007793764988009,0.05882793764988009,0.05882793764988009,0.027577937649880094,0.16217026378896882,0.05882793764988009
supramarginal-rh,0.028145695364238412,0.028145695364238412,0.06909067753438615,0.019867549668874173,0.0,0.10092969943963322,0.06826286296484972,0.06826286296484972,0.06826286296484972,0.029801324503311258,0.030629139072847682,0.027317880794701987,0.06577941925624045,0.06909067753438615,0.06660723382577688,0.06495160468670402,0.03145695364238411,0.09513499745287825,0.06826286296484972
