,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.022727272727272728,0.0,0.011363636363636364,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.0,0.03409090909090909,0.022727272727272728,0.03409090909090909,0.03409090909090909,0.0,0.03409090909090909,0.0,0.03409090909090909,0.0,0.03409090909090909,0.03409090909090909,0.011363636363636364,0.0,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.03409090909090909,0.0,0.022727272727272728,0.0,0.0,0.011363636363636364,0.011363636363636364,0.03409090909090909,0.03409090909090909,0.022727272727272728,0.03409090909090909,0.0,0.0,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.022727272727272728,0.022727272727272728,0.0,0.0,0.03409090909090909,0.03409090909090909,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.03076923076923077,0.0,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.03076923076923077,0.0,0.03076923076923077,0.0,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.0,0.03076923076923077,0.0,0.0,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0
S2_D2 hbo,0.018018018018018018,0.0,0.009009009009009009,0.036036036036036036,0.02702702702702703,0.02702702702702703,0.009009009009009009,0.036036036036036036,0.0,0.036036036036036036,0.018018018018018018,0.04504504504504504,0.036036036036036036,0.0,0.04504504504504504,0.0,0.036036036036036036,0.0,0.04504504504504504,0.036036036036036036,0.009009009009009009,0.0,0.009009009009009009,0.04504504504504504,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.0,0.018018018018018018,0.0,0.0,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.036036036036036036,0.018018018018018018,0.036036036036036036,0.0,0.0,0.02702702702702703,0.04504504504504504,0.02702702702702703,0.04504504504504504,0.018018018018018018,0.018018018018018018,0.0,0.0,0.036036036036036036,0.04504504504504504,0.0,0.0,0.0
S2_D4 hbo,0.019230769230769232,0.0,0.009615384615384616,0.038461538461538464,0.028846153846153848,0.028846153846153848,0.009615384615384616,0.038461538461538464,0.0,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.009615384615384616,0.0,0.009615384615384616,0.038461538461538464,0.009615384615384616,0.028846153846153848,0.028846153846153848,0.0,0.019230769230769232,0.0,0.0,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.028846153846153848,0.038461538461538464,0.028846153846153848,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
S3_D1 hbo,0.019230769230769232,0.0,0.009615384615384616,0.038461538461538464,0.028846153846153848,0.028846153846153848,0.009615384615384616,0.038461538461538464,0.0,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.009615384615384616,0.0,0.009615384615384616,0.038461538461538464,0.009615384615384616,0.028846153846153848,0.028846153846153848,0.0,0.019230769230769232,0.0,0.0,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.028846153846153848,0.038461538461538464,0.028846153846153848,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
S3_D3 hbo,0.03076923076923077,0.0,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.03076923076923077,0.0,0.03076923076923077,0.0,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.0,0.03076923076923077,0.0,0.0,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0
S3_D4 hbo,0.018018018018018018,0.0,0.009009009009009009,0.036036036036036036,0.02702702702702703,0.02702702702702703,0.009009009009009009,0.036036036036036036,0.0,0.036036036036036036,0.018018018018018018,0.04504504504504504,0.036036036036036036,0.0,0.04504504504504504,0.0,0.036036036036036036,0.0,0.04504504504504504,0.036036036036036036,0.009009009009009009,0.0,0.009009009009009009,0.04504504504504504,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.0,0.018018018018018018,0.0,0.0,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.036036036036036036,0.018018018018018018,0.036036036036036036,0.0,0.0,0.02702702702702703,0.04504504504504504,0.02702702702702703,0.04504504504504504,0.018018018018018018,0.018018018018018018,0.0,0.0,0.036036036036036036,0.04504504504504504,0.0,0.0,0.0
S3_D5 hbo,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0
S4_D2 hbo,0.018018018018018018,0.0,0.009009009009009009,0.036036036036036036,0.02702702702702703,0.02702702702702703,0.009009009009009009,0.036036036036036036,0.0,0.036036036036036036,0.018018018018018018,0.04504504504504504,0.036036036036036036,0.0,0.04504504504504504,0.0,0.036036036036036036,0.0,0.04504504504504504,0.036036036036036036,0.009009009009009009,0.0,0.009009009009009009,0.04504504504504504,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.0,0.018018018018018018,0.0,0.0,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.036036036036036036,0.018018018018018018,0.036036036036036036,0.0,0.0,0.02702702702702703,0.04504504504504504,0.02702702702702703,0.04504504504504504,0.018018018018018018,0.018018018018018018,0.0,0.0,0.036036036036036036,0.04504504504504504,0.0,0.0,0.0
