,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.14966442953020137,-0.026845637583892617,-0.030201342281879196,-0.026845637583892617,0.0,0.023087248322147647,-0.02348993288590604,0.0,0.0,-0.02348993288590604,0.0,0.0,0.0,0.09315436241610738,-0.020134228187919462,0.09651006711409396,-0.016778523489932886,0.0,0.0,-0.03355704697986577,0.0,-0.04697986577181208,-0.026845637583892617,-0.013422818791946308,-0.03355704697986577,-0.026845637583892617,-0.026845637583892617,-0.040268456375838924,-0.020134228187919462,0.07651006711409397,-0.026845637583892617,-0.020134228187919462,0.0665771812080537,0.0,0.04,-0.013422818791946308,0.1731543624161074,-0.02348993288590604,-0.013557046979865772,0.0,0.0,-0.013422818791946308,-0.006711409395973154,0.0,-0.016778523489932886,-0.0068456375838926165,-0.026845637583892617,-0.020134228187919462,-0.020134228187919462,-0.02348993288590604,-0.050335570469798654,-0.00026845637583892273
S1_D3 hbo,-0.03932584269662921,0.07348115740280403,0.008849557522123894,0.009694739982102019,0.017699115044247787,-0.019240330118325544,-0.06333896788306652,0.02654867256637168,0.0,0.0,0.0,0.0,0.0,-0.05772099035497663,-0.033707865168539325,0.02654867256637168,0.02654867256637168,0.0,0.02654867256637168,0.015312717510191906,0.0,-0.0015412150740777564,0.017699115044247787,0.0,-0.02247191011235955,0.008849557522123894,0.017699115044247787,-0.029631102714527194,0.017699115044247787,-0.012777170130257531,-0.030327135328626825,-0.01839514765834742,-0.004772795068111763,0.0120811375161579,0.015312717510191906,0.02654867256637168,-0.056179775280898875,-0.01839514765834742,-0.06179775280898876,0.0,0.06841006264293527,0.02654867256637168,0.0,0.02654867256637168,0.0,0.0,0.02654867256637168,0.0,0.017699115044247787,0.0,-0.03932584269662921,-0.003927612608133638
S2_D1 hbo,-0.02258064516129032,0.020833333333333332,0.1884408602150538,-0.004973118279569894,0.0639784946236559,0.08158602150537635,0.0,-0.00967741935483871,0.0,-0.02258064516129032,0.0,-0.001747311827956989,-0.00967741935483871,0.0,0.0,-0.0002688172043010806,-0.03225806451612903,0.041666666666666664,0.0,-0.02258064516129032,-0.012903225806451613,-0.02903225806451613,-0.03225806451612903,-0.054838709677419356,-0.025806451612903226,-0.021102150537634413,-0.03225806451612903,-0.0114247311827957,0.02553763440860215,0.001478494623655912,0.0,-0.012903225806451613,0.0,0.020833333333333332,0.001478494623655912,-0.012903225806451613,0.0,0.0,0.017338709677419357,-0.0064516129032258064,0.020833333333333332,-0.012903225806451613,0.014381720430107527,-0.0064516129032258064,-0.02258064516129032,-0.02432795698924731,-0.017876344086021508,-0.01935483870967742,-0.004973118279569894,-0.0114247311827957,0.01586021505376344,-0.016129032258064516
S2_D2 hbo,-0.021406727828746176,0.0005976750440785331,-0.02120750281405333,-0.009044815667055152,0.006913108009841716,-0.021406727828746176,0.02014164898544661,0.026457081951209795,0.0,-0.02120750281405333,0.0,0.026457081951209795,0.0,-0.005916982936377492,0.0,-0.008377411867834124,0.01422466604906912,0.0,0.01994242397075377,0.014822341093147652,-0.0061162079510703364,-0.0016635288726852548,-0.0014643038579924099,0.0007969000587713798,-0.00817818685314128,0.002191475161621298,0.0017930251322356011,-0.001265078843299565,0.017481995039297135,0.013029315960912053,-0.009174311926605505,0.02280130293159609,0.0,0.011166562073533955,0.020540099014832305,0.005249579137156464,0.0,0.04234527687296417,-0.02100827779936049,-0.008576636882526972,0.010967337058841106,-0.000866628813913875,-0.001265078843299565,0.014822341093147652,-0.011037065813983605,-0.01123629082867645,-0.0004681787845281851,-0.020410602755281955,-0.013696719760133081,-0.014294394804211616,-0.03669724770642202,-0.016754823735668247
S2_D4 hbo,0.0,0.0,0.012261132210891472,0.009689284966655701,0.058733813810221594,0.01680672268907563,0.04201680672268908,-0.0019737432339483885,0.06722689075630252,-0.0035587188612099642,0.0,-0.011363976195460389,0.0,0.008403361344537815,-0.014234875444839857,0.008702413349681509,-0.006519333712132536,0.01680672268907563,-0.021352313167259787,-0.016507670683931934,-0.028469750889679714,0.019378569933311402,0.003857770866353659,-0.010377104578486201,-0.021352313167259787,-0.046263345195729534,0.012261132210891472,-0.010377104578486201,-0.0009868716169741942,-0.015221747061814051,0.0,-0.0009868716169741942,0.0,-0.021352313167259787,-0.021053261162116088,0.007416489727563622,0.0,0.025210084033613446,-0.028469750889679714,0.020664493555429292,0.008403361344537815,0.00029905200514369554,-0.028469750889679714,-0.011663028200604084,0.027781931277849222,-0.042704626334519574,-0.0009868716169741942,0.003857770866353659,-0.028469750889679714,-0.010676156583629894,0.0,0.03361344537815126
S3_D1 hbo,0.029627928341754706,0.007732353391517378,0.1074873679375287,-0.022508038585209004,0.11904761904761904,0.10235798499464094,-0.01607717041800643,0.0,0.023809523809523808,-0.02572347266881029,0.0,0.0,0.0,0.06951462256928495,-0.01929260450160772,0.1267799724391364,-0.01607717041800643,0.0,0.0,-0.028938906752411574,0.0,-0.03858520900321544,-0.04823151125401929,-0.012861736334405145,-0.03858520900321544,-0.01929260450160772,-0.022508038585209004,-0.01156025111009034,0.00451691930791609,0.007732353391517378,-0.01607717041800643,-0.012861736334405145,-0.006430868167202572,0.0,0.0,-0.012861736334405145,0.055351401010564995,-0.01607717041800643,-0.03215434083601286,0.0,0.0,-0.012861736334405145,-0.006430868167202572,0.0,-0.01929260450160772,0.00451691930791609,-0.04823151125401929,-0.03536977491961415,-0.03858520900321544,-0.04501607717041801,0.0058184045322308975,-0.04180064308681672
S3_D3 hbo,-0.038461538461538464,-0.07971824686940965,0.0,0.019528920691711388,0.023255813953488372,-0.02403846153846154,-0.03894603458556947,0.06201550387596899,0.0,0.011627906976744186,0.0,0.03488372093023256,0.0,-0.07211538461538461,-0.021094215861657724,0.015503875968992248,0.05813953488372093,0.011627906976744186,0.027131782945736434,0.029144305307096004,0.0,0.01472122838401908,0.03875968992248062,0.011627906976744186,-0.003726893261776984,0.00014907573047107797,0.046511627906976744,-0.03257304710793083,0.023255813953488372,-0.038461538461538464,-0.08653846153846154,-0.01039803220035778,-0.02403846153846154,0.015503875968992248,0.015503875968992248,0.046511627906976744,-0.04326923076923077,0.00029815146094215594,-0.07692307692307693,-0.011478831246273108,0.023255813953488372,0.046511627906976744,0.011627906976744186,0.03875968992248062,0.015652951699463326,0.0,0.018448121645796064,0.027131782945736434,-0.012410554561717354,0.0,-0.038461538461538464,-0.034436493738819324
S3_D4 hbo,0.0,0.011111111111111112,-0.012307692307692308,0.03458689458689459,-0.01840455840455841,0.0,0.05185185185185185,0.006324786324786322,0.0,-0.0049002849002849,-0.006153846153846154,-0.018974358974358972,0.0,0.0,0.011111111111111112,0.0025071225071225077,-0.00660968660968661,0.007407407407407408,-0.007293447293447296,0.013675213675213675,-0.03076923076923077,0.02165242165242165,0.009344729344729342,0.0025071225071225077,-0.009173789173789176,-0.017777777777777778,0.016752136752136753,-0.01903133903133903,0.0013105413105413098,-0.015384615384615385,0.0,0.009914529914529915,0.0,-0.024558404558404558,-0.025185185185185185,0.014301994301994303,0.0,0.040740740740740744,-0.012307692307692308,-0.010427350427350426,0.012991452991452991,0.008148148148148147,-0.015954415954415956,0.02290598290598291,0.01242165242165242,-0.021538461538461538,0.0013105413105413098,-0.001766381766381768,-0.025811965811965813,-0.018461538461538463,0.0,0.009914529914529915
S3_D5 hbo,0.0,0.0,0.0,0.0,0.13793103448275862,0.017241379310344827,0.0,0.0,-0.2421289355322339,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931,-0.021739130434782608,0.05172413793103448,0.0,-0.021739130434782608,-0.08695652173913043,0.0,0.0,0.0,0.0,-0.021739130434782608,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021739130434782608,0.0,-0.2391304347826087,0.0,0.0
S4_D2 hbo,-0.03571428571428571,0.0,-0.03571428571428571,-0.031746031746031744,-0.003968253968253968,-0.027777777777777776,0.06382978723404255,0.04398851739277271,-0.003968253968253968,0.37394461330631545,0.09844647078689632,0.0732016210739615,0.06382978723404255,0.0,0.0425531914893617,-0.027777777777777776,-0.03968253968253968,0.0,-0.011904761904761904,-0.014437689969604862,0.0,-0.03571428571428571,-0.03571428571428571,-0.01984126984126984,-0.023809523809523808,-0.031746031746031744,-0.031746031746031744,-0.03571428571428571,0.04002026342451874,-0.003968253968253968,0.0,-0.003968253968253968,-0.003968253968253968,-0.015873015873015872,-0.003968253968253968,-0.027777777777777776,0.0,0.0,-0.031746031746031744,0.017308341776426883,-0.015873015873015872,-0.031746031746031744,0.030648429584599797,-0.011904761904761904,-0.023809523809523808,-0.031746031746031744,-0.03968253968253968,-0.023809523809523808,-0.03571428571428571,-0.031746031746031744,-0.027777777777777776,-0.03571428571428571
