,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
Fz,0.042328042328042326,0.0,0.04365079365079365,0.03439153439153439,0.0,0.0,0.0,0.042328042328042326,0.0,0.0,0.0,0.03835978835978836,0.0,0.0,0.0,0.03042328042328042,0.0,0.04365079365079365,0.031746031746031744,0.0,0.042328042328042326,0.0,0.0,0.0,0.04365079365079365,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03968253968253968,0.04365079365079365,0.0,0.03835978835978836,0.0,0.03835978835978836,0.027777777777777776,0.0,0.0,0.0,0.041005291005291,0.0,0.02513227513227513,0.0,0.0,0.022486772486772486,0.0,0.03835978835978836,0.0,0.03835978835978836,0.03439153439153439,0.031746031746031744,0.041005291005291,0.0,0.041005291005291,0.04365079365079365,0.026455026455026454
F3,0.0,0.05635838150289017,0.0,0.0,0.05346820809248555,0.0,0.05491329479768786,0.0,0.05057803468208093,0.014450867052023121,0.0,0.0,0.0,0.046242774566473986,0.05202312138728324,0.0,0.03468208092485549,0.0,0.0,0.044797687861271675,0.0,0.0,0.0,0.05057803468208093,0.0,0.04190751445086705,0.049132947976878616,0.05057803468208093,0.03468208092485549,0.0,0.05491329479768786,0.0,0.0,0.0,0.05635838150289017,0.0,0.049132947976878616,0.0,0.0,0.0,0.0,0.05057803468208093,0.0,0.0,0.0,0.03468208092485549,0.01878612716763006,0.0,0.0,0.0,0.0476878612716763,0.0,0.0,0.0,0.0,0.05346820809248555,0.0,0.0,0.0
F7,0.03841676367869616,0.0,0.04307334109429569,0.034924330616996506,0.0,0.0,0.0,0.04190919674039581,0.0,0.0011641443538998836,0.0,0.03841676367869616,0.0,0.0,0.0,0.03143189755529686,0.0,0.04423748544819558,0.03259604190919674,0.0,0.04190919674039581,0.0,0.0,0.0,0.04423748544819558,0.0,0.0,0.0,0.0,0.03608847497089639,0.0,0.0,0.03958090803259604,0.04423748544819558,0.0,0.03841676367869616,0.0,0.03841676367869616,0.02910360884749709,0.0,0.0,0.0,0.04074505238649592,0.0,0.02677532013969732,0.0,0.0,0.024447031431897557,0.0,0.03841676367869616,0.0,0.03841676367869616,0.034924330616996506,0.02910360884749709,0.04074505238649592,0.0,0.04074505238649592,0.04423748544819558,0.023282887077997673
FT9,0.03297997644287397,0.0,0.03769140164899882,0.04004711425206125,0.0,0.0,0.0,0.04122497055359246,0.0,0.0,0.0,0.038869257950530034,0.0,0.0,0.0,0.03651354534746761,0.0,0.03769140164899882,0.03769140164899882,0.0,0.038869257950530034,0.0,0.0,0.0,0.04122497055359246,0.0,0.0,0.0,0.0,0.04122497055359246,0.0,0.0,0.038869257950530034,0.03651354534746761,0.0,0.04122497055359246,0.0,0.04122497055359246,0.03297997644287397,0.0,0.0,0.0,0.03651354534746761,0.0,0.03180212014134275,0.0,0.0,0.02944640753828033,0.0,0.04122497055359246,0.0,0.04122497055359246,0.04004711425206125,0.02120141342756184,0.04122497055359246,0.0,0.04122497055359246,0.04122497055359246,0.020023557126030624
FC5,0.0,0.05547226386806597,0.0,0.0,0.053973013493253376,0.0,0.05547226386806597,0.0,0.050974512743628186,0.013493253373313344,0.0,0.0,0.0,0.047976011994003,0.05247376311844078,0.0,0.034482758620689655,0.0,0.0,0.046476761619190406,0.0,0.0,0.0,0.050974512743628186,0.0,0.041979010494752625,0.050974512743628186,0.049475262368815595,0.034482758620689655,0.0,0.053973013493253376,0.0,0.0,0.0,0.05547226386806597,0.0,0.049475262368815595,0.0,0.0,0.0,0.0,0.049475262368815595,0.0,0.0,0.0,0.034482758620689655,0.019490254872563718,0.0,0.0,0.0,0.046476761619190406,0.0,0.0,0.0,0.0,0.05247376311844078,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.056768558951965066,0.0,0.0,0.053857350800582245,0.0,0.055312954876273655,0.0,0.050946142649199416,0.01455604075691412,0.0,0.0,0.0,0.046579330422125184,0.05240174672489083,0.0,0.034934497816593885,0.0,0.0,0.04512372634643377,0.0,0.0,0.0,0.050946142649199416,0.0,0.042212518195050945,0.049490538573508006,0.049490538573508006,0.034934497816593885,0.0,0.053857350800582245,0.0,0.0,0.0,0.056768558951965066,0.0,0.049490538573508006,0.0,0.0,0.0,0.0,0.049490538573508006,0.0,0.0,0.0,0.034934497816593885,0.018922852983988356,0.0,0.0,0.0,0.046579330422125184,0.0,0.0,0.0,0.0,0.05240174672489083,0.0,0.0,0.0
T7,0.03081232492997199,0.0,0.035480859010270774,0.032679738562091505,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.032679738562091505,0.0,0.0,0.0,0.029878618113912233,0.0,0.035480859010270774,0.03081232492997199,0.0,0.035480859010270774,0.0,0.0,0.0,0.06069094304388422,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.03361344537815126,0.03454715219421102,0.0,0.0457516339869281,0.0,0.055088702147525676,0.026143790849673203,0.0,0.0,0.0,0.032679738562091505,0.0,0.026143790849673203,0.0,0.0,0.02427637721755369,0.0,0.035480859010270774,0.0,0.05042016806722689,0.031746031746031744,0.022408963585434174,0.036414565826330535,0.0,0.036414565826330535,0.059757236227824466,0.018674136321195144
TP9,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.0,0.05454545454545454,0.0,0.05303030303030303,0.015151515151515152,0.0,0.0,0.0,0.048484848484848485,0.05454545454545454,0.0,0.03636363636363636,0.0,0.0,0.04696969696969697,0.0,0.0,0.0,0.05303030303030303,0.0,0.04393939393939394,0.051515151515151514,0.04696969696969697,0.031818181818181815,0.0,0.051515151515151514,0.0,0.0,0.0,0.05454545454545454,0.0,0.051515151515151514,0.0,0.0,0.0,0.0,0.04696969696969697,0.0,0.0,0.0,0.03636363636363636,0.019696969696969695,0.0,0.0,0.0,0.04393939393939394,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
CP5,0.0,0.05309734513274336,0.0,0.0,0.048672566371681415,0.0,0.05309734513274336,0.0,0.05309734513274336,0.06637168141592921,0.0,0.0,0.0,0.04424778761061947,0.061946902654867256,0.0,0.05752212389380531,0.0,0.0,0.030973451327433628,0.0,0.0,0.0,0.061946902654867256,0.0,0.06637168141592921,0.03982300884955752,0.02654867256637168,0.0,0.0,0.03982300884955752,0.0,0.0,0.0,0.05309734513274336,0.0,0.05752212389380531,0.0,0.0,0.0,0.0,0.02654867256637168,0.0,0.0,0.0,0.05752212389380531,0.03982300884955752,0.0,0.0,0.0,0.017699115044247787,0.0,0.0,0.004424778761061947,0.0,0.035398230088495575,0.0,0.004424778761061947,0.0
