,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
Fz,0.08351488743645606,0.0,0.02578068264342774,0.03104575163398693,0.021604938271604937,0.03812636165577342,0.046840958605664486,0.011801016702977488,0.022331154684095862,0.033950617283950615,0.05246913580246913,0.0,0.0,0.0,0.03467683369644154,0.038852578068264344,0.0,0.0,0.019970951343500364,0.0,0.0,0.0,0.0570079883805374,0.00962236746550472,0.05737109658678286,0.0,0.0,0.0,0.0,0.0,0.0,0.012708787218591141,0.0,0.03776325344952796,0.0,0.026688453159041396,0.0,0.0,0.0,0.0,0.070079883805374,0.0,0.0,0.0,0.024328249818445898,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.07207697893972403,0.036129266521423384,0.03649237472766884,0.0,0.036129266521423384,0.02559912854030501,0.0
F3,0.0,0.08121827411167512,0.0,0.017180788754392814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016399843811011325,0.0,0.0,0.0,0.0,0.08199921905505662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030456852791878174,0.0,0.03787582975400234,0.030456852791878174,0.0,0.06833268254588051,0.0,0.0,0.0,0.01952362358453729,0.0,0.0468566966028895,0.051542366263178443,0.069113627489262,0.08199921905505662,0.0,0.0,0.0,0.06013276064037485,0.0,0.08199921905505662,0.08121827411167512,0.0,0.009371339320577899,0.0,0.0,0.08199921905505662,0.0,0.0,0.008199921905505662,0.030456852791878174,0.013666536509176102,0.0,0.0
F7,0.04025719876991893,0.0,0.09365389991613084,0.01761252446183953,0.0,0.0016773832820799553,0.02460162147050601,0.0,0.02460162147050601,0.02460162147050601,0.0,0.0,0.0,0.0,0.05954710651383841,0.02096729102599944,0.0,0.0,0.03941850712887895,0.0,0.0,0.0,0.09421302767682416,0.05535364830863852,0.09421302767682416,0.0,0.0,0.0,0.0,0.0,0.0,0.02460162147050601,0.0,0.09421302767682416,0.0,0.02460162147050601,0.0,0.0,0.0,0.0,0.026838132513279284,0.0,0.0,0.0,0.02460162147050601,0.0,0.0,0.005032149846239866,0.0,0.0,0.0,0.0,0.07715963097567795,0.030192899077439196,0.0424937098126922,0.0,0.0349454850433324,0.02460162147050601,0.0
FT9,0.040347910123218166,0.01111379560280261,0.0147378593863252,0.1154868325682532,0.035032616574051705,0.005073689296931626,0.010147378593863252,0.007489731819280019,0.0,0.0,0.027784489007006523,0.0,0.0,0.0,0.0,0.0,0.032374969799468474,0.0,0.02899251026818072,0.0,0.0,0.0,0.01763711041314327,0.0,0.017153901908673594,0.0,0.0,0.0,0.0,0.020294757187726505,0.0024160425223483935,0.0,0.0,0.015945880647499397,0.0,0.0,0.007972940323749698,0.041314327132157526,0.024402029475718772,0.017153901908673594,0.07272287992268664,0.0,0.0,0.015221067890794878,0.0,0.03213336554723363,0.02850930176371104,0.048804058951437544,0.0,0.0,0.0,0.03334138680840783,0.03913988886204397,0.07223967141821697,0.07827977772408794,0.0,0.08673592655230732,0.0,0.0
FC5,0.0962962962962963,0.0,0.0,0.11934156378600823,0.11851851851851852,0.0024691358024691358,0.019753086419753086,0.010699588477366255,0.0,0.0,0.07983539094650206,0.0,0.0,0.0,0.0,0.0,0.013991769547325103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10123456790123457,0.0,0.0,0.0,0.0,0.01316872427983539,0.0008230452674897119,0.03950617283950617,0.0,0.0,0.0,0.01728395061728395,0.043621399176954734,0.11934156378600823,0.097119341563786,0.0,0.10699588477366255,0.0,0.0
FC1,0.07209062821833162,0.0,0.0013731548232063166,0.00789564023343632,0.0017164435290078957,0.07174733951253004,0.07209062821833162,0.01922416752488843,0.032612427051150014,0.05458290422245108,0.06728458633710951,0.0,0.0,0.0,0.05080672845863371,0.06385169927909372,0.0,0.0,0.0,0.0,0.0,0.0,0.06041881222107793,0.008582217645039478,0.061105389632681084,0.0,0.0,0.0,0.0,0.0,0.0,0.014418125643666324,0.0,0.024030209406110538,0.0,0.040851355990387916,0.0,0.0,0.0,0.0,0.07106076210092688,0.0,0.0,0.0,0.036388602814967384,0.0,0.0,0.05492619292825266,0.0,0.0,0.0,0.0,0.07209062821833162,0.0020597322348094747,0.0,0.0,0.0,0.038791623755578444,0.0
C3,0.058876811594202896,0.0,0.019927536231884056,0.009963768115942028,0.00588768115942029,0.04755434782608696,0.07155797101449275,0.014719202898550724,0.04098731884057971,0.05548007246376811,0.04913949275362319,0.0,0.0,0.0,0.05298913043478261,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.059329710144927536,0.025135869565217392,0.059782608695652176,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.035326086956521736,0.0,0.04642210144927536,0.0,0.0,0.0,0.0,0.051630434782608696,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.04098731884057971,0.0,0.0,0.0,0.0,0.07042572463768115,0.006114130434782609,0.0,0.0,0.0022644927536231885,0.04506340579710145,0.0
T7,0.09984639016897082,0.0,0.0,0.05069124423963134,0.02304147465437788,0.08294930875576037,0.09984639016897082,0.09831029185867896,0.0,0.006144393241167435,0.09984639016897082,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03533026113671275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09984639016897082,0.0,0.0,0.0,0.0,0.0,0.0,0.09984639016897082,0.0,0.0,0.0,0.0,0.09984639016897082,0.02457757296466974,0.0,0.0,0.0,0.0,0.0
TP9,0.03548112404200965,0.0,0.024978711325574793,0.0,0.0,0.02753335225659949,0.05194436559750213,0.0,0.07976156684643769,0.06017598637524837,0.02327561737155833,0.0,0.0,0.0,0.07692307692307693,0.04711893272778882,0.0,0.0,0.0,0.0,0.0,0.0,0.06869145614533069,0.04371274481975589,0.06017598637524837,0.0,0.0,0.0,0.0,0.0,0.0,0.04286119784274766,0.0,0.04797047970479705,0.0008515469770082316,0.0746522849843883,0.0,0.0,0.0,0.0,0.02639795628725518,0.0,0.0,0.0,0.07408458699971615,0.0,0.0,0.013057053647459552,0.0,0.0,0.0,0.0,0.04995742265114959,0.0,0.0,0.0,0.0,0.07039455009934714,0.0
CP5,0.04708520179372197,0.0,0.02192326856003986,0.0,0.0,0.0401096163428002,0.06153462879920279,0.0014947683109118087,0.052316890881913304,0.06826108619830593,0.036372695565520675,0.0,0.0,0.0,0.06552067762830095,0.057299451918286,0.0,0.0,0.0,0.0,0.0,0.0,0.06851021425012456,0.03487792725460887,0.06851021425012456,0.0,0.0,0.0,0.0,0.0,0.0,0.03761833582461385,0.0,0.04210264075734928,0.0,0.05829596412556054,0.0,0.0,0.0,0.0,0.03911310413552566,0.0,0.0,0.0,0.055057299451918285,0.0,0.0,0.027404085700049825,0.0,0.0,0.0,0.0,0.059790732436472344,0.0,0.0,0.0,0.0,0.05680119581464873,0.0
