,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.2642582285439428,0.0,0.020202020202020204,0.14096749811035525,0.01936026936026936,0.0,0.0,0.0,0.016835016835016835,0.0,0.020202020202020204,0.01430976430976431,0.016835016835016835,0.016835016835016835,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.013468013468013467,0.010942760942760943,0.0,0.011784511784511785,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.01936026936026936,0.015993265993265993,0.0,0.0,0.0,0.0,0.0,0.0,0.1326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.013468013468013467,0.0,0.015993265993265993,0.015993265993265993,0.01430976430976431,0.0,0.020202020202020204,0.01430976430976431,0.018518518518518517,0.0,0.0,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.0,0.016835016835016835,0.020202020202020204,0.005892255892255892,0.0,0.0
bankssts-rh,0.0,0.1323529411764706,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.11029411764705882,0.0,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0171875,0.0,0.07445262738853503,0.01640625,0.02109375,0.0,0.00234375,0.0,0.01875,0.0,0.01796875,0.01484375,0.01875,0.01484375,0.0,0.01796875,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.057867237261146495,0.0,0.0140625,0.0,0.0,0.054140127388535034,0.0,0.0078125,0.041401273885350316,0.07841859076433122,0.030707603503184713,0.0,0.0,0.025477707006369428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022292993630573247,0.0,0.01953125,0.01171875,0.054140127388535034,0.0140625,0.01796875,0.0125,0.0,0.02109375,0.0125,0.03942078025477707,0.003125,0.0,0.01875,0.0752935907643312,0.0203125,0.0,0.01875,0.0203125,0.06201234076433121,0.0,0.0
caudalanteriorcingulate-rh,0.2203735144312394,0.0,0.019524617996604415,0.20285795132993772,0.01867572156196944,0.0,0.0,0.0,0.016129032258064516,0.0,0.019524617996604415,0.013582342954159592,0.016129032258064516,0.017826825127334467,0.0,0.02037351443123939,0.0,0.0,0.0,0.0,0.0,0.0,0.013582342954159592,0.010186757215619695,0.0,0.011035653650254669,0.0,0.0,0.0,0.0,0.010186757215619695,0.0,0.01867572156196944,0.015280135823429542,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02037351443123939,0.014431239388794566,0.0,0.01697792869269949,0.015280135823429542,0.015280135823429542,0.0,0.019524617996604415,0.015280135823429542,0.017826825127334467,0.0,0.0,0.02037351443123939,0.02037351443123939,0.02037351443123939,0.0,0.016129032258064516,0.02037351443123939,0.006791171477079796,0.0,0.0
caudalmiddlefrontal-lh,0.016719745222929936,0.0,0.019904458598726114,0.01592356687898089,0.10622695273214884,0.0,0.0031847133757961785,0.0,0.026483405967147166,0.0,0.030673818303721085,0.015127388535031847,0.019904458598726114,0.03406805229634596,0.0,0.01751592356687898,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.006578947368421052,0.0,0.0,0.011146496815286623,0.014331210191082803,0.006578947368421052,0.015127388535031847,0.0,0.0,0.0,0.0,0.007165605095541401,0.0,0.020700636942675158,0.01910828025477707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08552631578947369,0.01910828025477707,0.011146496815286623,0.0,0.013535031847133758,0.01910828025477707,0.01194267515923567,0.0,0.020700636942675158,0.01194267515923567,0.020700636942675158,0.003980891719745223,0.0,0.018312101910828025,0.01751592356687898,0.019904458598726114,0.0,0.019904458598726114,0.019904458598726114,0.003980891719745223,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.057692307692307696,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028846153846153848,0.0,0.0,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.0,0.0,0.006097560975609756,0.0,0.012195121951219513,0.0,0.07926829268292683,0.0,0.036585365853658534,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018292682926829267,0.0,0.0,0.012195121951219513,0.0,0.012195121951219513,0.08536585365853659,0.0,0.0,0.0,0.006097560975609756,0.0,0.03048780487804878,0.006097560975609756,0.0,0.0,0.0
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.015358361774744027,0.0,0.01877133105802048,0.014505119453924915,0.0784481027906043,0.0,0.006825938566552901,0.0,0.052449307367998396,0.0,0.07503513350732785,0.016211604095563138,0.02303754266211604,0.07162216422405139,0.0,0.016211604095563138,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.0,0.0,0.00938566552901024,0.01877133105802048,0.029411764705882353,0.01962457337883959,0.0,0.0,0.0,0.0,0.005119453924914676,0.0,0.01962457337883959,0.02303754266211604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.017918088737201365,0.00938566552901024,0.0,0.011945392491467578,0.020477815699658702,0.010238907849829351,0.0,0.01962457337883959,0.010238907849829351,0.01962457337883959,0.007679180887372013,0.0,0.017064846416382253,0.016211604095563138,0.01877133105802048,0.0,0.02218430034129693,0.01877133105802048,0.0017064846416382253,0.0,0.0
entorhinal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
