,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.053613053613053616,0.04195804195804196,0.04195804195804196,0.04312354312354312,0.03496503496503497,0.037296037296037296,0.017482517482517484,0.03496503496503497,0.0,0.037296037296037296,0.03146853146853147,0.03146853146853147,0.04195804195804196,0.03146853146853147,0.0,0.008158508158508158,0.03263403263403263,0.005827505827505828,0.04079254079254079,0.023310023310023312,0.006993006993006993,0.008158508158508158,0.008158508158508158,0.006993006993006993,0.008158508158508158,0.015151515151515152,0.019813519813519812,0.019813519813519812,0.008158508158508158,0.006993006993006993,0.013986013986013986,0.004662004662004662,0.03263403263403263,0.0,0.011655011655011656,0.009324009324009324,0.009324009324009324,0.005827505827505828,0.024475524475524476,0.027972027972027972,0.013986013986013986,0.011655011655011656,0.026806526806526808,0.03613053613053613,0.009324009324009324,0.024475524475524476,0.002331002331002331,0.009324009324009324,0.008158508158508158,0.008158508158508158,0.005827505827505828,0.005827505827505828
S1_D3 hbo,0.034904013961605584,0.04537521815008726,0.02443280977312391,0.02530541012216405,0.020942408376963352,0.020942408376963352,0.011343804537521814,0.019197207678883072,0.011343804537521814,0.029668411867364748,0.01832460732984293,0.01832460732984293,0.04013961605584642,0.016579406631762654,0.0,0.02006980802792321,0.019197207678883072,0.01832460732984293,0.03926701570680628,0.027923211169284468,0.019197207678883072,0.02006980802792321,0.02006980802792321,0.019197207678883072,0.02006980802792321,0.011343804537521814,0.014834205933682374,0.027050610820244327,0.02006980802792321,0.0017452006980802793,0.02443280977312391,0.0,0.030541012216404886,0.007853403141361256,0.006980802792321117,0.020942408376963352,0.008726003490401396,0.0,0.029668411867364748,0.029668411867364748,0.019197207678883072,0.02268760907504363,0.014834205933682374,0.034904013961605584,0.020942408376963352,0.016579406631762654,0.0,0.020942408376963352,0.02006980802792321,0.0008726003490401396,0.01832460732984293,0.016579406631762654
S2_D1 hbo,0.03363914373088685,0.0254841997961264,0.05504587155963303,0.03669724770642202,0.03160040774719674,0.040774719673802244,0.0163098878695209,0.0417940876656473,0.0,0.03873598369011213,0.029561671763506627,0.03058103975535168,0.0326197757390418,0.03771661569826707,0.0,0.0,0.03058103975535168,0.0,0.040774719673802244,0.012232415902140673,0.0,0.0,0.0,0.0,0.0,0.0020387359836901123,0.01834862385321101,0.0254841997961264,0.009174311926605505,0.0163098878695209,0.014271151885830785,0.014271151885830785,0.03771661569826707,0.0050968399592252805,0.01834862385321101,0.012232415902140673,0.017329255861365953,0.0254841997961264,0.03363914373088685,0.026503567787971458,0.01834862385321101,0.012232415902140673,0.0326197757390418,0.03771661569826707,0.012232415902140673,0.029561671763506627,0.011213047910295617,0.012232415902140673,0.0,0.0163098878695209,0.0,0.007135575942915392
S2_D2 hbo,0.04881450488145049,0.03765690376569038,0.05299860529986053,0.05299860529986053,0.044630404463040445,0.04881450488145049,0.022315202231520222,0.04184100418410042,0.0,0.04881450488145049,0.040446304044630406,0.040446304044630406,0.044630404463040445,0.04184100418410042,0.0,0.0,0.04184100418410042,0.0,0.040446304044630406,0.016736401673640166,0.0,0.0,0.0,0.0,0.0,0.0,0.008368200836820083,0.015341701534170154,0.0,0.012552301255230125,0.009762900976290097,0.009762900976290097,0.04184100418410042,0.0,0.015341701534170154,0.0,0.01394700139470014,0.009762900976290097,0.026499302649930265,0.02789400278940028,0.015341701534170154,0.0,0.03486750348675035,0.04184100418410042,0.0,0.02789400278940028,0.005578800557880056,0.0,0.0,0.012552301255230125,0.0,0.005578800557880056
S2_D4 hbo,0.03558718861209965,0.028469750889679714,0.04033214709371293,0.03795966785290629,0.05812574139976275,0.03558718861209965,0.017793594306049824,0.036773428232502965,0.0,0.04151838671411625,0.054567022538552785,0.04151838671411625,0.045077105575326216,0.045077105575326216,0.0,0.0,0.04389086595492289,0.005931198102016607,0.042704626334519574,0.014234875444839857,0.0,0.0,0.0,0.0,0.0,0.005931198102016607,0.013048635824436536,0.021352313167259787,0.005931198102016607,0.0071174377224199285,0.0166073546856465,0.0071174377224199285,0.04389086595492289,0.004744958481613286,0.0071174377224199285,0.0,0.02965599051008304,0.02609727164887307,0.018979833926453145,0.03202846975088968,0.021352313167259787,0.0,0.03795966785290629,0.03202846975088968,0.0,0.01542111506524318,0.0071174377224199285,0.0,0.0,0.014234875444839857,0.0,0.0071174377224199285
S3_D1 hbo,0.03647798742138365,0.026415094339622643,0.04905660377358491,0.04025157232704402,0.033962264150943396,0.06540880503144654,0.022641509433962263,0.045283018867924525,0.0,0.04654088050314465,0.031446540880503145,0.03270440251572327,0.03522012578616352,0.04779874213836478,0.0,0.0,0.03270440251572327,0.0,0.033962264150943396,0.011320754716981131,0.0,0.0,0.0,0.0,0.0,0.0,0.007547169811320755,0.016352201257861635,0.0,0.021383647798742137,0.006289308176100629,0.01761006289308176,0.04150943396226415,0.005031446540880503,0.02389937106918239,0.0,0.02012578616352201,0.016352201257861635,0.031446540880503145,0.03018867924528302,0.021383647798742137,0.0,0.03647798742138365,0.045283018867924525,0.0,0.027672955974842768,0.012578616352201259,0.0,0.0,0.018867924528301886,0.0,0.00880503144654088
S3_D3 hbo,0.034031413612565446,0.028795811518324606,0.03664921465968586,0.03664921465968586,0.03926701570680628,0.041884816753926704,0.07068062827225131,0.04712041884816754,0.0,0.05235602094240838,0.03664921465968586,0.02356020942408377,0.028795811518324606,0.06544502617801047,0.002617801047120419,0.0,0.02356020942408377,0.010471204188481676,0.02356020942408377,0.0,0.0,0.0,0.0,0.0,0.0,0.010471204188481676,0.010471204188481676,0.013089005235602094,0.010471204188481676,0.028795811518324606,0.015706806282722512,0.013089005235602094,0.031413612565445025,0.013089005235602094,0.041884816753926704,0.0,0.015706806282722512,0.01832460732984293,0.034031413612565446,0.010471204188481676,0.010471204188481676,0.0,0.020942408376963352,0.034031413612565446,0.0,0.04712041884816754,0.002617801047120419,0.007853403141361256,0.0,0.007853403141361256,0.0,0.0
S3_D4 hbo,0.021701388888888888,0.014756944444444444,0.035590277777777776,0.024305555555555556,0.024305555555555556,0.030381944444444444,0.017361111111111112,0.059895833333333336,0.010416666666666666,0.04079861111111111,0.030381944444444444,0.026909722222222224,0.028645833333333332,0.035590277777777776,0.004340277777777778,0.0,0.03125,0.011284722222222222,0.034722222222222224,0.004340277777777778,0.0,0.0,0.0,0.0,0.0,0.017361111111111112,0.024305555555555556,0.027777777777777776,0.013888888888888888,0.026041666666666668,0.001736111111111111,0.024305555555555556,0.036458333333333336,0.024305555555555556,0.027777777777777776,0.0078125,0.013888888888888888,0.017361111111111112,0.03125,0.03125,0.024305555555555556,0.0078125,0.042534722222222224,0.03125,0.0078125,0.03211805555555555,0.009548611111111112,0.009548611111111112,0.0,0.016493055555555556,0.0,0.006076388888888889
S3_D5 hbo,0.0,0.024208566108007448,0.0,0.0,0.0,0.0,0.0,0.0148975791433892,0.07262569832402235,0.01675977653631285,0.0,0.0,0.024208566108007448,0.0074487895716946,0.01675977653631285,0.024208566108007448,0.0,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.024208566108007448,0.0,0.0,0.024208566108007448,0.024208566108007448,0.035381750465549346,0.024208566108007448,0.0335195530726257,0.024208566108007448,0.05027932960893855,0.037243947858473,0.024208566108007448,0.01303538175046555,0.0,0.0335195530726257,0.03910614525139665,0.024208566108007448,0.024208566108007448,0.037243947858473,0.024208566108007448,0.024208566108007448,0.0111731843575419,0.0,0.024208566108007448,0.024208566108007448,0.0,0.024208566108007448,0.024208566108007448
S4_D2 hbo,0.018979057591623036,0.021596858638743454,0.024214659685863876,0.020942408376963352,0.020942408376963352,0.025523560209424083,0.0137434554973822,0.031413612565445025,0.007198952879581152,0.05301047120418848,0.0281413612565445,0.024214659685863876,0.03599476439790576,0.024869109947643978,0.0006544502617801048,0.00981675392670157,0.028795811518324606,0.020287958115183247,0.03795811518324607,0.015052356020942409,0.010471204188481676,0.00981675392670157,0.00981675392670157,0.00981675392670157,0.00981675392670157,0.013089005235602094,0.017015706806282723,0.029450261780104712,0.021596858638743454,0.01112565445026178,0.00981675392670157,0.00981675392670157,0.03337696335078534,0.02617801047120419,0.01112565445026178,0.00981675392670157,0.024214659685863876,0.014397905759162303,0.025523560209424083,0.03468586387434555,0.03337696335078534,0.007198952879581152,0.030104712041884817,0.032722513089005235,0.009162303664921465,0.0137434554973822,0.007198952879581152,0.010471204188481676,0.00981675392670157,0.015052356020942409,0.010471204188481676,0.016361256544502618
