,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.058333333333333334,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058333333333333334,0.0625,0.0,0.0,0.0375,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0625,0.0,0.0,0.0,0.0,0.0125,0.0,0.016666666666666666,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0
Fz,0.0,0.05973025048169557,0.0,0.0,0.0,0.0,0.06165703275529865,0.06165703275529865,0.0,0.007707129094412331,0.0,0.06165703275529865,0.0,0.0,0.0,0.03468208092485549,0.0,0.0,0.030828516377649325,0.0,0.0,0.0,0.0,0.0,0.0,0.06165703275529865,0.0,0.04238921001926782,0.0,0.0,0.0,0.04816955684007707,0.04238921001926782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06165703275529865,0.06165703275529865,0.01348747591522158,0.0,0.06165703275529865,0.03468208092485549,0.05394990366088632,0.04238921001926782,0.0,0.0,0.06165703275529865,0.0,0.0,0.0,0.0,0.055876685934489405,0.04046242774566474,0.0
F3,0.03865979381443299,0.0,0.061855670103092786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05154639175257732,0.06443298969072164,0.0,0.0,0.03865979381443299,0.06443298969072164,0.0,0.06443298969072164,0.06443298969072164,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.05412371134020619,0.0,0.0,0.0,0.0,0.007731958762886598,0.0,0.02577319587628866,0.0,0.0,0.06443298969072164,0.05412371134020619,0.0,0.06443298969072164,0.06443298969072164,0.06443298969072164,0.0,0.0,0.0,0.06443298969072164,0.0,0.0,0.0,0.0,0.0,0.02577319587628866,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.05504587155963303,0.0,0.0,0.0,0.0,0.062385321100917435,0.06422018348623854,0.0,0.014678899082568808,0.0,0.06422018348623854,0.0,0.0,0.0,0.04036697247706422,0.0,0.0,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.0,0.06422018348623854,0.0,0.03853211009174312,0.0,0.0,0.0,0.044036697247706424,0.047706422018348627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060550458715596334,0.06422018348623854,0.011009174311926606,0.0,0.06422018348623854,0.031192660550458717,0.04954128440366973,0.03853211009174312,0.0,0.0,0.060550458715596334,0.0,0.0,0.0,0.0,0.05137614678899083,0.03669724770642202,0.0
C3,0.0,0.037122969837587005,0.0,0.0,0.0,0.0,0.04060324825986079,0.09976798143851508,0.0,0.012761020881670533,0.0,0.06148491879350348,0.0,0.0,0.0,0.029002320185614848,0.0,0.0,0.02668213457076566,0.0,0.0,0.0,0.0,0.0,0.0,0.09976798143851508,0.0,0.029002320185614848,0.0,0.0,0.0,0.03596287703016241,0.031322505800464036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07308584686774942,0.09744779582366589,0.013921113689095127,0.0,0.08236658932714618,0.027842227378190254,0.03944315545243619,0.03248259860788863,0.0,0.0,0.04060324825986079,0.0,0.0,0.0,0.0,0.058004640371229696,0.031322505800464036,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.009216589861751152,0.0,0.0,0.0,0.0,0.027649769585253458,0.041474654377880185,0.0,0.10599078341013825,0.0,0.03225806451612903,0.04608294930875576,0.055299539170506916,0.0,0.04608294930875576,0.04608294930875576,0.04608294930875576,0.05069124423963134,0.027649769585253458,0.03225806451612903,0.0,0.0,0.0,0.0,0.05069124423963134,0.03686635944700461,0.0,0.03225806451612903,0.0,0.0,0.0,0.03686635944700461,0.0,0.0,0.0,0.0,0.0,0.041474654377880185,0.013824884792626729,0.0,0.027649769585253458,0.013824884792626729,0.03225806451612903,0.02304147465437788,0.03225806451612903,0.0,0.018433179723502304,0.04608294930875576,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0
