,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,-0.07289845689432481,-0.08527026021382678,-0.12090342847507017,0.08801498643485098,-0.06745085369257997,0.05089801929531048,0.07183373436195103,0.11309650135835235,-0.010898515413188092,0.12981751130735328,0.10326601748723643,-0.014455311543730249,-0.14927721340086947,0.08360504974500457,-0.0343722409185163,0.033442019898001836,0.04253751432081003,0.030678023561675087,-0.19166309721844013
caudalmiddlefrontal-rh,-0.00833753655424084,-0.14572854667131646,-0.040194059912556784,0.08239447888896831,0.04652523740294288,-0.07488177883875664,-0.06594233456535939,0.044942443030346356,0.045143078936731834,0.06366846095965734,0.1735277661449484,0.012506304831361252,0.04233417624733517,0.042445640639771555,-0.07468114293237119,-0.2546069652031675,0.05992325737379514,0.13056938929996953,-0.07960786907805896
inferiorparietal-rh,-0.07171745673438674,-0.014194378681935802,-0.05929848892091594,0.08988271114571833,0.04631797524383312,-0.02758408737056458,-0.1432680623008684,0.05630544166500309,0.061809384419223096,0.08988271114571833,0.03565179000325804,-0.051776661406914413,-0.14453667737718517,0.1292965203112205,-0.018866081335603375,-0.0043108853774767985,0.10677434364521927,0.00013791556006498068,-0.08050601363340762
parsopercularis-lh,0.034459270856088735,0.05690368698269375,0.06065832908565741,0.20800717250418696,0.1449291851743974,0.049310966285589446,0.050145331197359144,0.12682346658899485,0.1182295079977669,0.2031678560159227,0.05465090172091554,0.016019806305978296,0.05723743294740162,0.012932656132430395,0.049644712250297325,0.04397103085026335,0.1449291851743974,0.16061524551566783,0.06274424136508167
parstriangularis-rh,-0.10548654508459354,-0.020469752502083383,-0.055700580438038556,0.1594744945726114,-0.025614324445873155,-0.044202798881310484,-0.06337736379135678,0.08567050888111248,0.1214871489961046,0.18479939162361597,0.06526587754287454,-0.1680679835400616,-0.19584883901386962,0.005933261594806776,-0.02994849968403079,0.03367125955052846,0.16186227058027755,0.017666481205437574,-0.12711400716615143
postcentral-lh,0.030527786735461675,-0.042800867525339695,-0.04865603126126295,0.0696549500161238,0.011707165936351965,-0.18773513920240778,-0.009595260225986548,0.11695152101472642,0.06320541760722347,0.07848511865242709,0.15908846608620872,-0.28097198247244715,0.06306947158095742,0.030097817908201648,0.03072380193612433,0.0480901164077369,0.07395463828872406,-0.26241693065488036,0.05661993917205707
postcentral-rh,0.08906348048435002,-0.06610770719122862,-0.18802500576309836,0.07677865684834935,0.013001189868658232,0.016503259130911344,-0.028071831217074104,0.11695778269667678,0.06666678593679903,0.10088613235734581,-0.0024500837580238902,0.05136368251304555,-0.15966606610714523,0.030783391803795485,-0.18363575020838727,0.01586665479928849,0.10190887374257597,-0.013566461486487283,-0.03825698445035143
precentral-lh,0.04329132155099543,0.04138449962377727,0.036795199392167445,0.11179147536012929,0.07181285291997898,0.0846758211747727,0.07194212898284123,0.25414058007932255,0.11319735254375625,0.19085994730825198,0.08556459410695065,0.02419078326309823,0.06340990883393284,0.03170495441696642,0.04112594749805277,0.055006964747886695,0.14044228279197507,0.09791045811029538,0.09613291224593946
precentral-rh,-0.0711638221043789,-0.052551745554002875,-0.02352476643923846,0.1653471054022847,0.1354218058506997,0.02883047151920991,-0.0511200473578201,0.13008802825707763,-0.0842456134655783,0.17812009911332707,-0.26440096981857697,0.007579578685673494,-0.029251559223969544,0.012772993711042365,-0.04968834916163733,0.010948280323750599,0.18833849408216097,-0.1917212319770634,-0.03977875184296051
rostralmiddlefrontal-lh,0.037547032079372024,0.040531210971740624,0.046336371473301406,0.161367142215072,0.12117398275848251,-0.05463845040746121,0.050346361859921696,0.17783841086709087,0.10948206311377275,-0.5624929726124926,0.06664277627996582,0.01356868840123845,0.05597666812950776,0.010666108150458058,0.03677767345868325,-0.6789114582742842,0.161367142215072,0.13235299665606645,0.07406825266449235
rostralmiddlefrontal-rh,0.04845514901396716,0.10191341098755921,-0.06459018830875744,0.0724951067849648,0.06461520387355559,0.1084424733998697,-0.05863648388680383,0.09691029802793431,0.00885550993853607,0.10018733701648862,0.0905813601340088,0.062488880865714996,0.010581583909606675,0.07171962427622293,-0.037673440585975486,0.021538401291185196,0.0528829039832352,0.042501444592013535,0.03442141716221931
superiorfrontal-lh,-0.03934405021122694,-0.013530330506298864,0.002575003823530543,0.029298760795594524,-0.057844574090404,-0.09517539145078645,0.07270587373565857,0.043948141193391785,0.029298760795594524,0.029298760795594524,0.1087605514381918,0.043978132258960904,-0.13686270835334938,0.15992240267595345,0.09511924077736415,-0.005747847169969064,0.029298760795594524,-0.055767924008400235,-0.2399315632949944
superiorfrontal-rh,-0.07463706268304028,-0.0010057283654499765,-0.12668521379396563,0.07763374543684058,-0.03746051236303226,0.05480645247221367,-0.12731832783292737,0.07944856026523425,0.07134757352514193,0.09342935598026701,0.0868159486426585,-0.08187903479639466,-0.06859365429109483,0.06591586697696536,-0.05204883448937798,0.017912382717773942,0.09342935598026701,0.003415728245228135,-0.07452660162730748
superiorparietal-lh,0.038625532982192116,0.03448708301981439,0.1991054259677284,0.033107599699021814,0.005517933283170302,0.055179332831703023,0.05216955104088286,0.05609898837889807,0.033107599699021814,0.033107599699021814,0.10208176573865058,0.08920658807791988,0.11357746007858871,-1.0,0.1862302483069977,0.027589666415851512,0.033107599699021814,-0.12540757461750687,0.033107599699021814
superiorparietal-rh,0.0045678791579503745,-0.05646821179007536,-0.10161653262063292,0.07416734291005682,0.047619424350682546,0.03106350801314533,-0.22054759728705542,0.05836838229016306,0.05016356745759767,0.07416734291005682,0.02459845226674111,0.014942716713957435,-0.09726840954087607,0.11173236717762254,-0.06638557371989229,0.013590654363035087,0.0876257167714478,-0.005392523956939335,-0.04492850546698516
superiortemporal-lh,0.0156908055445601,-0.11784357232472391,-0.04356263118292344,0.07060862495052046,0.027045993767597025,0.02312329238145699,-0.020026422866083287,0.1895284143408707,0.054917819405960355,-0.11041108548782701,0.03530431247526023,-0.04356263118292344,-0.016103721479943257,0.019613506930700124,-0.027871825638363334,-0.45904391663271976,0.0470724166336803,0.3637789390725644,-0.008258318707663206
superiortemporal-rh,0.017811881138334307,0.045560917017002496,0.07387243335267071,0.14249504910667446,0.13757334510792418,0.05320127655791958,0.058404220785169866,0.14507308453459128,0.13213603402359056,0.20113363674892767,0.04818582581633597,0.015327592453250839,0.06590396021183693,0.012655810282500693,0.048232699187752644,0.030373944678001665,0.2112582849749282,0.1119804843144228,0.10419950465925572
supramarginal-lh,-0.018066986248594347,0.031106679153565787,-0.08105502090791945,0.17920385323700236,0.050997760087790056,-0.12503118372247182,-0.07175204166039134,0.10638964650413459,0.07689254721227905,0.1664701610450709,0.03425723235775388,-0.11319657100129596,-0.07782299598134142,-0.06984804687632996,-0.022202465920666638,0.08438293069117994,0.11356553934157664,-0.16638257657421937,-0.09790846073712282
supramarginal-rh,-0.09557045347663767,-0.05471123128879616,-0.09058442032860473,0.08025938995137274,-0.010000672949144276,0.058120660843003345,-0.04797163045259275,0.13838931773833105,0.06465466215245476,0.12788584113130821,0.06778579559472299,-0.18478936659001766,-0.08956627961504522,0.01483315398701694,-0.046087620455491266,0.022540430983286043,0.1367857335235184,-0.029489444607340924,-0.062483866141343776
