,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.039647577092511016,0.0,0.0,0.0,0.04185022026431718,0.0,0.04185022026431718,0.0,0.028634361233480177,0.04185022026431718,0.04185022026431718,0.04185022026431718,0.013215859030837005,0.04185022026431718,0.0,0.0,0.0,0.037444933920704845,0.04185022026431718,0.0,0.0,0.04185022026431718,0.04185022026431718,0.0,0.0,0.0,0.037444933920704845,0.0,0.0,0.04185022026431718,0.0,0.0,0.028634361233480177,0.0,0.04185022026431718,0.0,0.0,0.0,0.0,0.0,0.04185022026431718,0.0,0.0,0.0,0.04185022026431718,0.0,0.03524229074889868,0.04185022026431718,0.0,0.0,0.04185022026431718,0.02643171806167401,0.04185022026431718,0.04185022026431718,0.0,0.0,0.0,0.0,0.0,0.04185022026431718
F3,0.0,0.0,0.03949579831932773,0.03529411764705882,0.037815126050420166,0.004201680672268907,0.025210084033613446,0.0,0.03613445378151261,0.010924369747899159,0.0067226890756302525,0.0058823529411764705,0.005042016806722689,0.010924369747899159,0.0,0.02857142857142857,0.03697478991596639,0.026050420168067228,0.010084033613445379,0.009243697478991597,0.014285714285714285,0.03949579831932773,0.0025210084033613447,0.0025210084033613447,0.026050420168067228,0.009243697478991597,0.041176470588235294,0.009243697478991597,0.026050420168067228,0.0226890756302521,0.0,0.034453781512605045,0.013445378151260505,0.0008403361344537816,0.015126050420168067,0.0033613445378151263,0.037815126050420166,0.03865546218487395,0.03697478991596639,0.02857142857142857,0.031092436974789917,0.0067226890756302525,0.013445378151260505,0.0033613445378151263,0.0067226890756302525,0.0016806722689075631,0.021848739495798318,0.010084033613445379,0.0,0.03529411764705882,0.02689075630252101,0.0,0.0,0.008403361344537815,0.007563025210084034,0.021848739495798318,0.015126050420168067,0.0226890756302521,0.024369747899159664,0.008403361344537815,0.0033613445378151263
F7,0.0,0.0,0.03325774754346183,0.045351473922902494,0.047619047619047616,0.0,0.026455026455026454,0.0,0.04686318972033258,0.006046863189720333,0.0022675736961451248,0.0015117157974300832,0.0007558578987150416,0.006046863189720333,0.0,0.021919879062736205,0.02947845804988662,0.02947845804988662,0.005291005291005291,0.0045351473922902496,0.009070294784580499,0.031746031746031744,0.0,0.0,0.02947845804988662,0.01436130007558579,0.034013605442176874,0.0045351473922902496,0.02947845804988662,0.026455026455026454,0.0,0.045351473922902494,0.012093726379440665,0.0015117157974300832,0.01889644746787604,0.0,0.047619047619047616,0.036281179138321996,0.047619047619047616,0.031746031746031744,0.030234315948601664,0.0022675736961451248,0.008314436885865457,0.0030234315948601664,0.012093726379440665,0.0,0.030990173847316706,0.005291005291005291,0.0,0.04610733182161754,0.034013605442176874,0.0,0.0,0.003779289493575208,0.0030234315948601664,0.025699168556311415,0.009826152683295541,0.026455026455026454,0.027966742252456538,0.003779289493575208,0.0
FT9,0.0,0.0,0.03148528405201916,0.04175222450376454,0.05475701574264202,0.0013689253935660506,0.023956194387405885,0.0,0.0485968514715948,0.006844626967830253,0.0034223134839151265,0.0027378507871321013,0.002053388090349076,0.006844626967830253,0.0,0.021218343600273786,0.030116358658453114,0.026694045174537988,0.006160164271047228,0.0054757015742642025,0.009582477754962354,0.03216974674880219,0.0,0.0,0.026694045174537988,0.013004791238877482,0.03353867214236824,0.0054757015742642025,0.026694045174537988,0.023956194387405885,0.0,0.0485968514715948,0.010951403148528405,0.0013689253935660506,0.017111567419575632,0.0006844626967830253,0.049281314168377825,0.034223134839151265,0.053388090349075976,0.028747433264887063,0.02737850787132101,0.0034223134839151265,0.00889801505817933,0.0027378507871321013,0.010951403148528405,0.0,0.03216974674880219,0.006160164271047228,0.0,0.0485968514715948,0.03353867214236824,0.0,0.0,0.004791238877481177,0.004106776180698152,0.02327173169062286,0.01026694045174538,0.023956194387405885,0.025325119780971937,0.004791238877481177,0.0006844626967830253
FC5,0.0,0.014393939393939395,0.0022727272727272726,0.0,0.0,0.06136363636363636,0.0,0.03787878787878788,0.0,0.01893939393939394,0.04242424242424243,0.04393939393939394,0.04621212121212121,0.013636363636363636,0.020454545454545454,0.004545454545454545,0.005303030303030303,0.0,0.03409090909090909,0.048484848484848485,0.008333333333333333,0.005303030303030303,0.045454545454545456,0.045454545454545456,0.0,0.004545454545454545,0.003787878787878788,0.031818181818181815,0.0,0.0,0.038636363636363635,0.0,0.0,0.015151515151515152,0.0,0.06287878787878788,0.0,0.0007575757575757576,0.0,0.0,0.0,0.045454545454545456,0.008333333333333333,0.0,0.005303030303030303,0.04393939393939394,0.0030303030303030303,0.025,0.022727272727272728,0.0,0.0,0.031818181818181815,0.014393939393939395,0.04318181818181818,0.038636363636363635,0.0,0.008333333333333333,0.0,0.0,0.006818181818181818,0.04696969696969697
FC1,0.0,0.0,0.03481012658227848,0.0379746835443038,0.0379746835443038,0.0,0.035864978902953586,0.0,0.0379746835443038,0.005274261603375527,0.0,0.0,0.0,0.005274261603375527,0.0,0.022151898734177215,0.028481012658227847,0.035864978902953586,0.004219409282700422,0.0031645569620253164,0.00949367088607595,0.03164556962025317,0.0,0.0,0.03481012658227848,0.015822784810126583,0.03481012658227848,0.0031645569620253164,0.03481012658227848,0.03270042194092827,0.0,0.0379746835443038,0.016877637130801686,0.0010548523206751054,0.023206751054852322,0.0,0.0379746835443038,0.0379746835443038,0.0379746835443038,0.035864978902953586,0.03691983122362869,0.0,0.008438818565400843,0.004219409282700422,0.012658227848101266,0.0,0.03164556962025317,0.004219409282700422,0.0,0.0379746835443038,0.03481012658227848,0.0,0.0,0.002109704641350211,0.0010548523206751054,0.03164556962025317,0.010548523206751054,0.03270042194092827,0.03375527426160337,0.002109704641350211,0.0
C3,0.0,0.0200845665961945,0.0,0.0,0.0,0.0507399577167019,0.0,0.052854122621564484,0.0010570824524312897,0.016913319238900635,0.039112050739957716,0.0412262156448203,0.04439746300211417,0.009513742071881607,0.02959830866807611,0.0,0.0,0.0,0.02748414376321353,0.0412262156448203,0.0021141649048625794,0.0,0.046511627906976744,0.046511627906976744,0.0010570824524312897,0.009513742071881607,0.0,0.026427061310782242,0.0021141649048625794,0.003171247357293869,0.05496828752642706,0.0021141649048625794,0.0,0.024312896405919663,0.0,0.0507399577167019,0.0,0.0,0.0010570824524312897,0.0021141649048625794,0.0,0.04334038054968287,0.0021141649048625794,0.0,0.010570824524312896,0.046511627906976744,0.007399577167019027,0.0200845665961945,0.026427061310782242,0.0010570824524312897,0.003171247357293869,0.042283298097251586,0.0200845665961945,0.040169133192389,0.03488372093023256,0.0010570824524312897,0.0021141649048625794,0.003171247357293869,0.0021141649048625794,0.0,0.046511627906976744
T7,0.0,0.0,0.03131672597864769,0.04412811387900356,0.052669039145907474,0.0,0.02491103202846975,0.0,0.050533807829181494,0.0056939501779359435,0.002135231316725979,0.0014234875444839859,0.0007117437722419929,0.0056939501779359435,0.0,0.020640569395017794,0.028469750889679714,0.027758007117437724,0.00498220640569395,0.004270462633451958,0.008540925266903915,0.030604982206405694,0.0,0.0,0.028469750889679714,0.014234875444839857,0.032740213523131674,0.004270462633451958,0.028469750889679714,0.025622775800711744,0.0,0.0498220640569395,0.011387900355871887,0.002135231316725979,0.017793594306049824,0.0,0.0498220640569395,0.03416370106761566,0.052669039145907474,0.030604982206405694,0.028469750889679714,0.002135231316725979,0.007829181494661922,0.0028469750889679717,0.012099644128113879,0.0,0.032740213523131674,0.00498220640569395,0.0,0.0498220640569395,0.03558718861209965,0.0,0.0,0.0035587188612099642,0.0028469750889679717,0.02491103202846975,0.009252669039145907,0.025622775800711744,0.02704626334519573,0.0035587188612099642,0.0
TP9,0.0,0.017462165308498253,0.012805587892898719,0.006984866123399301,0.009313154831199068,0.03143189755529686,0.0034924330616996507,0.020954598370197905,0.006984866123399301,0.03841676367869616,0.034924330616996506,0.033760186263096625,0.03259604190919674,0.030267753201396973,0.017462165308498253,0.01629802095459837,0.017462165308498253,0.002328288707799767,0.03958090803259604,0.03841676367869616,0.02211874272409779,0.017462165308498253,0.02910360884749709,0.02910360884749709,0.0011641443538998836,0.0,0.015133876600698487,0.03841676367869616,0.0011641443538998836,0.0,0.01979045401629802,0.004656577415599534,0.0034924330616996507,0.009313154831199068,0.0,0.030267753201396973,0.009313154831199068,0.010477299185098952,0.008149010477299184,0.002328288707799767,0.006984866123399301,0.034924330616996506,0.02211874272409779,0.0,0.0,0.027939464493597205,0.0,0.03958090803259604,0.025611175785797437,0.005820721769499418,0.0011641443538998836,0.02211874272409779,0.008149010477299184,0.037252619324796274,0.03608847497089639,0.0,0.02211874272409779,0.0,0.0,0.017462165308498253,0.030267753201396973
