,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP1,O1,Oz,O2,P8,TP10,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,CP3,PO7,PO3,POz,PO4,PO8,P6,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.06427221172022685,0.05387523629489603,0.01984877126654064,0.0,0.0,0.0,0.0661625708884688,0.0661625708884688,0.002835538752362949,0.0,0.0,0.0661625708884688,0.0,0.06521739130434782,0.06332703213610585,0.0,0.06143667296786389,0.0,0.0,0.0,0.02835538752362949,0.026465028355387523,0.0,0.027410207939508508,0.02930056710775047,0.0,0.0,0.0,0.001890359168241966,0.0661625708884688,0.023629489603024575,0.0,0.0,0.0,0.0,0.06427221172022685,0.0,0.0661625708884688,0.06427221172022685,0.0,0.005671077504725898,0.0,0.0661625708884688,0.0,0.0,0.000945179584120983
F3,0.0,0.05231984205330701,0.06614017769002961,0.02073050345508391,0.0019743336623889436,0.0,0.0,0.06515301085883514,0.06416584402764067,0.0,0.0,0.0,0.06515301085883514,0.0,0.06811451135241856,0.05133267522211254,0.0,0.049358341559723594,0.0,0.0,0.0,0.034550839091806514,0.03257650542941757,0.0,0.028627838104639685,0.0315893385982231,0.0,0.0,0.0,0.0,0.06614017769002961,0.029615004935834157,0.0,0.0,0.0009871668311944718,0.0,0.06811451135241856,0.0,0.06614017769002961,0.06811451135241856,0.0,0.0009871668311944718,0.0,0.06811451135241856,0.0,0.0,0.0
F7,0.0,0.05370843989769821,0.05370843989769821,0.05115089514066496,0.0,0.0,0.0,0.05370843989769821,0.05370843989769821,0.0,0.0,0.0,0.05370843989769821,0.0,0.05370843989769821,0.05370843989769821,0.0,0.05370843989769821,0.0,0.0,0.0,0.05370843989769821,0.04859335038363171,0.0,0.05370843989769821,0.05370843989769821,0.0,0.0,0.0,0.0,0.05370843989769821,0.04092071611253197,0.0,0.0,0.0,0.0,0.05370843989769821,0.0,0.05370843989769821,0.05370843989769821,0.0,0.0,0.0,0.05370843989769821,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0691588785046729,0.056074766355140186,0.0,0.0,0.0,0.03177570093457944,0.0,0.044859813084112146,0.0,0.059813084112149535,0.001869158878504673,0.0,0.048598130841121495,0.0,0.059813084112149535,0.03551401869158879,0.04672897196261682,0.003738317757009346,0.005607476635514018,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.024299065420560748,0.0,0.003738317757009346,0.044859813084112146,0.06355140186915888,0.04672897196261682,0.056074766355140186,0.001869158878504673,0.05420560747663551,0.0,0.001869158878504673,0.044859813084112146,0.020560747663551402,0.03364485981308411,0.001869158878504673,0.059813084112149535,0.0,0.022429906542056073
FC5,0.0,0.0,0.0,0.0,0.043010752688172046,0.06144393241167435,0.0,0.0,0.0,0.0445468509984639,0.0,0.03686635944700461,0.0,0.06144393241167435,0.0,0.0,0.05222734254992319,0.0,0.05683563748079877,0.043010752688172046,0.03840245775729647,0.0,0.0,0.0,0.0,0.0,0.06144393241167435,0.0,0.0,0.03840245775729647,0.0,0.0,0.03686635944700461,0.0629800307219662,0.02457757296466974,0.0629800307219662,0.0,0.0629800307219662,0.0,0.0,0.0445468509984639,0.03533026113671275,0.043010752688172046,0.0,0.055299539170506916,0.0,0.03379416282642089
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.04956896551724138,0.04885057471264368,0.015086206896551725,0.0,0.0,0.0,0.07471264367816093,0.06824712643678162,0.0021551724137931034,0.0,0.0,0.07471264367816093,0.0,0.07543103448275862,0.04885057471264368,0.0,0.04741379310344827,0.0,0.0,0.0,0.023706896551724137,0.022270114942528736,0.0,0.020833333333333332,0.022988505747126436,0.0,0.0,0.0,0.0014367816091954023,0.07614942528735633,0.020114942528735632,0.0,0.0,0.0,0.0,0.07471264367816093,0.0,0.07614942528735633,0.07471264367816093,0.0,0.004310344827586207,0.0,0.07686781609195402,0.0,0.0,0.0007183908045977011
T7,0.0,0.05198776758409786,0.05198776758409786,0.016055045871559634,0.0,0.0,0.0,0.07262996941896024,0.07110091743119266,0.0022935779816513763,0.0,0.0,0.07262996941896024,0.0,0.07262996941896024,0.05122324159021407,0.0,0.04969418960244648,0.0,0.0,0.0,0.02522935779816514,0.023700305810397553,0.0,0.02217125382262997,0.024464831804281346,0.0,0.0,0.0,0.0015290519877675841,0.07339449541284404,0.021406727828746176,0.0,0.0,0.0,0.0,0.07186544342507645,0.0,0.07339449541284404,0.07186544342507645,0.0,0.0045871559633027525,0.0,0.07339449541284404,0.0,0.0,0.0007645259938837921
TP9,0.0,0.007518796992481203,0.0,0.0,0.02819548872180451,0.05075187969924812,0.0,0.007518796992481203,0.007518796992481203,0.06390977443609022,0.0,0.03007518796992481,0.007518796992481203,0.05075187969924812,0.005639097744360902,0.007518796992481203,0.045112781954887216,0.007518796992481203,0.045112781954887216,0.046992481203007516,0.02443609022556391,0.0,0.0,0.0,0.0,0.0,0.05075187969924812,0.0,0.0,0.05075187969924812,0.007518796992481203,0.0,0.03007518796992481,0.05451127819548872,0.005639097744360902,0.05263157894736842,0.005639097744360902,0.05263157894736842,0.007518796992481203,0.005639097744360902,0.039473684210526314,0.05827067669172932,0.04887218045112782,0.007518796992481203,0.043233082706766915,0.0,0.043233082706766915
