,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP1,O1,Oz,O2,P8,TP10,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,CP3,PO7,PO3,POz,PO4,PO8,P6,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2
Fp1,0.08080110497237569,0.0,0.0,0.0,0.0,0.0,0.0,0.0718232044198895,0.028314917127071824,0.0,0.04005524861878453,0.0,0.0787292817679558,0.0,0.0,0.0,0.023480662983425413,0.0,0.04696132596685083,0.0,0.0,0.0,0.06975138121546962,0.08011049723756906,0.08149171270718232,0.0,0.04834254143646409,0.016574585635359115,0.0,0.0,0.022099447513812154,0.0,0.0,0.0,0.0,0.022099447513812154,0.0,0.08287292817679558,0.029005524861878452,0.0,0.0006906077348066298,0.0462707182320442,0.0,0.08080110497237569,0.0,0.04419889502762431,0.0055248618784530384
Fz,0.0,0.053423992229237494,0.0,0.0,0.017484215638659543,0.053909664885866924,0.054395337542496355,0.0,0.0,0.054881010199125786,0.0009713453132588635,0.035454103933948516,0.0,0.017484215638659543,0.054881010199125786,0.054881010199125786,0.0,0.054395337542496355,0.0,0.03205439533754249,0.053423992229237494,0.044681884409907724,0.0,0.0,0.0,0.053909664885866924,0.0,0.0009713453132588635,0.010684798445847498,0.014570179698882952,0.0,0.054881010199125786,0.034968431277319086,0.04808159300631375,0.0,0.0,0.054881010199125786,0.0,0.0,0.054881010199125786,0.003885381253035454,0.0,0.025740650801359885,0.0,0.053909664885866924,0.0,0.006313744536182613
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.04460966542750929,0.0,0.0,0.04337050805452292,0.04460966542750929,0.04460966542750929,0.0,0.0,0.04460966542750929,0.0,0.04460966542750929,0.0,0.042131350681536554,0.04460966542750929,0.04460966542750929,0.0,0.04460966542750929,0.0,0.03965303593556382,0.04460966542750929,0.04460966542750929,0.0,0.0,0.0,0.04460966542750929,0.0,0.0,0.027261462205700124,0.03469640644361834,0.0,0.04460966542750929,0.04460966542750929,0.04460966542750929,0.0,0.0,0.04460966542750929,0.0,0.0,0.04460966542750929,0.0037174721189591076,0.0,0.040892193308550186,0.0,0.04460966542750929,0.0,0.009913258983890954
FC5,0.0,0.04997642621404998,0.0,0.0,0.016973125884016973,0.05421970768505422,0.05139085337105139,0.000942951438000943,0.0,0.055162659123055166,0.000942951438000943,0.034417727487034415,0.0,0.016973125884016973,0.055634134842055635,0.055162659123055166,0.0,0.055634134842055635,0.0,0.034417727487034415,0.055634134842055635,0.041961338991041965,0.0,0.0,0.0,0.055162659123055166,0.0,0.001885902876001886,0.010372465818010372,0.014144271570014143,0.0,0.055162659123055166,0.033946251768033946,0.05091937765205092,0.0,0.0,0.055634134842055635,0.0,0.0,0.055634134842055635,0.004714757190004715,0.0,0.024516737388024516,0.0,0.050447901933050446,0.000942951438000943,0.007072135785007072
FC1,0.0,0.05270655270655271,0.0,0.0,0.017094017094017096,0.05413105413105413,0.05413105413105413,0.0,0.0,0.05555555555555555,0.000949667616334283,0.03466286799620133,0.0,0.017094017094017096,0.05555555555555555,0.05555555555555555,0.0,0.055080721747388414,0.0,0.032288698955365625,0.05365622032288699,0.04368471035137702,0.0,0.0,0.0,0.054605887939221276,0.0,0.000949667616334283,0.010446343779677113,0.014245014245014245,0.0,0.05555555555555555,0.03418803418803419,0.04843304843304843,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.003798670465337132,0.0,0.0251661918328585,0.0,0.05318138651471985,0.0,0.006172839506172839
C3,0.07412491420727522,0.0,0.0,0.0,0.0,0.0,0.0,0.07961564859299931,0.028826355525051476,0.0,0.03568977350720659,0.0,0.07824296499656828,0.0,0.0006863417982155113,0.0,0.023335621139327384,0.0013726835964310226,0.050102951269732326,0.004118050789293068,0.0006863417982155113,0.0,0.06520247083047358,0.07412491420727522,0.07824296499656828,0.0,0.04392587508579272,0.02059025394646534,0.0,0.0,0.024021962937542895,0.0,0.0,0.002745367192862045,0.0,0.02196293754289636,0.0006863417982155113,0.07824296499656828,0.028826355525051476,0.0006863417982155113,0.004804392587508579,0.04804392587508579,0.0,0.07343857240905971,0.0,0.04804392587508579,0.009608785175017159
T7,0.056833558863328824,0.0,0.0,0.0,0.0,0.0,0.0,0.05412719891745602,0.05548037889039242,0.0,0.04736129905277402,0.0,0.056833558863328824,0.0,0.0,0.0,0.046008119079837616,0.0,0.05412719891745602,0.0,0.0,0.0,0.05548037889039242,0.056833558863328824,0.056833558863328824,0.0,0.05142083897158322,0.03247631935047361,0.0,0.0,0.04330175913396482,0.0,0.0,0.0,0.0,0.04330175913396482,0.0,0.056833558863328824,0.056833558863328824,0.0,0.0013531799729364006,0.05548037889039242,0.0,0.056833558863328824,0.0,0.05142083897158322,0.010825439783491205
TP9,0.0,0.04926108374384237,0.0,0.0,0.0161218092252575,0.052395879982086876,0.05105239587998209,0.0008956560680698612,0.0,0.05687416032243618,0.0008956560680698612,0.032691446484549934,0.0,0.0161218092252575,0.05821764442454098,0.057769816390506046,0.0,0.05821764442454098,0.0,0.033139274518584866,0.05463502015226153,0.04075235109717868,0.0,0.0,0.0,0.05373936408419167,0.0,0.0017913121361397223,0.009852216748768473,0.013434841021047918,0.0,0.057769816390506046,0.032243618450515,0.04970891177787729,0.0,0.0,0.05821764442454098,0.0,0.0,0.05821764442454098,0.0044782803403493054,0.0,0.02373488580385132,0.0,0.050156739811912224,0.0008956560680698612,0.006717420510523959
CP1,0.05907172995780591,0.005274261603375527,0.0,0.0,0.0010548523206751054,0.0031645569620253164,0.005274261603375527,0.052742616033755275,0.03481012658227848,0.004219409282700422,0.06540084388185655,0.0031645569620253164,0.056962025316455694,0.002109704641350211,0.005274261603375527,0.005274261603375527,0.03059071729957806,0.0031645569620253164,0.052742616033755275,0.0,0.0031645569620253164,0.005274261603375527,0.060126582278481014,0.05907172995780591,0.0580168776371308,0.0031645569620253164,0.06223628691983123,0.016877637130801686,0.0,0.0,0.02531645569620253,0.006329113924050633,0.0031645569620253164,0.0,0.0,0.028481012658227847,0.005274261603375527,0.060126582278481014,0.035864978902953586,0.005274261603375527,0.0,0.05379746835443038,0.0031645569620253164,0.05907172995780591,0.005274261603375527,0.05063291139240506,0.0
O1,0.0,0.04933333333333333,0.0,0.0,0.024,0.04933333333333333,0.04933333333333333,0.0,0.0,0.04933333333333333,0.0013333333333333333,0.048,0.0,0.024,0.04933333333333333,0.04933333333333333,0.0,0.04933333333333333,0.0,0.03933333333333333,0.04933333333333333,0.04733333333333333,0.0,0.0,0.0,0.04933333333333333,0.0,0.0006666666666666666,0.014666666666666666,0.02,0.0,0.04933333333333333,0.04733333333333333,0.046,0.0,0.0,0.04933333333333333,0.0,0.0,0.04933333333333333,0.004666666666666667,0.0,0.03333333333333333,0.0,0.04933333333333333,0.0,0.008
Oz,0.07889413351314903,0.0,0.0,0.0,0.0,0.0,0.0,0.07349966284558328,0.028320971004720162,0.0,0.037761294672960216,0.0,0.08024275118004046,0.0,0.0,0.0,0.022926500337154418,0.0,0.04787592717464599,0.0020229265003371545,0.0,0.0,0.0667565745111261,0.0782198246797033,0.08226567768037761,0.0,0.045853000674308836,0.01820633850303439,0.0,0.0,0.023600809170600135,0.0,0.0,0.0006743088334457181,0.0,0.02157788267026298,0.0,0.0815913688469319,0.02899527983816588,0.0,0.0026972353337828725,0.04720161834120027,0.0,0.0782198246797033,0.0,0.045178691840863115,0.007417397167902899
O2,0.0,0.04472049689440994,0.0,0.0,0.04472049689440994,0.04472049689440994,0.04472049689440994,0.0,0.0,0.04472049689440994,0.0,0.04472049689440994,0.0,0.043478260869565216,0.04472049689440994,0.04472049689440994,0.0,0.04472049689440994,0.0,0.03850931677018633,0.04472049689440994,0.04472049689440994,0.0,0.0,0.0,0.04472049689440994,0.0,0.0,0.02732919254658385,0.03354037267080745,0.0,0.04472049689440994,0.04472049689440994,0.043478260869565216,0.0,0.0,0.04472049689440994,0.0,0.0,0.04472049689440994,0.002484472049689441,0.0,0.0422360248447205,0.0,0.04472049689440994,0.0,0.008695652173913044
