,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP1,O1,Oz,O2,P8,TP10,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,CP3,PO7,PO3,POz,PO4,PO8,P6,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2
Fp1,0.09210526315789473,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.039473684210526314,0.0,0.0,0.039473684210526314,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.11842105263157894,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.09210526315789473,0.06578947368421052,0.0,0.0,0.0,0.039473684210526314,0.02631578947368421
Fz,0.0,0.08235294117647059,0.07058823529411765,0.0,0.047058823529411764,0.08235294117647059,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058823529411765,0.0,0.09411764705882353,0.09411764705882353,0.08235294117647059,0.0,0.0,0.0,0.0,0.07058823529411765,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.011764705882352941,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.047058823529411764
F3,0.0,0.0547945205479452,0.0684931506849315,0.0,0.0684931506849315,0.0821917808219178,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821917808219178,0.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.0136986301369863,0.0,0.0,0.0,0.0684931506849315,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0273972602739726,0.0,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,0.0136986301369863
F7,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.015625,0.0,0.0,0.046875,0.0,0.0,0.046875,0.0,0.078125,0.0,0.0625,0.0,0.0,0.0,0.0,0.046875,0.0625,0.0625,0.0,0.078125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.078125,0.078125,0.0,0.0,0.0,0.046875,0.03125
FT9,0.0,0.03508771929824561,0.05263157894736842,0.0,0.07017543859649122,0.08771929824561403,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.08771929824561403,0.07017543859649122,0.08771929824561403,0.017543859649122806,0.0,0.0,0.0,0.05263157894736842,0.0,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543859649122,0.0,0.05263157894736842,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,0.0
FC5,0.0,0.03759398496240601,0.045112781954887216,0.0,0.03759398496240601,0.12030075187969924,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12030075187969924,0.0,0.11278195488721804,0.05263157894736842,0.13533834586466165,0.007518796992481203,0.0,0.0,0.0,0.045112781954887216,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.045112781954887216,0.0,0.0,0.0,0.08270676691729323,0.0,0.0,0.0,0.015037593984962405
FC1,0.0,0.054945054945054944,0.06593406593406594,0.0,0.054945054945054944,0.08791208791208792,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08791208791208792,0.0,0.08791208791208792,0.07692307692307693,0.08791208791208792,0.01098901098901099,0.0,0.0,0.0,0.06593406593406594,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.0,0.03296703296703297,0.0,0.0,0.0,0.06593406593406594,0.0,0.0,0.0,0.02197802197802198
C3,0.06451612903225806,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.05172413793103448,0.0,0.0,0.05172413793103448,0.0,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.05172413793103448,0.06896551724137931,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.05172413793103448,0.017241379310344827
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
