,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.07647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08235294117647059,0.0,0.0,0.0,0.01764705882352941,0.0,0.08823529411764706,0.023529411764705882,0.0,0.0,0.01764705882352941,0.0,0.08823529411764706,0.0,0.08823529411764706,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.08823529411764706,0.011764705882352941,0.0,0.07647058823529412,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.01764705882352941,0.011764705882352941,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.03455723542116631,0.038876889848812095,0.0,0.0,0.038876889848812095,0.038876889848812095,0.038876889848812095,0.032397408207343416,0.0,0.0,0.0,0.038876889848812095,0.0367170626349892,0.0,0.03455723542116631,0.0,0.0,0.02159827213822894,0.0064794816414686825,0.0,0.038876889848812095,0.0,0.0,0.0,0.01511879049676026,0.01511879049676026,0.004319654427645789,0.0,0.038876889848812095,0.03455723542116631,0.0,0.0,0.0,0.0,0.038876889848812095,0.0,0.0,0.0,0.0,0.03455723542116631,0.01079913606911447,0.0,0.0,0.032397408207343416,0.038876889848812095,0.0,0.038876889848812095,0.0021598272138228943,0.03455723542116631,0.0,0.0,0.0,0.03455723542116631,0.008639308855291577,0.0,0.038876889848812095,0.038876889848812095,0.03023758099352052,0.03455723542116631,0.0064794816414686825,0.02159827213822894,0.008639308855291577,0.038876889848812095
F3,0.0,0.02711323763955343,0.044657097288676235,0.0,0.0,0.049441786283891544,0.049441786283891544,0.049441786283891544,0.023923444976076555,0.0,0.0,0.0,0.03349282296650718,0.03987240829346093,0.0,0.030303030303030304,0.0,0.0,0.01594896331738437,0.006379585326953748,0.0,0.049441786283891544,0.0,0.0,0.0,0.011164274322169059,0.011164274322169059,0.006379585326953748,0.0,0.0430622009569378,0.02711323763955343,0.0,0.0,0.0,0.0,0.03827751196172249,0.0,0.0,0.0,0.0,0.028708133971291867,0.007974481658692184,0.0,0.0,0.028708133971291867,0.03987240829346093,0.0,0.04784688995215311,0.001594896331738437,0.03189792663476874,0.0,0.0,0.0,0.03508771929824561,0.006379585326953748,0.0,0.03508771929824561,0.04784688995215311,0.030303030303030304,0.02711323763955343,0.004784688995215311,0.02073365231259968,0.006379585326953748,0.0430622009569378
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.024539877300613498,0.04447852760736196,0.0,0.0,0.05521472392638037,0.05674846625766871,0.05521472392638037,0.02147239263803681,0.0,0.0,0.0,0.032208588957055216,0.03987730061349693,0.0,0.029141104294478526,0.0,0.0,0.015337423312883436,0.006134969325153374,0.0,0.05521472392638037,0.0,0.0,0.0,0.009202453987730062,0.009202453987730062,0.006134969325153374,0.0,0.04294478527607362,0.024539877300613498,0.0,0.0,0.0,0.0,0.03680981595092025,0.0,0.0,0.0,0.0,0.02607361963190184,0.007668711656441718,0.0,0.0,0.027607361963190184,0.03834355828220859,0.0,0.05061349693251534,0.0015337423312883436,0.03067484662576687,0.0,0.0,0.0,0.03374233128834356,0.004601226993865031,0.0,0.03374233128834356,0.05368098159509203,0.029141104294478526,0.024539877300613498,0.004601226993865031,0.019938650306748466,0.006134969325153374,0.04294478527607362
FC1,0.0,0.02514792899408284,0.04437869822485207,0.0,0.0,0.05473372781065089,0.060650887573964495,0.05473372781065089,0.022189349112426034,0.0,0.0,0.0,0.03254437869822485,0.038461538461538464,0.0,0.028106508875739646,0.0,0.0,0.014792899408284023,0.005917159763313609,0.0,0.05473372781065089,0.0,0.0,0.0,0.010355029585798817,0.010355029585798817,0.005917159763313609,0.0,0.042899408284023666,0.02514792899408284,0.0,0.0,0.0,0.0,0.03698224852071006,0.0,0.0,0.0,0.0,0.026627218934911243,0.0073964497041420114,0.0,0.0,0.026627218934911243,0.038461538461538464,0.0,0.05029585798816568,0.0014792899408284023,0.029585798816568046,0.0,0.0,0.0,0.03254437869822485,0.005917159763313609,0.0,0.034023668639053255,0.05325443786982249,0.028106508875739646,0.02514792899408284,0.004437869822485207,0.019230769230769232,0.005917159763313609,0.042899408284023666
C3,0.0,0.025449101796407185,0.04491017964071856,0.0,0.0,0.05389221556886228,0.05538922155688623,0.05389221556886228,0.02245508982035928,0.0,0.0,0.0,0.03293413173652695,0.038922155688622756,0.0,0.02844311377245509,0.0,0.0,0.014970059880239521,0.005988023952095809,0.0,0.05389221556886228,0.0,0.0,0.0,0.010479041916167664,0.010479041916167664,0.005988023952095809,0.0,0.04341317365269461,0.025449101796407185,0.0,0.0,0.0,0.0,0.0374251497005988,0.0,0.0,0.0,0.0,0.02694610778443114,0.0074850299401197605,0.0,0.0,0.02694610778443114,0.038922155688622756,0.0,0.05089820359281437,0.0014970059880239522,0.029940119760479042,0.0,0.0,0.0,0.03293413173652695,0.005988023952095809,0.0,0.0344311377245509,0.05239520958083832,0.02844311377245509,0.025449101796407185,0.004491017964071856,0.019461077844311378,0.005988023952095809,0.04341317365269461
T7,0.0,0.03225806451612903,0.03722084367245657,0.0,0.0,0.03722084367245657,0.03722084367245657,0.03722084367245657,0.03225806451612903,0.0,0.0,0.0,0.03722084367245657,0.03722084367245657,0.0,0.03722084367245657,0.0,0.0,0.02481389578163772,0.009925558312655087,0.0,0.03722084367245657,0.0,0.0,0.0,0.01488833746898263,0.01488833746898263,0.007444168734491315,0.0,0.03722084367245657,0.03225806451612903,0.0,0.0,0.0,0.0,0.03722084367245657,0.0,0.0,0.0,0.0,0.03225806451612903,0.01240694789081886,0.0,0.0,0.03722084367245657,0.03722084367245657,0.0,0.03722084367245657,0.0024813895781637717,0.03722084367245657,0.0,0.0,0.0,0.034739454094292806,0.007444168734491315,0.0,0.03722084367245657,0.03722084367245657,0.03225806451612903,0.03225806451612903,0.007444168734491315,0.02729528535980149,0.009925558312655087,0.03722084367245657
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
