,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17708333333333334,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19791666666666666,0.0,0.1875,0.0,0.19791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.03257328990228013,0.0,0.029315960912052116,0.035830618892508145,0.019543973941368076,0.035830618892508145,0.0,0.03257328990228013,0.02280130293159609,0.0,0.0,0.0,0.026058631921824105,0.006514657980456026,0.0,0.0,0.035830618892508145,0.0,0.02280130293159609,0.035830618892508145,0.035830618892508145,0.035830618892508145,0.0,0.035830618892508145,0.035830618892508145,0.0,0.0,0.0,0.029315960912052116,0.035830618892508145,0.0,0.0,0.035830618892508145,0.0,0.03257328990228013,0.0,0.026058631921824105,0.0,0.0,0.035830618892508145,0.0,0.0,0.0,0.03257328990228013,0.026058631921824105,0.0,0.035830618892508145,0.0,0.0,0.029315960912052116,0.0,0.035830618892508145,0.0,0.009771986970684038,0.0,0.0,0.0,0.02280130293159609,0.035830618892508145,0.0,0.026058631921824105,0.035830618892508145,0.035830618892508145
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.03460207612456748,0.0,0.031141868512110725,0.03460207612456748,0.020761245674740483,0.03460207612456748,0.0,0.031141868512110725,0.02422145328719723,0.0,0.0,0.0,0.02768166089965398,0.006920415224913495,0.0,0.0,0.03460207612456748,0.0,0.02422145328719723,0.03460207612456748,0.03460207612456748,0.03460207612456748,0.0,0.03460207612456748,0.03460207612456748,0.0,0.0,0.0,0.031141868512110725,0.03460207612456748,0.0,0.0,0.03460207612456748,0.0,0.03460207612456748,0.0,0.02768166089965398,0.0,0.0,0.03460207612456748,0.0,0.0,0.0,0.031141868512110725,0.02768166089965398,0.0,0.03460207612456748,0.0,0.0,0.031141868512110725,0.0,0.03460207612456748,0.0,0.010380622837370242,0.0,0.0,0.0,0.02422145328719723,0.03460207612456748,0.0,0.02768166089965398,0.03460207612456748,0.03460207612456748
FT9,0.0,0.031545741324921134,0.0,0.028391167192429023,0.03470031545741325,0.01892744479495268,0.03470031545741325,0.0,0.03470031545741325,0.022082018927444796,0.0,0.0,0.0,0.025236593059936908,0.006309148264984227,0.0,0.0,0.03785488958990536,0.0,0.022082018927444796,0.03470031545741325,0.03785488958990536,0.03470031545741325,0.0,0.03785488958990536,0.03785488958990536,0.0,0.0,0.0,0.028391167192429023,0.03470031545741325,0.0,0.0,0.03785488958990536,0.0,0.031545741324921134,0.0,0.025236593059936908,0.0,0.0,0.03785488958990536,0.0,0.0,0.0,0.03470031545741325,0.025236593059936908,0.0,0.03470031545741325,0.0,0.0,0.028391167192429023,0.0,0.03785488958990536,0.0,0.00946372239747634,0.0,0.0,0.0,0.022082018927444796,0.03470031545741325,0.0,0.025236593059936908,0.03470031545741325,0.03785488958990536
FC5,0.0,0.0319634703196347,0.0,0.0319634703196347,0.0319634703196347,0.0273972602739726,0.0319634703196347,0.0,0.0273972602739726,0.0319634703196347,0.0,0.0,0.0,0.0319634703196347,0.0091324200913242,0.0,0.0,0.0319634703196347,0.0,0.0319634703196347,0.0319634703196347,0.0319634703196347,0.0319634703196347,0.0,0.0319634703196347,0.0319634703196347,0.0,0.0,0.0,0.0319634703196347,0.0319634703196347,0.0,0.0,0.0319634703196347,0.0,0.0319634703196347,0.0,0.0319634703196347,0.0,0.0,0.0319634703196347,0.0,0.0,0.0,0.0273972602739726,0.0319634703196347,0.0,0.0319634703196347,0.0,0.0,0.0319634703196347,0.0,0.0319634703196347,0.0,0.0136986301369863,0.0,0.0,0.0,0.0319634703196347,0.0319634703196347,0.0,0.0319634703196347,0.0319634703196347,0.0319634703196347
FC1,0.0,0.031545741324921134,0.0,0.028391167192429023,0.03470031545741325,0.01892744479495268,0.03470031545741325,0.0,0.03470031545741325,0.022082018927444796,0.0,0.0,0.0,0.025236593059936908,0.006309148264984227,0.0,0.0,0.03785488958990536,0.0,0.022082018927444796,0.03470031545741325,0.03785488958990536,0.03470031545741325,0.0,0.03785488958990536,0.03785488958990536,0.0,0.0,0.0,0.028391167192429023,0.03470031545741325,0.0,0.0,0.03785488958990536,0.0,0.031545741324921134,0.0,0.025236593059936908,0.0,0.0,0.03785488958990536,0.0,0.0,0.0,0.03470031545741325,0.025236593059936908,0.0,0.03470031545741325,0.0,0.0,0.028391167192429023,0.0,0.03785488958990536,0.0,0.00946372239747634,0.0,0.0,0.0,0.022082018927444796,0.03470031545741325,0.0,0.025236593059936908,0.03470031545741325,0.03785488958990536
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.026578073089700997,0.0,0.023255813953488372,0.029900332225913623,0.013289036544850499,0.029900332225913623,0.0,0.05647840531561462,0.016611295681063124,0.0,0.006644518272425249,0.0,0.019933554817275746,0.0,0.0,0.0,0.036544850498338874,0.0,0.016611295681063124,0.029900332225913623,0.04983388704318937,0.029900332225913623,0.0,0.03322259136212625,0.03322259136212625,0.0,0.0,0.0,0.023255813953488372,0.029900332225913623,0.0,0.0,0.03322259136212625,0.0,0.026578073089700997,0.0,0.019933554817275746,0.0,0.0,0.03986710963455149,0.0,0.0,0.019933554817275746,0.05647840531561462,0.019933554817275746,0.0,0.029900332225913623,0.0,0.0,0.023255813953488372,0.0,0.059800664451827246,0.006644518272425249,0.0033222591362126247,0.0,0.026578073089700997,0.0,0.016611295681063124,0.029900332225913623,0.0,0.019933554817275746,0.029900332225913623,0.03322259136212625
TP9,0.0,0.032520325203252036,0.0,0.032520325203252036,0.032520325203252036,0.024390243902439025,0.032520325203252036,0.0,0.028455284552845527,0.028455284552845527,0.0,0.0,0.0,0.032520325203252036,0.008130081300813009,0.0,0.0,0.032520325203252036,0.0,0.028455284552845527,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.0,0.032520325203252036,0.032520325203252036,0.0,0.0,0.0,0.032520325203252036,0.032520325203252036,0.0,0.0,0.032520325203252036,0.0,0.032520325203252036,0.0,0.032520325203252036,0.0,0.0,0.032520325203252036,0.0,0.0,0.0,0.028455284552845527,0.032520325203252036,0.0,0.032520325203252036,0.0,0.0,0.032520325203252036,0.0,0.032520325203252036,0.0,0.012195121951219513,0.0,0.0,0.0,0.028455284552845527,0.032520325203252036,0.0,0.032520325203252036,0.032520325203252036,0.032520325203252036
