,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.11666666666666667,0.02142857142857143,0.09047619047619047,0.002380952380952381,0.0,0.09761904761904762,0.03571428571428571,0.002380952380952381,0.02619047619047619,0.03333333333333333,0.014285714285714285,0.009523809523809525,0.02142857142857143,0.02857142857142857,0.04047619047619048,0.0,0.0,0.02857142857142857,0.004761904761904762,0.0,0.011904761904761904,0.07142857142857142,0.004761904761904762,0.0,0.05,0.004761904761904762,0.002380952380952381,0.0,0.04285714285714286,0.0,0.03571428571428571,0.02142857142857143,0.0,0.0,0.0,0.009523809523809525,0.016666666666666666,0.02142857142857143,0.0,0.02142857142857143,0.0,0.04523809523809524,0.0,0.02142857142857143,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
S1_D3 hbo,0.01107011070110701,0.05412054120541206,0.0,0.020910209102091022,0.020910209102091022,0.0,0.03567035670356704,0.017220172201722016,0.02706027060270603,0.01107011070110701,0.013530135301353014,0.01845018450184502,0.01845018450184502,0.04059040590405904,0.03444034440344403,0.020910209102091022,0.020910209102091022,0.017220172201722016,0.020910209102091022,0.020910209102091022,0.020910209102091022,0.013530135301353014,0.020910209102091022,0.020910209102091022,0.014760147601476014,0.01968019680196802,0.014760147601476014,0.01107011070110701,0.013530135301353014,0.014760147601476014,0.03444034440344403,0.04920049200492005,0.020910209102091022,0.01845018450184502,0.020910209102091022,0.004920049200492005,0.01107011070110701,0.01845018450184502,0.020910209102091022,0.01107011070110701,0.01968019680196802,0.0,0.020910209102091022,0.03690036900369004,0.017220172201722016,0.020910209102091022,0.01845018450184502,0.0,0.020910209102091022,0.01968019680196802,0.01107011070110701,0.014760147601476014
S2_D1 hbo,0.12074303405572756,0.0,0.11764705882352941,0.0030959752321981426,0.0,0.12074303405572756,0.018575851393188854,0.0030959752321981426,0.021671826625386997,0.043343653250773995,0.018575851393188854,0.01238390092879257,0.02786377708978328,0.009287925696594427,0.02786377708978328,0.0,0.0,0.03715170278637771,0.006191950464396285,0.0,0.015479876160990712,0.09287925696594428,0.006191950464396285,0.0,0.06501547987616099,0.006191950464396285,0.0030959752321981426,0.0,0.04643962848297214,0.0,0.018575851393188854,0.0,0.0,0.0,0.0,0.01238390092879257,0.0,0.0,0.0,0.02786377708978328,0.0,0.058823529411764705,0.0,0.0,0.030959752321981424,0.0,0.0,0.0,0.0,0.0,0.02786377708978328,0.0
S2_D2 hbo,0.0029455081001472753,0.023564064801178203,0.0029455081001472753,0.026509572901325478,0.026509572901325478,0.0029455081001472753,0.020618556701030927,0.022091310751104567,0.023564064801178203,0.013254786450662739,0.01914580265095729,0.025036818851251842,0.022091310751104567,0.027982326951399118,0.026509572901325478,0.026509572901325478,0.025036818851251842,0.023564064801178203,0.027982326951399118,0.026509572901325478,0.029455081001472753,0.01914580265095729,0.027982326951399118,0.026509572901325478,0.020618556701030927,0.026509572901325478,0.01914580265095729,0.004418262150220913,0.005891016200294551,0.017673048600883652,0.008836524300441826,0.026509572901325478,0.026509572901325478,0.023564064801178203,0.026509572901325478,0.005891016200294551,0.0,0.0,0.026509572901325478,0.016200294550810016,0.023564064801178203,0.0,0.026509572901325478,0.026509572901325478,0.020618556701030927,0.025036818851251842,0.022091310751104567,0.0,0.025036818851251842,0.023564064801178203,0.016200294550810016,0.017673048600883652
S2_D4 hbo,0.0,0.01463860933211345,0.0,0.01555352241537054,0.039341262580054895,0.0,0.020128087831655993,0.03110704483074108,0.021957913998170174,0.008234217749313814,0.010064043915827997,0.013723696248856358,0.013723696248856358,0.01555352241537054,0.026532479414455627,0.01646843549862763,0.01555352241537054,0.024702653247941447,0.027447392497712716,0.0292772186642269,0.024702653247941447,0.010064043915827997,0.027447392497712716,0.03019213174748399,0.022872827081427266,0.03110704483074108,0.010978956999085087,0.0027447392497712718,0.0036596523330283625,0.010978956999085087,0.01738334858188472,0.021957913998170174,0.0192131747483989,0.01738334858188472,0.022872827081427266,0.010064043915827997,0.0,0.0027447392497712718,0.027447392497712716,0.008234217749313814,0.01463860933211345,0.020128087831655993,0.03110704483074108,0.027447392497712716,0.028362305580969808,0.0384263494967978,0.03385178408051235,0.022872827081427266,0.0384263494967978,0.035681610247026534,0.020128087831655993,0.022872827081427266
S3_D1 hbo,0.12424242424242424,0.0,0.11515151515151516,0.0030303030303030303,0.0,0.12424242424242424,0.01818181818181818,0.0030303030303030303,0.021212121212121213,0.04242424242424243,0.01818181818181818,0.012121212121212121,0.02727272727272727,0.00909090909090909,0.02727272727272727,0.0,0.0,0.03636363636363636,0.006060606060606061,0.0,0.015151515151515152,0.09090909090909091,0.006060606060606061,0.0,0.06363636363636363,0.006060606060606061,0.0030303030303030303,0.0,0.05454545454545454,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.02727272727272727,0.0,0.05757575757575758,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.0
S3_D3 hbo,0.01436265709156194,0.026929982046678635,0.0062836624775583485,0.012567324955116697,0.02244165170556553,0.0062836624775583485,0.0466786355475763,0.02154398563734291,0.027827648114901255,0.00807899461400359,0.01526032315978456,0.01526032315978456,0.011669658886894075,0.03052064631956912,0.04308797127468582,0.011669658886894075,0.011669658886894075,0.02872531418312388,0.025134649910233394,0.02333931777378815,0.02423698384201077,0.01615798922800718,0.026032315978456014,0.02423698384201077,0.03052064631956912,0.02423698384201077,0.011669658886894075,0.003590664272890485,0.0062836624775583485,0.010771992818671455,0.03500897666068223,0.03770197486535009,0.011669658886894075,0.009874326750448833,0.011669658886894075,0.003590664272890485,0.00718132854578097,0.010771992818671455,0.019748653500897665,0.01436265709156194,0.011669658886894075,0.01436265709156194,0.025134649910233394,0.02333931777378815,0.01615798922800718,0.025134649910233394,0.019748653500897665,0.012567324955116697,0.025134649910233394,0.02423698384201077,0.02872531418312388,0.025134649910233394
S3_D4 hbo,0.0020304568527918783,0.015228426395939087,0.0020304568527918783,0.016243654822335026,0.03553299492385787,0.0020304568527918783,0.023350253807106598,0.03451776649746193,0.025380710659898477,0.009137055837563452,0.013197969543147208,0.017258883248730966,0.015228426395939087,0.017258883248730966,0.027411167512690356,0.015228426395939087,0.015228426395939087,0.026395939086294416,0.027411167512690356,0.025380710659898477,0.025380710659898477,0.013197969543147208,0.027411167512690356,0.025380710659898477,0.024365482233502538,0.03248730964467005,0.013197969543147208,0.003045685279187817,0.0040609137055837565,0.012182741116751269,0.016243654822335026,0.019289340101522844,0.015228426395939087,0.013197969543147208,0.02131979695431472,0.01015228426395939,0.0,0.003045685279187817,0.024365482233502538,0.01116751269035533,0.017258883248730966,0.018274111675126905,0.025380710659898477,0.025380710659898477,0.029441624365482234,0.03553299492385787,0.03451776649746193,0.02030456852791878,0.03553299492385787,0.03451776649746193,0.02131979695431472,0.02233502538071066
S3_D5 hbo,0.014846235418875928,0.026511134676564158,0.008483563096500531,0.016967126193001062,0.02863202545068929,0.008483563096500531,0.030752916224814422,0.026511134676564158,0.044538706256627786,0.009544008483563097,0.018027571580063628,0.02014846235418876,0.015906680805938492,0.030752916224814422,0.036055143160127257,0.015906680805938492,0.015906680805938492,0.02332979851537646,0.018027571580063628,0.015906680805938492,0.02014846235418876,0.02014846235418876,0.018027571580063628,0.015906680805938492,0.02014846235418876,0.02332979851537646,0.013785790031813362,0.003181336161187699,0.0042417815482502655,0.012725344644750796,0.016967126193001062,0.027571580063626724,0.015906680805938492,0.013785790031813362,0.024390243902439025,0.012725344644750796,0.003181336161187699,0.010604453870625663,0.015906680805938492,0.018027571580063628,0.015906680805938492,0.010604453870625663,0.015906680805938492,0.03711558854718982,0.027571580063626724,0.02863202545068929,0.02863202545068929,0.012725344644750796,0.02863202545068929,0.027571580063626724,0.018027571580063628,0.012725344644750796
S4_D2 hbo,0.0213903743315508,0.013368983957219251,0.0213903743315508,0.013368983957219251,0.013368983957219251,0.0213903743315508,0.013368983957219251,0.013368983957219251,0.013368983957219251,0.06818181818181818,0.0427807486631016,0.017379679144385027,0.05213903743315508,0.013368983957219251,0.013368983957219251,0.013368983957219251,0.0374331550802139,0.013368983957219251,0.013368983957219251,0.013368983957219251,0.014705882352941176,0.03208556149732621,0.013368983957219251,0.01871657754010695,0.029411764705882353,0.03074866310160428,0.02807486631016043,0.029411764705882353,0.0481283422459893,0.013368983957219251,0.008021390374331552,0.013368983957219251,0.013368983957219251,0.03074866310160428,0.013368983957219251,0.0106951871657754,0.0,0.0,0.013368983957219251,0.012032085561497326,0.03342245989304813,0.020053475935828877,0.013368983957219251,0.013368983957219251,0.02540106951871658,0.013368983957219251,0.013368983957219251,0.0,0.013368983957219251,0.013368983957219251,0.012032085561497326,0.013368983957219251
