,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.06820083682008368,0.0020920502092050207,0.0,0.010460251046025104,0.006276150627615063,0.0008368200836820083,0.0066945606694560665,0.0,0.04142259414225941,0.0008368200836820083,0.0,0.05230125523012552,0.04769874476987448,0.0,0.009623430962343096,0.0,0.025523012552301255,0.0,0.00041841004184100416,0.04435146443514645,0.0,0.05606694560669456,0.02384937238493724,0.002510460251046025,0.03933054393305439,0.06903765690376569,0.0066945606694560665,0.0,0.0200836820083682,0.0,0.029707112970711297,0.040585774058577405,0.0,0.0020920502092050207,0.020502092050209204,0.015899581589958158,0.05230125523012552,0.02510460251046025,0.0,0.05564853556485356,0.0502092050209205,0.0,0.00502092050209205,0.0,0.0020920502092050207,0.0,0.022594142259414227,0.0012552301255230125,0.0,0.0,0.0,0.026778242677824266,0.0,0.0,0.0,0.0,0.007949790794979079,0.03138075313807531,0.0008368200836820083,0.022594142259414227,0.03138075313807531,0.010878661087866108,0.010878661087866108
Fz,0.00331858407079646,0.034292035398230086,0.0,0.004424778761061947,0.028761061946902654,0.033185840707964605,0.028761061946902654,0.02654867256637168,0.0,0.033185840707964605,0.02654867256637168,0.0055309734513274336,0.0,0.022123893805309734,0.0,0.02654867256637168,0.00995575221238938,0.022123893805309734,0.032079646017699116,0.0022123893805309734,0.02654867256637168,0.0055309734513274336,0.017699115044247787,0.035398230088495575,0.0055309734513274336,0.0055309734513274336,0.02765486725663717,0.02765486725663717,0.01991150442477876,0.02654867256637168,0.0,0.0,0.024336283185840708,0.035398230088495575,0.0,0.004424778761061947,0.008849557522123894,0.0055309734513274336,0.016592920353982302,0.00331858407079646,0.004424778761061947,0.02654867256637168,0.0,0.030973451327433628,0.035398230088495575,0.02654867256637168,0.0,0.030973451327433628,0.014380530973451327,0.030973451327433628,0.022123893805309734,0.0,0.02765486725663717,0.029867256637168143,0.0,0.028761061946902654,0.0,0.0,0.033185840707964605,0.015486725663716814,0.0011061946902654867,0.0011061946902654867,0.004424778761061947
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.023708721422523286,0.001693480101608806,0.0,0.04657070279424217,0.0,0.016088060965283656,0.0,0.021168501270110076,0.0279424216765453,0.017781541066892465,0.018628281117696866,0.017781541066892465,0.023708721422523286,0.016088060965283656,0.014394580863674851,0.017781541066892465,0.005080440304826418,0.015241320914479255,0.011854360711261643,0.016088060965283656,0.023708721422523286,0.02032176121930567,0.0,0.011854360711261643,0.013547840812870448,0.021168501270110076,0.0,0.02032176121930567,0.0,0.021168501270110076,0.02032176121930567,0.02286198137171888,0.024555461473327687,0.013547840812870448,0.029635901778154106,0.006773920406435224,0.013547840812870448,0.007620660457239628,0.021168501270110076,0.02201524132091448,0.018628281117696866,0.006773920406435224,0.010160880609652836,0.01693480101608806,0.011854360711261643,0.017781541066892465,0.028789161727349702,0.0,0.02032176121930567,0.016088060965283656,0.02286198137171888,0.026248941574936496,0.01947502116850127,0.017781541066892465,0.0,0.021168501270110076,0.02286198137171888,0.01947502116850127,0.014394580863674851,0.0,0.015241320914479255,0.0,0.04741744284504657
FT9,0.012833168805528134,0.027640671273445213,0.0,0.0,0.035538005923000986,0.024679170779861797,0.035538005923000986,0.018756169792694965,0.005923000987166831,0.024679170779861797,0.018756169792694965,0.014807502467917079,0.009871668311944718,0.014807502467917079,0.0,0.018756169792694965,0.018756169792694965,0.014807502467917079,0.023692003948667325,0.011846001974333662,0.018756169792694965,0.014807502467917079,0.02566633761105627,0.028627838104639685,0.014807502467917079,0.014807502467917079,0.034550839091806514,0.019743336623889437,0.027640671273445213,0.018756169792694965,0.007897334649555774,0.008884501480750246,0.01678183613030602,0.027640671273445213,0.0,0.013820335636722606,0.017769002961500493,0.014807502467917079,0.009871668311944718,0.012833168805528134,0.013820335636722606,0.018756169792694965,0.0,0.022704837117472853,0.027640671273445213,0.018756169792694965,0.0009871668311944718,0.02566633761105627,0.007897334649555774,0.022704837117472853,0.014807502467917079,0.003948667324777887,0.019743336623889437,0.02171767028627838,0.0,0.02073050345508391,0.0,0.009871668311944718,0.024679170779861797,0.023692003948667325,0.01085883514313919,0.01085883514313919,0.0
FC5,0.0,0.016073478760045924,0.0,0.012055109070034443,0.01320321469575201,0.04477611940298507,0.01320321469575201,0.04362801377726751,0.0,0.04649827784156142,0.023536165327210104,0.001148105625717566,0.0,0.02066590126291619,0.0,0.02525832376578645,0.003444316877152698,0.020091848450057407,0.022962112514351322,0.0,0.04362801377726751,0.001148105625717566,0.007462686567164179,0.03960964408725603,0.001148105625717566,0.001148105625717566,0.012629161882893225,0.04305396096440873,0.008610792192881744,0.04190585533869116,0.0,0.0,0.04247990815154994,0.04420206659012629,0.0,0.000574052812858783,0.0028702640642939152,0.001148105625717566,0.018369690011481057,0.0,0.000574052812858783,0.016647531572904706,0.0,0.04190585533869116,0.02640642939150402,0.023536165327210104,0.0,0.014925373134328358,0.01722158438576349,0.03903559127439724,0.02123995407577497,0.0,0.04075774971297359,0.04190585533869116,0.0,0.04477611940298507,0.000574052812858783,0.0,0.03559127439724455,0.006314580941446613,0.0,0.0,0.012055109070034443
FC1,0.013461538461538462,0.026923076923076925,0.0,0.0,0.035576923076923075,0.02403846153846154,0.035576923076923075,0.01826923076923077,0.006730769230769231,0.02403846153846154,0.01826923076923077,0.015384615384615385,0.010576923076923078,0.014423076923076924,0.0,0.01826923076923077,0.019230769230769232,0.014423076923076924,0.023076923076923078,0.0125,0.01826923076923077,0.015384615384615385,0.025961538461538463,0.027884615384615386,0.015384615384615385,0.015384615384615385,0.03461538461538462,0.019230769230769232,0.027884615384615386,0.01826923076923077,0.008653846153846154,0.009615384615384616,0.016346153846153847,0.026923076923076925,0.0,0.014423076923076924,0.01826923076923077,0.015384615384615385,0.009615384615384616,0.013461538461538462,0.014423076923076924,0.01826923076923077,0.0,0.022115384615384617,0.026923076923076925,0.01826923076923077,0.0019230769230769232,0.025,0.007692307692307693,0.022115384615384617,0.014423076923076924,0.004807692307692308,0.019230769230769232,0.021153846153846155,0.0,0.020192307692307693,0.0,0.010576923076923078,0.02403846153846154,0.02403846153846154,0.011538461538461539,0.011538461538461539,0.0
C3,0.0,0.011982570806100218,0.0,0.014705882352941176,0.009259259259259259,0.039760348583877995,0.009259259259259259,0.054466230936819175,0.0010893246187363835,0.05337690631808279,0.02287581699346405,0.0,0.0,0.0196078431372549,0.0,0.023965141612200435,0.0,0.01906318082788671,0.018518518518518517,0.0,0.056100217864923745,0.0,0.003812636165577342,0.03431372549019608,0.0,0.0,0.008714596949891068,0.049564270152505446,0.004901960784313725,0.049019607843137254,0.0,0.0,0.05555555555555555,0.0457516339869281,0.002178649237472767,0.0,0.0,0.0,0.020152505446623094,0.0,0.0,0.015250544662309368,0.0,0.037037037037037035,0.02178649237472767,0.022331154684095862,0.0016339869281045752,0.010893246187363835,0.018518518518518517,0.03431372549019608,0.023420479302832243,0.0,0.04139433551198257,0.03812636165577342,0.0,0.05555555555555555,0.003812636165577342,0.0,0.030501089324618737,0.0027233115468409588,0.0,0.0,0.014705882352941176
T7,0.053152683689421575,0.0,0.0,0.015633142261594582,0.004168837936425221,0.0,0.004689942678478374,0.0,0.053673788431474724,0.0,0.0,0.0484627410109432,0.053152683689421575,0.0,0.011985409067222511,0.0,0.02344971339239187,0.0,0.0,0.045336112558624284,0.001563314226159458,0.05106826472120896,0.018238665971860343,0.0,0.039603960396039604,0.05158936946326212,0.004689942678478374,0.0,0.014590932777488274,0.0,0.03647733194372069,0.0484627410109432,0.0020844189682126106,0.0,0.028139656070870246,0.01615424700364773,0.044815007816571134,0.02553413236060448,0.0,0.05211047420531527,0.0484627410109432,0.0,0.006253256904637832,0.0,0.0,0.0,0.030745179781136008,0.0,0.0,0.0,0.0010422094841063053,0.03543512245961438,0.0,0.0,0.0,0.0,0.011985409067222511,0.03699843668577384,0.0,0.018238665971860343,0.034392912975508075,0.011464304325169358,0.01615424700364773
TP9,0.0,0.013612056392805057,0.0,0.01118133203694701,0.01118133203694701,0.03889158969372873,0.01118133203694701,0.04861448711716091,0.0,0.06806028196402528,0.020904229460379193,0.0009722897423432182,0.0,0.01750121536217793,0.0,0.021876519202722412,0.002916869227029655,0.01701507049100632,0.019445794846864366,0.0,0.05930967428293631,0.0009722897423432182,0.006319883325230919,0.037919299951385516,0.0009722897423432182,0.0009722897423432182,0.0106951871657754,0.04472532814778804,0.007292173067574137,0.0427807486631016,0.0,0.0,0.05785123966942149,0.05104521147301896,0.0,0.0004861448711716091,0.0024307243558580457,0.0009722897423432182,0.01652892561983471,0.0,0.0004861448711716091,0.014098201263976665,0.0,0.03548857559552747,0.02236266407389402,0.020418084589207585,0.0,0.012639766650461837,0.015556635877491492,0.03305785123966942,0.018959649975692758,0.0,0.0374331550802139,0.03597472046669908,0.0,0.060768108896451144,0.0014584346135148275,0.0,0.030140982012639768,0.0053475935828877,0.0,0.0,0.01118133203694701
