,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.09052631578947369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04631578947368421,0.08210526315789474,0.05263157894736842,0.0,0.0,0.08210526315789474,0.0,0.0,0.04631578947368421,0.0,0.00631578947368421,0.0,0.0,0.0,0.02736842105263158,0.0,0.0,0.0,0.0,0.08210526315789474,0.056842105263157895,0.0,0.008421052631578947,0.02736842105263158,0.0,0.0,0.0,0.0,0.04421052631578947,0.07789473684210527,0.0,0.0,0.002105263157894737,0.0,0.08421052631578947,0.08842105263157894,0.0,0.0,0.0,0.004210526315789474,0.0,0.0,0.016842105263157894,0.0,0.0,0.010526315789473684,0.004210526315789474,0.0,0.002105263157894737,0.008421052631578947,0.02736842105263158,0.021052631578947368
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.03758169934640523,0.0392156862745098,0.0392156862745098,0.03431372549019608,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0,0.0,0.0,0.03431372549019608,0.04084967320261438,0.0,0.04084967320261438,0.0,0.0,0.024509803921568627,0.0,0.0,0.03758169934640523,0.029411764705882353,0.0,0.032679738562091505,0.03758169934640523,0.0,0.00980392156862745,0.0,0.0,0.04084967320261438,0.0,0.0,0.013071895424836602,0.0,0.0016339869281045752,0.04084967320261438,0.0,0.0,0.014705882352941176,0.011437908496732025,0.04084967320261438,0.03431372549019608,0.0,0.0,0.04084967320261438,0.03758169934640523,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.006535947712418301,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.03367496339677892,0.0424597364568082,0.040995607613469986,0.032210834553440704,0.036603221083455345,0.03513909224011713,0.0,0.043923865300146414,0.0,0.0,0.0,0.03074670571010249,0.04685212298682284,0.0,0.04685212298682284,0.0,0.0,0.021961932650073207,0.0,0.0,0.03367496339677892,0.027818448023426062,0.0,0.029282576866764276,0.03367496339677892,0.0,0.008784773060029283,0.0,0.0,0.04685212298682284,0.0,0.0,0.01171303074670571,0.0,0.0014641288433382138,0.04685212298682284,0.0,0.0,0.013177159590043924,0.010248901903367497,0.04538799414348463,0.03074670571010249,0.0,0.0,0.04685212298682284,0.03367496339677892,0.03513909224011713,0.0,0.043923865300146414,0.043923865300146414,0.0,0.03513909224011713,0.005856515373352855,0.0,0.004392386530014641,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.03475513428120063,0.04107424960505529,0.04107424960505529,0.03475513428120063,0.037914691943127965,0.036334913112164295,0.0,0.04265402843601896,0.0,0.0,0.0,0.0315955766192733,0.045813586097946286,0.0,0.044233807266982623,0.0,0.0,0.022116903633491312,0.0,0.0,0.03475513428120063,0.030015797788309637,0.0,0.030015797788309637,0.03475513428120063,0.0,0.009478672985781991,0.0,0.0,0.045813586097946286,0.0,0.0,0.011058451816745656,0.0,0.001579778830963665,0.044233807266982623,0.0,0.0,0.014218009478672985,0.009478672985781991,0.04265402843601896,0.03317535545023697,0.0,0.0,0.045813586097946286,0.03475513428120063,0.036334913112164295,0.0,0.04265402843601896,0.04265402843601896,0.0,0.036334913112164295,0.004739336492890996,0.0,0.00315955766192733,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.03682170542635659,0.03875968992248062,0.040697674418604654,0.03875968992248062,0.040697674418604654,0.03875968992248062,0.0,0.040697674418604654,0.0,0.0,0.0,0.03294573643410853,0.04263565891472868,0.0,0.040697674418604654,0.0,0.0,0.023255813953488372,0.0,0.0,0.03682170542635659,0.03682170542635659,0.0,0.031007751937984496,0.03682170542635659,0.0,0.011627906976744186,0.0,0.0,0.04263565891472868,0.0,0.0,0.009689922480620155,0.0,0.0,0.040697674418604654,0.0,0.0,0.01744186046511628,0.007751937984496124,0.03875968992248062,0.03488372093023256,0.0,0.0,0.04263565891472868,0.03682170542635659,0.03875968992248062,0.0,0.040697674418604654,0.040697674418604654,0.0,0.03875968992248062,0.001937984496124031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.036605657237936774,0.03826955074875208,0.03993344425956739,0.036605657237936774,0.03993344425956739,0.03826955074875208,0.0,0.03993344425956739,0.0,0.0,0.0,0.033277870216306155,0.04326123128119801,0.0,0.04159733777038269,0.0,0.0,0.02329450915141431,0.0,0.0,0.036605657237936774,0.03161397670549085,0.0,0.03161397670549085,0.036605657237936774,0.0,0.009983361064891847,0.0,0.0,0.04326123128119801,0.0,0.0,0.011647254575707155,0.0,0.0016638935108153079,0.04159733777038269,0.0,0.0,0.014975041597337771,0.009983361064891847,0.03993344425956739,0.03494176372712146,0.0,0.0,0.04326123128119801,0.036605657237936774,0.03826955074875208,0.0,0.03993344425956739,0.03993344425956739,0.0,0.03826955074875208,0.004991680532445923,0.0,0.0033277870216306157,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.03685897435897436,0.038461538461538464,0.04006410256410257,0.035256410256410256,0.04006410256410257,0.038461538461538464,0.0,0.04006410256410257,0.0,0.0,0.0,0.03365384615384615,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.02403846153846154,0.0,0.0,0.03685897435897436,0.030448717948717948,0.0,0.03205128205128205,0.03685897435897436,0.0,0.009615384615384616,0.0,0.0,0.041666666666666664,0.0,0.0,0.01282051282051282,0.0,0.0016025641025641025,0.041666666666666664,0.0,0.0,0.014423076923076924,0.011217948717948718,0.04006410256410257,0.03365384615384615,0.0,0.0,0.041666666666666664,0.03685897435897436,0.038461538461538464,0.0,0.04006410256410257,0.04006410256410257,0.0,0.038461538461538464,0.00641025641025641,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
