,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.11383928571428571,0.0,0.0,0.005357142857142857,0.029910714285714287,0.06830357142857142,0.0,0.0,0.0,0.012053571428571429,0.0,0.0,0.04196428571428571,0.0,0.04776785714285714,0.0,0.048214285714285716,0.07366071428571429,0.006696428571428571,0.0,0.002232142857142857,0.045089285714285714,0.07544642857142857,0.05223214285714286,0.0,0.0,0.048660714285714286,0.05178571428571429,0.0,0.0,0.0,0.0,0.04241071428571429,0.0,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0,0.033928571428571426,0.0,0.0,0.0,0.0,0.0,0.027678571428571427,0.0,0.029910714285714287,0.0,0.0,0.03705357142857143,0.0,0.0,0.0,0.0,0.0,0.028125,0.0,0.07232142857142858,0.0017857142857142857,0.0
F3,0.0,0.0,0.05627705627705628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05735930735930736,0.05735930735930736,0.0,0.0,0.0,0.05735930735930736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.05735930735930736,0.0,0.0,0.030303030303030304,0.0,0.0,0.05735930735930736,0.0,0.0,0.03571428571428571,0.0,0.0,0.05735930735930736,0.0,0.05735930735930736,0.0,0.04004329004329004,0.05735930735930736,0.0,0.05735930735930736,0.044372294372294376,0.05735930735930736,0.0,0.05735930735930736,0.0,0.0,0.0,0.05735930735930736,0.05735930735930736
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.050387596899224806,0.0,0.0,0.046511627906976744,0.050387596899224806,0.050387596899224806,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.050387596899224806,0.0,0.031007751937984496,0.0,0.04263565891472868,0.050387596899224806,0.050387596899224806,0.0,0.01937984496124031,0.050387596899224806,0.050387596899224806,0.050387596899224806,0.0,0.0,0.050387596899224806,0.050387596899224806,0.0,0.0,0.0,0.0,0.050387596899224806,0.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.050387596899224806,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.03875968992248062,0.0,0.0,0.04263565891472868,0.0,0.0,0.0,0.0,0.0,0.04263565891472868,0.0,0.03488372093023256,0.0,0.0
FC5,0.0,0.05287713841368585,0.0,0.0,0.00933125972006221,0.05132192846034215,0.05287713841368585,0.0,0.0,0.0,0.019440124416796267,0.0,0.0,0.05287713841368585,0.0,0.04743390357698289,0.0,0.049766718506998445,0.05287713841368585,0.01166407465007776,0.0,0.0038880248833592537,0.05287713841368585,0.05287713841368585,0.05287713841368585,0.0,0.0,0.05287713841368585,0.05287713841368585,0.0,0.0,0.0,0.0,0.052099533437014,0.0,0.0,0.006220839813374806,0.0,0.0,0.0,0.0,0.05287713841368585,0.0,0.0,0.0,0.0,0.0,0.03265940902021773,0.0,0.04354587869362364,0.0,0.0,0.049766718506998445,0.0,0.0,0.0,0.0,0.0,0.045878693623639194,0.0,0.04821150855365474,0.0,0.0
FC1,0.0,0.07559288537549406,0.0,0.0,0.005928853754940711,0.033102766798418976,0.07460474308300395,0.0,0.0,0.0,0.0133399209486166,0.0,0.0,0.046442687747035576,0.0,0.04743083003952569,0.0,0.05039525691699605,0.07015810276679842,0.007411067193675889,0.0,0.0024703557312252965,0.04891304347826087,0.07312252964426877,0.05632411067193676,0.0,0.0,0.053853754940711464,0.05731225296442688,0.0,0.0,0.0,0.0,0.04693675889328063,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.037549407114624504,0.0,0.0,0.0,0.0,0.0,0.030138339920948616,0.0,0.033102766798418976,0.0,0.0,0.04100790513833992,0.0,0.0,0.0,0.0,0.0,0.031126482213438736,0.0,0.059782608695652176,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
