,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.08992805755395683,0.0,0.0,0.039568345323741004,0.0,0.0,0.0,0.0,0.06115107913669065,0.0,0.0,0.08633093525179857,0.0539568345323741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08633093525179857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05755395683453238,0.09352517985611511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683453237410072,0.0,0.07553956834532374,0.0,0.0,0.08992805755395683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07553956834532374,0.05755395683453238,0.06474820143884892
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.06951871657754011,0.0,0.0,0.0855614973262032,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.053475935828877004,0.0481283422459893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855614973262032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748663101604278,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0427807486631016,0.0,0.0,0.0855614973262032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.03208556149732621,0.058823529411764705
FT9,0.0,0.0,0.0,0.0,0.050073637702503684,0.048600883652430045,0.0,0.0,0.0,0.045655375552282766,0.035346097201767304,0.0,0.0,0.0,0.042709867452135494,0.01914580265095729,0.0,0.0,0.045655375552282766,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.045655375552282766,0.0,0.048600883652430045,0.05154639175257732,0.0,0.0,0.0,0.0,0.0,0.045655375552282766,0.0,0.039764359351988215,0.0,0.0,0.0,0.035346097201767304,0.023564064801178203,0.011782032400589101,0.048600883652430045,0.0,0.0,0.050073637702503684,0.0,0.050073637702503684,0.0,0.0,0.041237113402061855,0.05154639175257732,0.0,0.047128129602356406,0.0,0.0,0.048600883652430045,0.03240058910162003,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.04908835904628331,0.07012622720897616,0.0,0.0,0.0,0.04628330995792426,0.03225806451612903,0.0,0.0,0.0,0.04067321178120617,0.0182328190743338,0.0,0.0,0.04207573632538569,0.0,0.0,0.0,0.0,0.037868162692847124,0.0,0.0,0.04488078541374474,0.0,0.04488078541374474,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.04207573632538569,0.0,0.037868162692847124,0.0,0.0,0.0,0.033660589060308554,0.02244039270687237,0.011220196353436185,0.04908835904628331,0.0,0.0,0.05750350631136045,0.0,0.047685834502103785,0.0,0.0,0.037868162692847124,0.047685834502103785,0.0,0.043478260869565216,0.0,0.0,0.04488078541374474,0.033660589060308554,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.07011070110701106,0.0,0.0,0.06273062730627306,0.0,0.0,0.0,0.0,0.09225092250922509,0.0,0.0,0.05904059040590406,0.055350553505535055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08118081180811808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06642066420664207,0.0959409594095941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09225092250922509,0.0,0.05166051660516605,0.0,0.0,0.08118081180811808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08487084870848709,0.04428044280442804,0.06273062730627306
TP9,0.0,0.0,0.0,0.0,0.05092592592592592,0.05092592592592592,0.0,0.0,0.0,0.04938271604938271,0.032407407407407406,0.0,0.0,0.0,0.044753086419753084,0.020061728395061727,0.0,0.0,0.043209876543209874,0.0,0.0,0.0,0.0,0.038580246913580245,0.0,0.0,0.04938271604938271,0.0,0.046296296296296294,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.043209876543209874,0.0,0.041666666666666664,0.0,0.0,0.0,0.037037037037037035,0.024691358024691357,0.012345679012345678,0.05092592592592592,0.0,0.0,0.05092592592592592,0.0,0.04938271604938271,0.0,0.0,0.038580246913580245,0.04938271604938271,0.0,0.044753086419753084,0.0,0.0,0.046296296296296294,0.035493827160493825,0.0,0.0,0.0
