,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.05803764386590943,0.030302306880434237,0.0040609137055837565,0.029954264461979192,0.01634040307584058,0.0416004925365633,0.0316995024375534,0.01634040307584058,0.013420364879127506,0.03096949288837513,0.027986631150424688,0.013197969543147208,0.006091370558375634,0.023766145650098006,0.03687239282303865,0.012627531788711866,0.030461878675177162,0.01116751269035533,0.029446650248781223,0.011675126903553299,0.03096949288837513,0.029954264461979192,0.015165602854701714,0.011897522239533597,0.0319218977735337,0.009137055837563452,0.0,0.012342312911494195,0.028939036035583253,0.0025380710659898475,0.013613861386138614,0.00986706538674172,0.026275317887118663,0.012405136452731566,0.012182741116751269,0.02601899783887018,0.011897522239533597,0.024496155199276275,0.00885183696034578,0.012912750665929536,0.015673217067899682,0.020087199075237473,0.012182741116751269,0.018085641051414785,0.008121827411167513,0.009644670050761422,0.02338417851937478,0.01015228426395939,0.021005679248127858,0.03176232597879077,0.006091370558375634,0.01640322661707795
S1_D3 hbo,0.07024176999086033,0.08483505492420976,0.008436944937833037,0.007992895204262877,0.042861577195675044,0.053014364793322874,0.008880994671403197,0.03315283933159737,0.014653641207815276,0.009325044404973356,0.019033782269051024,0.014653641207815276,0.007104795737122558,0.062279052923830375,0.03711910879649589,0.008880994671403197,0.009325044404973356,0.014653641207815276,0.008436944937833037,0.015097690941385435,0.008436944937833037,0.008436944937833037,0.014653641207815276,0.01417941333701219,0.018145682801910708,0.007992895204262877,0.0,0.022111952266809225,0.0066607460035523975,0.007104795737122558,0.0,0.007548845470692718,0.043689320388349516,0.01861991067271379,0.012877442273534635,0.008436944937833037,0.014209591474245116,0.06183500319026022,0.0066607460035523975,0.013765541740674956,0.015097690941385435,0.0004440497335701599,0.015541740674955595,0.03359688906516753,0.007104795737122558,0.008436944937833037,0.026582627739743743,0.013765541740674956,0.009769094138543518,0.023030229871182466,0.0053285968028419185,0.01595561227129283
S2_D1 hbo,0.0070921985815602835,0.02009456264775414,0.41038711583924353,0.0,0.06272163120567376,0.0,0.0,0.0,0.016548463356973995,0.0,0.0,0.014184397163120567,0.004728132387706856,0.0,0.0,0.0,0.0,0.01773049645390071,0.0,0.02009456264775414,0.0,0.125,0.014184397163120567,0.0,0.0,0.0,0.028368794326241134,0.02009456264775414,0.0,0.0425531914893617,0.02009456264775414,0.0,0.001182033096926714,0.013002364066193853,0.010638297872340425,0.0,0.02009456264775414,0.0,0.0,0.013002364066193853,0.015366430260047281,0.02009456264775414,0.02009456264775414,0.0,0.0,0.0,0.018912529550827423,0.01773049645390071,0.00591016548463357,0.01182033096926714,0.0,0.008274231678486997
S2_D2 hbo,0.03353742248031434,0.011543134872417983,0.0,0.051908601726341694,0.009113001215066828,0.040114563443846556,0.035527291663379146,0.010935601458080195,0.010328068043742407,0.04461820075428824,0.027127550456833568,0.011543134872417983,0.006075334143377886,0.010935601458080195,0.04279560051127487,0.010935601458080195,0.038815862145145257,0.009720534629404616,0.040198197913872274,0.009720534629404616,0.04461820075428824,0.041496899212573574,0.011543134872417983,0.011543134872417983,0.038899496615170975,0.009720534629404616,0.0,0.009113001215066828,0.03829196320083319,0.0,0.02207792207792208,0.010328068043742407,0.028928058575689197,0.010935601458080195,0.011543134872417983,0.035527291663379146,0.009720534629404616,0.011543134872417983,0.009113001215066828,0.010935601458080195,0.011543134872417983,0.02909532751574064,0.010328068043742407,0.011543134872417983,0.00850546780072904,0.011543134872417983,0.023231446560729674,0.009113001215066828,0.020801312903378517,0.026520017042495778,0.007290400972053463,0.009113001215066828
S2_D4 hbo,0.022565954773869346,0.02881595477386935,0.028156407035175877,0.010050251256281407,0.14265075376884423,0.010050251256281407,0.010050251256281407,0.009422110552763818,0.010678391959798994,0.010050251256281407,0.010050251256281407,0.01193467336683417,0.0043969849246231155,0.015672110552763817,0.008165829145728644,0.012547110552763818,0.010050251256281407,0.009422110552763818,0.008793969849246231,0.010050251256281407,0.008793969849246231,0.021293969849246232,0.011306532663316583,0.010050251256281407,0.008793969849246231,0.011290829145728643,0.029444095477386936,0.016912688442211055,0.00628140703517588,0.010050251256281407,0.028125,0.038175251256281406,0.05439698492462312,0.009422110552763818,0.011306532663316583,0.008793969849246231,0.011306532663316583,0.04130025125628141,0.037547110552763815,0.013175251256281408,0.01193467336683417,0.0,0.010678391959798994,0.038175251256281406,0.010034547738693469,0.038175251256281406,0.013190954773869347,0.008165829145728644,0.007537688442211055,0.01193467336683417,0.03690326633165829,0.04192839195979899
S3_D1 hbo,0.03779545008682763,0.019236498121762126,0.0,0.030413284990808625,0.008423006779094522,0.05230184045513664,0.026878419519142042,0.015285659272391719,0.015078580822355754,0.03316888155839249,0.026618663217781134,0.01315493101017954,0.0074875207986688855,0.023240014822457477,0.0373794767091238,0.013830660689244273,0.03608069520231928,0.010815307820299502,0.03415704539014307,0.010815307820299502,0.03415704539014307,0.030153528689447717,0.0142466340669481,0.0142466340669481,0.036340451503680184,0.01190701087706806,0.0,0.009670926912206003,0.027397932121863852,0.0,0.020847713781252497,0.014402851143291023,0.02074235807860262,0.018406367843986367,0.01856258492032929,0.023603310348836365,0.01065909074395658,0.0188205247440583,0.007331303722325963,0.012738957632475713,0.0142466340669481,0.018558951965065504,0.011231281198003328,0.018197472916318506,0.011075064121660406,0.009983361064891847,0.030831074846144342,0.010399334442595673,0.02240806806704982,0.02802280042723554,0.011075064121660406,0.017574421088578714
S3_D3 hbo,0.03963632485468992,0.011111111111111112,0.0,0.03846673421141506,0.008187134502923977,0.03905152953305249,0.04361080004976981,0.011695906432748537,0.012630867950016887,0.03963632485468992,0.028413231660712062,0.011695906432748537,0.007017543859649123,0.011695906432748537,0.03846673421141506,0.014735420110560088,0.03753177269414672,0.010526315789473684,0.03846673421141506,0.010526315789473684,0.03963632485468992,0.03905152953305249,0.013215663271654313,0.011695906432748537,0.03846673421141506,0.010526315789473684,0.0,0.009941520467836258,0.037297143568140206,0.0,0.02127659574468085,0.010876481985104606,0.025485700065767256,0.011695906432748537,0.011111111111111112,0.03507705433797259,0.010876481985104606,0.01204607262837946,0.009706891341829752,0.011695906432748537,0.014735420110560088,0.028525213743578807,0.011111111111111112,0.013215663271654313,0.00935672514619883,0.010526315789473684,0.01777493378837164,0.009941520467836258,0.02513908885689401,0.029932988499617837,0.007017543859649123,0.009941520467836258
S3_D4 hbo,0.01605586592178771,0.01605586592178771,0.0,0.008938547486033519,0.007262569832402235,0.016614525139664806,0.01005586592178771,0.039290502793296087,0.017731843575418994,0.0151731843575419,0.0321731843575419,0.027731843575418996,0.013262569832402236,0.02029050279329609,0.030731843575418992,0.02729050279329609,0.02929050279329609,0.0231731843575419,0.02729050279329609,0.0241731843575419,0.02229050279329609,0.019407821229050277,0.028849162011173185,0.028731843575418997,0.031290502793296086,0.02929050279329609,0.001,0.023731843575418993,0.025614525139664803,0.006,0.0,0.008379888268156424,0.0,0.013731843575418994,0.01505586592178771,0.024731843575418994,0.008379888268156424,0.014497206703910616,0.007262569832402235,0.02829050279329609,0.02829050279329609,0.0,0.025731843575418994,0.015614525139664805,0.027173184357541902,0.009497206703910615,0.0251731843575419,0.0241731843575419,0.028173184357541903,0.030290502793296085,0.020703910614525138,0.02605586592178771
S3_D5 hbo,0.010775481363716657,0.011636636636636636,0.005255255255255256,0.00563063063063063,0.00487987987987988,0.01126126126126126,0.009649355237590532,0.019320791379614906,0.056593358063946296,0.010400105988341282,0.018570040628864158,0.025326797385620915,0.01766472354707649,0.041180886769122065,0.01605281752340576,0.02320703055997174,0.021573043631867163,0.02972089736795619,0.019939056703762587,0.02318494965553789,0.01830506977565801,0.012784843667196608,0.02771153506447624,0.021197668256491786,0.021573043631867163,0.021573043631867163,0.021241830065359478,0.015677442148030383,0.018194665253488784,0.01996113760819643,0.0022522522522522522,0.010642995937113583,0.0,0.042284931990814345,0.03877406818583289,0.015677442148030383,0.014396749690867338,0.007639992934110581,0.00613849143260908,0.02570217276099629,0.03261349584878996,0.0,0.03298887122416534,0.010642995937113583,0.020822292881116408,0.007882882882882882,0.04102632043808514,0.022809574280162517,0.024708532061473238,0.024576046634870164,0.016185302950008834,0.022191308956014837
S4_D2 hbo,0.029824033689276584,0.010382513661202186,0.0,0.03905223843184439,0.007650273224043716,0.03615831954679902,0.031571163583496265,0.01660901388680002,0.012622198826891261,0.04642552764826791,0.03037048177670828,0.015462224895974333,0.007103825136612022,0.014315435905148645,0.04014513460670778,0.013168646914322957,0.039544793703313784,0.01092896174863388,0.038998345615882085,0.01092896174863388,0.041238030781571164,0.039544793703313784,0.014315435905148645,0.014315435905148645,0.04014513460670778,0.014369328721110944,0.0,0.010382513661202186,0.0379054494410187,0.0,0.0194954128440367,0.008743169398907104,0.02288188700055146,0.012021857923497269,0.010382513661202186,0.03321050784579135,0.008743169398907104,0.009836065573770493,0.007650273224043716,0.014315435905148645,0.015462224895974333,0.025175464982202838,0.011475409836065573,0.01092896174863388,0.012129643555421869,0.009836065573770493,0.022943299744322455,0.010382513661202186,0.024143981551110444,0.028076903795056903,0.007704166040006016,0.01098285456459618
S4_D4 hbo,0.02019967025075104,0.012440014392210865,0.0,0.017786518428821414,0.007717750826901874,0.020854978245508575,0.017578438271720894,0.025889362046468346,0.016163782203655566,0.022612822072680665,0.03637428996258892,0.023923438062195736,0.007166482910694598,0.015404434130347769,0.030580558088321358,0.025234054051710808,0.03440836597831631,0.018889054261235966,0.03254648207259397,0.02019967025075104,0.026544670041225883,0.023372170145988462,0.027199978035983417,0.026544670041225883,0.03516771405162411,0.02609744220356886,0.0,0.020303710329301297,0.026960830355426922,0.0,0.003931847968545216,0.009475594654073964,0.005793731874267565,0.014093818140832695,0.011129398402695794,0.027199978035983417,0.009475594654073964,0.01188874647600359,0.00837305882165941,0.025889362046468346,0.025234054051710808,0.007104347863782637,0.023372170145988462,0.013646590303175679,0.023684290381639238,0.009922822491730982,0.02664871011977614,0.019648402334543763,0.03209925423493695,0.03440836597831631,0.016444834915850363,0.022373674392124166
S4_D6 hbo,0.0084470330801905,0.01036096256684492,0.004010695187165776,0.005681818181818182,0.005013368983957219,0.009024064171122994,0.007444359283399057,0.02628672813863958,0.020693402684328156,0.009206900384979932,0.027806462748218443,0.035402210416691046,0.008355614973262033,0.012883370973215225,0.02233600322961888,0.029963198726874876,0.032394189026316716,0.028169209796510608,0.029871780619946407,0.030691618202880914,0.020967657005113563,0.013917492598790063,0.03607065961455201,0.030631647924735838,0.03139151522952527,0.03105729063059479,0.0,0.022578809721620893,0.02242742133654735,0.004010695187165776,0.0,0.011455054470564833,0.0,0.01579997425666109,0.01698548426730947,0.02233600322961888,0.0137946266630782,0.007110134684468575,0.00577323628874665,0.03464234311190162,0.035402210416691046,0.0,0.032454159304461785,0.011789279069495312,0.028960524930083432,0.008355614973262033,0.02892907710130004,0.030691618202880914,0.034156730127897585,0.03330544471617969,0.02242742133654735,0.028534882224224484
S4_D11 hbo,0.005707762557077625,0.007990867579908675,0.00228310502283105,0.0045662100456621,0.0028538812785388126,0.010273972602739725,0.005707762557077625,0.040753424657534246,0.03664383561643836,0.00684931506849315,0.012404870624048707,0.014269406392694063,0.12838660578386607,0.03093607305936073,0.007420091324200913,0.012557077625570776,0.012557077625570776,0.03207762557077626,0.012557077625570776,0.014840182648401826,0.01141552511415525,0.007420091324200913,0.014840182648401826,0.013127853881278538,0.011986301369863013,0.01141552511415525,0.05,0.007420091324200913,0.007420091324200913,0.09117199391171994,0.0,0.0091324200913242,0.0,0.0393455098934551,0.08420852359208522,0.007420091324200913,0.009703196347031963,0.005136986301369863,0.0028538812785388126,0.0136986301369863,0.025380517503805176,0.0,0.03207762557077626,0.01141552511415525,0.010844748858447488,0.0091324200913242,0.029794520547945205,0.0426179604261796,0.013127853881278538,0.01141552511415525,0.005136986301369863,0.009703196347031963
S5_D3 hbo,0.03199763051287931,0.030124971336849347,0.0,0.006802721088435374,0.013017847588473592,0.027908354352977144,0.009525720400519758,0.024335014904838338,0.04706011618130398,0.012248719712604144,0.01786669724069403,0.019223419704960637,0.015396889092715738,0.0720830467018268,0.020164526484751203,0.017350760528930673,0.019223419704960637,0.02067090881296339,0.01547810135290071,0.012755102040816327,0.012755102040816327,0.00977891156462585,0.02007375984101506,0.019223419704960637,0.022543567988993353,0.018373079568906214,0.024344569288389514,0.014546548956661316,0.011823549644576933,0.016853932584269662,0.0,0.012501910876710234,0.011235955056179775,0.047738477413437286,0.04271764885729573,0.008928571428571428,0.011226400672628601,0.029699801268822136,0.007399870060383704,0.016925590460903462,0.024841397233050524,0.0,0.024841397233050524,0.02356588702896889,0.01522491018879462,0.01020408163265306,0.034376672017121454,0.012755102040816327,0.02067090881296339,0.020245738744936178,0.007399870060383704,0.013949399984712986
S5_D5 hbo,0.025,0.013871635610766046,0.0,0.02443064182194617,0.006547619047619048,0.028131469979296067,0.021299171842650105,0.023084886128364387,0.014415113871635611,0.026216356107660453,0.0281055900621118,0.019384057971014494,0.007738095238095238,0.016252587991718425,0.03920807453416149,0.020600414078674946,0.03364389233954451,0.018762939958592132,0.03488612836438923,0.019384057971014494,0.03421325051759835,0.03110766045548654,0.021195652173913046,0.02062629399585921,0.035507246376811595,0.021195652173913046,0.0,0.019953416149068322,0.03361801242236025,0.0,0.009937888198757764,0.007738095238095238,0.012991718426501035,0.01193064182194617,0.009523809523809525,0.03113354037267081,0.007738095238095238,0.01265527950310559,0.006547619047619048,0.020600414078674946,0.019979296066252587,0.013612836438923394,0.020005175983436853,0.013224637681159421,0.020600414078674946,0.008928571428571428,0.023757763975155277,0.019979296066252587,0.026190476190476188,0.02929606625258799,0.015217391304347825,0.02003105590062112
S5_D7 hbo,0.009035140151634317,0.007531380753138075,0.0,0.0066945606694560665,0.006191210243181174,0.010878661087866108,0.009787019850882437,0.021235096108472018,0.016560229024443957,0.009871960235316325,0.024909554220278726,0.02617107622613018,0.008368200836820083,0.014056060653726367,0.01931292666813477,0.05248686569981439,0.030348884764211784,0.021993267688048573,0.029597005064963666,0.023497027086544813,0.020071098247711326,0.01413470915783182,0.03151917450530091,0.02993047472237078,0.030348884764211784,0.041208670211092584,0.004511278195488722,0.03142794224053859,0.019227986283700885,0.0,0.0,0.011630540787114228,0.0,0.013389121338912133,0.012133891213389121,0.021568565765879136,0.01079372070343222,0.007864850410545191,0.006191210243181174,0.05215339604240728,0.03937144115518923,0.0,0.0269229559253783,0.013304180954478245,0.041457199484065815,0.0100418410041841,0.023830496743951927,0.023497027086544813,0.030263944379777898,0.03293799351936326,0.02432126340956995,0.027420014471324753
S6_D4 hbo,0.01734020295391255,0.007994408561389185,0.0,0.01831250820126263,0.00546021840873635,0.02279677635703559,0.016171978654847128,0.01948437750594136,0.014035094114044936,0.02104079490282415,0.029218364996282095,0.02416456471342966,0.0078003120124804995,0.013842820067942905,0.028634252846749385,0.02455275781124703,0.03954739965299547,0.019489845014361323,0.037795063204397336,0.021048084914050767,0.029223832504702056,0.02357316255267033,0.02786515666234126,0.02708512546109321,0.038767368451747414,0.02766923761062592,0.0,0.019876215609372038,0.0261018851969032,0.0,0.007009345794392523,0.01170046801872075,0.008177570093457943,0.013454626970125535,0.012090483619344774,0.025713692099085833,0.01014040561622465,0.0070202808112324495,0.00546021840873635,0.02728104451280855,0.024942773411871053,0.009345794392523364,0.02416456471342966,0.012674595768877485,0.02572098211031245,0.009750390015600624,0.027083302958286558,0.021828116115298817,0.03292624695642031,0.035458614606266495,0.0157819630542231,0.023382711009374953
S6_D5 hbo,0.00631578947368421,0.010175438596491228,0.004912280701754386,0.004912280701754386,0.0038596491228070177,0.008421052631578947,0.005614035087719298,0.023017543859649124,0.024982456140350877,0.00631578947368421,0.023649122807017545,0.031087719298245615,0.01143859649122807,0.015508771929824562,0.023017543859649124,0.02687719298245614,0.02792982456140351,0.04035087719298246,0.029684210526315792,0.03936842105263158,0.023157894736842106,0.015017543859649124,0.03178947368421053,0.027578947368421054,0.027578947368421054,0.027228070175438594,0.005333333333333333,0.023087719298245615,0.022315789473684212,0.01024561403508772,0.0,0.01080701754385965,0.0,0.02273684210526316,0.022315789473684212,0.02266666666666667,0.013333333333333334,0.005263157894736842,0.0038596491228070177,0.03143859649122807,0.03375438596491228,0.0,0.0368421052631579,0.010175438596491228,0.026526315789473683,0.0077192982456140355,0.030385964912280704,0.03319298245614035,0.029684210526315792,0.029684210526315792,0.021964912280701757,0.02687719298245614
