,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.08028387669106232,0.009092925260589932,0.0,0.0,0.0022177866489243737,0.0028831226436016855,0.020403637170104235,0.010201818585052118,0.006209802616988246,0.015302727877578177,0.011310711909514305,0.02251053448658239,0.006542470614326902,0.00332667997338656,0.010201818585052118,0.0201818585052118,0.007318695941450432,0.008982035928143712,0.009314703925482368,0.010978043912175649,0.0029940119760479044,0.01341760922599246,0.03792415169660679,0.016078953204701707,0.013972055888223553,0.020736305167442893,0.006431581281880683,0.007873142603681526,0.004324683965402528,0.003659347970725216,0.023730317143490796,0.07074739410068752,0.011865158571745398,0.013750277223331116,0.06498114881348414,0.004102905300510091,0.012863162563761367,0.016966067864271458,0.02162341982701264,0.02905300510090929,0.01740962519405633,0.017853182523841205,0.018518518518518517,0.020625415834996674,0.00332667997338656,0.0038811266356176535,0.018962075848303395,0.022843202483921046,0.023619427811044577,0.008094921268573963,0.023064981148813484,0.014970059880239521,0.012308715901530274,0.02339764914615214,0.027167886449323574,0.01075626524728321,0.009425593257928588,0.02517187846529164,0.003770237303171435,0.004324683965402528,0.028720337103570637,0.0,0.0,0.007429585273896651
Fz,0.005362933399850337,0.04365178348715391,0.008792716388126716,0.01621351958094288,0.016587677725118485,0.00916687453230232,0.02587927163881267,0.006111249688201546,0.003991020204539786,0.026877026689947618,0.007420803192816163,0.024881516587677725,0.01652531803442255,0.020828136692442007,0.026565228236467946,0.019144425043651783,0.012097779995011224,0.01353205288101771,0.02089049638313794,0.016650037415814417,0.01696183586929409,0.00916687453230232,0.014342728860064853,0.024195559990022448,0.014030930406585183,0.008044400099775506,0.02394612122723871,0.012409578448490895,0.019705662259915192,0.017460713394861563,0.010039910202045399,0.0026814666999251686,0.004115739585931654,0.021888251434272886,0.007171364430032427,0.002369668246445498,0.02407084060863058,0.02076577700174607,0.02693938638064355,0.024444998752806184,0.018396108755300573,0.016712397106510353,0.00991519082065353,0.005986530306809678,0.027438263906211024,0.012222499376403092,0.012409578448490895,0.0177101521576453,0.00991519082065353,0.015091045148416063,0.019019705662259915,0.012222499376403092,0.009728111748565728,0.0066724869044649535,0.017398353704165627,0.011536542778747817,0.008667997006734847,0.020391618857570466,0.020641057620354203,0.025505113494637067,0.025193315041157394,0.015028685457720129,0.0066724869044649535,0.00960339236717386
F3,0.0,0.013373362445414847,0.0473981077147016,0.022561863173216887,0.01764919941775837,0.034934497816593885,0.011735807860262008,0.030476710334788937,0.02938500727802038,0.009461426491994178,0.022288937409024746,0.004639737991266376,0.011644832605531296,0.01064410480349345,0.006823144104803494,0.016557496360989812,0.0226528384279476,0.017558224163027658,0.005276564774381368,0.00727802037845706,0.016557496360989812,0.02911208151382824,0.017831149927219795,0.007187045123726346,0.011280931586608443,0.008642649199417759,0.021197234352256185,0.02301673944687045,0.022561863173216887,0.023744541484716157,0.006823144104803494,0.0032751091703056767,0.012281659388646287,0.012008733624454149,0.001091703056768559,0.028475254730713245,0.00645924308588064,0.006004366812227074,0.002911208151382824,0.013555312954876273,0.010553129548762736,0.005367540029112081,0.028748180494905386,0.017194323144104802,0.010007278020378457,0.021379184861717613,0.016648471615720525,0.008551673944687045,0.02274381368267831,0.027929403202328968,0.004730713245997089,0.007914847161572052,0.01319141193595342,0.021470160116448325,0.015101892285298398,0.016921397379912665,0.012645560407569142,0.005822416302765648,0.025655021834061136,0.02438136826783115,0.005367540029112081,0.02720160116448326,0.025018195050946143,0.009097525473071324
F7,0.0,0.017858350808360957,0.01637015490766421,0.04031657985523913,0.020902387877967936,0.01237908408306839,0.013596698910911182,0.016099573834810255,0.01014679023202327,0.017317188662653048,0.011837921937360482,0.018805384563349795,0.017317188662653048,0.021105323682608403,0.01941419197727119,0.013393763106270716,0.016640735980518163,0.01853480349049584,0.01900832036799026,0.021781776364743287,0.02157884056010282,0.010755597645944666,0.012311438814854902,0.022728810119732126,0.022390583778664683,0.013123182033416763,0.018873029831563283,0.02103767841439491,0.019684773050125143,0.02773455996753027,0.006358655212067916,0.00027058107285395387,0.006291009943854427,0.017790705540147465,0.0009470337549888385,0.013461408374484205,0.01319082730163025,0.015287830616248393,0.014002570520192112,0.01021443550023676,0.010011499695596292,0.012582019887708854,0.010485016573090712,0.007305688967056754,0.024081715484001894,0.01853480349049584,0.012176148278427924,0.013867279983765135,0.009605628086315363,0.0158289927619563,0.017790705540147465,0.015017249543394439,0.015761347493742812,0.007440979503483732,0.008861530135966989,0.011634986132720015,0.01975241831833863,0.016573090712304676,0.02198471216938375,0.027463978894676316,0.005952783602786985,0.0263816546032605,0.020496516268687006,0.019549482513698167
FT9,0.0015600624024961,0.02106084243369735,0.015054602184087364,0.023868954758190328,0.044461778471138844,0.013338533541341653,0.007176287051482059,0.014274570982839314,0.012324492979719189,0.007176287051482059,0.006942277691107644,0.012870514820592824,0.017238689547581905,0.023166926677067084,0.014664586583463339,0.010374414976599064,0.023868954758190328,0.019422776911076443,0.0202808112324493,0.018564742589703587,0.010608424336973479,0.012792511700468018,0.004446177847113884,0.017004680187207487,0.0053822152886115445,0.019344773790951637,0.025975039001560063,0.0124804992199688,0.020748829953198128,0.02605304212168487,0.00234009360374415,0.0015600624024961,0.007332293291731669,0.019266770670826834,0.004524180967238689,0.0124804992199688,0.015054602184087364,0.017862714508580343,0.013806552262090484,0.01497659906396256,0.01669266770670827,0.01669266770670827,0.012948517940717628,0.011310452418096724,0.0218408736349454,0.02449297971918877,0.009204368174726989,0.014352574102964118,0.012792511700468018,0.015600624024960999,0.018486739469578784,0.018798751950078005,0.02215288611544462,0.00951638065522621,0.011934477379095164,0.018096723868954757,0.022230889235569422,0.015210608424336974,0.021606864274570984,0.021684867394695787,0.007098283931357255,0.024024960998439936,0.018174726989079563,0.023322932917316692
FC5,0.002304964539007092,0.013563829787234043,0.03377659574468085,0.016932624113475177,0.015336879432624113,0.05177304964539007,0.016932624113475177,0.03776595744680851,0.03705673758865248,0.0059397163120567375,0.028812056737588652,0.002216312056737589,0.008067375886524822,0.006914893617021276,0.007269503546099291,0.026152482269503546,0.01950354609929078,0.019858156028368795,0.0,0.0017730496453900709,0.012056737588652482,0.03794326241134752,0.030585106382978722,0.0035460992907801418,0.015602836879432624,0.006117021276595745,0.017819148936170214,0.026595744680851064,0.021453900709219858,0.016312056737588652,0.005673758865248227,0.007978723404255319,0.013297872340425532,0.006117021276595745,0.008953900709219859,0.02171985815602837,0.001950354609929078,0.0,0.00274822695035461,0.014450354609929078,0.007535460992907801,0.005141843971631205,0.03856382978723404,0.023581560283687943,0.006028368794326241,0.017641843971631207,0.020301418439716314,0.006294326241134752,0.028102836879432623,0.0299645390070922,0.0,0.005851063829787234,0.00975177304964539,0.026861702127659575,0.020833333333333332,0.014627659574468085,0.011968085106382979,0.0,0.027127659574468086,0.019326241134751773,0.01099290780141844,0.02225177304964539,0.019060283687943262,0.005319148936170213
FC1,0.014389031188790116,0.031038119632364018,0.009492240470091909,0.01529305409070363,0.006930842248003616,0.013786349254181107,0.054919391291246046,0.008889558535482898,0.004896790718698207,0.028702727135754107,0.009341569986439657,0.02455928883531716,0.009793581437396413,0.017628446587313544,0.02599065843001356,0.028476721410275727,0.012882326352267591,0.017176435136356787,0.012128973934006328,0.012128973934006328,0.018607804731053185,0.009190899502787404,0.02960675003766762,0.023127919240620763,0.027346692782883833,0.0,0.015820400783486514,0.015067048365225252,0.018607804731053185,0.009416905228265783,0.01529305409070363,0.011375621515745065,0.002938074431218924,0.014615036914268496,0.01815579328009643,0.0018080458038270302,0.01853246948922706,0.014087690221485611,0.028100045201145094,0.02742202802470996,0.011827632966701824,0.01574506554166039,0.011601627241223444,0.005800813620611722,0.02516197076992617,0.010546933855657676,0.01431369594696399,0.017477776103661292,0.010848274822962183,0.01913515142383607,0.014841042639746874,0.009115564260961278,0.0039927678167846915,0.008889558535482898,0.023052583998794635,0.009040229019135152,0.0035407563658279343,0.01732710562000904,0.019436492391140574,0.023881271658882024,0.030058761488624377,0.012128973934006328,0.001431369594696399,0.0032394153985234294
C3,0.007246376811594203,0.008034026465028356,0.026465028355387523,0.01921865154379332,0.01457151858853182,0.034577819785759294,0.010003150598613737,0.05190611216131065,0.03552299936988028,0.003465658475110271,0.027646502835538753,0.0026780088216761186,0.013153749212350347,0.007246376811594203,0.008506616257088847,0.023078134845620667,0.0175645872715816,0.022763074984247008,0.0023629489603024575,0.007325141776937618,0.00960932577189666,0.034420289855072464,0.029379332073093886,0.0048834278512917455,0.01740705734089477,0.010633270321361058,0.01409892879647133,0.029379332073093886,0.017091997479521108,0.019454946439823567,0.0030718336483931945,0.015044108380592313,0.01622558286074354,0.008191556395715185,0.012287334593572778,0.025126023944549464,0.0030718336483931945,0.0021266540642722116,0.0,0.011814744801512287,0.005356017643352237,0.0041745431632010084,0.033947700063011975,0.025598613736609956,0.008191556395715185,0.014729048519218652,0.020478890989287964,0.007561436672967864,0.0258349086326402,0.024180844360428482,0.003229363579080025,0.009215500945179584,0.015280403276622558,0.028827977315689982,0.012208569628229363,0.016461877756773786,0.015280403276622558,0.001890359168241966,0.020006301197227475,0.017485822306238186,0.007876496534341524,0.021345305608065534,0.02370825456836799,0.010475740390674228
T7,0.005758906783796974,0.006539775500244022,0.031039531478770133,0.01493411420204978,0.015617374328940947,0.04167886774036115,0.006637384089799902,0.04363103953147877,0.05544167886774036,0.00214738897022938,0.030356271351878964,0.0,0.008199121522693998,0.005270863836017569,0.004489995119570522,0.022938018545632016,0.02118106393362616,0.017764763299170327,0.0015617374328940946,0.003904343582235237,0.005368472425573451,0.04158125915080527,0.024890190336749635,0.0,0.010834553440702782,0.009956076134699853,0.01493411420204978,0.023718887262079064,0.014055636896046853,0.018545632015617375,0.006930209858467545,0.013079551000488044,0.023816495851634943,0.005466081015129331,0.013079551000488044,0.03094192288921425,0.0004880429477794046,0.0,0.0,0.013567593948267448,0.008296730112249878,0.003318692044899951,0.04236212786725232,0.026061493411420205,0.00429477794045876,0.01600780868716447,0.019521717911176184,0.007320644216691069,0.031234748657881894,0.021766715470961446,0.0004880429477794046,0.007320644216691069,0.014250854075158614,0.035822352367008294,0.014348462664714495,0.020693020985846754,0.016495851634943874,0.0008784773060029283,0.02000976085895559,0.012493899463152757,0.009077598828696925,0.018350414836505614,0.02654953635919961,0.01268911664226452
TP9,0.009066421391498587,0.027987648643321726,0.006635569279285198,0.01668747125681624,0.005912883516194731,0.004270415872807306,0.024045726299191907,0.0027593456408908745,0.0014453715261809343,0.048945535772945276,0.005650088693252743,0.032915051573484004,0.014782208790486827,0.022271861244333488,0.036199986860258854,0.014453715261809342,0.006109979633401222,0.010446094211944024,0.026082386176992312,0.022534656067275474,0.02437421982786939,0.004204717167071809,0.012876946324157415,0.03192957098745155,0.018855528546087644,0.007489652453846659,0.017081663491229224,0.009066421391498587,0.011103081269298995,0.015701990670783785,0.014650811379015834,0.006635569279285198,0.0,0.024505617239340385,0.010051901977531042,0.006044280927665725,0.029170225346560674,0.025359700413901846,0.0372511661520268,0.020957887129623546,0.013599632087247881,0.01938111819197162,0.004927402930162276,0.0022994547007423954,0.03278365416201301,0.0068983641022271865,0.010577491623415019,0.026016687471256815,0.007555351159582157,0.010577491623415019,0.025359700413901846,0.012417055384008936,0.007621049865317653,0.0026936469351553772,0.017541554431377702,0.0070954602194336774,0.008475133039879115,0.02746205899743775,0.014388016556073845,0.02463701465081138,0.027790552526115234,0.009526312331647066,0.005847184810459234,0.008015242099730636
