,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.08261202378849437,0.014779485367720661,0.009421185891774127,0.0,0.0,0.02455396573043632,0.025790496378731674,0.018783489371724665,0.030618854148265914,0.013013013013013013,0.01377848436671966,0.010775481363716657,0.007007007007007007,0.006653712536065478,0.012012012012012012,0.023435199905788143,0.02143319790378614,0.020785491373726667,0.0057704763587116525,0.009951127598186421,0.00971559795089207,0.018076900429841607,0.04616381086969322,0.004651710534063476,0.026850379791556262,0.003003003003003003,0.0031207678266501797,0.008066890419831597,0.014661720544073486,0.006830359771536242,0.011305423070128953,0.05900017664723547,0.019843372784549253,0.0022964140611199434,0.049755637990932106,0.0011776482364717659,0.001825354766531237,0.009303421068126951,0.01136430548195254,0.017723605958900077,0.018489077312606725,0.011128775834658187,0.03550609432962374,0.014602838132249897,0.01036330448095154,0.008773479361714655,0.009009009009009009,0.011482070305599718,0.019902255196372842,0.017075899428840604,0.00794912559618442,0.013955131602190425,0.013601837131248896,0.028440204910793146,0.010893246187363835,0.02484837778955426,0.007301419066124948,0.009597833127244892,0.021197668256491786,0.001825354766531237,0.02243419890478714,0.0,0.0,0.0057115939468880645
Fz,0.008942348155421517,0.04713143498386871,0.010695749754523776,0.019567961845981204,0.01697292747930986,0.015991022583812596,0.017744424182914855,0.016166362743722823,0.017218403703184178,0.023565717491934354,0.01479870949642306,0.013325852153177165,0.008977416187403563,0.020584934773460514,0.01595595455183055,0.013957076728853976,0.014903913592369197,0.019567961845981204,0.019848506101837565,0.014062280824800112,0.021075887221209146,0.01262449151353626,0.018340580726609622,0.015254593912189647,0.01749894795904054,0.009819048954972646,0.0221279281806705,0.02044466264553233,0.01988357413381961,0.014903913592369197,0.008977416187403563,0.009643708795062421,0.004243231869827465,0.014974049656333286,0.00732921868424744,0.006908402300462898,0.020339458549586197,0.018024968438771216,0.023811193715808667,0.01953289381399916,0.012519287417590124,0.016166362743722823,0.017569084023004628,0.011116566138308318,0.017744424182914855,0.021005751157245057,0.005540749053163136,0.010345069434703324,0.012098471033805583,0.014132416888764203,0.016446906999579184,0.00806564735587039,0.007714967036049937,0.017078131575255995,0.004383503997755646,0.010064525178846963,0.0166923832234535,0.013115443961284893,0.023460513395988217,0.02247860850049095,0.02258381259643709,0.0177794922148969,0.01023986533875719,0.015920886519848507
F3,0.00781513821216653,0.014375994982874235,0.058999469342467074,0.015726759612137584,0.016643349896280572,0.022770032321867913,0.00969656037435477,0.024265521732838052,0.026195185488928553,0.008828211684114044,0.01939312074870954,0.005113608953639828,0.01577500120603985,0.006416131989000917,0.01601620917555116,0.004534709826812678,0.02132278450480004,0.012542814414588257,0.0060784408316850785,0.01900718799749144,0.012108640069467895,0.02479617926576294,0.01543731004872401,0.010420184282888706,0.016836316271889622,0.013845337449949346,0.020647402190168362,0.005499541704857928,0.02209465000723624,0.024265521732838052,0.013362921510926721,0.00685030633412128,0.01370061266824256,0.009937768343866081,0.00800810458777558,0.02725650055477833,0.01046842587679097,0.013025230353610884,0.0050653673597375656,0.011288532973129432,0.0048724009841285155,0.009793043562159294,0.026774084615755703,0.01958608712431859,0.01524434367311496,0.02016498625114574,0.008924694871918569,0.00916590284142988,0.02436200492064258,0.02248058275845434,0.007959862993873317,0.021612234068213613,0.006802064740219017,0.015919725987746634,0.009793043562159294,0.01862125524627334,0.01124029137922717,0.012349848038979207,0.021033334941386463,0.01862125524627334,0.016691591490182834,0.01678807467798736,0.02460321289015389,0.02016498625114574
F7,0.0,0.01612531010211735,0.009634800669243639,0.04226042808515548,0.021346564357006867,0.004528933248716322,0.01765418565741649,0.008538625742802746,0.004384699705763572,0.026221658108809786,0.01269255177984192,0.024346622050424045,0.01113482951595223,0.023538914209888653,0.018058039577684187,0.010067501298101886,0.01283678532279467,0.009836727629377488,0.026308198234581436,0.022500432700628858,0.026077424565857037,0.005884728552472163,0.0020192696013384874,0.025846650897132638,0.013702186580511163,0.0159810765591646,0.021144637396873018,0.015317602261581954,0.010529048635550684,0.015634916056078002,0.021144637396873018,0.001413488720936941,0.0056251081751572144,0.018606127040904634,0.0017019558068424392,0.017769572491778688,0.02195234523740841,0.024144695090290196,0.02567357064558934,0.0081636185311256,0.019384988172849477,0.02048116309929037,0.005452027923613915,0.005163560837708418,0.023683147752841402,0.01727917844573934,0.0041539260370391734,0.02221196561472336,0.0070962903132752555,0.012461778111117521,0.02555818381122714,0.01624069693647955,0.013067558991519068,0.004182772745629723,0.014682974672589857,0.008654012577164945,0.020308082847747072,0.027721686955518375,0.00631742918133041,0.026337044943171985,0.01606761668493625,0.02561587722840824,0.022586972826400507,0.014942595049904805
FT9,0.0,0.01693382940992385,0.012100559824750513,0.02587016238394937,0.04388191522653778,0.007927952988629647,0.011544212246601064,0.008553844014047777,0.010570603984839529,0.020445773496992246,0.0088320178031225,0.01693382940992385,0.014917069439132099,0.02051531694426093,0.018637643868006537,0.011752842588407107,0.015160471504572481,0.009909941235787059,0.022358218296880977,0.020237143155186203,0.02183664244236587,0.008379985395876073,0.0046941826906359745,0.0200632845370145,0.011196495010257658,0.013943461177370562,0.026496053409367504,0.0150909280573038,0.008936332974025522,0.020376230049723564,0.018289926631663133,0.00020863034180604333,0.005911193017837894,0.014638895650057373,0.0005215758545151083,0.016481797002677424,0.021036892798776036,0.022045272784171913,0.022253903125977956,0.012448277061093919,0.01634271010814006,0.02444452171494141,0.008901561250391182,0.005633019228763169,0.022671163809590042,0.01700337285719253,0.009005876421294204,0.015890677700893634,0.010535832261205188,0.017455405264438957,0.018429013526200494,0.011683299141138427,0.015264786675475503,0.010535832261205188,0.017420633540804618,0.009318821934003269,0.022080044507806252,0.022497305191418338,0.00876247435585382,0.024305434820404048,0.0200632845370145,0.027261031329322994,0.022810250704127403,0.019750339024305435
FC5,0.020093770931011386,0.021816094153669505,0.022533728829777055,0.007463400631518515,0.011147258635537269,0.06391732848531241,0.009042196918955124,0.035116256817529425,0.04688546550569324,0.0,0.028035594679934935,0.0,0.012056262558606833,0.003779542627499761,0.011147258635537269,0.016840493732657162,0.031958664242656205,0.007032819825853985,0.002344273275284662,0.0,0.005262654291455363,0.04090517653813032,0.0376040570280356,0.0,0.0232035211941441,0.0,0.01621854368003062,0.013348004975600422,0.02334704812936561,0.012486843364271362,0.0016266385991771121,0.018275763084872262,0.008802985360252607,0.009329250789398143,0.014735432016075016,0.019041240072720313,0.001913692469620132,0.0,0.002727011769208688,0.027317960003827385,0.004832073485790833,0.001913692469620132,0.045880776959142666,0.03999617261506076,0.004114438809683284,0.02430389436417568,0.012486843364271362,0.0,0.029327337096928523,0.021098459477561955,0.0,0.01363505884604344,0.008420246866328581,0.03162376806047268,0.0073198736962970055,0.032150033489618215,0.00521481197971486,0.0,0.03128887187828916,0.008755143048512104,0.022055305712372023,0.00492775810927184,0.011912735623385321,0.011386470194239785
FC1,0.016017473607571896,0.018420094648707683,0.007462686567164179,0.021914816163087002,0.01204950855478704,0.006989443028758646,0.05001820167455406,0.0077903167091372405,0.007717510010921005,0.0308336366945759,0.011721878412813979,0.027229705132872224,0.010738987986894794,0.022024026210411357,0.018893338187113213,0.01649071714597743,0.009865307608299964,0.012013105205678923,0.022970513287222424,0.016745540589734254,0.024535857298871495,0.005205678922460866,0.016053876956680015,0.02158718602111394,0.027338915180196578,0.01383327266108482,0.014816163087004005,0.014634146341463415,0.013724062613760466,0.012267928649435747,0.01772843101565344,0.011903895158354568,0.002584637786676374,0.01772843101565344,0.01736439752457226,0.004732435384055333,0.022642883145249364,0.020859119038951584,0.026865671641791045,0.011430651619949035,0.021769202766654533,0.016381507098653075,0.008773207135056426,0.0049508554787040405,0.02195121951219512,0.015034583181652713,0.002766654532216964,0.020822715689843466,0.0053512923188933385,0.01488896978522024,0.024026210411357846,0.00884601383327266,0.00939206406989443,0.0044412085911903895,0.014852566436112121,0.006989443028758646,0.010192937750273025,0.022315253003276303,0.013687659264652348,0.02340735347651984,0.027156898434655987,0.012486348744084455,0.014852566436112121,0.008918820531488897
C3,0.016094580497739805,0.0226516318116338,0.02503601410759525,0.014703690825095624,0.012468332422631762,0.036461179275743875,0.010481347175997219,0.058765088669216634,0.031990462470816154,0.007004122994386766,0.030996969847498883,0.003675922706273906,0.011276141274651036,0.003824946599771497,0.01450499230043217,0.012816054840792807,0.02294967959862898,0.012518007053797625,0.0036262480751080425,0.008544036560528538,0.007500869306045403,0.024290894640107297,0.03402712234861656,0.003675922706273906,0.01977050320401371,0.0009934926233172718,0.021608464557150663,0.010531021807163081,0.021608464557150663,0.017286771645720532,0.01217028463563658,0.014554666931598032,0.006954448363220903,0.016392628284734985,0.013114102627787989,0.02324772738562416,0.007550543937211266,0.0036262480751080425,0.003079827132283543,0.01683969996522776,0.0011425165168148627,0.005364860165913268,0.03243753415130893,0.03795141821071978,0.011524514430480354,0.024787640951765933,0.00899110824102131,0.0008444687298196811,0.023496100541453478,0.01897570910535989,0.004172669017932542,0.01092841885648999,0.0028811286076200885,0.020962694351994438,0.010183299389002037,0.03218916099547961,0.009289156028016492,0.0014405643038100443,0.02513536336992698,0.01644230291590085,0.018230589637871938,0.011027768118821718,0.01659132680939844,0.01579653271074462
T7,0.023346477863416384,0.021957340025094103,0.024242695823624306,0.006900878293601004,0.013577702097150026,0.043421760172073845,0.00936547768417279,0.028544542032622335,0.06766445599569815,0.0008065961641871303,0.026348808030112924,0.0,0.017879548306148057,0.003450439146800502,0.00833482702993368,0.01805879189818964,0.02675210611220649,0.010485750134432694,0.00219573400250941,0.002509410288582183,0.0057806058433411,0.04207743323176196,0.03602796200035849,0.0,0.02800681125649758,0.0037193045348628785,0.014832407241441118,0.01653522136583617,0.025766266355977775,0.009992830256318336,0.0006273525721455458,0.022181394515146082,0.017162573937981717,0.010844237318515863,0.017879548306148057,0.016266355977773796,0.001792435920415845,0.0,0.00358487184083169,0.024197884925613908,0.0042570353109876325,0.001792435920415845,0.0486198243412798,0.03248790105753719,0.0026886538806237675,0.021016311166875783,0.02164366373902133,0.00022405449005198064,0.024511561211686683,0.022719125291270837,0.0,0.008469259723964869,0.004436278903029217,0.028186054848539165,0.0068560673955906076,0.022719125291270837,0.0054669295572683275,0.0,0.032219035669474816,0.008200394335902491,0.018999820756407958,0.00788671804982972,0.013264025811077254,0.010216884746370317
TP9,0.005723609240650575,0.017429814565420077,0.004791256604164508,0.023516005386926345,0.015254325080285921,0.0,0.022169273800890916,0.0036517144929037607,0.0004661763182430333,0.043509789702683106,0.006474671086708795,0.028384958044131357,0.008080389516212576,0.030430954107531338,0.021418211954832695,0.01219828032735937,0.008261680306640422,0.015694602714182118,0.03133740805967057,0.024759142235574433,0.02999067647363514,0.002123692116440485,0.004169688179840464,0.024810939604268105,0.013959390862944163,0.015176629027245417,0.016575157981974516,0.013389619807313789,0.006811353983217652,0.01359680928208847,0.024759142235574433,0.006060292137159432,0.003962498705065783,0.01621257640111882,0.00929762768051383,0.010126385579612556,0.02623536724334404,0.030508650160571842,0.031933077799647776,0.009168134258779654,0.02413757381125039,0.02079664353050865,0.0027452605407645293,0.001864705272972133,0.025976380399875685,0.015306122448979591,0.004506371076349321,0.024318864601678234,0.0026416658033771886,0.011136434269139128,0.026364860665078215,0.015513311923754273,0.014140681653372008,0.005386926344141718,0.011887496115197347,0.006319278980627784,0.019708898787941572,0.03089713042577437,0.0062415829275872785,0.02558790013467316,0.023075727753030146,0.018362167201906143,0.014503263234227702,0.016160779032425153
