,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.136986301369863,0.0,0.1506849315068493,0.1506849315068493,0.0,0.1506849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1095890410958904,0.0,0.1506849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.025675077467906152,0.0,0.0,0.02611775121735281,0.0,0.02611775121735281,0.0,0.0,0.02611775121735281,0.02478972996901284,0.0,0.02611775121735281,0.0,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.0,0.02611775121735281,0.017264276228419653,0.02611775121735281,0.0,0.02478972996901284,0.0,0.0,0.02611775121735281,0.02611775121735281,0.0,0.025675077467906152,0.02611775121735281,0.0,0.0,0.0,0.02611775121735281,0.019477644975652943,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.02390438247011952,0.02611775121735281,0.02390438247011952,0.02611775121735281,0.0,0.0,0.02611775121735281,0.0,0.0,0.02611775121735281,0.0,0.011509517485613104,0.019477644975652943,0.02611775121735281,0.02611775121735281,0.02611775121735281,0.0,0.02611775121735281,0.0,0.02611775121735281,0.02611775121735281
F3,0.02386634844868735,0.0,0.23627684964200477,0.24105011933174225,0.0,0.22673031026252982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1026252983293556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01909307875894988,0.0,0.13842482100238662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011933174224343675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.02364066193853428,0.0,0.2364066193853428,0.2458628841607565,0.0,0.22458628841607564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016548463356974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018912529550827423,0.0,0.13711583924349882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182033096926714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.021965748324646314,0.0,0.0,0.02866716306775875,0.0,0.025688756515264335,0.0,0.0,0.029039463886820552,0.02084884586746091,0.0,0.02345495160089352,0.0,0.029039463886820552,0.02531645569620253,0.02680565897244974,0.028294862248696945,0.0,0.029039463886820552,0.014519731943410276,0.027922561429635145,0.0,0.02084884586746091,0.0,0.0,0.027550260610573342,0.027177959791511542,0.0,0.021593447505584513,0.027177959791511542,0.0,0.0,0.0,0.027922561429635145,0.016381236038719285,0.029039463886820552,0.029039463886820552,0.027550260610573342,0.029039463886820552,0.027177959791511542,0.027550260610573342,0.020104244229337303,0.027550260610573342,0.020104244229337303,0.027922561429635145,0.0,0.0,0.026061057334326135,0.0,0.0,0.026061057334326135,0.0,0.00967982129560685,0.016381236038719285,0.02494415487714073,0.025688756515264335,0.029039463886820552,0.0,0.029039463886820552,0.0,0.024571854058078928,0.024199553239017124
FC5,0.02444987775061125,0.0,0.23227383863080683,0.23471882640586797,0.0,0.22982885085574573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10513447432762836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559902200488997,0.0,0.14180929095354522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012224938875305624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.023219205037386857,0.0,0.0,0.02715466351829988,0.0,0.02676111767020858,0.0,0.0,0.02715466351829988,0.02203856749311295,0.0,0.024793388429752067,0.0,0.02715466351829988,0.02676111767020858,0.02715466351829988,0.02715466351829988,0.0,0.02715466351829988,0.015348288075560802,0.02715466351829988,0.0,0.02203856749311295,0.0,0.0,0.02715466351829988,0.02715466351829988,0.0,0.022825659189295553,0.02715466351829988,0.0,0.0,0.0,0.02715466351829988,0.017316017316017316,0.02715466351829988,0.02715466351829988,0.02715466351829988,0.02715466351829988,0.02715466351829988,0.02715466351829988,0.021251475796930343,0.02715466351829988,0.021251475796930343,0.02715466351829988,0.0,0.0,0.02715466351829988,0.0,0.0,0.02676111767020858,0.0,0.01023219205037387,0.017316017316017316,0.026367571822117276,0.02676111767020858,0.02715466351829988,0.0,0.02715466351829988,0.0,0.025974025974025976,0.02558048012593467
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.01906916612798966,0.0,0.0,0.025210084033613446,0.0,0.022301228183581125,0.0,0.0,0.04524886877828054,0.01809954751131222,0.0,0.020361990950226245,0.0,0.03749191984486102,0.02197802197802198,0.023270846800258566,0.024886877828054297,0.0,0.038461538461538464,0.012605042016806723,0.02456367162249515,0.0,0.01809954751131222,0.0,0.0,0.024240465416936006,0.02359405300581771,0.0,0.01874595992243051,0.02359405300581771,0.0,0.0,0.0,0.024240465416936006,0.014221073044602456,0.03652230122818358,0.04524886877828054,0.023917259211376857,0.04557207498383969,0.02359405300581771,0.024240465416936006,0.017453135100193924,0.024240465416936006,0.017453135100193924,0.025210084033613446,0.0,0.0,0.02262443438914027,0.0,0.0,0.02262443438914027,0.0,0.008403361344537815,0.014221073044602456,0.02165481577246283,0.022301228183581125,0.03878474466709761,0.0,0.04330963154492566,0.0,0.021331609566903685,0.02100840336134454
