,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.18181818181818182,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.025175860792299148,0.0,0.0,0.024435394298407995,0.0,0.025546094039244724,0.011477230655312847,0.022213994816734542,0.021843761569788966,0.0,0.019252128841169936,0.02073306182895224,0.022954461310625694,0.020362828582006665,0.021843761569788966,0.021103295075897817,0.02480562754535357,0.025175860792299148,0.024435394298407995,0.0,0.02332469455757127,0.025546094039244724,0.024435394298407995,0.015920029618659754,0.025546094039244724,0.019622362088115512,0.014439096630877453,0.025546094039244724,0.022584228063680118,0.02480562754535357,0.0,0.0,0.0,0.025546094039244724,0.0,0.010736764161421697,0.025546094039244724,0.025546094039244724,0.022584228063680118,0.021843761569788966,0.025546094039244724,0.017771195853387635,0.0,0.024435394298407995,0.0,0.025175860792299148,0.0,0.02480562754535357,0.0,0.0,0.021843761569788966,0.02073306182895224,0.0,0.025546094039244724,0.0,0.025175860792299148,0.022584228063680118,0.023694927804516847,0.0,0.016660496112550906,0.024435394298407995,0.016660496112550906
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.043795620437956206,0.0,0.0,0.3795620437956204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043795620437956206,0.0,0.3722627737226277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16058394160583941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.024877497173011683,0.0,0.0,0.024500565397663022,0.0,0.024877497173011683,0.011684885035808518,0.022615906520919715,0.02223897474557105,0.0,0.01960045231813042,0.021108179419525065,0.023369770071617037,0.020731247644176404,0.02223897474557105,0.02148511119487373,0.024500565397663022,0.024877497173011683,0.02412363362231436,0.0,0.023369770071617037,0.024877497173011683,0.024877497173011683,0.01620806633999246,0.024877497173011683,0.01997738409347908,0.014700339238597813,0.024877497173011683,0.022615906520919715,0.024877497173011683,0.0,0.0,0.0,0.024877497173011683,0.0,0.010931021485111195,0.024877497173011683,0.024877497173011683,0.022992838296268376,0.02186204297022239,0.024877497173011683,0.018092725216735772,0.0,0.02412363362231436,0.0,0.024877497173011683,0.0,0.024500565397663022,0.0,0.0,0.02223897474557105,0.021108179419525065,0.0,0.024877497173011683,0.0,0.024877497173011683,0.022992838296268376,0.02412363362231436,0.0,0.016961929890689786,0.024877497173011683,0.016961929890689786
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.024842417500926955,0.0,0.0,0.024100852799406748,0.0,0.02521319985168706,0.011494252873563218,0.02224694104560623,0.021876158694846125,0.0,0.0192806822395254,0.020763811642565813,0.022988505747126436,0.02039302929180571,0.021876158694846125,0.021134593993325918,0.02521319985168706,0.025583982202447165,0.024471635150166853,0.0,0.02335928809788654,0.02521319985168706,0.024471635150166853,0.015943641082684465,0.02521319985168706,0.0196514645902855,0.014460511679644048,0.025583982202447165,0.02224694104560623,0.024842417500926955,0.0,0.0,0.0,0.025583982202447165,0.0,0.010752688172043012,0.02521319985168706,0.025583982202447165,0.02261772339636633,0.021505376344086023,0.025583982202447165,0.017797552836484983,0.0,0.024842417500926955,0.0,0.02521319985168706,0.0,0.02521319985168706,0.0,0.0,0.021876158694846125,0.020763811642565813,0.0,0.02521319985168706,0.0,0.025583982202447165,0.02261772339636633,0.023730070448646643,0.0,0.01668520578420467,0.024471635150166853,0.01668520578420467
C3,0.0,0.022270114942528736,0.0,0.0,0.022270114942528736,0.0,0.022270114942528736,0.021551724137931036,0.022270114942528736,0.022270114942528736,0.0,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.0,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.0,0.0,0.0,0.022270114942528736,0.0,0.020833333333333332,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.0,0.022270114942528736,0.0,0.022270114942528736,0.0,0.022270114942528736,0.0,0.0,0.022270114942528736,0.022270114942528736,0.0,0.022270114942528736,0.0,0.022270114942528736,0.022270114942528736,0.022270114942528736,0.0,0.022270114942528736,0.022270114942528736,0.022270114942528736
T7,0.0,0.024222850222042795,0.0,0.0,0.023819136051675415,0.0,0.024222850222042795,0.012515139281388777,0.023819136051675415,0.022204279370205894,0.0,0.020589422688736373,0.021396851029471135,0.023011707710940653,0.021396851029471135,0.022607993540573273,0.023011707710940653,0.024222850222042795,0.024222850222042795,0.024222850222042795,0.0,0.024222850222042795,0.024222850222042795,0.024222850222042795,0.017359709325797335,0.024222850222042795,0.020993136859103756,0.015744852644327817,0.024222850222042795,0.021800565199838515,0.024222850222042795,0.0,0.0,0.0,0.024222850222042795,0.0,0.011707710940654016,0.024222850222042795,0.024222850222042795,0.022607993540573273,0.020993136859103756,0.024222850222042795,0.019378280177634235,0.0,0.024222850222042795,0.0,0.024222850222042795,0.0,0.024222850222042795,0.0,0.0,0.022607993540573273,0.020993136859103756,0.0,0.024222850222042795,0.0,0.024222850222042795,0.022607993540573273,0.023819136051675415,0.0,0.018167137666532097,0.024222850222042795,0.018167137666532097
TP9,0.0,0.023752012882447666,0.0,0.0,0.023752012882447666,0.0,0.023752012882447666,0.01247987117552335,0.022946859903381644,0.023349436392914653,0.0,0.020933977455716585,0.02254428341384863,0.023752012882447666,0.02214170692431562,0.023752012882447666,0.02214170692431562,0.023752012882447666,0.023752012882447666,0.023752012882447666,0.0,0.023349436392914653,0.023752012882447666,0.023752012882447666,0.017310789049919485,0.023752012882447666,0.0213365539452496,0.01570048309178744,0.023752012882447666,0.022946859903381644,0.023752012882447666,0.0,0.0,0.0,0.023752012882447666,0.0,0.011674718196457327,0.023752012882447666,0.023752012882447666,0.023752012882447666,0.02214170692431562,0.023752012882447666,0.01932367149758454,0.0,0.023752012882447666,0.0,0.023752012882447666,0.0,0.023752012882447666,0.0,0.0,0.023752012882447666,0.02214170692431562,0.0,0.023752012882447666,0.0,0.023752012882447666,0.023752012882447666,0.023752012882447666,0.0,0.018115942028985508,0.023752012882447666,0.018115942028985508
