,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.12490829053558328,0.02900716412757326,0.03991519571878641,0.025851279616762333,0.017985844374433558,0.03687259936990203,0.058149195114582886,0.045865521557118816,0.016475335548746278,0.014063916102024081,0.011404341633938976,0.008361745285054595,0.009127789046653144,0.027248500280523065,0.014198782961460446,0.008113590263691683,0.013680894221224807,0.006085192697768763,0.0110213197531397,0.01710651245090846,0.013184584178498986,0.010141987829614604,0.014446937982823357,0.01178736351473825,0.023936170212765957,0.011404341633938976,0.010141987829614604,0.008113590263691683,0.0279929653446118,0.01913491001683138,0.0010141987829614604,0.022425661387078674,0.00975896594881533,0.008113590263691683,0.012418540416900437,0.00874476716585387,0.016092313667947,0.0030425963488843813,0.006085192697768763,0.01976608691899357,0.01203551853610116,0.01304971731906262,0.01976608691899357,0.020149108799792842,0.021163307582754302,0.0185037331146692,0.018886754995468474,0.002028397565922921,0.01976608691899357,0.021163307582754302,0.01976608691899357,0.02053213068059212
S1_D3 hbo,0.019663187855787474,0.07688172043010753,0.007645477545857053,0.01714104996837445,0.043018659076533836,0.006973434535104364,0.03184693232131562,0.014452877925363695,0.022683428209993674,0.039405439595192916,0.036464263124604684,0.04755692599620494,0.016129032258064516,0.034369070208728654,0.006720430107526882,0.00739247311827957,0.04890101201771031,0.0,0.04848197343453511,0.019323213156230236,0.0020161290322580645,0.003360215053763441,0.0049573055028463,0.02654965211891208,0.02344244149272612,0.03335705249841872,0.006048387096774193,0.006048387096774193,0.01596299810246679,0.010752688172043012,0.0013440860215053765,0.015037950664136622,0.010752688172043012,0.02453352308665402,0.012096774193548387,0.02066729917773561,0.012768817204301076,0.003360215053763441,0.004032258064516129,0.027893738140417457,0.0446157495256167,0.011005692599620493,0.04554079696394687,0.010752688172043012,0.006973434535104364,0.010333649588867806,0.004704301075268817,0.002688172043010753,0.031087919038583177,0.011258697027197976,0.002688172043010753,0.008317520556609741
S2_D1 hbo,0.02350669057801076,0.012893732468846278,0.05634646924480005,0.027798470287089407,0.0131405098021183,0.04598488680431018,0.031084747321469628,0.046231664137582194,0.023758066246685368,0.012889134133443694,0.006828528072837633,0.005311077389984826,0.01668276084057571,0.0174460845174047,0.03385907634769547,0.029050750295059855,0.004552352048558422,0.02526172192333042,0.0030349013657056147,0.02147729188700357,0.03133152465474165,0.028045247620361428,0.024758970585981206,0.007587253414264037,0.00101010101010101,0.005311077389984826,0.026285617939639183,0.020471789212305143,0.013647859474870096,0.021989239895157952,0.00101010101010101,0.0156726598304747,0.025266320258733006,0.014913934489048299,0.014155209147621896,0.012637758464769087,0.009104704097116844,0.005562453058659432,0.007838629082938644,0.011380880121396054,0.006069802731411229,0.005311077389984826,0.009104704097116844,0.024009441915359975,0.023246118238530986,0.026788369276988397,0.03259759966891985,0.01995524286874818,0.011380880121396054,0.030828773317392436,0.020718566545577168,0.03486917735779648
S2_D2 hbo,0.019570031964190757,0.017244301082808874,0.02846682911721567,0.039552033845812226,0.020803019944018838,0.024361738805228805,0.014643923589806521,0.03640528490203297,0.03175090136680516,0.02586645162421331,0.013410935609978438,0.01094788142278632,0.02285410421378025,0.015052971734773182,0.027371164443197822,0.024224415499418568,0.01094788142278632,0.019982001881621466,0.009305845297991572,0.03366758410322038,0.023949768887798095,0.026687469686610687,0.01984467857581123,0.009852216748768473,0.0008210180623973727,0.009168521992181336,0.023128750825400723,0.018749013901793385,0.013548258915788675,0.027233841137387582,0.0,0.021212068088985504,0.02655014638080045,0.020253726720777892,0.021212068088985504,0.023128750825400723,0.009852216748768473,0.005747126436781609,0.008210180623973728,0.013136288998357963,0.011768899485183691,0.008210180623973728,0.015052971734773182,0.024770786950195467,0.024224415499418568,0.02655014638080045,0.023949768887798095,0.013139210770822012,0.013136288998357963,0.024908110256005703,0.01888633720760362,0.026687469686610687
S2_D4 hbo,0.00946372239747634,0.023998606118406575,0.006185349570831194,0.013097443327708898,0.07105357273861052,0.008613179517276795,0.006309148264984227,0.01176775364976891,0.03636930526006896,0.06171364903528721,0.05152318245176436,0.03927628200425501,0.02933341280903822,0.0031545741324921135,0.009819070501063752,0.012849845939402832,0.040729770376348035,0.00473186119873817,0.036121707871762894,0.02690558286259262,0.004608062504585137,0.009942869195216785,0.0015772870662460567,0.023024264544053992,0.010298217298804197,0.019993489105714912,0.0060615508766781595,0.004484263810432103,0.023395660626513097,0.01951434230797447,0.0,0.012478449856943732,0.027153180250898686,0.03346232851588291,0.032487986941530336,0.05189457853422346,0.015633023989435845,0.00436046511627907,0.003633720930232558,0.015988372093023256,0.03636930526006896,0.035287212970435036,0.026178838676546107,0.01648356686963539,0.011643954955615876,0.008117984740664662,0.005334806690631648,0.007515039248771184,0.018540000733621893,0.004608062504585137,0.0023040312522925686,0.004608062504585137
S3_D1 hbo,0.025050653895745074,0.014849266285994965,0.05501627064529993,0.024897157241972126,0.011567507828329344,0.08528888070240069,0.06021366734205194,0.05100693804875054,0.025778228034628845,0.012933628046908577,0.0033707865168539327,0.0044943820224719105,0.012206053908024806,0.024080555043900043,0.03348989992018174,0.03108921225517284,0.0044943820224719105,0.02723337631239639,0.0022471910112359553,0.01542334377110579,0.026990851599435133,0.03084668754221158,0.019521704426843495,0.0056179775280898875,0.0044943820224719105,0.0044943820224719105,0.023288512310431633,0.013572174126604039,0.0,0.01718548535641923,0.019586173021428132,0.01083993368944557,0.022253944864001965,0.009716338183827593,0.011324983115368085,0.010201387609750107,0.0056179775280898875,0.0056179775280898875,0.011082458402406827,0.006741573033707865,0.0056179775280898875,0.0022471910112359553,0.0056179775280898875,0.021041321299195677,0.02513968195493338,0.021437342665929882,0.034613495425799716,0.018640633634186776,0.006741573033707865,0.02738687296616934,0.015180819058144533,0.032608829127525024
S3_D3 hbo,0.04723368242885856,0.03875312951796608,0.04607003067809161,0.02180965478331394,0.019341302584717373,0.06430057477344053,0.11872774075249479,0.04601713741669311,0.016996367996050636,0.006047462886561585,0.0012165450121654502,0.009679466835925103,0.004866180048661801,0.03399273599210127,0.023061461969745057,0.014545646884586903,0.01209492577312317,0.01696110582178497,0.00966183574879227,0.009679466835925103,0.020610740858281323,0.009732360097323601,0.02420748263337917,0.008480552910892485,0.013311470785288621,0.009679466835925103,0.010948905109489052,0.009714729010190768,0.01812475757255192,0.0072992700729927005,0.021897810218978103,0.012112556860256004,0.0036496350364963502,0.006065093973694417,0.0024330900243309003,0.0012165450121654502,0.004866180048661801,0.009732360097323601,0.012165450121654502,0.012112556860256004,0.013311470785288621,0.0024330900243309003,0.013311470785288621,0.00851581508515815,0.016978736908917803,0.02667583483197574,0.03395747381783561,0.01209492577312317,0.01452801579745407,0.03513875665573539,0.012112556860256004,0.03152438379350471
S3_D4 hbo,0.02620841180163214,0.01120527306967985,0.04193345888261142,0.02897049591964846,0.012084118016321406,0.03913998744507219,0.02984934086629002,0.054048964218455745,0.02707156308851224,0.013072818581293158,0.006591337099811676,0.003766478342749529,0.01872253609541745,0.015976145637162587,0.03449466415568111,0.031638418079096044,0.003766478342749529,0.0288135593220339,0.0018832391713747645,0.022379158819836785,0.032611424984306345,0.030743879472693032,0.0279504080351538,0.006591337099811676,0.000925925925925926,0.003766478342749529,0.02335216572504708,0.018659761456371625,0.012131198995605774,0.021516007532956686,0.002824858757062147,0.014987445072190835,0.023305084745762712,0.015913370998116762,0.014045825486503452,0.012162586315128687,0.00847457627118644,0.003766478342749529,0.005649717514124294,0.011299435028248588,0.004708097928436911,0.005649717514124294,0.00847457627118644,0.02521971123666039,0.02984934086629002,0.02893910860012555,0.03452605147520402,0.01669805398618958,0.01224105461393597,0.0307909604519774,0.02332077840552417,0.03728813559322034
S3_D5 hbo,0.006524647340571661,0.013924224507590689,0.01605630606418939,0.02011144157379869,0.03545705378578851,0.015172417911873962,0.006524647340571661,0.02223456480452933,0.04339413050489124,0.037042677464435445,0.02715567181471793,0.017979360017199984,0.03086441872409551,0.005813953488372093,0.025579006461939058,0.02469511830962363,0.019036442469631275,0.020293594199782612,0.016922277564768697,0.029451989345564436,0.016584847290405037,0.022936300330860835,0.011117282402264665,0.012684989429175475,0.00863881224543424,0.01004228329809725,0.017641929742836324,0.014288529759558534,0.01622054203843719,0.029105600745332715,0.0021141649048625794,0.01816151264318391,0.03210365380251072,0.03121976565019529,0.030335877497879863,0.03316073625494201,0.01622054203843719,0.006871035940803382,0.006871035940803382,0.01427061310782241,0.01745081879098434,0.02134171832634584,0.01850790124341563,0.027519977066685776,0.02505942356159148,0.02134171832634584,0.01728658281673654,0.009176311797517947,0.013213530655391121,0.012520753454927676,0.014643876685658318,0.01711338851662068
S4_D2 hbo,0.00609922567134984,0.020229748500694526,0.0073322712940378796,0.014664542588075759,0.0507753786890115,0.006699247872171271,0.0,0.00916533911754735,0.030011610429585896,0.06542342066656466,0.05202492492222212,0.04649272023064853,0.028811566027943034,0.01098190633053423,0.012247953174267448,0.014097521608299506,0.044043129595795046,0.0073322712940378796,0.03736038233414636,0.023961886589803822,0.006732249093216449,0.011014907551579408,0.00489918126970698,0.0209122737541289,0.012897477206656648,0.018413181287707647,0.007965294715904488,0.006132226892395018,0.017780157865841036,0.020229748500694526,0.0,0.014130522829344686,0.025128929770401508,0.033644744855559655,0.02941158822876446,0.04830928744363541,0.019613225689350505,0.006748749703739038,0.0036991368680641184,0.016029593094944512,0.04096051553907495,0.031162152999660984,0.027578520405254995,0.017163635054497015,0.013431496965387719,0.009214840949115117,0.006732249093216449,0.006732249093216449,0.018429681898230233,0.005515704081050999,0.005515704081050999,0.006115726281872429
