,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.08746342993584084,-0.4210411101365262,0.5069016491840121,-0.23996419242006087,-0.025948459493953892,-0.16441790191396613,-0.5133871584102748,-0.10245289510180215,-0.4007277012001411,0.25609787183191146,0.16681630868294925,0.08203870527867026,0.07079401398441132,0.6831724968561197,0.17763871215438573,0.41670399925957535,-0.15516124742897386,0.506096040055803,0.03182248947463611,0.04392984566182937,0.20730383756595647,-0.194337468908229,0.36945327522867644,-0.10358871336563356,0.8347091507479643,0.3336985488787423,0.30618476173233383,-0.4291458584658441,0.11741327036613133,0.5647663590603965,-0.5962212679483605,-0.004892030232579023,-0.30800148535720695,-0.2881665248351088,-0.006471171789084876,-0.07116403861216097,0.17045926090836436,0.11426241002584636,0.16462733894781667,0.27842070614733394,0.21130510406965367,0.0056874841858497675,-0.49374041959689074,-0.9810123039144841,0.09061266056081281,-0.7007001844293185,0.06760552848086845,-0.283858389427151,0.1068762853018265,0.2847232075685246,-0.3398600696674995,-0.37736416942307505,-0.020441910712232964,-0.003935183097860606,-0.5667571807771566,0.4381661266503669,-0.16292612382721783,-0.1686398944669918,0.00022537303270064708,0.07388647720579314,0.11840325980723101,0.07291942520228056,0.16313964092417058
Fz,-0.26046213633598925,0.16450288431144194,0.18882175295266415,-0.32032139475212174,0.06260893846206832,-0.09049260747245343,-0.43071766752389795,-0.370522622305161,-0.1785294193440799,-0.03942560115718025,0.16432257869749448,0.15568893581296403,-0.1915456740983704,0.5048442828977683,-0.09466017142518883,0.04734632119763037,-0.14884759336399717,-0.03412196597698175,-0.19409219509647166,0.31083162301549644,0.17676908118471718,0.034140574011675036,0.030505189457205692,-0.020536418990997285,-0.009914988233274113,0.04619907893355203,-0.06997783453535744,-0.23725272162437547,0.0025778876290149526,-0.24758220044034202,-0.004979357067164972,0.36970899568959303,-0.8327641846335252,-0.07537606625137001,0.10450036954357775,-0.2169981271683822,-0.1209257707522384,0.10751351698649467,-0.10413903011753044,0.14812803830582955,0.22529342558963036,0.250754932924494,-0.43585716984658285,-0.2015730295490757,-0.06835856646578643,-0.4002493047675783,0.10219579630958812,0.25540317338775115,0.16350397237048428,0.14621599722596873,0.11440918273622165,-0.24386967152517997,0.22898313344485968,0.10667924046508796,-0.04258663190246983,0.06144060749645713,0.4561870083210013,0.34933853596158654,0.27581068523988994,-0.49022025957459636,0.11380313160859808,0.6129742553622992,0.09489725476461505
F3,0.7300327606819372,0.4499334139229592,0.12475348693775654,-0.3273160698927921,-0.2376622543590392,0.41909980635451427,-0.12945388948184097,0.011360976063212203,-0.09609104101308998,0.49884789635059584,-0.3779571825892661,-0.0731046238284734,-0.5649588913890428,0.29474176766022586,-0.19487882158658776,-0.019261343962717493,-0.2791108560325866,-0.23901249815497352,-0.16607252794621924,-0.14607711408577712,0.1176222818906104,0.319045982810672,-0.5770071055113306,-0.31735062324656377,0.00534664728216664,0.4997857329884325,-0.18599390890800463,-0.27367501054954896,-0.09739095233373028,0.5863914217350208,0.10431197074529162,-0.18836374095868838,-0.25109051098283597,-0.0037238980965236023,-0.43076151555592873,-0.2106886986240456,0.05190930800171655,-0.17785880043743713,0.19155301885806214,0.23562717223374366,-0.40810582813094176,0.3421244432365424,0.5821708414363649,0.1686016451491171,-0.15054544792281135,0.16699352936683434,-0.2889477934416981,0.10893206893213679,0.6067355756976898,-0.3282410172607207,0.33197121155530884,0.015042062486845106,-0.39957120177218486,0.06155309190831784,0.05928326921195975,-0.43726240809113653,-0.44097711547024954,0.30675753595240896,0.009808190131504453,0.7295035089522923,-0.2101439599789257,-0.1664669247617196,0.2652829578231926
F7,-0.1713025279550155,-0.2066524724074421,-0.3809279313281864,-0.1251782448203709,0.2920917841407318,-0.10105882347935824,-0.21236521584990495,0.1858572061436637,-0.16681672438361317,-0.044764931760997065,0.48445894400509415,-0.2511742040323551,0.028569505622394128,0.4082876492659141,0.2305387544059778,-0.6163398997788859,-0.07343290542449264,0.1135493997686643,0.1614018881193096,0.2734163127505237,-0.1308643200656217,0.29728907696412704,-0.03997681585767532,0.5076369425946278,-0.1280630639742976,0.17528516983883285,-0.19801901097488753,-0.36685136879918,-0.34469330027923395,0.13493858148349924,-0.05227220634120621,0.37158086044971694,-0.4798839494726845,-0.17247845458781763,-0.3116109429069035,-0.06346125523244586,-0.11407468485928371,0.37951939971932364,0.07166082909395302,-0.28999884098331496,-0.19532737547614587,0.07022408990151374,-0.16803011480882804,-0.12954181175332757,0.02448836188277887,-0.03658970294053597,-0.3405883879422742,0.27575999077551044,0.17250347974450317,-0.11330502546508495,0.19371744109295683,0.1319820995812591,0.2009623255486118,0.03712220034688561,0.22703828505070467,-0.10763135719464838,0.19984889651855545,-0.03130207666732688,0.28070995714551206,-0.17183912213599428,-0.4675940073414142,0.485419975239687,0.3881516700859221
FT9,0.011568088999595353,0.12243034470493618,-0.2906290157631502,0.3673657171153022,0.04244813412953721,0.03467648856567561,0.12050565260567035,0.23864922030063312,0.06244060586407278,-0.04955519206583414,0.290844785147994,-0.3500685961148712,-0.3352675068235239,-0.011502786912578349,0.3420434994363824,-0.43980810092408346,-0.44691807122521643,-0.31893592688979183,0.7593425460059589,2.71293798402496e-05,-0.09086178910011831,0.559907651367103,-0.3680121228764155,0.3481482495319362,-0.16569137932174988,-0.028947681639764224,0.02406826874468472,0.5385212539857025,-0.4679744271123695,-0.1387666836647439,0.3482355189315738,0.00016116620818610805,-0.018896168417925636,-0.37008471746623006,-0.20968127249593266,0.09255472312002817,-0.3450950589801309,0.34697425244514596,-0.5145701393563141,-0.22139026153877778,-0.23067319204938228,0.19362229807632383,-0.07434377175506156,0.31838503141112934,-0.5063337172141634,0.054572526687140736,-0.3562814816258437,0.05056389203443054,-0.023115174844734538,0.3122692976592652,0.3194042135900418,0.25541632230678424,0.33016257722908426,-0.2686817117798221,0.3200470882919924,-0.13911855533293746,0.12165086627364129,0.4252389759435351,-0.06652072850021035,0.0,-0.3576929903351741,0.15108504579218912,-0.29791320975866453
FC5,0.13752529745992695,0.06382783805076936,0.2695291348490757,-0.1722533259117182,0.00861252436533802,0.19288442496024139,0.30048086955426667,-0.521508402484973,-0.2508797718651737,-0.1428661835052712,0.1897763194661084,0.09795842915321877,0.004271667004593405,-0.13235191356899978,-0.4671974019746424,0.5605798296749195,-0.49801709149961765,0.017063089501552605,-0.2855042701486924,-0.14229188128785533,0.11111178140744858,0.26447642974345675,-0.10005761692465176,-0.3582638568441153,0.31560671756609765,0.007596745384209907,-0.159962657371578,-0.179826680900399,0.02381810760725399,0.15817132758690397,-0.10262374292950667,0.04157842466664399,-0.614345528328617,-0.11417247450198513,0.014126344337115791,-0.14202707841035364,0.029831726702590104,0.21999029993420335,0.30358253281530817,0.19293274040344963,-0.3013250992655982,0.42133979056927917,0.09992972786371965,-0.1814463127503274,0.09056450584952583,-0.2998053520942159,-0.04790257874133531,-0.05767770906741577,0.5239237870930141,-0.28668442937147987,-0.18616936968167794,-0.10658042319435553,0.1963329406404004,-0.09447206450285477,0.0004632935625037464,-0.04010213653307095,0.27953413680479866,0.028198630669940446,0.1991843954185041,0.015632627325776752,0.21182889646579875,0.2154920836673227,0.17855793553520494
FC1,-0.32929831607742077,-0.45528130949764783,-0.2980955502494279,-0.304902370714099,0.09076634608495822,0.15104606604130966,0.14665542824116362,0.192222666370109,0.07896729864630171,-0.05246158016173167,-0.3982795512839649,-0.025908732609902577,-0.4346838130940991,0.06633376006681058,0.3150395628155778,0.6518660066597507,0.38365560804319715,-0.2886026026706846,0.00838413186623492,0.32354732386055696,0.4920040311393295,0.6363909141471987,-0.20383309140341418,-0.10665926328328185,-0.11748866716085746,-0.2250116599588065,0.17806885938776845,-0.024559481614674576,0.5035027046289094,-0.0700071788121366,-0.3442315200027428,0.08221426967550272,-0.6177519146300817,-0.15460367770889696,-0.08586307133845443,0.22929992710248528,0.4963457711759573,0.28694575264214517,-0.021433322971850695,-0.6870211996148528,0.091926910702262,-0.11395120176512535,-0.11602890172788767,0.4369745620807891,0.2835509193690058,-0.3833077475437603,-0.4656978776414659,-0.28216961466150003,0.739278150052173,-0.05820563916922623,-0.016498831245249184,-0.10107634210086298,-0.30533656020203237,0.3103898380927963,-0.31954324306055126,0.02847166381402246,-0.20044677102602748,0.22067272035792201,0.20100386618471014,-0.36421030766296986,0.08088006441159287,0.1135574165911657,0.15248837241398222
C3,-0.03914887939604271,-0.44796323888556006,-0.036311004129815895,0.31709607520469696,0.2547481503426411,-0.5980087700073937,0.46162809847679276,0.33769083457092647,0.008449067203734884,-0.53385758277907,-0.5150018147032002,0.3956472392953465,-0.05057239556934837,-0.0856592835938665,-0.05902454981959452,0.3869709103752526,-0.23013037059471006,0.009115205130029886,-0.4194755321322103,0.2810447082851444,0.4507350844236413,0.15554158344261482,0.45713971623311894,-0.33390089049675736,-0.21116644277154809,-0.6307537602426265,-0.3713914838052719,0.25913542346457163,0.5339854972938063,-0.42896357516708017,0.13390168096611027,0.26841682546491735,-0.1463778008455133,0.3662146078568034,0.19028995764790269,0.041658526563093545,0.41209017102729195,0.34998778416558673,0.022118613549469805,-0.07354000632729399,-0.1765805024151414,-0.18485295845371508,0.016831763423979924,-0.06716755149530264,-0.48943494258743514,-0.4022340544120817,-0.36380390649805205,-0.24425982053460696,0.13939201636468362,-0.46536574599511427,-0.1895240572406434,0.18730355453535721,-0.035996145529322905,0.006774921212870953,0.0514764168783334,0.322037098963128,-0.07120643708940727,0.3344957592312045,0.5772790036094052,-0.5507785536914274,0.16994491458279937,0.346626119417293,0.20668472800660515
T7,-0.23886105507076622,-0.26628493751817656,-0.1939936237668689,-0.3052246274141028,-0.07769030633778545,-0.31995440966114425,0.023376319121975603,-0.07659586858240779,0.12080573915253803,-0.32681269584983225,0.4134494802370935,-0.37124159884661195,-0.245840691429857,0.07018031391560178,-0.19397786218533525,-0.27192036655346086,-0.150198661243763,-0.13651857843126763,0.20867058545558856,-0.15690284601405036,-0.03495481549114909,0.45715403686429595,-0.07388868554430494,0.02083831414689694,-0.09939155001566366,0.15581693409412212,-0.171175562523236,-0.19763600029374465,-0.024988896893446858,-0.22292848994460993,-0.1184909217135402,0.011573224187118796,-0.34523647534661395,-0.019841435270672985,0.10020497852707104,-0.3771314288296306,-0.0830494100361795,0.4620693846589485,0.2146563324186607,-0.07815385898504779,-0.14516867816948675,0.48163622078898194,0.040307777230574,0.43738410777960046,0.003374293537909094,0.047709708016546476,0.16574552358508848,0.32736101596058353,0.18332589276364192,0.10535707947149428,0.8050858320947951,-0.014238385276268783,0.4560444377158749,-0.13650697593033728,0.27461813222800757,-0.21114508967610374,0.5688822473971429,0.09154856931862895,0.018455068721718763,-0.5001909180022259,-0.3588981386902295,0.3635250719979878,-0.0841227758505656
TP9,0.5537916741025046,0.04799690389201591,0.27189317541680436,-0.05111404354467003,-0.03345407129879918,-0.29358239285901483,-0.04407466203942726,-0.5057442891446009,-0.3477931890861071,0.13133921505712293,-0.08999151788603134,0.4415963699904318,0.24471865017845623,0.27613235553127685,-0.2660624252931625,0.6138602424485706,0.029632333272638665,0.30723578855542294,-0.2105687830803364,-0.14021054533255464,0.49213045667913596,0.05990683132125088,0.08241941721849741,-0.4437302417112977,0.5693071290508884,0.22768531098107844,0.2748078565075782,-0.1756691540493673,0.09221061467824467,0.328478289304315,0.0808006536889507,0.0,-0.2504092827054812,-0.13260548044191023,-0.318556235840925,-0.05303340493465708,0.03605240619173273,-0.3770137587091251,-0.00959105983678625,0.4183078790093493,0.22731125849235967,-0.09845151262252187,-0.024712524563960454,-0.5501157532387141,0.3118846817747679,-0.06281951601975651,0.21987119758832752,-0.27933910230247616,0.23479594504417087,-0.46249735436303674,-0.37955196131230784,-0.5916515323053203,-0.29686057278071515,-0.3663106145498974,-0.35726663601978903,0.22063223713755606,-0.28583010647777535,-0.07843912231964854,0.25877353357938815,0.3898302938360059,-0.016621988768230553,0.0918264722914526,0.058443662618109085
