,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.07445887445887446,0.03116883116883117,0.005194805194805195,0.004329004329004329,0.0025974025974025974,0.022510822510822513,0.03636363636363636,0.012121212121212121,0.017316017316017316,0.027705627705627706,0.011255411255411256,0.012987012987012988,0.013852813852813853,0.032034632034632034,0.01818181818181818,0.0025974025974025974,0.023376623376623377,0.005194805194805195,0.006926406926406926,0.005194805194805195,0.0,0.019913419913419914,0.007792207792207792,0.01904761904761905,0.003463203463203463,0.013852813852813853,0.0025974025974025974,0.01038961038961039,0.003463203463203463,0.030303030303030304,0.047619047619047616,0.0025974025974025974,0.0354978354978355,0.030303030303030304,0.004329004329004329,0.004329004329004329,0.0,0.0017316017316017316,0.013852813852813853,0.01471861471861472,0.0,0.01038961038961039,0.030303030303030304,0.030303030303030304,0.003463203463203463,0.045021645021645025,0.005194805194805195,0.030303030303030304,0.011255411255411256,0.019913419913419914,0.019913419913419914,0.033766233766233764,0.0017316017316017316,0.01471861471861472,0.030303030303030304,0.0008658008658008658,0.009523809523809525,0.007792207792207792,0.0,0.03896103896103896,0.006060606060606061,0.0025974025974025974,0.01645021645021645
Fz,0.018952618453865335,0.06384039900249376,0.0,0.023940149625935162,0.0004987531172069825,0.014463840399002495,0.026433915211970076,0.020448877805486283,0.03890274314214464,0.013965087281795512,0.013466334164588529,0.0024937655860349127,0.010473815461346634,0.022942643391521196,0.02344139650872818,0.010972568578553617,0.011471321695760598,0.006483790523690773,0.023940149625935162,0.0059850374064837905,0.000997506234413965,0.00798004987531172,0.0,0.030922693266832918,0.000997506234413965,0.016458852867830425,0.013466334164588529,0.02942643391521197,0.0024937655860349127,0.017456359102244388,0.008977556109725686,0.0014962593516209476,0.03192019950124688,0.011471321695760598,0.0,0.014463840399002495,0.007481296758104738,0.013965087281795512,0.029925187032418952,0.00798004987531172,0.0,0.011970074812967581,0.026932668329177057,0.02144638403990025,0.00199501246882793,0.03341645885286783,0.00199501246882793,0.021945137157107233,0.016458852867830425,0.030922693266832918,0.028428927680798004,0.0344139650872818,0.008478802992518703,0.00997506234413965,0.0314214463840399,0.00798004987531172,0.020448877805486283,0.02593516209476309,0.0,0.022443890274314215,0.02743142144638404,0.0059850374064837905,0.008977556109725686
F3,0.0021798365122615805,0.0005449591280653951,0.06757493188010899,0.018528610354223433,0.011444141689373298,0.025068119891008173,0.012534059945504087,0.0038147138964577656,0.007084468664850136,0.02452316076294278,0.02670299727520436,0.025068119891008173,0.03923705722070845,0.01634877384196185,0.010899182561307902,0.011989100817438692,0.020708446866485014,0.019618528610354225,0.008719346049046322,0.012534059945504087,0.012534059945504087,0.0038147138964577656,0.048501362397820165,0.007629427792915531,0.02125340599455041,0.011989100817438692,0.014168937329700272,0.017983651226158037,0.02997275204359673,0.015258855585831062,0.0,0.009809264305177113,0.011989100817438692,0.008719346049046322,0.0223433242506812,0.012534059945504087,0.014168937329700272,0.006539509536784741,0.010354223433242507,0.017983651226158037,0.027247956403269755,0.012534059945504087,0.0,0.018528610354223433,0.019618528610354225,0.008719346049046322,0.02997275204359673,0.0038147138964577656,0.005449591280653951,0.025068119891008173,0.0005449591280653951,0.0032697547683923707,0.027247956403269755,0.010899182561307902,0.007629427792915531,0.026158038147138966,0.020163487738419618,0.011989100817438692,0.017983651226158037,0.007629427792915531,0.02125340599455041,0.02125340599455041,0.010354223433242507
F7,0.0026068821689259644,0.024504692387904068,0.017726798748696558,0.06725755995828989,0.0072992700729927005,0.009384775808133473,0.016684045881126174,0.0046923879040667365,0.027111574556830033,0.004171011470281543,0.014077163712200209,0.017726798748696558,0.01616266944734098,0.007820646506777894,0.017726798748696558,0.024504692387904068,0.010427528675703858,0.0020855057351407717,0.011991657977059436,0.011470281543274244,0.0031282586027111575,0.0015641293013555788,0.009906152241918665,0.010948905109489052,0.007820646506777894,0.011991657977059436,0.008863399374348279,0.038060479666319084,0.013034410844629822,0.0020855057351407717,0.005735140771637122,0.008342022940563087,0.020333680917622523,0.014598540145985401,0.03023983315954119,0.030761209593326382,0.006256517205422315,0.01616266944734098,0.03023983315954119,0.018769551616266946,0.014598540145985401,0.016684045881126174,0.01824817518248175,0.011470281543274244,0.0072992700729927005,0.013555787278415016,0.013034410844629822,0.01824817518248175,0.014077163712200209,0.024504692387904068,0.018769551616266946,0.02502606882168926,0.01564129301355579,0.009384775808133473,0.024504692387904068,0.018769551616266946,0.01616266944734098,0.027632950990615225,0.011470281543274244,0.006256517205422315,0.03597497393117831,0.027111574556830033,0.0072992700729927005
FT9,0.0012903225806451613,0.0012903225806451613,0.013548387096774193,0.01032258064516129,0.06,0.0006451612903225806,0.015483870967741935,0.003870967741935484,0.003870967741935484,0.0025806451612903226,0.0064516129032258064,0.014193548387096775,0.023870967741935485,0.01096774193548387,0.0064516129032258064,0.02258064516129032,0.02903225806451613,0.01870967741935484,0.001935483870967742,0.03870967741935484,0.02258064516129032,0.0,0.01806451612903226,0.0070967741935483875,0.017419354838709676,0.00967741935483871,0.014193548387096775,0.007741935483870968,0.035483870967741936,0.00967741935483871,0.00903225806451613,0.04967741935483871,0.0012903225806451613,0.02129032258064516,0.024516129032258065,0.044516129032258066,0.032903225806451615,0.016129032258064516,0.02258064516129032,0.011612903225806452,0.025806451612903226,0.011612903225806452,0.00903225806451613,0.0,0.031612903225806455,0.0012903225806451613,0.016774193548387096,0.012258064516129033,0.01870967741935484,0.004516129032258065,0.003870967741935484,0.0064516129032258064,0.001935483870967742,0.02129032258064516,0.005806451612903226,0.015483870967741935,0.01935483870967742,0.0070967741935483875,0.03741935483870968,0.0,0.02903225806451613,0.03935483870967742,0.02
FC5,0.015218769816106531,0.019657577679137603,0.027901077996195307,0.013316423589093214,0.0012682308180088776,0.06404565630944832,0.01077996195307546,0.019657577679137603,0.029169308814204185,0.04121750158528852,0.008877615726062143,0.017121116043119847,0.01077996195307546,0.029169308814204185,0.027901077996195307,0.0012682308180088776,0.025364616360177554,0.009511731135066582,0.012682308180088777,0.017755231452124286,0.017121116043119847,0.008877615726062143,0.017121116043119847,0.012682308180088777,0.010145846544071021,0.018389346861128725,0.022828154724159798,0.014584654407102092,0.012048192771084338,0.027901077996195307,0.0012682308180088776,0.0012682308180088776,0.025364616360177554,0.009511731135066582,0.013950538998097653,0.0057070386810399495,0.0019023462270133164,0.0050729232720355105,0.019657577679137603,0.008243500317057704,0.019023462270133164,0.02155992390615092,0.012048192771084338,0.025364616360177554,0.0057070386810399495,0.02599873176918199,0.01585288522511097,0.017755231452124286,0.0031705770450221942,0.029169308814204185,0.011414077362079899,0.013316423589093214,0.012682308180088777,0.015218769816106531,0.016487000634115408,0.007609384908053266,0.009511731135066582,0.019657577679137603,0.0,0.027901077996195307,0.008243500317057704,0.0063411540900443885,0.019657577679137603
FC1,0.024210526315789474,0.025789473684210525,0.014210526315789474,0.01631578947368421,0.007894736842105263,0.009473684210526316,0.07947368421052632,0.010526315789473684,0.015263157894736841,0.018421052631578946,0.03368421052631579,0.005789473684210527,0.016842105263157894,0.013157894736842105,0.004736842105263158,0.008421052631578947,0.004736842105263158,0.025789473684210525,0.002631578947368421,0.004210526315789474,0.004210526315789474,0.009473684210526316,0.018421052631578946,0.007894736842105263,0.026842105263157896,0.006842105263157895,0.01,0.021052631578947368,0.015263157894736841,0.039473684210526314,0.012105263157894737,0.006842105263157895,0.03315789473684211,0.026842105263157896,0.008421052631578947,0.007368421052631579,0.01,0.008947368421052631,0.022631578947368423,0.02368421052631579,0.015263157894736841,0.014736842105263158,0.02894736842105263,0.005263157894736842,0.008421052631578947,0.016842105263157894,0.010526315789473684,0.021052631578947368,0.012105263157894737,0.008947368421052631,0.017368421052631578,0.019473684210526317,0.020526315789473684,0.004736842105263158,0.023157894736842106,0.004736842105263158,0.023157894736842106,0.007368421052631579,0.013157894736842105,0.015263157894736841,0.012105263157894737,0.009473684210526316,0.02631578947368421
C3,0.009200690051753882,0.024726854514088556,0.0040253018976423235,0.005750431282346176,0.0023001725129384704,0.017826336975273145,0.010925819436457734,0.06267970097757332,0.017251293847038527,0.019551466359977,0.02817711328349626,0.005750431282346176,0.013225991949396205,0.018401380103507763,0.02127659574468085,0.006900517538815411,0.014951121334100058,0.01667625071880391,0.012650948821161587,0.006900517538815411,0.018401380103507763,0.009200690051753882,0.0034502587694077054,0.019551466359977,0.02127659574468085,0.01667625071880391,0.02875215641173088,0.010350776308223116,0.018401380103507763,0.03220241518113859,0.0034502587694077054,0.0017251293847038527,0.013801035077630822,0.013225991949396205,0.0017251293847038527,0.016101207590569294,0.014951121334100058,0.0063254744105807935,0.017251293847038527,0.004600345025876941,0.02185163887291547,0.017251293847038527,0.024726854514088556,0.020701552616446232,0.024151811385853938,0.025301897642323174,0.005750431282346176,0.01897642323174238,0.02875215641173088,0.017251293847038527,0.029327199539965498,0.01897642323174238,0.020126509488211614,0.01897642323174238,0.010350776308223116,0.017826336975273145,0.013801035077630822,0.012650948821161587,0.004600345025876941,0.018401380103507763,0.010350776308223116,0.0023001725129384704,0.02702702702702703
T7,0.0096411355115158,0.044456347080878415,0.006963042313872523,0.02678093197643278,0.0032137118371719335,0.023567220139260846,0.017675415104445636,0.016068559185859668,0.0664167113015533,0.013926084627745045,0.010176754151044456,0.005356186395286556,0.002678093197643278,0.023567220139260846,0.02785216925549009,0.0192822710230316,0.014997321906802356,0.006963042313872523,0.013926084627745045,0.01981788966256026,0.0032137118371719335,0.006963042313872523,0.006427423674343867,0.027316550615961437,0.0010712372790573112,0.020353508302088912,0.011783610069630423,0.02945902517407606,0.0016068559185859668,0.016068559185859668,0.0021424745581146223,0.003749330476700589,0.025709694697375468,0.0016068559185859668,0.0096411355115158,0.0192822710230316,0.0,0.00856989823245849,0.03267273701124799,0.0096411355115158,0.0048205677557579,0.027316550615961437,0.027316550615961437,0.022495982860203535,0.0,0.018746652383502947,0.0010712372790573112,0.011783610069630423,0.01713979646491698,0.027316550615961437,0.024638457418318157,0.03267273701124799,0.006963042313872523,0.0192822710230316,0.032137118371719335,0.0048205677557579,0.011783610069630423,0.03802892340653455,0.0,0.016604177825388325,0.02196036422067488,0.006427423674343867,0.016068559185859668
TP9,0.018002322880371662,0.017421602787456445,0.0272938443670151,0.005226480836236934,0.0017421602787456446,0.0429732868757259,0.01916376306620209,0.018002322880371662,0.0156794425087108,0.06678281068524972,0.015098722415795587,0.011033681765389082,0.014518002322880372,0.028455284552845527,0.015098722415795587,0.005807200929152149,0.02148664343786295,0.02032520325203252,0.010452961672473868,0.012775842044134728,0.015098722415795587,0.004645760743321719,0.023809523809523808,0.010452961672473868,0.024390243902439025,0.01684088269454123,0.018583042973286876,0.007549361207897794,0.02032520325203252,0.032520325203252036,0.0040650406504065045,0.0,0.029616724738675958,0.020905923344947737,0.012195121951219513,0.003484320557491289,0.01916376306620209,0.010452961672473868,0.012195121951219513,0.012775842044134728,0.01684088269454123,0.014518002322880372,0.014518002322880372,0.024390243902439025,0.014518002322880372,0.020905923344947737,0.014518002322880372,0.01684088269454123,0.0040650406504065045,0.02613240418118467,0.011033681765389082,0.011033681765389082,0.013356562137049941,0.019744483159117306,0.012195121951219513,0.0029036004645760743,0.008130081300813009,0.008710801393728223,0.008130081300813009,0.02613240418118467,0.006387921022067364,0.0011614401858304297,0.017421602787456445
