,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.15313081215127092,0.023558586484810913,0.0,0.0,0.0,0.0,0.0,0.0,0.008059516429014259,0.0049597024178549285,0.009299442033477991,0.006819590824550527,0.03037817730936144,0.006819590824550527,0.04587724736515809,0.0,0.034097954122752634,0.01425914445133292,0.018598884066955982,0.0037197768133911966,0.027898326100433975,0.01425914445133292,0.016738995660260384,0.006819590824550527,0.0030998140111593306,0.011779293242405457,0.026658400495970243,0.027898326100433975,0.010539367637941723,0.013019218846869188,0.03781773093614383,0.0043397396156230625,0.0,0.0,0.035337879727216366,0.03781773093614383,0.0024798512089274642,0.0,0.0,0.008059516429014259,0.0,0.016738995660260384,0.035337879727216366,0.0,0.0024798512089274642,0.016119032858028518,0.0018598884066955983,0.009919404835709857,0.0,0.006199628022318661,0.016119032858028518,0.015499070055796652,0.011779293242405457,0.005579665220086794,0.0,0.0,0.0037197768133911966,0.0,0.0049597024178549285,0.009299442033477991,0.06137631742095474,0.019218846869187848,0.026658400495970243,0.03781773093614383,0.0,0.0,0.05517668939863608,0.0
bankssts-rh,0.02505827505827506,0.1655011655011655,0.0034965034965034965,0.0011655011655011655,0.0,0.0034965034965034965,0.0034965034965034965,0.0,0.004662004662004662,0.0034965034965034965,0.0,0.011072261072261072,0.013403263403263404,0.0337995337995338,0.043706293706293704,0.002913752913752914,0.020396270396270396,0.04020979020979021,0.047785547785547784,0.009906759906759906,0.008158508158508158,0.013986013986013986,0.01048951048951049,0.014568764568764568,0.01282051282051282,0.008741258741258742,0.011072261072261072,0.017482517482517484,0.030303030303030304,0.008741258741258742,0.009324009324009324,0.019230769230769232,0.009906759906759906,0.0011655011655011655,0.016317016317016316,0.023310023310023312,0.004662004662004662,0.0,0.008158508158508158,0.0011655011655011655,0.013403263403263404,0.004079254079254079,0.022727272727272728,0.0,0.0005827505827505828,0.008741258741258742,0.002331002331002331,0.0,0.0,0.015734265734265736,0.022727272727272728,0.005827505827505828,0.01282051282051282,0.009906759906759906,0.017482517482517484,0.018065268065268064,0.023892773892773892,0.004662004662004662,0.011072261072261072,0.0,0.02564102564102564,0.0337995337995338,0.009906759906759906,0.02156177156177156,0.0,0.005244755244755245,0.030303030303030304,0.016317016317016316
caudalanteriorcingulate-lh,0.0,0.00909090909090909,0.2727272727272727,0.09318181818181819,0.02727272727272727,0.0125,0.007954545454545454,0.006818181818181818,0.011363636363636364,0.0,0.005681818181818182,0.026136363636363635,0.005681818181818182,0.005681818181818182,0.0,0.01818181818181818,0.02159090909090909,0.003409090909090909,0.006818181818181818,0.0,0.02727272727272727,0.005681818181818182,0.005681818181818182,0.0,0.0,0.0,0.0,0.004545454545454545,0.005681818181818182,0.005681818181818182,0.004545454545454545,0.028409090909090908,0.0,0.0,0.005681818181818182,0.010227272727272727,0.0,0.023863636363636365,0.0,0.019318181818181818,0.004545454545454545,0.014772727272727272,0.005681818181818182,0.0,0.0,0.013636363636363636,0.035227272727272725,0.010227272727272727,0.006818181818181818,0.0,0.0,0.011363636363636364,0.01818181818181818,0.005681818181818182,0.020454545454545454,0.028409090909090908,0.06363636363636363,0.011363636363636364,0.006818181818181818,0.028409090909090908,0.0,0.0022727272727272726,0.0,0.013636363636363636,0.0125,0.0,0.005681818181818182,0.0
caudalanteriorcingulate-rh,0.0,0.004775549188156638,0.07545367717287488,0.2702960840496657,0.024832855778414518,0.026743075453677174,0.0066857688634192934,0.0009551098376313276,0.007640878701050621,0.004775549188156638,0.017191977077363897,0.026743075453677174,0.0028653295128939827,0.0,0.0,0.02005730659025788,0.0009551098376313276,0.014326647564469915,0.0,0.007640878701050621,0.019102196752626553,0.015281757402101241,0.0009551098376313276,0.010506208213944603,0.0,0.004775549188156638,0.0028653295128939827,0.013371537726838587,0.019102196752626553,0.0019102196752626551,0.009551098376313277,0.017191977077363897,0.0,0.019102196752626553,0.0,0.0019102196752626551,0.0,0.010506208213944603,0.0,0.017191977077363897,0.0,0.012416427889207259,0.007640878701050621,0.0,0.0066857688634192934,0.0,0.029608404966571154,0.013371537726838587,0.019102196752626553,0.009551098376313277,0.012416427889207259,0.004775549188156638,0.013371537726838587,0.03724928366762178,0.012416427889207259,0.02865329512893983,0.029608404966571154,0.018147086914995225,0.0019102196752626551,0.021967526265520534,0.0028653295128939827,0.0019102196752626551,0.004775549188156638,0.0019102196752626551,0.02005730659025788,0.009551098376313277,0.0009551098376313276,0.0038204393505253103
caudalmiddlefrontal-lh,0.0,0.00102880658436214,0.0257201646090535,0.030864197530864196,0.3868312757201646,0.013374485596707819,0.00411522633744856,0.00720164609053498,0.00720164609053498,0.009259259259259259,0.0,0.0030864197530864196,0.00205761316872428,0.01954732510288066,0.0,0.033950617283950615,0.0,0.0,0.00102880658436214,0.0,0.006172839506172839,0.009259259259259259,0.00205761316872428,0.00411522633744856,0.0051440329218107,0.0030864197530864196,0.0,0.0,0.0030864197530864196,0.0030864197530864196,0.0,0.0,0.00411522633744856,0.01440329218106996,0.0,0.02880658436213992,0.033950617283950615,0.0,0.021604938271604937,0.00205761316872428,0.0,0.0030864197530864196,0.006172839506172839,0.0102880658436214,0.00720164609053498,0.00720164609053498,0.03189300411522634,0.01131687242798354,0.01954732510288066,0.00205761316872428,0.0,0.01646090534979424,0.0257201646090535,0.00720164609053498,0.006172839506172839,0.00411522633744856,0.033950617283950615,0.043209876543209874,0.00823045267489712,0.013374485596707819,0.0051440329218107,0.0102880658436214,0.0,0.0030864197530864196,0.0,0.021604938271604937,0.0030864197530864196,0.013374485596707819
caudalmiddlefrontal-rh,0.0,0.006042296072507553,0.007049345417925478,0.030211480362537766,0.014098690835850957,0.32326283987915405,0.008056394763343404,0.0030211480362537764,0.0,0.0010070493454179255,0.013091641490433032,0.011077542799597181,0.0,0.0030211480362537764,0.005035246727089627,0.015105740181268883,0.0,0.0030211480362537764,0.01812688821752266,0.032225579053373615,0.0,0.015105740181268883,0.0,0.0010070493454179255,0.035246727089627394,0.002014098690835851,0.0010070493454179255,0.0,0.028197381671701913,0.017119838872104734,0.0,0.035246727089627394,0.013091641490433032,0.008056394763343404,0.0,0.0030211480362537764,0.004028197381671702,0.030211480362537766,0.014098690835850957,0.0,0.005035246727089627,0.02014098690835851,0.0,0.0,0.012084592145015106,0.006042296072507553,0.0010070493454179255,0.00906344410876133,0.03423967774420947,0.035246727089627394,0.0,0.00906344410876133,0.012084592145015106,0.025176233635448138,0.005035246727089627,0.017119838872104734,0.02014098690835851,0.04833836858006042,0.0,0.0,0.0,0.0010070493454179255,0.0,0.011077542799597181,0.002014098690835851,0.002014098690835851,0.0,0.023162134944612285
cuneus-lh,0.0,0.005842259006815969,0.008763388510223954,0.0029211295034079843,0.007789678675754625,0.007789678675754625,0.3252190847127556,0.07108081791626096,0.0,0.02044790652385589,0.0029211295034079843,0.010710808179162609,0.0,0.0019474196689386564,0.007789678675754625,0.02044790652385589,0.0,0.0019474196689386564,0.0,0.009737098344693282,0.011684518013631937,0.023369036027263874,0.055501460564751706,0.028237585199610515,0.0,0.01557935735150925,0.0019474196689386564,0.03602726387536514,0.0,0.0029211295034079843,0.0,0.0,0.0,0.022395326192794548,0.0,0.011684518013631937,0.01557935735150925,0.0,0.019474196689386564,0.012658227848101266,0.016553067185978577,0.0,0.03213242453748783,0.004868549172346641,0.0,0.008763388510223954,0.017526777020447908,0.011684518013631937,0.0038948393378773127,0.021421616358325218,0.006815968841285297,0.02531645569620253,0.0019474196689386564,0.0,0.0,0.0,0.009737098344693282,0.0019474196689386564,0.02531645569620253,0.0038948393378773127,0.0,0.0019474196689386564,0.0,0.013631937682570594,0.0038948393378773127,0.007789678675754625,0.0,0.018500486854917234
cuneus-rh,0.0,0.0,0.005235602094240838,0.0,0.007853403141361256,0.005235602094240838,0.060209424083769635,0.28097731239092494,0.0,0.0017452006980802793,0.012216404886561954,0.0,0.0,0.0,0.008726003490401396,0.02443280977312391,0.0,0.0,0.0,0.0,0.04013961605584642,0.030541012216404886,0.02268760907504363,0.034904013961605584,0.0,0.008726003490401396,0.0,0.03315881326352531,0.0017452006980802793,0.0034904013961605585,0.0,0.0,0.004363001745200698,0.0017452006980802793,0.0,0.013961605584642234,0.0008726003490401396,0.0,0.008726003490401396,0.006980802792321117,0.0017452006980802793,0.0,0.015706806282722512,0.0968586387434555,0.0,0.0034904013961605585,0.013089005235602094,0.027923211169284468,0.007853403141361256,0.011343804537521814,0.009598603839441536,0.06457242582897033,0.006108202443280977,0.0,0.012216404886561954,0.0,0.008726003490401396,0.012216404886561954,0.008726003490401396,0.04712041884816754,0.0,0.0034904013961605585,0.0,0.011343804537521814,0.002617801047120419,0.004363001745200698,0.0,0.012216404886561954
entorhinal-lh,0.02199074074074074,0.005787037037037037,0.004629629629629629,0.013888888888888888,0.006944444444444444,0.0,0.0023148148148148147,0.0,0.31712962962962965,0.004629629629629629,0.0,0.0,0.032407407407407406,0.019675925925925927,0.006944444444444444,0.0023148148148148147,0.020833333333333332,0.008101851851851851,0.023148148148148147,0.0,0.019675925925925927,0.006944444444444444,0.017361111111111112,0.004629629629629629,0.037037037037037035,0.008101851851851851,0.009259259259259259,0.0,0.017361111111111112,0.01273148148148148,0.020833333333333332,0.0011574074074074073,0.013888888888888888,0.0,0.019675925925925927,0.023148148148148147,0.019675925925925927,0.0,0.008101851851851851,0.015046296296296295,0.009259259259259259,0.027777777777777776,0.028935185185185185,0.0,0.015046296296296295,0.005787037037037037,0.009259259259259259,0.0,0.005787037037037037,0.0,0.010416666666666666,0.0,0.015046296296296295,0.006944444444444444,0.0023148148148148147,0.005787037037037037,0.005787037037037037,0.0,0.008101851851851851,0.0,0.011574074074074073,0.0011574074074074073,0.0,0.016203703703703703,0.032407407407407406,0.0011574074074074073,0.034722222222222224,0.0011574074074074073
entorhinal-rh,0.0069084628670120895,0.0069084628670120895,0.0,0.006044905008635579,0.008635578583765112,0.0,0.015544041450777202,0.0,0.008635578583765112,0.28929188255613125,0.0008635578583765112,0.015544041450777202,0.0034542314335060447,0.017271157167530225,0.017271157167530225,0.0025906735751295338,0.0,0.01468048359240069,0.019861830742659757,0.023316062176165803,0.0017271157167530224,0.004317789291882556,0.013816925734024179,0.0,0.013816925734024179,0.016407599309153715,0.0,0.011226252158894647,0.016407599309153715,0.0069084628670120895,0.008635578583765112,0.0017271157167530224,0.017271157167530225,0.007772020725388601,0.0,0.025043177892918825,0.017271157167530225,0.0,0.03281519861830743,0.016407599309153715,0.018998272884283247,0.009499136442141624,0.007772020725388601,0.0034542314335060447,0.018134715025906734,0.0,0.004317789291882556,0.0017271157167530224,0.006044905008635579,0.0069084628670120895,0.018998272884283247,0.011226252158894647,0.006044905008635579,0.013816925734024179,0.018998272884283247,0.006044905008635579,0.011226252158894647,0.0017271157167530224,0.012953367875647668,0.0017271157167530224,0.0008635578583765112,0.04231433506044905,0.010362694300518135,0.008635578583765112,0.018134715025906734,0.04058721934369603,0.0,0.031088082901554404
