,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.042119565217391304,0.043478260869565216,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.033967391304347824,0.025815217391304348,0.033967391304347824,0.0,0.042119565217391304,0.0,0.028532608695652172,0.009510869565217392,0.0,0.03260869565217391,0.0,0.0,0.036684782608695655,0.025815217391304348,0.021739130434782608,0.005434782608695652,0.036684782608695655,0.004076086956521739,0.04076086956521739,0.043478260869565216,0.03260869565217391,0.012228260869565218,0.0,0.002717391304347826,0.0,0.03125,0.014945652173913044,0.0,0.035326086956521736,0.03804347826086957,0.0,0.03940217391304348,0.03804347826086957,0.008152173913043478,0.001358695652173913,0.043478260869565216,0.017663043478260868,0.0,0.0,0.0,0.019021739130434784,0.002717391304347826,0.0,0.043478260869565216,0.036684782608695655,0.005434782608695652,0.009510869565217392,0.0,0.0,0.004076086956521739,0.03804347826086957,0.0,0.0,0.008152173913043478,0.005434782608695652
F3,0.0,0.029767441860465118,0.05023255813953489,0.0,0.0,0.004651162790697674,0.0,0.0009302325581395349,0.0009302325581395349,0.026976744186046512,0.021395348837209303,0.026976744186046512,0.0,0.05023255813953489,0.0,0.03255813953488372,0.009302325581395349,0.0009302325581395349,0.03627906976744186,0.0,0.0,0.04372093023255814,0.018604651162790697,0.01581395348837209,0.004651162790697674,0.044651162790697675,0.0037209302325581397,0.04837209302325581,0.030697674418604652,0.026046511627906978,0.012093023255813953,0.0,0.0027906976744186047,0.0,0.035348837209302326,0.011162790697674419,0.0,0.04093023255813953,0.045581395348837206,0.0,0.04837209302325581,0.02883720930232558,0.0065116279069767444,0.0018604651162790699,0.04744186046511628,0.01581395348837209,0.0,0.0,0.0,0.01674418604651163,0.0027906976744186047,0.0,0.044651162790697675,0.037209302325581395,0.004651162790697674,0.0074418604651162795,0.0009302325581395349,0.0009302325581395349,0.0037209302325581397,0.045581395348837206,0.0,0.0,0.0065116279069767444,0.004651162790697674
F7,0.0,0.0,0.0,0.04070796460176991,0.021238938053097345,0.04424778761061947,0.04070796460176991,0.021238938053097345,0.04424778761061947,0.0,0.0,0.0,0.04424778761061947,0.0,0.04424778761061947,0.0,0.0,0.03716814159292035,0.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.04424778761061947,0.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.017699115044247787,0.021238938053097345,0.012389380530973451,0.0,0.01415929203539823,0.005309734513274336,0.0,0.0,0.008849557522123894,0.0,0.0035398230088495575,0.019469026548672566,0.04424778761061947,0.0,0.0,0.03008849557522124,0.0,0.007079646017699115,0.0,0.04424778761061947,0.01592920353982301,0.0,0.005309734513274336,0.04424778761061947,0.03893805309734513,0.021238938053097345,0.04424778761061947,0.04424778761061947,0.0,0.019469026548672566,0.0,0.023008849557522124,0.04424778761061947
FT9,0.0,0.0,0.0,0.03021978021978022,0.03296703296703297,0.03571428571428571,0.027472527472527472,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0027472527472527475,0.0,0.0,0.027472527472527472,0.03571428571428571,0.016483516483516484,0.0,0.024725274725274724,0.008241758241758242,0.0,0.0,0.013736263736263736,0.0,0.008241758241758242,0.03296703296703297,0.03571428571428571,0.0,0.0,0.019230769230769232,0.0,0.01098901098901099,0.0,0.03571428571428571,0.024725274725274724,0.0,0.01098901098901099,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03021978021978022,0.0,0.03571428571428571,0.03571428571428571
FC5,0.0,0.006644518272425249,0.007751937984496124,0.024363233665559248,0.013289036544850499,0.048726467331118496,0.02547065337763012,0.016611295681063124,0.04097452934662237,0.0,0.0,0.0,0.03986710963455149,0.004429678848283499,0.03765227021040975,0.0,0.0,0.028792912513842746,0.0,0.03765227021040975,0.0,0.0,0.006644518272425249,0.0,0.04983388704318937,0.0,0.048726467331118496,0.0033222591362126247,0.008859357696566999,0.0,0.0,0.01107419712070875,0.018826135105204873,0.006644518272425249,0.0,0.017718715393133997,0.0033222591362126247,0.0,0.0011074197120708748,0.005537098560354375,0.0022148394241417496,0.01107419712070875,0.021040974529346623,0.046511627906976744,0.006644518272425249,0.0,0.017718715393133997,0.0,0.004429678848283499,0.0,0.046511627906976744,0.009966777408637873,0.007751937984496124,0.014396456256921373,0.04983388704318937,0.047619047619047616,0.016611295681063124,0.04318936877076412,0.048726467331118496,0.0011074197120708748,0.012181616832779624,0.0,0.028792912513842746,0.04983388704318937
FC1,0.0,0.0,0.0,0.0374414976599064,0.0171606864274571,0.0405616224648986,0.0452418096723869,0.0171606864274571,0.0483619344773791,0.0,0.0,0.0,0.0483619344773791,0.0,0.0483619344773791,0.0,0.0,0.0343213728549142,0.0,0.0483619344773791,0.0,0.0,0.0,0.0,0.0483619344773791,0.0,0.0452418096723869,0.0,0.0,0.0,0.0,0.015600624024960999,0.0171606864274571,0.0187207488299532,0.0,0.0109204368174727,0.0046801872074883,0.0,0.0,0.0078003120124804995,0.0,0.0015600624024961,0.015600624024960999,0.0483619344773791,0.0,0.0,0.0343213728549142,0.0,0.0062402496099844,0.0,0.046801872074883,0.014040561622464899,0.0,0.0031201248049922,0.0436817472698908,0.0358814352574103,0.0171606864274571,0.0483619344773791,0.046801872074883,0.0,0.0171606864274571,0.0,0.0218408736349454,0.0452418096723869
C3,0.0,0.004597701149425287,0.006896551724137931,0.02528735632183908,0.027586206896551724,0.0367816091954023,0.022988505747126436,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.029885057471264367,0.0,0.029885057471264367,0.0,0.0,0.034482758620689655,0.0,0.03218390804597701,0.0,0.0,0.004597701149425287,0.0,0.0367816091954023,0.0,0.0367816091954023,0.0,0.009195402298850575,0.0,0.0,0.022988505747126436,0.0367816091954023,0.013793103448275862,0.0,0.027586206896551724,0.006896551724137931,0.0,0.0,0.011494252873563218,0.0,0.013793103448275862,0.034482758620689655,0.0367816091954023,0.004597701149425287,0.0,0.016091954022988506,0.0,0.009195402298850575,0.0,0.0367816091954023,0.020689655172413793,0.006896551724137931,0.016091954022988506,0.0367816091954023,0.0367816091954023,0.034482758620689655,0.034482758620689655,0.0367816091954023,0.0,0.02528735632183908,0.0,0.0367816091954023,0.0367816091954023
T7,0.0,0.002290950744558992,0.003436426116838488,0.027491408934707903,0.013745704467353952,0.045819014891179836,0.032073310423825885,0.01718213058419244,0.048109965635738834,0.0,0.0,0.0,0.046964490263459335,0.0,0.044673539518900345,0.0,0.0,0.029782359679266894,0.0,0.044673539518900345,0.0,0.0,0.002290950744558992,0.0,0.050400916380297825,0.0,0.049255441008018326,0.0,0.004581901489117984,0.0,0.0,0.011454753722794959,0.018327605956471937,0.012600229095074456,0.0,0.013745704467353952,0.003436426116838488,0.0,0.0,0.0057273768613974796,0.0,0.006872852233676976,0.01718213058419244,0.050400916380297825,0.002290950744558992,0.0,0.024054982817869417,0.0,0.004581901489117984,0.0,0.050400916380297825,0.010309278350515464,0.003436426116838488,0.008018327605956471,0.048109965635738834,0.042382588774341354,0.01718213058419244,0.049255441008018326,0.050400916380297825,0.0,0.012600229095074456,0.0,0.025200458190148912,0.049255441008018326
TP9,0.0,0.03194444444444444,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.03611111111111111,0.04027777777777778,0.0,0.043055555555555555,0.0,0.03888888888888889,0.013888888888888888,0.0,0.043055555555555555,0.0,0.0,0.043055555555555555,0.015277777777777777,0.02361111111111111,0.0,0.043055555555555555,0.0,0.043055555555555555,0.03333333333333333,0.043055555555555555,0.022222222222222223,0.0,0.0,0.0,0.041666666666666664,0.004166666666666667,0.0,0.043055555555555555,0.043055555555555555,0.0,0.043055555555555555,0.027777777777777776,0.0,0.0,0.0375,0.027777777777777776,0.004166666666666667,0.0,0.0,0.029166666666666667,0.0,0.0,0.03611111111111111,0.02638888888888889,0.0,0.0,0.0,0.0,0.0,0.043055555555555555,0.0,0.0,0.0,0.0
