,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.04888268156424581,0.0,0.02094972067039106,0.029329608938547486,0.01675977653631285,0.04189944134078212,0.019553072625698324,0.034916201117318434,0.034916201117318434,0.006983240223463687,0.027932960893854747,0.0335195530726257,0.029329608938547486,0.0013966480446927375,0.030726256983240222,0.0,0.006983240223463687,0.036312849162011177,0.002793296089385475,0.002793296089385475,0.03910614525139665,0.04329608938547486,0.03212290502793296,0.03212290502793296,0.027932960893854747,0.029329608938547486,0.029329608938547486,0.019553072625698324,0.03212290502793296,0.004189944134078212,0.0,0.0013966480446927375,0.00558659217877095,0.0223463687150838,0.0111731843575419,0.0,0.0,0.029329608938547486,0.006983240223463687,0.019553072625698324,0.036312849162011177,0.002793296089385475,0.018156424581005588,0.002793296089385475,0.01675977653631285,0.0013966480446927375,0.018156424581005588,0.006983240223463687,0.023743016759776536,0.004189944134078212,0.023743016759776536,0.0335195530726257
S1_D3 hbo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.024817518248175182,0.0,0.04817518248175182,0.026277372262773723,0.01897810218978102,0.02335766423357664,0.016058394160583942,0.02335766423357664,0.020437956204379562,0.008759124087591242,0.02335766423357664,0.024817518248175182,0.042335766423357665,0.0,0.024817518248175182,0.0,0.004379562043795621,0.024817518248175182,0.00291970802919708,0.00145985401459854,0.027737226277372264,0.024817518248175182,0.026277372262773723,0.02335766423357664,0.042335766423357665,0.021897810218978103,0.030656934306569343,0.043795620437956206,0.052554744525547446,0.035036496350364967,0.0,0.00291970802919708,0.026277372262773723,0.020437956204379562,0.013138686131386862,0.0,0.0,0.016058394160583942,0.017518248175182483,0.04671532846715328,0.02335766423357664,0.0,0.016058394160583942,0.01897810218978102,0.013138686131386862,0.00145985401459854,0.020437956204379562,0.00583941605839416,0.020437956204379562,0.00291970802919708,0.020437956204379562,0.026277372262773723
S2_D2 hbo,0.027737226277372264,0.0,0.026277372262773723,0.03795620437956204,0.014598540145985401,0.033576642335766425,0.020437956204379562,0.030656934306569343,0.02335766423357664,0.008759124087591242,0.026277372262773723,0.035036496350364967,0.033576642335766425,0.0,0.027737226277372264,0.0,0.00291970802919708,0.027737226277372264,0.00291970802919708,0.0,0.035036496350364967,0.032116788321167884,0.033576642335766425,0.032116788321167884,0.035036496350364967,0.030656934306569343,0.030656934306569343,0.024817518248175182,0.033576642335766425,0.01167883211678832,0.0,0.004379562043795621,0.013138686131386862,0.027737226277372264,0.013138686131386862,0.00145985401459854,0.0,0.021897810218978103,0.008759124087591242,0.027737226277372264,0.029197080291970802,0.00145985401459854,0.02335766423357664,0.01167883211678832,0.021897810218978103,0.00145985401459854,0.020437956204379562,0.00291970802919708,0.026277372262773723,0.004379562043795621,0.026277372262773723,0.033576642335766425
S2_D4 hbo,0.027972027972027972,0.0,0.02564102564102564,0.023310023310023312,0.030303030303030304,0.027972027972027972,0.018648018648018648,0.027972027972027972,0.023310023310023312,0.018648018648018648,0.03263403263403263,0.030303030303030304,0.027972027972027972,0.0,0.030303030303030304,0.0,0.009324009324009324,0.027972027972027972,0.009324009324009324,0.0,0.037296037296037296,0.03263403263403263,0.03496503496503497,0.027972027972027972,0.027972027972027972,0.02564102564102564,0.027972027972027972,0.018648018648018648,0.037296037296037296,0.013986013986013986,0.0,0.004662004662004662,0.013986013986013986,0.02097902097902098,0.013986013986013986,0.004662004662004662,0.0,0.016317016317016316,0.013986013986013986,0.02097902097902098,0.023310023310023312,0.0,0.023310023310023312,0.009324009324009324,0.013986013986013986,0.006993006993006993,0.03263403263403263,0.016317016317016316,0.023310023310023312,0.006993006993006993,0.023310023310023312,0.03496503496503497
S3_D1 hbo,0.04022191400832178,0.0,0.019417475728155338,0.0319001386962552,0.015256588072122053,0.04576976421636616,0.019417475728155338,0.03744798890429958,0.0319001386962552,0.008321775312066574,0.030513176144244106,0.03467406380027739,0.027739251040221916,0.0013869625520110957,0.027739251040221916,0.0,0.008321775312066574,0.033287101248266296,0.0013869625520110957,0.0013869625520110957,0.038834951456310676,0.04299583911234397,0.033287101248266296,0.0319001386962552,0.027739251040221916,0.030513176144244106,0.02912621359223301,0.020804438280166437,0.0319001386962552,0.005547850208044383,0.0,0.0013869625520110957,0.005547850208044383,0.026352288488210817,0.011095700416088766,0.0,0.0,0.02912621359223301,0.006934812760055479,0.019417475728155338,0.0319001386962552,0.0013869625520110957,0.019417475728155338,0.0027739251040221915,0.016643550624133148,0.0013869625520110957,0.020804438280166437,0.009708737864077669,0.024965325936199722,0.004160887656033287,0.023578363384188627,0.03467406380027739
S3_D3 hbo,0.030364372469635626,0.0,0.02631578947368421,0.02834008097165992,0.022267206477732792,0.030364372469635626,0.02834008097165992,0.02834008097165992,0.030364372469635626,0.008097165991902834,0.03441295546558704,0.032388663967611336,0.032388663967611336,0.0,0.032388663967611336,0.0,0.004048582995951417,0.030364372469635626,0.004048582995951417,0.0,0.032388663967611336,0.03441295546558704,0.032388663967611336,0.030364372469635626,0.032388663967611336,0.032388663967611336,0.032388663967611336,0.022267206477732792,0.032388663967611336,0.004048582995951417,0.0,0.0020242914979757085,0.006072874493927126,0.024291497975708502,0.016194331983805668,0.004048582995951417,0.0,0.024291497975708502,0.010121457489878543,0.020242914979757085,0.02834008097165992,0.0,0.018218623481781375,0.004048582995951417,0.020242914979757085,0.006072874493927126,0.024291497975708502,0.010121457489878543,0.02631578947368421,0.006072874493927126,0.02834008097165992,0.032388663967611336
S3_D4 hbo,0.0329512893982808,0.0,0.02148997134670487,0.03008595988538682,0.015759312320916905,0.03581661891117478,0.01862464183381089,0.04011461318051576,0.027220630372492838,0.01002865329512894,0.03151862464183381,0.03581661891117478,0.025787965616045846,0.0,0.02865329512893983,0.0,0.011461318051575931,0.03151862464183381,0.0028653295128939827,0.0,0.03724928366762178,0.034383954154727794,0.034383954154727794,0.03151862464183381,0.027220630372492838,0.02865329512893983,0.02865329512893983,0.022922636103151862,0.034383954154727794,0.01002865329512894,0.0,0.004297994269340974,0.008595988538681949,0.027220630372492838,0.014326647564469915,0.0028653295128939827,0.0,0.024355300859598854,0.004297994269340974,0.02005730659025788,0.03581661891117478,0.0057306590257879654,0.01862464183381089,0.0071633237822349575,0.017191977077363897,0.0014326647564469914,0.02148997134670487,0.01002865329512894,0.022922636103151862,0.0014326647564469914,0.027220630372492838,0.03581661891117478
S3_D5 hbo,0.03529411764705882,0.0,0.023529411764705882,0.027941176470588237,0.020588235294117647,0.03529411764705882,0.022058823529411766,0.033823529411764704,0.03529411764705882,0.010294117647058823,0.027941176470588237,0.03235294117647059,0.033823529411764704,0.0,0.030882352941176472,0.0,0.0058823529411764705,0.03529411764705882,0.0029411764705882353,0.0,0.039705882352941174,0.03823529411764706,0.03235294117647059,0.03235294117647059,0.030882352941176472,0.026470588235294117,0.030882352941176472,0.023529411764705882,0.03676470588235294,0.007352941176470588,0.0,0.0029411764705882353,0.007352941176470588,0.01911764705882353,0.013235294117647059,0.0014705882352941176,0.0,0.027941176470588237,0.008823529411764706,0.01764705882352941,0.029411764705882353,0.0,0.016176470588235296,0.004411764705882353,0.01911764705882353,0.0029411764705882353,0.022058823529411766,0.008823529411764706,0.020588235294117647,0.004411764705882353,0.026470588235294117,0.03529411764705882
S4_D2 hbo,0.012605042016806723,0.0,0.012605042016806723,0.012605042016806723,0.025210084033613446,0.02100840336134454,0.012605042016806723,0.029411764705882353,0.01680672268907563,0.037815126050420166,0.03361344537815126,0.025210084033613446,0.025210084033613446,0.0,0.025210084033613446,0.0,0.029411764705882353,0.01680672268907563,0.01680672268907563,0.0,0.037815126050420166,0.025210084033613446,0.037815126050420166,0.02100840336134454,0.025210084033613446,0.01680672268907563,0.025210084033613446,0.02100840336134454,0.03361344537815126,0.029411764705882353,0.0,0.012605042016806723,0.029411764705882353,0.01680672268907563,0.01680672268907563,0.012605042016806723,0.0,0.0,0.025210084033613446,0.008403361344537815,0.012605042016806723,0.012605042016806723,0.01680672268907563,0.02100840336134454,0.025210084033613446,0.008403361344537815,0.04201680672268908,0.029411764705882353,0.012605042016806723,0.012605042016806723,0.01680672268907563,0.04201680672268908
