,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.05783582089552239,0.04664179104477612,0.05783582089552239,0.0,0.0,0.0,0.0,0.055970149253731345,0.0,0.0,0.048507462686567165,0.0,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.033582089552238806,0.05783582089552239,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.05970149253731343,0.0,0.0,0.0,0.0,0.027985074626865673,0.0,0.0,0.0,0.0,0.0,0.05037313432835821,0.05223880597014925,0.0,0.0,0.024253731343283583,0.055970149253731345,0.0,0.05970149253731343,0.0,0.05970149253731343,0.0,0.04664179104477612,0.0,0.0,0.007462686567164179,0.048507462686567165,0.0,0.0,0.0,0.0,0.05970149253731343,0.0,0.0
F3,0.0,0.051233396584440226,0.05313092979127135,0.05502846299810247,0.0,0.0,0.0,0.0,0.05502846299810247,0.0,0.0,0.05502846299810247,0.0,0.05502846299810247,0.0,0.0,0.0,0.0,0.0,0.03415559772296015,0.05502846299810247,0.0,0.0,0.0,0.0,0.0,0.030360531309297913,0.0,0.05502846299810247,0.0,0.0,0.0,0.0,0.03415559772296015,0.0,0.0,0.0,0.0,0.0,0.04933586337760911,0.05502846299810247,0.0,0.0,0.030360531309297913,0.05502846299810247,0.0,0.05502846299810247,0.0,0.05502846299810247,0.0,0.04364326375711575,0.0,0.0,0.013282732447817837,0.05502846299810247,0.0,0.0,0.0,0.0,0.05502846299810247,0.0,0.0
F7,0.0,0.050156739811912224,0.045454545454545456,0.061128526645768025,0.0,0.0,0.0,0.0,0.05329153605015674,0.0,0.0,0.05329153605015674,0.0,0.05642633228840126,0.0,0.0,0.0,0.0,0.0,0.02821316614420063,0.05956112852664577,0.0,0.0,0.0,0.0,0.0,0.025078369905956112,0.0,0.06269592476489028,0.0,0.0,0.0,0.0,0.03605015673981191,0.0,0.0,0.0,0.0,0.0,0.04231974921630094,0.05642633228840126,0.0,0.0,0.032915360501567396,0.054858934169279,0.0,0.06269592476489028,0.0,0.05799373040752351,0.0,0.03918495297805643,0.0,0.0,0.012539184952978056,0.047021943573667714,0.0,0.0,0.0,0.0,0.06269592476489028,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.04287515762925599,0.027742749054224466,0.021437578814627996,0.0,0.0,0.044136191677175286,0.0,0.0,0.0,0.044136191677175286,0.0,0.044136191677175286,0.044136191677175286,0.0,0.0,0.0,0.044136191677175286,0.0416141235813367,0.044136191677175286,0.0,0.012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.029003783102143757,0.0,0.044136191677175286,0.044136191677175286,0.044136191677175286,0.034047919293820936,0.04287515762925599,0.0,0.0,0.017654476670870115,0.044136191677175286,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.044136191677175286,0.0,0.0,0.03530895334174023,0.0,0.0,0.044136191677175286,0.0,0.044136191677175286,0.0,0.0,0.044136191677175286,0.044136191677175286
FC1,0.0,0.0,0.0,0.0,0.0,0.04006677796327212,0.04674457429048414,0.008347245409015025,0.0,0.0,0.045075125208681135,0.0,0.0,0.0,0.04006677796327212,0.0,0.04674457429048414,0.04006677796327212,0.0,0.0,0.0,0.04006677796327212,0.038397328881469114,0.04340567612687813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04006677796327212,0.0,0.04674457429048414,0.041736227045075125,0.04006677796327212,0.03171953255425709,0.048414023372287146,0.0,0.0,0.0333889816360601,0.048414023372287146,0.0,0.0,0.0,0.0,0.02337228714524207,0.0,0.048414023372287146,0.0,0.0,0.02671118530884808,0.0,0.0,0.048414023372287146,0.0,0.04340567612687813,0.0,0.0,0.041736227045075125,0.048414023372287146
C3,0.0,0.0,0.0,0.0,0.0,0.033783783783783786,0.006756756756756757,0.05855855855855856,0.0,0.0,0.04054054054054054,0.0045045045045045045,0.0,0.0,0.04279279279279279,0.0,0.0472972972972973,0.04279279279279279,0.0,0.0,0.0,0.038288288288288286,0.03153153153153153,0.04279279279279279,0.0,0.04279279279279279,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.009009009009009009,0.0,0.04504504504504504,0.04054054054054054,0.04954954954954955,0.02702702702702703,0.033783783783783786,0.0,0.0045045045045045045,0.0,0.038288288288288286,0.015765765765765764,0.0,0.0,0.0,0.0518018018018018,0.0,0.04054054054054054,0.0,0.0,0.036036036036036036,0.0,0.0,0.04504504504504504,0.0,0.04504504504504504,0.0,0.0,0.04504504504504504,0.038288288288288286
T7,0.0,0.05517241379310345,0.04827586206896552,0.05862068965517241,0.0,0.0,0.0,0.0,0.056896551724137934,0.0,0.0,0.05,0.0,0.05862068965517241,0.0,0.0,0.0,0.0,0.0,0.03103448275862069,0.05862068965517241,0.0,0.0,0.0,0.0,0.0,0.027586206896551724,0.0,0.05862068965517241,0.0,0.0,0.0,0.0,0.03103448275862069,0.0,0.0,0.0,0.0,0.0,0.04655172413793104,0.05344827586206897,0.0,0.0,0.027586206896551724,0.056896551724137934,0.0,0.05862068965517241,0.0,0.05862068965517241,0.0,0.04310344827586207,0.0,0.0,0.01206896551724138,0.05,0.0,0.0,0.0,0.0,0.05862068965517241,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
