,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.059278350515463915,0.0,0.0,0.002577319587628866,0.03436426116838488,0.006013745704467354,0.0,0.0,0.03264604810996564,0.007731958762886598,0.06099656357388316,0.0,0.0,0.0,0.020618556701030927,0.0,0.0352233676975945,0.0,0.0,0.015463917525773196,0.0,0.0,0.0,0.0,0.003436426116838488,0.002577319587628866,0.05670103092783505,0.005154639175257732,0.0,0.000859106529209622,0.058419243986254296,0.03436426116838488,0.000859106529209622,0.05154639175257732,0.048109965635738834,0.058419243986254296,0.0,0.0,0.0,0.0,0.0,0.029209621993127148,0.06013745704467354,0.000859106529209622,0.0,0.0,0.006013745704467354,0.06013745704467354,0.000859106529209622,0.0,0.0,0.02491408934707904,0.0,0.0,0.01718213058419244,0.06099656357388316,0.024054982817869417,0.0,0.0429553264604811,0.01632302405498282,0.0,0.06099656357388316
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.03523035230352303,0.025745257452574527,0.0,0.006775067750677507,0.014905149051490514,0.0,0.0,0.02032520325203252,0.0,0.036585365853658534,0.03387533875338753,0.036585365853658534,0.0,0.02710027100271003,0.0,0.036585365853658534,0.036585365853658534,0.0,0.03523035230352303,0.0,0.03387533875338753,0.0,0.006775067750677507,0.028455284552845527,0.0,0.025745257452574527,0.036585365853658534,0.03523035230352303,0.0,0.0,0.03387533875338753,0.0,0.0,0.0,0.036585365853658534,0.03523035230352303,0.03387533875338753,0.036585365853658534,0.032520325203252036,0.0,0.0,0.028455284552845527,0.032520325203252036,0.036585365853658534,0.017615176151761516,0.0,0.028455284552845527,0.0,0.0,0.0,0.036585365853658534,0.036585365853658534,0.0,0.0,0.0,0.036585365853658534,0.0,0.005420054200542005,0.02032520325203252,0.0
F7,0.006045949214026602,0.0,0.020556227327690448,0.045949214026602174,0.019347037484885126,0.0,0.013301088270858524,0.0,0.018137847642079808,0.007255139056831923,0.006045949214026602,0.026602176541717048,0.019347037484885126,0.02902055622732769,0.0,0.013301088270858524,0.0,0.022974607013301087,0.030229746070133012,0.02418379685610641,0.03385731559854897,0.0,0.019347037484885126,0.0,0.0,0.014510278113663845,0.0,0.04836759371221282,0.03143893591293833,0.020556227327690448,0.009673518742442563,0.015719467956469165,0.019347037484885126,0.0048367593712212815,0.0036275695284159614,0.0036275695284159614,0.02781136638452237,0.020556227327690448,0.019347037484885126,0.026602176541717048,0.036275695284159616,0.008464328899637243,0.009673518742442563,0.014510278113663845,0.037484885126964934,0.02418379685610641,0.04232164449818621,0.0036275695284159614,0.04232164449818621,0.0,0.0,0.0048367593712212815,0.02902055622732769,0.026602176541717048,0.009673518742442563,0.006045949214026602,0.0036275695284159614,0.03143893591293833,0.0,0.03143893591293833,0.007255139056831923,0.009673518742442563
FT9,0.0449438202247191,0.0,0.0,0.013278855975485188,0.06230847803881512,0.0,0.0,0.0,0.0602655771195097,0.0,0.045965270684371805,0.0,0.0,0.0,0.013278855975485188,0.0,0.017364657814096015,0.0,0.0,0.031664964249233915,0.0030643513789581204,0.0,0.0,0.0,0.0,0.0,0.03779366700715015,0.020429009193054137,0.0010214504596527069,0.0,0.05720122574055159,0.0602655771195097,0.0,0.04085801838610827,0.03575076608784474,0.03983656792645557,0.0,0.0,0.0,0.0,0.005107252298263534,0.03472931562819203,0.05515832482124617,0.0,0.006128702757916241,0.0,0.018386108273748723,0.04290091930541369,0.010214504596527068,0.0,0.0,0.0296220633299285,0.0,0.0,0.024514811031664963,0.0449438202247191,0.028600612870275793,0.0010214504596527069,0.021450459652706845,0.03677221654749745,0.0,0.05515832482124617
FC5,0.008741258741258742,0.0,0.012237762237762238,0.0,0.0,0.0472027972027972,0.0,0.0,0.0,0.04895104895104895,0.012237762237762238,0.033216783216783216,0.03496503496503497,0.012237762237762238,0.019230769230769232,0.02972027972027972,0.024475524475524476,0.033216783216783216,0.026223776223776224,0.0,0.008741258741258742,0.0,0.03146853146853147,0.0,0.043706293706293704,0.043706293706293704,0.022727272727272728,0.0,0.03146853146853147,0.04020979020979021,0.005244755244755245,0.0,0.04020979020979021,0.006993006993006993,0.008741258741258742,0.013986013986013986,0.026223776223776224,0.026223776223776224,0.027972027972027972,0.02972027972027972,0.005244755244755245,0.0,0.008741258741258742,0.04020979020979021,0.005244755244755245,0.024475524475524476,0.0,0.015734265734265736,0.0,0.0,0.0,0.0,0.026223776223776224,0.022727272727272728,0.0,0.01048951048951049,0.0,0.022727272727272728,0.022727272727272728,0.0,0.033216783216783216,0.012237762237762238
FC1,0.0,0.0,0.035256410256410256,0.035256410256410256,0.0,0.0,0.03205128205128205,0.0,0.0,0.00641025641025641,0.0,0.035256410256410256,0.035256410256410256,0.035256410256410256,0.0,0.022435897435897436,0.0,0.035256410256410256,0.035256410256410256,0.0,0.035256410256410256,0.0,0.035256410256410256,0.0,0.0,0.02564102564102564,0.0,0.035256410256410256,0.035256410256410256,0.035256410256410256,0.0,0.0,0.035256410256410256,0.0,0.0,0.0,0.035256410256410256,0.035256410256410256,0.035256410256410256,0.035256410256410256,0.035256410256410256,0.0,0.0,0.02564102564102564,0.035256410256410256,0.035256410256410256,0.03205128205128205,0.0,0.035256410256410256,0.0,0.0,0.0,0.035256410256410256,0.035256410256410256,0.0,0.0,0.0,0.035256410256410256,0.0,0.003205128205128205,0.00641025641025641,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.044538706256627786,0.0,0.0,0.012725344644750796,0.06256627783669141,0.0,0.0,0.0,0.061505832449628844,0.0,0.04559915164369035,0.0,0.0,0.0,0.013785790031813362,0.0,0.018027571580063628,0.0,0.0,0.031813361611876985,0.0021208907741251328,0.0,0.0,0.0,0.0,0.0,0.03711558854718982,0.02014846235418876,0.0,0.0,0.05726405090137858,0.06256627783669141,0.0,0.04029692470837752,0.03499469777306469,0.03923647932131495,0.0,0.0,0.0,0.0,0.0042417815482502655,0.036055143160127257,0.05514316012725345,0.0,0.005302226935312832,0.0,0.018027571580063628,0.042417815482502653,0.009544008483563097,0.0,0.0,0.030752916224814422,0.0,0.0,0.02545068928950159,0.044538706256627786,0.029692470837751856,0.0,0.022269353128313893,0.03711558854718982,0.0,0.05514316012725345
TP9,0.007838745800671893,0.0,0.019036954087346025,0.008958566629339306,0.0,0.03135498320268757,0.004479283314669653,0.0,0.0,0.043673012318029114,0.010078387458006719,0.032474804031354984,0.0335946248600224,0.019036954087346025,0.014557670772676373,0.030235162374020158,0.01791713325867861,0.032474804031354984,0.027995520716685332,0.0,0.0167973124300112,0.0,0.03135498320268757,0.0,0.027995520716685332,0.03919372900335946,0.0167973124300112,0.008958566629339306,0.03135498320268757,0.036954087346024636,0.005599104143337066,0.0,0.036954087346024636,0.006718924972004479,0.007838745800671893,0.011198208286674132,0.027995520716685332,0.027995520716685332,0.029115341545352745,0.030235162374020158,0.014557670772676373,0.0,0.007838745800671893,0.036954087346024636,0.014557670772676373,0.026875699888017916,0.0022396416573348264,0.012318029115341545,0.011198208286674132,0.0,0.0,0.0,0.027995520716685332,0.025755879059350503,0.0,0.008958566629339306,0.0,0.025755879059350503,0.0167973124300112,0.0,0.03135498320268757,0.010078387458006719
CP5,0.05271084337349398,0.0,0.0,0.002259036144578313,0.030873493975903613,0.00677710843373494,0.0,0.0,0.029367469879518073,0.008283132530120483,0.07228915662650602,0.0,0.0,0.0,0.01957831325301205,0.0,0.03237951807228916,0.0,0.0,0.01355421686746988,0.0,0.0,0.0,0.0,0.004518072289156626,0.0037650602409638554,0.06400602409638555,0.004518072289156626,0.0,0.002259036144578313,0.06475903614457831,0.030873493975903613,0.002259036144578313,0.045180722891566265,0.04216867469879518,0.054969879518072286,0.0,0.0,0.0,0.0,0.0,0.025602409638554216,0.06927710843373494,0.002259036144578313,0.0,0.0,0.005271084337349397,0.06626506024096386,0.0007530120481927711,0.0,0.0,0.021837349397590362,0.0,0.0,0.015060240963855422,0.05572289156626506,0.02108433734939759,0.0,0.04141566265060241,0.01430722891566265,0.0,0.07379518072289157
Pz,0.0,0.0,0.0234375,0.020833333333333332,0.0,0.014756944444444444,0.009548611111111112,0.0,0.0,0.0234375,0.0,0.05555555555555555,0.03211805555555555,0.028645833333333332,0.0008680555555555555,0.026909722222222224,0.003472222222222222,0.034722222222222224,0.043402777777777776,0.0026041666666666665,0.026909722222222224,0.0,0.03211805555555555,0.0,0.014756944444444444,0.028645833333333332,0.0026041666666666665,0.020833333333333332,0.057291666666666664,0.04600694444444445,0.0,0.0,0.03211805555555555,0.0,0.0,0.0,0.035590277777777776,0.030381944444444444,0.030381944444444444,0.036458333333333336,0.025173611111111112,0.0,0.0,0.028645833333333332,0.025173611111111112,0.03211805555555555,0.015625,0.0,0.022569444444444444,0.0,0.0,0.0,0.035590277777777776,0.03298611111111111,0.0,0.0,0.0,0.033854166666666664,0.0026041666666666665,0.0078125,0.0234375,0.0
P3,0.0,0.0,0.027190332326283987,0.01812688821752266,0.0,0.01812688821752266,0.011077542799597181,0.0,0.0,0.028197381671701913,0.0,0.03927492447129909,0.038267875125881166,0.027190332326283987,0.002014098690835851,0.03121852970795569,0.005035246727089627,0.03927492447129909,0.035246727089627394,0.0,0.025176233635448138,0.0,0.03726082578046324,0.0,0.01812688821752266,0.03423967774420947,0.004028197381671702,0.01812688821752266,0.038267875125881166,0.03927492447129909,0.0,0.0,0.038267875125881166,0.0,0.0,0.0,0.035246727089627394,0.035246727089627394,0.035246727089627394,0.03726082578046324,0.023162134944612285,0.0,0.0,0.03423967774420947,0.023162134944612285,0.03423967774420947,0.012084592145015106,0.0,0.02014098690835851,0.0,0.0,0.0,0.035246727089627394,0.03323262839879154,0.0,0.0,0.0,0.03323262839879154,0.004028197381671702,0.0030211480362537764,0.028197381671701913,0.0
P7,0.0,0.0,0.03048065650644783,0.03048065650644783,0.0011723329425556857,0.005861664712778429,0.012895662368112544,0.0,0.0,0.017584994138335287,0.0,0.03634232121922626,0.029308323563892145,0.038686987104337635,0.0,0.023446658851113716,0.0,0.032825322391559206,0.03985932004689332,0.005861664712778429,0.038686987104337635,0.0,0.029308323563892145,0.0,0.005861664712778429,0.0246189917936694,0.0,0.03048065650644783,0.03985932004689332,0.03048065650644783,0.0,0.0,0.029308323563892145,0.0,0.0,0.0,0.03751465416178194,0.03048065650644783,0.029308323563892145,0.03634232121922626,0.03634232121922626,0.0,0.0,0.0246189917936694,0.03634232121922626,0.03399765533411489,0.023446658851113716,0.0,0.032825322391559206,0.0,0.0,0.0,0.038686987104337635,0.03634232121922626,0.0,0.0,0.0,0.03985932004689332,0.0,0.012895662368112544,0.017584994138335287,0.0
O1,0.043912175648702596,0.0,0.0,0.0,0.021956087824351298,0.02594810379241517,0.0,0.0,0.021956087824351298,0.029940119760479042,0.04790419161676647,0.005988023952095809,0.007984031936127744,0.0,0.05588822355289421,0.001996007984031936,0.05788423153692615,0.005988023952095809,0.0,0.0,0.0,0.0,0.003992015968063872,0.0,0.01996007984031936,0.017964071856287425,0.05788423153692615,0.0,0.003992015968063872,0.013972055888223553,0.03992015968063872,0.023952095808383235,0.013972055888223553,0.041916167664670656,0.043912175648702596,0.0499001996007984,0.0,0.0,0.0,0.001996007984031936,0.0,0.029940119760479042,0.043912175648702596,0.013972055888223553,0.0,0.0,0.0,0.05189620758483034,0.0,0.0,0.0,0.01996007984031936,0.0,0.0,0.001996007984031936,0.04590818363273453,0.01996007984031936,0.0,0.05788423153692615,0.0,0.005988023952095809,0.04790419161676647
