,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.03773584905660377,0.0,0.0,0.04150943396226415,0.0,0.04150943396226415,0.0,0.04150943396226415,0.0,0.04150943396226415,0.04150943396226415,0.04150943396226415,0.04150943396226415,0.0,0.03018867924528302,0.0037735849056603774,0.04150943396226415,0.0,0.0,0.0,0.0,0.04150943396226415,0.04150943396226415,0.04150943396226415,0.0,0.04150943396226415,0.04150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.01509433962264151,0.04150943396226415,0.0,0.0,0.0,0.04150943396226415,0.0,0.0,0.0,0.0037735849056603774,0.022641509433962263,0.0,0.04150943396226415,0.0,0.0,0.04150943396226415,0.026415094339622643,0.0,0.0,0.0,0.04150943396226415,0.0,0.0,0.0,0.04150943396226415,0.0,0.0,0.04150943396226415,0.03018867924528302
Fz,0.0,0.06258148631029987,0.01303780964797914,0.0,0.0,0.0,0.03650586701434159,0.0,0.0,0.0,0.0,0.007822685788787484,0.0,0.04041720990873533,0.0,0.0,0.0,0.03259452411994785,0.0,0.0,0.0651890482398957,0.0,0.0,0.0,0.03259452411994785,0.0,0.001303780964797914,0.0,0.02607561929595828,0.0,0.0,0.0,0.02607561929595828,0.0,0.0,0.05997392438070404,0.03259452411994785,0.03389830508474576,0.0,0.06388526727509779,0.035202086049543675,0.048239895697522815,0.0,0.0,0.03911342894393742,0.0,0.024771838331160364,0.027379400260756193,0.0,0.0,0.06388526727509779,0.018252933507170794,0.0,0.0,0.06388526727509779,0.03650586701434159,0.05997392438070404,0.0,0.0,0.048239895697522815,0.0,0.0
F3,0.0,0.046511627906976744,0.05426356589147287,0.003875968992248062,0.0,0.0,0.01937984496124031,0.007751937984496124,0.0,0.011627906976744186,0.0,0.03875968992248062,0.0,0.046511627906976744,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.03488372093023256,0.007751937984496124,0.01937984496124031,0.0,0.050387596899224806,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.031007751937984496,0.04263565891472868,0.05813953488372093,0.0,0.05813953488372093,0.015503875968992248,0.027131782945736434,0.0,0.0,0.05426356589147287,0.0,0.01937984496124031,0.05813953488372093,0.0,0.0,0.050387596899224806,0.0,0.0,0.003875968992248062,0.050387596899224806,0.027131782945736434,0.031007751937984496,0.0,0.0,0.027131782945736434,0.0,0.0
F7,0.014641288433382138,0.0,0.004392386530014641,0.05856515373352855,0.0,0.055636896046852125,0.0,0.06149341142020498,0.0,0.027818448023426062,0.04538799414348463,0.04685212298682284,0.04978038067349927,0.0,0.01171303074670571,0.0014641288433382138,0.04538799414348463,0.0,0.0,0.0,0.0,0.03806734992679356,0.048316251830161056,0.043923865300146414,0.0,0.06149341142020498,0.027818448023426062,0.0,0.0,0.0,0.0,0.0,0.0,0.005856515373352855,0.0527086383601757,0.0,0.0,0.007320644216691069,0.03806734992679356,0.0029282576866764276,0.0,0.0,0.0014641288433382138,0.008784773060029283,0.0014641288433382138,0.043923865300146414,0.0,0.004392386530014641,0.03806734992679356,0.010248901903367497,0.0,0.0,0.0,0.04538799414348463,0.0,0.0,0.0,0.01903367496339678,0.0,0.0,0.05124450951683748,0.02635431918008785
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.014104372355430184,0.0,0.0,0.05500705218617771,0.0,0.06205923836389281,0.0,0.056417489421720736,0.0,0.022566995768688293,0.05218617771509168,0.04231311706629055,0.0465444287729196,0.0,0.011283497884344146,0.0014104372355430183,0.047954866008462625,0.0,0.0,0.0,0.0,0.04231311706629055,0.05500705218617771,0.04231311706629055,0.0,0.05782792665726375,0.022566995768688293,0.0,0.0,0.0,0.0,0.0,0.0,0.005641748942172073,0.05923836389280677,0.0,0.0,0.0028208744710860366,0.0380818053596615,0.0,0.0,0.0,0.0014104372355430183,0.00846262341325811,0.0,0.05077574047954866,0.0,0.0,0.045133991537376586,0.009873060648801129,0.0,0.0,0.0,0.04090267983074753,0.0,0.0,0.0,0.018335684062059238,0.0,0.0,0.0535966149506347,0.03385049365303244
FC1,0.0,0.049523809523809526,0.005714285714285714,0.0,0.0,0.0,0.05142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.03428571428571429,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.0,0.024761904761904763,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.05333333333333334,0.03428571428571429,0.03619047619047619,0.0,0.049523809523809526,0.05142857142857143,0.05142857142857143,0.0,0.0,0.04380952380952381,0.0,0.03428571428571429,0.02666666666666667,0.0,0.0,0.049523809523809526,0.02666666666666667,0.0,0.0,0.049523809523809526,0.047619047619047616,0.05333333333333334,0.0,0.0,0.05142857142857143,0.0,0.0
C3,0.014619883040935672,0.0,0.005847953216374269,0.05701754385964912,0.0,0.054093567251461985,0.0,0.06140350877192982,0.0,0.029239766081871343,0.043859649122807015,0.05116959064327485,0.049707602339181284,0.0,0.011695906432748537,0.0014619883040935672,0.043859649122807015,0.0,0.0,0.0,0.0,0.03654970760233918,0.04678362573099415,0.04239766081871345,0.0,0.06286549707602339,0.029239766081871343,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.005847953216374269,0.05116959064327485,0.0,0.0,0.008771929824561403,0.03654970760233918,0.0043859649122807015,0.0,0.0,0.0014619883040935672,0.008771929824561403,0.0029239766081871343,0.04239766081871345,0.0,0.005847953216374269,0.03654970760233918,0.01023391812865497,0.0014619883040935672,0.0,0.0,0.04532163742690058,0.0014619883040935672,0.0,0.0,0.019005847953216373,0.0,0.0,0.049707602339181284,0.024853801169590642
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.02557544757033248,0.0025575447570332483,0.01278772378516624,0.04603580562659847,0.0,0.03836317135549872,0.0,0.04859335038363171,0.0,0.05115089514066496,0.03324808184143223,0.05370843989769821,0.043478260869565216,0.0025575447570332483,0.020460358056265986,0.0025575447570332483,0.03580562659846547,0.0025575447570332483,0.0,0.0,0.0025575447570332483,0.030690537084398978,0.03324808184143223,0.03580562659846547,0.0,0.04859335038363171,0.05370843989769821,0.0,0.005115089514066497,0.0,0.0,0.0,0.0,0.010230179028132993,0.03580562659846547,0.0,0.0,0.017902813299232736,0.03324808184143223,0.010230179028132993,0.0,0.0,0.0025575447570332483,0.015345268542199489,0.0076726342710997444,0.030690537084398978,0.0,0.01278772378516624,0.028132992327365727,0.017902813299232736,0.005115089514066497,0.0,0.0,0.04603580562659847,0.005115089514066497,0.0,0.0,0.03324808184143223,0.0,0.0,0.03836317135549872,0.020460358056265986
