,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.026785714285714284,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.017857142857142856,0.0,0.0,0.0,0.008928571428571428,0.0,0.03571428571428571,0.03571428571428571,0.0
Fz,0.0,0.041749502982107355,0.0437375745526839,0.013916500994035786,0.019880715705765408,0.0,0.0437375745526839,0.0,0.04572564612326044,0.0,0.0,0.0,0.0,0.04572564612326044,0.0,0.0,0.0,0.0,0.04572564612326044,0.033797216699801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437375745526839,0.013916500994035786,0.011928429423459244,0.0,0.03578528827037773,0.0,0.0,0.041749502982107355,0.0,0.04572564612326044,0.0,0.04572564612326044,0.0,0.04572564612326044,0.0,0.017892644135188866,0.04572564612326044,0.041749502982107355,0.04572564612326044,0.0,0.017892644135188866,0.0,0.0437375745526839,0.0,0.039761431411530816,0.0019880715705765406,0.04572564612326044,0.03578528827037773,0.04572564612326044,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.040983606557377046,0.0430327868852459,0.012295081967213115,0.020491803278688523,0.0,0.0430327868852459,0.0,0.045081967213114756,0.0,0.0,0.0,0.0,0.0471311475409836,0.0,0.0,0.0,0.0,0.045081967213114756,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0430327868852459,0.012295081967213115,0.012295081967213115,0.0,0.03483606557377049,0.0,0.0,0.040983606557377046,0.0,0.0471311475409836,0.0,0.0471311475409836,0.0,0.045081967213114756,0.0,0.01639344262295082,0.0471311475409836,0.040983606557377046,0.0471311475409836,0.0,0.018442622950819672,0.0,0.0430327868852459,0.0,0.040983606557377046,0.0020491803278688526,0.0471311475409836,0.036885245901639344,0.0471311475409836,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.038834951456310676,0.038834951456310676,0.03398058252427184,0.03398058252427184,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.038834951456310676,0.038834951456310676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038834951456310676,0.03398058252427184,0.02912621359223301,0.0,0.038834951456310676,0.0,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,0.038834951456310676,0.0,0.038834951456310676,0.038834951456310676,0.038834951456310676,0.038834951456310676,0.0,0.024271844660194174,0.0,0.038834951456310676,0.0,0.03398058252427184,0.0,0.038834951456310676,0.03398058252427184,0.038834951456310676,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.04048582995951417,0.04048582995951417,0.020242914979757085,0.032388663967611336,0.0,0.04048582995951417,0.0,0.04048582995951417,0.0,0.0,0.0,0.0,0.04048582995951417,0.0,0.0,0.0,0.0,0.04048582995951417,0.03643724696356275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04048582995951417,0.020242914979757085,0.020242914979757085,0.0,0.04048582995951417,0.0,0.0,0.04048582995951417,0.0,0.04048582995951417,0.0,0.04048582995951417,0.0,0.04048582995951417,0.0,0.02834008097165992,0.04048582995951417,0.04048582995951417,0.04048582995951417,0.0,0.032388663967611336,0.0,0.04048582995951417,0.0,0.04048582995951417,0.0,0.04048582995951417,0.04048582995951417,0.04048582995951417,0.0,0.0,0.0,0.0,0.0
FC5,0.005226480836236934,0.0,0.0,0.0,0.0,0.06620209059233449,0.0,0.006968641114982578,0.0017421602787456446,0.04529616724738676,0.06620209059233449,0.033101045296167246,0.04878048780487805,0.0,0.06445993031358885,0.05226480836236934,0.003484320557491289,0.0,0.0,0.0,0.020905923344947737,0.006968641114982578,0.05226480836236934,0.017421602787456445,0.04878048780487805,0.06620209059233449,0.029616724738675958,0.02613240418118467,0.0,0.0,0.0,0.0,0.0,0.02613240418118467,0.06445993031358885,0.0,0.01916376306620209,0.0,0.0017421602787456446,0.0,0.017421602787456445,0.0,0.0627177700348432,0.0,0.0,0.0,0.0,0.017421602787456445,0.0,0.03484320557491289,0.0,0.006968641114982578,0.0,0.003484320557491289,0.0,0.0,0.0,0.0017421602787456446,0.0,0.04355400696864112,0.03832752613240418,0.0
FC1,0.0,0.04198473282442748,0.04389312977099236,0.013358778625954198,0.019083969465648856,0.0,0.04389312977099236,0.0,0.04770992366412214,0.0,0.0,0.0,0.0,0.04580152671755725,0.0,0.0,0.0,0.0,0.04580152671755725,0.03244274809160305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389312977099236,0.013358778625954198,0.011450381679389313,0.0,0.03625954198473282,0.0,0.0,0.04198473282442748,0.0,0.04770992366412214,0.0,0.04580152671755725,0.0,0.04580152671755725,0.0,0.01717557251908397,0.04580152671755725,0.04198473282442748,0.04580152671755725,0.0,0.01717557251908397,0.0,0.04389312977099236,0.0,0.04007633587786259,0.0019083969465648854,0.04580152671755725,0.03435114503816794,0.04580152671755725,0.0,0.0,0.0,0.0,0.0
C3,0.022727272727272728,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.030303030303030304,0.0,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.0,0.03787878787878788,0.03787878787878788,0.015151515151515152,0.0,0.0,0.0,0.03787878787878788,0.030303030303030304,0.03787878787878788,0.030303030303030304,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.03787878787878788,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.03787878787878788,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.03787878787878788,0.0,0.030303030303030304,0.0,0.015151515151515152,0.0,0.0,0.0,0.007575757575757576,0.0,0.03787878787878788,0.03787878787878788,0.0
T7,0.0,0.037520391517128875,0.037520391517128875,0.013050570962479609,0.01631321370309951,0.0,0.040783034257748776,0.0,0.06525285481239804,0.0,0.0,0.0,0.0,0.05057096247960848,0.0,0.0,0.0,0.0,0.04241435562805873,0.02936378466557912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037520391517128875,0.013050570962479609,0.009787928221859706,0.0,0.03262642740619902,0.0,0.0,0.03915171288743882,0.0,0.06035889070146819,0.0,0.04241435562805873,0.0,0.05057096247960848,0.0,0.01468189233278956,0.05546492659053834,0.037520391517128875,0.04241435562805873,0.0,0.01468189233278956,0.0,0.040783034257748776,0.0,0.03425774877650897,0.0016313213703099511,0.05546492659053834,0.02936378466557912,0.05546492659053834,0.0,0.0,0.0,0.0,0.0
TP9,0.006211180124223602,0.0,0.0,0.0,0.0,0.053830227743271224,0.0,0.008281573498964804,0.002070393374741201,0.049689440993788817,0.053830227743271224,0.037267080745341616,0.049689440993788817,0.0,0.053830227743271224,0.051759834368530024,0.004140786749482402,0.0,0.0,0.0,0.024844720496894408,0.008281573498964804,0.051759834368530024,0.020703933747412008,0.051759834368530024,0.053830227743271224,0.035196687370600416,0.031055900621118012,0.0,0.0,0.0,0.0,0.0,0.031055900621118012,0.053830227743271224,0.0,0.022774327122153208,0.0,0.002070393374741201,0.0,0.020703933747412008,0.0,0.053830227743271224,0.0,0.0,0.0,0.0,0.020703933747412008,0.0,0.041407867494824016,0.0,0.008281573498964804,0.0,0.004140786749482402,0.0,0.0,0.0,0.002070393374741201,0.0,0.047619047619047616,0.043478260869565216,0.0
