,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.05714285714285714,0.0,0.0,0.03968253968253968,0.0,0.03968253968253968,0.0,0.05714285714285714,0.031746031746031744,0.0,0.03015873015873016,0.0,0.03015873015873016,0.0,0.007936507936507936,0.0,0.04285714285714286,0.012698412698412698,0.0,0.0,0.0,0.023809523809523808,0.01904761904761905,0.046031746031746035,0.009523809523809525,0.03333333333333333,0.0,0.0,0.0,0.0,0.047619047619047616,0.026984126984126985,0.0,0.011111111111111112,0.05714285714285714,0.03492063492063492,0.0,0.0,0.05873015873015873,0.0,0.0,0.0,0.05873015873015873,0.0,0.0,0.04126984126984127,0.0,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0015873015873015873,0.0,0.046031746031746035,0.0,0.0380952380952381,0.0,0.0,0.05714285714285714,0.0
Fz,0.0,0.06500691562932227,0.05255878284923928,0.0,0.0027662517289073307,0.0,0.056708160442600276,0.0,0.0,0.006915629322268326,0.0,0.019363762102351315,0.0013831258644536654,0.017980636237897647,0.0013831258644536654,0.05394190871369295,0.0013831258644536654,0.0,0.004149377593360996,0.004149377593360996,0.02351313969571231,0.0,0.0013831258644536654,0.0,0.0,0.0013831258644536654,0.03319502074688797,0.004149377593360996,0.024896265560165973,0.04426002766251729,0.0,0.0,0.056708160442600276,0.0,0.0,0.0,0.05394190871369295,0.04426002766251729,0.0,0.03872752420470263,0.013831258644536652,0.03319502074688797,0.0,0.0,0.04149377593360996,0.0,0.0027662517289073307,0.03734439834024896,0.004149377593360996,0.0,0.004149377593360996,0.02351313969571231,0.04979253112033195,0.017980636237897647,0.04979253112033195,0.0,0.030428769017980636,0.0,0.005532503457814661,0.05394190871369295,0.0013831258644536654,0.016597510373443983
F3,0.0,0.056439942112879886,0.05209840810419682,0.0,0.002894356005788712,0.0,0.05499276410998553,0.0,0.0,0.00723589001447178,0.0,0.020260492040520984,0.001447178002894356,0.01881331403762663,0.001447178002894356,0.05209840810419682,0.001447178002894356,0.0,0.004341534008683068,0.004341534008683068,0.024602026049204053,0.0,0.001447178002894356,0.0,0.0,0.001447178002894356,0.03473227206946455,0.004341534008683068,0.02604920405209841,0.04486251808972504,0.0,0.0,0.05499276410998553,0.0,0.0,0.0,0.05209840810419682,0.04486251808972504,0.0,0.04052098408104197,0.01447178002894356,0.03473227206946455,0.0,0.0,0.041968162083936326,0.0,0.002894356005788712,0.03907380607814761,0.004341534008683068,0.0,0.004341534008683068,0.024602026049204053,0.049204052098408106,0.01881331403762663,0.049204052098408106,0.0,0.03183791606367583,0.0,0.005788712011577424,0.05209840810419682,0.001447178002894356,0.017366136034732273
F7,0.04816955684007707,0.0,0.0,0.04431599229287091,0.0,0.04431599229287091,0.0,0.046242774566473986,0.038535645472061654,0.0,0.036608863198458574,0.0,0.03468208092485549,0.0,0.007707129094412331,0.0,0.04238921001926782,0.01348747591522158,0.0,0.0,0.0,0.02697495183044316,0.02119460500963391,0.04431599229287091,0.011560693641618497,0.036608863198458574,0.0,0.0,0.0,0.0,0.046242774566473986,0.030828516377649325,0.0,0.01348747591522158,0.046242774566473986,0.04046242774566474,0.0,0.0,0.04816955684007707,0.0,0.0,0.0,0.04816955684007707,0.0,0.0,0.04816955684007707,0.0,0.0,0.0,0.046242774566473986,0.0,0.0,0.0,0.0,0.0,0.046242774566473986,0.0,0.04238921001926782,0.0,0.0,0.046242774566473986,0.0
FT9,0.0,0.03,0.03,0.0,0.02,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.02,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03
FC5,0.04788213627992634,0.0,0.0,0.04419889502762431,0.0,0.04419889502762431,0.0,0.04788213627992634,0.03683241252302026,0.0,0.034990791896869246,0.0,0.034990791896869246,0.0,0.009208103130755065,0.0,0.0423572744014733,0.014732965009208104,0.0,0.0,0.0,0.027624309392265192,0.022099447513812154,0.04419889502762431,0.011049723756906077,0.03683241252302026,0.0,0.0,0.0,0.0,0.04604051565377532,0.03130755064456722,0.0,0.01289134438305709,0.04788213627992634,0.040515653775322284,0.0,0.0,0.04788213627992634,0.0,0.0,0.0,0.04788213627992634,0.0,0.0,0.04419889502762431,0.0,0.0,0.0,0.04419889502762431,0.0,0.0,0.0,0.001841620626151013,0.0,0.04604051565377532,0.0,0.0423572744014733,0.0,0.0,0.04788213627992634,0.0
FC1,0.0,0.05982905982905983,0.05270655270655271,0.0,0.002849002849002849,0.0,0.05555555555555555,0.0,0.0,0.007122507122507123,0.0,0.019943019943019943,0.0014245014245014246,0.018518518518518517,0.0014245014245014246,0.05270655270655271,0.0014245014245014246,0.0,0.004273504273504274,0.004273504273504274,0.024216524216524215,0.0,0.0014245014245014246,0.0,0.0,0.0014245014245014246,0.03418803418803419,0.004273504273504274,0.02564102564102564,0.04415954415954416,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05270655270655271,0.04415954415954416,0.0,0.039886039886039885,0.014245014245014245,0.03418803418803419,0.0,0.0,0.04131054131054131,0.0,0.002849002849002849,0.038461538461538464,0.004273504273504274,0.0,0.004273504273504274,0.024216524216524215,0.04985754985754986,0.018518518518518517,0.04985754985754986,0.0,0.03133903133903134,0.0,0.005698005698005698,0.05270655270655271,0.0014245014245014246,0.017094017094017096
C3,0.05692307692307692,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.06,0.03076923076923077,0.0,0.02923076923076923,0.0,0.02923076923076923,0.0,0.007692307692307693,0.0,0.04153846153846154,0.012307692307692308,0.0,0.0,0.0,0.023076923076923078,0.018461538461538463,0.04461538461538461,0.009230769230769232,0.03230769230769231,0.0,0.0,0.0,0.0,0.046153846153846156,0.026153846153846153,0.0,0.010769230769230769,0.06153846153846154,0.033846153846153845,0.0,0.0,0.06461538461538462,0.0,0.0,0.0,0.06307692307692307,0.0,0.0,0.04,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0015384615384615385,0.0,0.04461538461538461,0.0,0.036923076923076927,0.0,0.0,0.06,0.0
T7,0.04576659038901602,0.0,0.0,0.04576659038901602,0.0,0.043478260869565216,0.0,0.04576659038901602,0.041189931350114416,0.0,0.041189931350114416,0.0,0.034324942791762014,0.0,0.006864988558352402,0.0,0.041189931350114416,0.013729977116704805,0.0,0.0,0.0,0.029748283752860413,0.02288329519450801,0.043478260869565216,0.013729977116704805,0.036613272311212815,0.0,0.0,0.0,0.0,0.04576659038901602,0.032036613272311214,0.0,0.013729977116704805,0.04576659038901602,0.041189931350114416,0.0,0.0,0.04576659038901602,0.0,0.0,0.0,0.04576659038901602,0.0,0.0,0.04576659038901602,0.0,0.0,0.0,0.04576659038901602,0.0,0.0,0.0,0.0,0.0,0.04576659038901602,0.0,0.041189931350114416,0.0,0.0,0.04576659038901602,0.0
TP9,0.0,0.03571428571428571,0.03571428571428571,0.0,0.011904761904761904,0.0,0.03571428571428571,0.0,0.0,0.02976190476190476,0.0,0.02976190476190476,0.0,0.02976190476190476,0.0,0.03571428571428571,0.0,0.0,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.02976190476190476,0.017857142857142856,0.02976190476190476,0.02976190476190476,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.02976190476190476,0.02976190476190476,0.0,0.0,0.02976190476190476,0.0,0.011904761904761904,0.03571428571428571,0.017857142857142856,0.0,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.02976190476190476,0.0,0.023809523809523808,0.03571428571428571,0.0,0.02976190476190476
