,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.5977443609022557,0.014473684210526316,0.0,0.00037593984962406017,0.006203007518796992,0.0,0.0,0.0,0.008646616541353383,0.003947368421052632,0.03214285714285714,0.015977443609022556,0.009774436090225564,0.011466165413533834,0.014285714285714285,0.007518796992481203,0.006015037593984963,0.004135338345864661,0.0020676691729323306,0.003947368421052632,0.006390977443609023,0.009398496240601503,0.0,0.0,0.0,0.0,0.010150375939849625,0.02894736842105263,0.002631578947368421,0.0033834586466165413,0.0,0.002443609022556391,0.0031954887218045114,0.014097744360902255,0.009210526315789473,0.026879699248120302,0.003947368421052632,0.0,0.003947368421052632,0.0,0.02330827067669173,0.0,0.002443609022556391,0.015601503759398496,0.007518796992481203,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.002819548872180451,0.002443609022556391,0.0,0.0,0.002631578947368421,0.013721804511278196,0.0,0.0,0.02218045112781955,0.003947368421052632,0.010150375939849625,0.0,0.009398496240601503,0.0,0.0018796992481203006,0.014849624060150377
bankssts-rh,0.0012266125866806229,0.019838414235247938,0.008668062279209734,0.012364254873740677,0.0,0.005936804919534214,0.0029929347115007195,0.0005233547036503991,0.015406254088708621,0.0057896114091325395,0.008684417113698809,0.010614287583409656,0.015880544288891796,0.00045793536569409916,0.015095512233416198,0.0028948057045662698,0.014801125212612848,0.0,0.011693706659688604,0.004154127960225042,0.012037158183959179,0.014310480177940598,0.0,0.004055998953290593,0.007506869030485411,0.006950804657856862,0.01615857647520607,0.010385319900562606,0.010843255266256705,0.013639931963888526,0.0,0.01095773910768023,0.0,0.0,0.015782415281957347,0.010516158576475206,0.001651838283396572,0.0008668062279209735,0.002289676828470496,0.004988224519167866,0.0,0.00816106241004841,0.004791966505298967,0.0,0.011742771163155828,0.009387674996729033,0.013476383618997776,0.005576998560774565,0.0,0.003385450739238519,0.005576998560774565,0.0025349993458066203,0.010548868245453357,0.010385319900562606,0.006329320947272014,0.007539578699463562,0.009747481355488682,0.0,0.006819965981944263,0.003336386235771294,0.016305769985607746,0.012200706528849928,0.015438963757686773,0.007294256182127437,0.012674996729033102,0.0,0.0024041606698940207,0.014375899515896899
caudalanteriorcingulate-lh,0.0,0.008268668108383158,0.05000303352776769,0.03924388184784881,0.003005126392080608,0.034906341910241445,0.004455243738334325,0.0023056862994529958,0.020249334732069225,0.007722427914194204,0.01115009504116704,0.02101052195634342,0.02089612377890669,0.021762396655140986,0.01368398459471608,0.013520606412320018,0.01876783645179163,0.021742152523392514,0.026644717927679123,0.020066122809931808,0.019448274832308765,0.020599151754576495,0.0005303164221318721,0.008645318021986082,0.014152531397968102,0.01462255954771158,0.022768337737195617,0.027484385596054588,0.02900161890089735,0.017497181281528086,0.0,0.006996565322478056,0.0038006010252784163,0.004463496552943256,0.022398686974947,0.027195062041939277,0.007557009015379176,0.007026692593247304,0.00499898784963066,0.007632616715430607,0.011887926462789465,0.020330699163836966,0.0016343215175590325,0.0020328796181721762,0.013909076177908826,0.004197939193486834,0.026299642900487002,0.020089889004590702,0.0,0.00438543774446574,0.023570822765364364,0.013644100675613183,0.029863183512666397,0.018400454089198805,0.015263569375599466,0.01195776618750795,0.017018068289544806,0.0,0.02767809624522346,0.020508064405325002,0.015414112969608481,0.014223990203481803,0.014776420008627451,0.016340308700690587,0.013261671543060679,0.0,0.01122028893980948,0.005867574099987279
caudalanteriorcingulate-rh,0.0,0.010094157870458307,0.03457197304921423,0.04783169277439141,0.009442983504661726,0.023451968643809544,0.008382129164628986,0.001967275391419966,0.020486149129482923,0.007931305829597224,0.009920544888723475,0.019601712287750612,0.020915155833914383,0.018963749638388726,0.020126696381957614,0.013103610645985534,0.018708461868900822,0.019036234607017827,0.027045972839950153,0.019891484583212413,0.02241481538787512,0.023283820901565496,0.005339070842298191,0.0092435763223787,0.01447940549317265,0.01165202357643988,0.022621572263146938,0.025099990800018016,0.026662128150159448,0.0178207383153877,0.0,0.008099747646053238,0.005657821340345844,0.010717985496852338,0.021340728789459053,0.026653208619833245,0.007679722097793873,0.008634256717493438,0.003970793267154484,0.006620899248365127,0.013267989481233564,0.017717370148726107,0.003947615462168643,0.0037851621643158815,0.015070489253450383,0.005684747510379074,0.028482234534662598,0.021446398735522405,0.0,0.0035278839881212444,0.02324983911275544,0.01658392488685554,0.025590972563466333,0.015142974222079487,0.016130840856319283,0.009958483705532793,0.015226974574648517,0.0,0.02034431886689954,0.022222337329211563,0.01586531346601689,0.01301615600258108,0.014788483976881123,0.015550708116971745,0.01284834341844626,0.0,0.013907710088936105,0.007177163324559737
caudalmiddlefrontal-lh,0.009039256198347107,0.0,0.005700871898054996,0.0198692152917505,0.21066256353548288,0.0,0.04207320368491943,0.007573505772929589,0.0049463447350771295,0.0077872538259862204,0.0,0.0013413816230717639,0.0049463447350771295,0.009054325955734407,0.022132796780684104,0.005700871898054996,0.0,0.020358376152230184,0.010647216633132126,0.001006036217303823,0.017773306505700873,0.01886317907444668,0.03997331094002029,0.04326007699087084,0.018355830575740945,0.0,0.0049463447350771295,0.008551307847082495,0.007629107981220657,0.006455399061032864,0.0,0.0,0.005700871898054996,0.0492910978266292,0.0049463447350771295,0.01006036217303823,0.010647216633132126,0.014481863633592187,0.0416198984540854,0.01641806763445688,0.036950871898054995,0.0,0.009221998658618377,0.04130637821418871,0.002766599597585513,0.0,0.005700871898054996,0.005700871898054996,0.0030181086519114686,0.004610999329309189,0.03539210469428139,0.04128091552067224,0.0041918175720992625,0.0,0.04004883294255893,0.0,0.0049463447350771295,0.008264462809917356,0.005700871898054996,0.022005656528703905,0.0049463447350771295,0.0,0.0026827632461435278,0.005700871898054996,0.0,0.0,0.01374916163648558,0.0
caudalmiddlefrontal-rh,0.0,0.007730619315721091,0.05284084473343893,0.039933583090794006,0.0,0.07578166311817243,0.0016024252923343438,0.0011909917713295798,0.019539442800594813,0.007969635388431404,0.013736064714843406,0.018002192696865718,0.019894060032648167,0.02643096184889169,0.012797747942832395,0.012332496433839006,0.02127954765027091,0.027026170018807524,0.024470709022463028,0.024538488795743017,0.017279632450702177,0.016834823902818707,0.0,0.005713398770999464,0.011315527261824361,0.013899366116776252,0.02044992685962803,0.028578108768667454,0.026115261957617958,0.016308364653968812,0.0,0.008207016024252924,0.0,0.0,0.022358299993639967,0.030198221008095414,0.00233292043599536,0.002307692307692308,0.0036162841056734518,0.005110437418796016,0.00993006993006993,0.022976949425628508,0.0021437851883932438,0.0,0.0184525435586501,0.0030965786054569077,0.026794695127306648,0.02126982588654308,0.0,0.005468052951812155,0.022325924400415524,0.009578602428320922,0.03084685344971183,0.01893451286695115,0.014341176363696936,0.009852750108271979,0.01576085672664278,0.0,0.026069772583414853,0.02340488874486276,0.012926493169022403,0.01518294178753252,0.013393743545324315,0.011606756171502815,0.011152013858813339,0.002167832167832168,0.007908245933365032,0.006691208315288004
cuneus-lh,0.0,0.007768240343347639,0.008067386766587527,0.01289579762350451,0.013892582432727996,0.003090128755364807,0.09592521861892009,0.03623668099203571,0.012551509532610063,0.011280541700011854,0.008412272998991447,0.007846211332043124,0.014681102295530189,0.012359145781859232,0.029065450733858376,0.004457534294947902,0.0056223175965665236,0.006457431241651692,0.010369251490759615,0.007215258517841373,0.03706204781312618,0.03038651832276797,0.054015947317425414,0.010004017637247353,0.004874835285881014,0.016698013845894963,0.018673714887562008,0.015748078650563928,0.0077891861059654535,0.010577602915471435,0.0,0.0028755364806866955,0.004506437768240343,0.02248507979243769,0.012418051910755845,0.011175895761951209,0.01306430777911859,0.010343347639484978,0.024944255733600745,0.013016175403916674,0.009699570815450644,0.009871244635193134,0.029444279695293743,0.045484067636112326,0.006485046642426321,0.00871244635193133,0.006223175965665236,0.0015879828326180257,0.008802899040559399,0.010548791231677863,0.043629256038076394,0.04067412349748474,0.008925413555399974,0.009684779424508596,0.02045252287801192,0.0066952789699570815,0.016961765425474992,0.0,0.007811158798283262,0.02091419443850907,0.012765759497388174,0.009270386266094421,0.013674570662312004,0.0038197424892703865,0.005278969957081545,0.000944206008583691,0.008192978467265985,0.004592274678111588
cuneus-rh,0.0,0.001741755689735253,0.00818625174175569,0.00818625174175569,0.0017998142127264283,0.0030771017185322806,0.043916034099446354,0.07543134566060075,0.009398506663768414,0.011112131508862155,0.009042824231018088,0.009572202366172998,0.016566988072052667,0.016131610465902665,0.03541652546148555,0.007484617503903022,0.005515559684161635,0.0083624694095726,0.007799793866383905,0.004023947773114139,0.03780870829431663,0.0291284179242832,0.03558734196447648,0.0076223712002938745,0.008813112104465715,0.017719867503935012,0.02402996892554719,0.017229310574207485,0.0078072477937547995,0.012301912679896112,0.004316282486913399,0.0,0.0066186716209939616,0.01706920575940548,0.010150622864673747,0.010698870419689595,0.01926508584258406,0.013469577333952624,0.03555200245759931,0.006734788666976312,0.016630458423571352,0.009579656293543893,0.03477163277948485,0.052056122677269855,0.011337636805160138,0.00977955271061269,0.0031351602415234554,0.0012192289828146772,0.02117248080821644,0.010856943799349745,0.04003212738670169,0.03764427401669262,0.008525586720057403,0.012068116355656968,0.015424452430656401,0.00865071992568509,0.014199934251881834,0.0,0.012656758012076172,0.013873699630912228,0.014471592048410475,0.005059505160741011,0.0267391249545673,0.005921969345099861,0.006096144914073386,0.002072677007528189,0.0013353460287970273,0.0
entorhinal-lh,0.0005918433229312386,0.012509415689228452,0.019044726947930392,0.021838608487624027,0.002935615484127774,0.012706012356947995,0.010061960249292616,0.0063811851144928424,0.0660737957022534,0.02413393354591984,0.01760615692672246,0.009953728612934467,0.045570071280018776,0.017021164249551458,0.023823749744834193,0.003147530399225223,0.031600599331648965,0.010159791432826026,0.03508920033362404,0.013466118140984352,0.02936057469909335,0.029463076047350763,0.004776594686038412,0.0032147853222855914,0.006537178521467771,0.012204278182499211,0.03970145581817501,0.02491022896662482,0.012240147028618201,0.017412798186336644,0.0,0.0089180027978048,0.0,0.0,0.04705204612538987,0.027247586845976293,0.01375830393837869,0.00020176476918110407,0.012314564477169583,0.005407295814053589,0.0,0.009456042182287743,0.008152667339484498,0.00950343317743059,0.01657896162457247,0.006254707844614226,0.013666200365866781,0.0069945119982782735,0.0036322022091750425,0.00330856876201694,0.02003611497678378,0.009080909761901965,0.017662513460220537,0.014405257614424495,0.030192107634176527,0.008110943721080384,0.033494822962447955,0.005025375659269579,0.009533883615179626,0.0047885505218982025,0.030002547669223986,0.013515811424268583,0.016100828580652104,0.007680512213494028,0.012926396212202733,0.0,0.00197729473797482,0.00948294415151189
entorhinal-rh,0.0011069739357955116,0.017912850961054643,0.011174794823421704,0.016040523610894877,0.0031901639136992675,0.008890336857191492,0.012875058306693775,0.01150598496798738,0.03198024514635205,0.06116652195647089,0.004221954161640531,0.0,0.037633271292356094,0.023389139646955926,0.025123532966793517,0.00966086343966992,0.016837168155855866,0.013575574369432127,0.029213562003674087,0.029337227801363677,0.03138420093354394,0.03344461122983304,0.005984967987380532,0.015129060879775301,0.014544114700006347,0.0018094089264173703,0.0384108899708322,0.025411582250912494,0.005646601706179944,0.015176039595989017,0.003572422752157372,0.016101439066116534,0.0,0.0,0.0304923476844456,0.029702879276119518,0.028752113540320257,0.0,0.01966768483143722,0.0,0.002458940335900529,0.0,0.020014147027358,0.015403173424886332,0.017255307677488528,0.01853818333593875,0.012377981282077085,0.008000402535976652,0.009186229934118956,0.011343520409441503,0.017762899119608027,0.013499807066041532,0.010642920306065916,0.007603039727437911,0.017271494838004622,0.0,0.01698060684791686,0.0028680688336520078,0.002666800845325551,0.007547549562242125,0.033940605064014265,0.024714072975417396,0.018259061035063723,0.0031196538190600785,0.005585186676059173,0.0,0.004125993760692362,0.018768239911442084
