,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.046474358974358976,0.04807692307692308,0.04807692307692308,0.04807692307692308,0.028846153846153848,0.0,0.0,0.035256410256410256,0.0,0.019230769230769232,0.0,0.04326923076923077,0.04807692307692308,0.0,0.04006410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.04807692307692308,0.04807692307692308,0.0,0.04807692307692308,0.0,0.04807692307692308,0.0,0.0,0.0,0.0016025641025641025,0.0,0.0,0.0,0.04807692307692308,0.0016025641025641025,0.0,0.0,0.04807692307692308,0.0,0.04807692307692308,0.0,0.0,0.04807692307692308,0.0,0.0,0.019230769230769232,0.0,0.04807692307692308,0.04807692307692308,0.04807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.022970903522205207,0.062021439509954056,0.052833078101071976,0.06278713629402756,0.016079632465543645,0.0,0.0,0.022970903522205207,0.0,0.013782542113323124,0.0,0.02526799387442573,0.06125574272588055,0.0,0.022970903522205207,0.0,0.0015313935681470138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02679938744257274,0.0451761102603369,0.055130168453292494,0.0,0.05436447166921899,0.0,0.03905053598774885,0.0,0.0,0.0,0.006891271056661562,0.0,0.0,0.0,0.05206738131699847,0.005359877488514548,0.0,0.0,0.06125574272588055,0.0,0.06431852986217458,0.0,0.0,0.05666156202143951,0.0,0.0,0.009188361408882083,0.0,0.06431852986217458,0.05206738131699847,0.04211332312404288,0.0,0.0,0.0,0.0,0.0,0.0007656967840735069,0.0
F3,0.02527379949452401,0.05728727885425442,0.05644481887110362,0.05728727885425442,0.017691659646166806,0.0,0.0,0.02358887952822241,0.0,0.015164279696714406,0.0,0.02780117944397641,0.05560235888795282,0.0,0.02527379949452401,0.0,0.0016849199663016006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02780117944397641,0.04717775905644482,0.05812973883740522,0.0,0.05475989890480202,0.0,0.04296545914069082,0.0,0.0,0.0,0.005897219882055603,0.0,0.0,0.0,0.05307497893850042,0.005897219882055603,0.0,0.0,0.05812973883740522,0.0,0.05812973883740522,0.0,0.0,0.05728727885425442,0.0,0.0,0.010109519797809604,0.0,0.05812973883740522,0.05307497893850042,0.04633529907329402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.021567217828900073,0.0603882099209202,0.04960460100647016,0.07117181883537024,0.01509705248023005,0.0,0.0,0.02228612508986341,0.0,0.012940330697340043,0.0,0.02372393961179008,0.0704529115744069,0.0,0.021567217828900073,0.0,0.0014378145219266715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516175413371675,0.043134435657800146,0.05176132278936017,0.0,0.051042415528396834,0.0,0.03666427030913012,0.0,0.0,0.0,0.007189072609633357,0.0,0.0,0.0,0.0503235082674335,0.0050323508267433505,0.0,0.0,0.0625449317038102,0.0,0.06901509705248023,0.0,0.0,0.053199137311286844,0.0,0.0,0.008626887131560028,0.0,0.07332854061826025,0.05176132278936017,0.039539899352983465,0.0,0.0,0.0,0.0,0.0,0.0014378145219266715,0.0
FT9,0.045351473922902494,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.045351473922902494,0.0,0.0,0.047619047619047616,0.0,0.0022675736961451248,0.0,0.036281179138321996,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.006802721088435374,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.045104510451045104,0.0,0.0,0.0297029702970297,0.0,0.0462046204620462,0.0,0.0,0.0352035203520352,0.0,0.0429042904290429,0.0374037403740374,0.0,0.0,0.0407040704070407,0.027502750275027504,0.0,0.033003300330033,0.0,0.0462046204620462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374037403740374,0.0231023102310231,0.0462046204620462,0.0,0.0,0.0,0.0462046204620462,0.0,0.0176017601760176,0.025302530253025302,0.0462046204620462,0.0,0.0407040704070407,0.0,0.045104510451045104,0.0,0.0,0.033003300330033,0.0462046204620462,0.0,0.0,0.0,0.0,0.0,0.0462046204620462,0.009900990099009901,0.0407040704070407,0.0,0.0462046204620462,0.0242024202420242,0.041804180418041806
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.037267080745341616,0.049689440993788817,0.046583850931677016,0.05124223602484472,0.03260869565217391,0.0,0.0,0.049689440993788817,0.0,0.007763975155279503,0.0,0.031055900621118012,0.05124223602484472,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04813664596273292,0.049689440993788817,0.046583850931677016,0.0,0.043478260869565216,0.0,0.04503105590062112,0.0,0.0,0.0,0.017080745341614908,0.0,0.0,0.0,0.05124223602484472,0.0,0.0,0.0,0.04503105590062112,0.0,0.04813664596273292,0.0,0.0,0.04813664596273292,0.0,0.0,0.010869565217391304,0.0,0.05124223602484472,0.05124223602484472,0.03881987577639751,0.0,0.0,0.0,0.0,0.0,0.004658385093167702,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.045075125208681135,0.0,0.0,0.04340567612687813,0.0,0.045075125208681135,0.0,0.0,0.045075125208681135,0.0,0.045075125208681135,0.03672787979966611,0.0,0.0,0.041736227045075125,0.021702838063439065,0.0,0.045075125208681135,0.0,0.045075125208681135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03672787979966611,0.015025041736227046,0.045075125208681135,0.0,0.0,0.0,0.045075125208681135,0.0,0.00667779632721202,0.018363939899833055,0.045075125208681135,0.0,0.041736227045075125,0.0,0.045075125208681135,0.0,0.0,0.03005008347245409,0.045075125208681135,0.0,0.0,0.0,0.0,0.0,0.045075125208681135,0.0,0.045075125208681135,0.0,0.045075125208681135,0.0333889816360601,0.04340567612687813
TP9,0.03115264797507788,0.04984423676012461,0.04984423676012461,0.04984423676012461,0.0,0.0,0.0,0.009345794392523364,0.0,0.0529595015576324,0.0,0.0529595015576324,0.04361370716510903,0.0,0.018691588785046728,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024922118380062305,0.040498442367601244,0.0529595015576324,0.0,0.056074766355140186,0.0,0.04672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04361370716510903,0.024922118380062305,0.0,0.0,0.056074766355140186,0.0,0.056074766355140186,0.0,0.0,0.04984423676012461,0.0,0.0,0.028037383177570093,0.0,0.056074766355140186,0.040498442367601244,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
