,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.021739130434782608,0.0,0.0,0.0,0.0,0.03260869565217391,0.010869565217391304,0.03260869565217391,0.03260869565217391,0.0,0.03260869565217391,0.0,0.021739130434782608,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.03260869565217391,0.0,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.0,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.03260869565217391,0.0,0.0,0.03260869565217391,0.03260869565217391
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.06326530612244897,0.03877551020408163,0.0,0.0,0.0,0.0,0.0,0.044897959183673466,0.0,0.05510204081632653,0.004081632653061225,0.0,0.05918367346938776,0.0,0.0,0.0,0.06326530612244897,0.0,0.044897959183673466,0.06326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.05918367346938776,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.05102040816326531,0.0,0.0653061224489796,0.0,0.0,0.0,0.0653061224489796,0.0,0.06326530612244897,0.044897959183673466,0.0,0.0,0.0,0.0,0.024489795918367346,0.0,0.024489795918367346,0.0,0.05510204081632653,0.0,0.036734693877551024,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.06168831168831169,0.05844155844155844,0.0,0.0,0.0,0.0,0.0,0.05519480519480519,0.0,0.05194805194805195,0.0,0.0,0.06168831168831169,0.0,0.0,0.0,0.06168831168831169,0.0,0.03571428571428571,0.06168831168831169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06168831168831169,0.06168831168831169,0.0,0.0,0.02922077922077922,0.0,0.0,0.0,0.06168831168831169,0.0,0.06168831168831169,0.0,0.0,0.0,0.06168831168831169,0.0,0.06168831168831169,0.03571428571428571,0.0,0.0,0.0,0.0,0.01948051948051948,0.0,0.022727272727272728,0.0,0.05194805194805195,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0029806259314456036,0.0,0.0,0.0,0.0,0.05514157973174367,0.0014903129657228018,0.037257824143070044,0.01639344262295082,0.0,0.00894187779433681,0.0,0.022354694485842028,0.05812220566318927,0.0,0.0,0.0,0.007451564828614009,0.0,0.014903129657228018,0.0,0.0,0.05663189269746647,0.03278688524590164,0.02384500745156483,0.044709388971684055,0.03576751117734724,0.004470938897168405,0.02384500745156483,0.0,0.0,0.0,0.0,0.0,0.05812220566318927,0.011922503725782414,0.0,0.0014903129657228018,0.05812220566318927,0.0,0.02384500745156483,0.0,0.044709388971684055,0.0,0.03576751117734724,0.0,0.0,0.00894187779433681,0.005961251862891207,0.00894187779433681,0.01788375558867362,0.0,0.05812220566318927,0.0,0.05365126676602087,0.0,0.005961251862891207,0.0,0.04769001490312966,0.0,0.0,0.05812220566318927,0.05365126676602087
FC1,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.016129032258064516,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903
C3,0.003883495145631068,0.0,0.0,0.0,0.0,0.04660194174757282,0.001941747572815534,0.04660194174757282,0.021359223300970873,0.0,0.011650485436893204,0.0,0.031067961165048542,0.04854368932038835,0.0,0.0,0.0,0.011650485436893204,0.0,0.019417475728155338,0.0,0.0,0.04660194174757282,0.03495145631067961,0.03300970873786408,0.05048543689320388,0.04466019417475728,0.005825242718446602,0.03300970873786408,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.015533980582524271,0.0,0.003883495145631068,0.05048543689320388,0.0,0.015533980582524271,0.0,0.040776699029126215,0.0,0.031067961165048542,0.0,0.0,0.011650485436893204,0.007766990291262136,0.011650485436893204,0.02330097087378641,0.0,0.05048543689320388,0.0,0.05048543689320388,0.0,0.007766990291262136,0.0,0.04854368932038835,0.0,0.0,0.04854368932038835,0.04271844660194175
T7,0.006514657980456026,0.0,0.0,0.0,0.0,0.03908794788273615,0.003257328990228013,0.03908794788273615,0.035830618892508145,0.0,0.019543973941368076,0.0,0.035830618892508145,0.03908794788273615,0.0,0.0,0.0,0.003257328990228013,0.0,0.03257328990228013,0.0,0.0,0.03908794788273615,0.03908794788273615,0.03908794788273615,0.03908794788273615,0.03908794788273615,0.009771986970684038,0.03908794788273615,0.0,0.0,0.0,0.0,0.0,0.03908794788273615,0.026058631921824105,0.0,0.0,0.03908794788273615,0.0,0.02280130293159609,0.0,0.03908794788273615,0.0,0.035830618892508145,0.0,0.0,0.019543973941368076,0.013029315960912053,0.019543973941368076,0.03908794788273615,0.0,0.03908794788273615,0.0,0.03908794788273615,0.0,0.013029315960912053,0.0,0.03908794788273615,0.0,0.0,0.03908794788273615,0.03908794788273615
TP9,0.0,0.0,0.05804749340369393,0.0395778364116095,0.0,0.0,0.0,0.0,0.0,0.055408970976253295,0.0,0.05804749340369393,0.0,0.0,0.05804749340369393,0.0,0.0,0.0,0.05804749340369393,0.0,0.044854881266490766,0.05804749340369393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044854881266490766,0.05804749340369393,0.0,0.0,0.0395778364116095,0.0,0.0,0.0,0.052770448548812667,0.0,0.05804749340369393,0.0,0.0,0.0,0.05804749340369393,0.0,0.05804749340369393,0.044854881266490766,0.0,0.0,0.0,0.0,0.0316622691292876,0.0,0.0316622691292876,0.0,0.05804749340369393,0.0,0.03430079155672823,0.0,0.0,0.0,0.0,0.0
