,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.5012398368618914,0.0,0.0,0.0,0.0,0.5346558259860176,0.0,0.0,0.0,0.5346558259860176,0.0,0.0,0.0,0.5346558259860176,0.0,0.0,0.5346558259860176,0.5346558259860176,0.0,0.0,0.4344078586136393,0.40099186948951315,0.0,0.0,0.0,0.0,0.5346558259860176,0.5346558259860176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346558259860176,0.0,0.0,0.0,0.0,0.0,0.0,0.0668319782482522,0.0,0.4344078586136393,0.4678238477377654,0.0,0.0,0.5346558259860176,0.5012398368618914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4678238477377654,0.0,0.0,0.0,0.0,0.3675758803653871,0.0,0.0
bankssts-rh,0.0,0.36846589460355994,0.0,0.0,0.0,0.0,0.36846589460355994,0.3889362220815355,0.0,0.3889362220815355,0.0,0.0,0.0,0.0,0.3889362220815355,0.0,0.3889362220815355,0.0,0.3889362220815355,0.36846589460355994,0.3889362220815355,0.3889362220815355,0.36846589460355994,0.0,0.0,0.0,0.3889362220815355,0.0,0.0,0.20470327477975553,0.0,0.0,0.0,0.0,0.3889362220815355,0.0,0.3889362220815355,0.0,0.0,0.0,0.3479955671255844,0.0,0.3889362220815355,0.20470327477975553,0.2251736022577311,0.0,0.0,0.0,0.0,0.0,0.3479955671255844,0.3889362220815355,0.0,0.0,0.0,0.0,0.0,0.28658458469165776,0.3889362220815355,0.0,0.0,0.20470327477975553,0.0,0.0,0.0,0.0,0.10235163738987776,0.0
caudalanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,-0.4319687353199075,0.0,-0.22626933754852294,-0.20569939777138452,-0.22626933754852294,0.0,0.0,0.0,-0.3291190364342152,-0.34968897621135364,0.0,-0.2468392773256614,-0.4319687353199075,-0.34968897621135364,-0.37025891598849214,0.0,-0.34968897621135364,-0.30854909665707675,0.0,0.0,0.0,0.0,-0.2879791568799383,-0.2879791568799383,0.0,0.0,0.0,0.0,0.0,0.0,-0.41139879554276904,-0.3291190364342152,0.0,-0.41139879554276904,0.0,-0.2879791568799383,-0.4319687353199075,0.0,-0.10284969888569226,-0.0411398795542769,-0.41139879554276904,-0.2468392773256614,-0.2674092171027999,0.0,0.0,0.0,-0.0411398795542769,-0.2674092171027999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39082885576563053,-0.3291190364342152,0.0,-0.0822797591085538,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.48774491817714827,0.0,0.0,0.0,0.0,0.5202612460556248,0.0,0.0,0.0,0.5527775739341014,0.0,0.0,0.0,0.5202612460556248,0.0,0.0,0.5527775739341014,0.5527775739341014,0.0,0.0,0.42271226242019516,0.39019593454171864,0.0,0.0,0.0,0.0,0.5527775739341014,0.5527775739341014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5527775739341014,0.0,0.0,0.0,0.0,0.0,0.0,0.0650326557569531,0.0,0.42271226242019516,0.45522859029867174,0.0,0.0,0.5527775739341014,0.48774491817714827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45522859029867174,0.0,0.0,0.0,0.0,0.35767960666324206,0.0,0.0
cuneus-lh,0.0,0.36846589460355994,0.0,0.0,-0.3283202038215108,0.0,-0.296117743777079,-0.17556270900512652,-0.6100401206490007,0.3889362220815355,0.0,0.0,-0.6374001376341266,-0.6374001376341266,0.3707550495043228,-0.3283202038215108,-0.2848262607070165,-0.5828566199024885,0.06061601826002473,-0.013338729517906654,-0.3030074332842292,-0.3030074332842292,0.36846589460355994,0.0,0.0,0.0,-0.3030074332842292,-0.6555813102113393,0.0,0.20470327477975553,0.0,0.0,0.0,-0.25453641608097777,-0.32118860586144177,-0.6555813102113393,0.3889362220815355,-0.3283202038215108,0.0,-0.3283202038215108,0.01967536330407361,-0.3818046241214666,-0.12966848696556052,-0.1772778655803248,-0.1031466015637797,-0.5828566199024885,-0.3283202038215108,0.0,0.0,-0.29089876123540315,0.2932755331553326,-0.2666450881298038,0.0,0.0,-0.3636234515442539,0.0,0.0,-0.04067652169817079,0.3889362220815355,-0.3272611063898285,0.0,-0.39633451769994565,-0.3283202038215108,0.0,-0.10944006794050361,-0.23635524350376505,0.10235163738987776,0.0
cuneus-rh,0.0,0.3631895333443204,0.0,0.0,-0.32403030568795443,0.0,-0.2982167564348696,-0.2287366134978624,-0.66140628977919,0.4035439259381338,0.0,0.0,-0.66140628977919,-0.66140628977919,0.3635210835182133,-0.32403030568795443,-0.27803956013796294,-0.6018693514101484,0.07951362025017934,0.025813549253084822,-0.27803956013796294,-0.27803956013796294,0.3631895333443204,0.0,0.0,0.0,-0.25786236384105626,-0.66140628977919,0.0,0.2017719629690669,0.0,0.0,0.0,-0.27783904572219403,-0.25786236384105626,-0.66140628977919,0.4035439259381338,-0.32403030568795443,0.0,-0.32403030568795443,0.018982031359459303,-0.3373759840912356,-0.08111856073853566,-0.19451862215634222,-0.10208114642198086,-0.6018693514101484,-0.32403030568795443,0.0,0.0,-0.3175303379682217,0.28409773601324023,-0.27803956013796294,0.0,0.0,-0.3373759840912356,0.0,0.0,-0.05489523593454191,0.3833667296412271,-0.3373759840912356,0.0,-0.4199430345640955,-0.32403030568795443,0.0,-0.11782920206834709,-0.25799339959918016,0.10088598148453345,0.0
entorhinal-lh,0.0,0.0,0.0,0.0,-0.3283202038215108,0.0,-0.6452507173143719,-0.579636196942803,-0.6261234656211504,0.0,0.0,0.0,-0.6534834826062763,-0.6534834826062763,-0.019127251693221502,-0.3283202038215108,-0.6726107342994978,-0.5961017275266117,-0.3283202038215108,-0.344290530477987,-0.6726107342994978,-0.6726107342994978,0.0,0.0,0.0,0.0,-0.6726107342994978,-0.6726107342994978,0.0,0.0,0.0,0.0,0.0,-0.267781523705101,-0.6726107342994978,-0.6726107342994978,0.0,-0.3283202038215108,0.0,-0.3283202038215108,-0.3283202038215108,-0.344290530477987,-0.4810906154036165,-0.3990105644482388,-0.3283202038215108,-0.5961017275266117,-0.3283202038215108,0.0,0.0,-0.30603602709154404,-0.054720033970251804,-0.6726107342994978,0.0,0.0,-0.344290530477987,0.0,0.0,-0.344290530477987,0.0,-0.344290530477987,0.0,-0.6152289792198333,-0.3283202038215108,0.0,-0.10944006794050361,-0.2486542720118795,0.0,0.0
entorhinal-rh,0.46451896969252215,0.3606076172304983,0.0,0.0,0.0,0.49548690100535697,0.3606076172304983,0.3806413737433037,0.0,0.9890658251999705,0.0,0.0,0.0,0.49548690100535697,0.3806413737433037,0.0,1.0,0.5883906949438614,0.4006751302561091,0.3606076172304983,0.7832244808101562,0.7522565494973215,0.3606076172304983,0.0,0.0,0.0,0.9471637190871064,0.5264548323181918,0.0,0.20033756512805456,0.0,0.0,0.0,0.0,0.4207088867689146,0.6193586262566962,0.4006751302561091,0.0,0.0,0.0,0.3405738607176928,0.0,0.48264474939458424,0.20033756512805456,0.6229544287077124,0.43355103837968734,0.0,0.0,0.6193586262566962,0.46451896969252215,0.3405738607176928,0.3806413737433037,0.0,0.0,0.0,0.0,0.0,0.2804725911792764,0.3806413737433037,0.0,0.43355103837968734,0.20033756512805456,0.0,0.0,0.0,0.34064724444118294,0.10016878256402728,0.0
