,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.040268456375838924,0.0,0.0,0.016778523489932886,0.0436241610738255,0.03355704697986577,0.0436241610738255,0.0,0.003355704697986577,0.0436241610738255,0.0436241610738255,0.020134228187919462,0.013422818791946308,0.0,0.0,0.020134228187919462,0.0,0.026845637583892617,0.0,0.0,0.013422818791946308,0.026845637583892617,0.0,0.0,0.0,0.03691275167785235,0.0,0.03691275167785235,0.010067114093959731,0.0,0.03691275167785235,0.0,0.0,0.02348993288590604,0.0,0.0,0.0,0.0,0.0,0.010067114093959731,0.0,0.040268456375838924,0.03691275167785235,0.0436241610738255,0.0,0.03691275167785235,0.0,0.020134228187919462,0.02348993288590604,0.0,0.03691275167785235,0.0436241610738255,0.0436241610738255,0.0436241610738255,0.0436241610738255,0.0,0.0,0.0,0.0,0.0,0.0436241610738255
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.06903765690376569,0.0,0.0020920502092050207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04184100418410042,0.07112970711297072,0.05230125523012552,0.03138075313807531,0.02301255230125523,0.02301255230125523,0.0,0.029288702928870293,0.02301255230125523,0.01882845188284519,0.05439330543933055,0.0,0.04602510460251046,0.0,0.01882845188284519,0.0,0.0,0.0,0.0,0.06903765690376569,0.0,0.0,0.0,0.06694560669456066,0.0,0.056485355648535567,0.027196652719665274,0.03765690376569038,0.05230125523012552,0.016736401673640166,0.0,0.0,0.056485355648535567,0.0,0.058577405857740586,0.0,0.0,0.0,0.0,0.0020920502092050207,0.0,0.0,0.006276150627615063,0.0,0.0,0.0,0.0,0.03347280334728033,0.012552301255230125
FC5,0.0,0.0410958904109589,0.0,0.0,0.03424657534246575,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0,0.00684931506849315,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0410958904109589,0.0,0.0273972602739726,0.02054794520547945,0.0,0.0410958904109589,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424657534246575,0.0410958904109589,0.0410958904109589,0.0,0.0410958904109589,0.0,0.0410958904109589,0.0410958904109589,0.0,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0410958904109589
FC1,0.0,0.021238938053097345,0.0,0.005309734513274336,0.008849557522123894,0.06902654867256637,0.03716814159292035,0.061946902654867256,0.0,0.0017699115044247787,0.05486725663716814,0.02654867256637168,0.012389380530973451,0.01592920353982301,0.007079646017699115,0.0,0.019469026548672566,0.0,0.023008849557522124,0.0,0.0035398230088495575,0.01592920353982301,0.023008849557522124,0.0,0.0,0.0,0.03893805309734513,0.0,0.024778761061946902,0.005309734513274336,0.0,0.019469026548672566,0.008849557522123894,0.0,0.012389380530973451,0.0,0.005309734513274336,0.0,0.007079646017699115,0.005309734513274336,0.01415929203539823,0.0,0.03008849557522124,0.047787610619469026,0.0584070796460177,0.0,0.04070796460176991,0.0,0.01415929203539823,0.012389380530973451,0.0,0.04601769911504425,0.05132743362831858,0.023008849557522124,0.05486725663716814,0.03185840707964602,0.0,0.0,0.0,0.0,0.008849557522123894,0.03185840707964602
C3,0.0,0.024498886414253896,0.0,0.0,0.011135857461024499,0.053452115812917596,0.060133630289532294,0.0645879732739421,0.0,0.0022271714922048997,0.062360801781737196,0.024498886414253896,0.028953229398663696,0.004454342984409799,0.0,0.0,0.008908685968819599,0.0,0.013363028953229399,0.0,0.0,0.004454342984409799,0.013363028953229399,0.0,0.0,0.0,0.05790645879732739,0.0,0.0200445434298441,0.0066815144766146995,0.0,0.024498886414253896,0.0,0.0,0.015590200445434299,0.0,0.0,0.0,0.0,0.0,0.0022271714922048997,0.0,0.022271714922048998,0.0645879732739421,0.05790645879732739,0.0,0.060133630289532294,0.0,0.031180400890868598,0.015590200445434299,0.0,0.0645879732739421,0.042316258351893093,0.024498886414253896,0.0645879732739421,0.024498886414253896,0.0,0.0,0.0,0.0,0.0,0.024498886414253896
T7,0.0,0.0210896309314587,0.0,0.0,0.008787346221441126,0.06678383128295255,0.04745166959578207,0.07205623901581722,0.0,0.0017574692442882249,0.0632688927943761,0.026362038664323375,0.022847100175746926,0.01054481546572935,0.0017574692442882249,0.0,0.014059753954305799,0.0,0.01757469244288225,0.0,0.0,0.01054481546572935,0.01757469244288225,0.0,0.0,0.0,0.04569420035149385,0.0,0.022847100175746926,0.005272407732864675,0.0,0.019332161687170474,0.0035149384885764497,0.0,0.012302284710017574,0.0,0.0,0.0,0.0017574692442882249,0.0,0.008787346221441126,0.0,0.02460456942003515,0.05799648506151142,0.0632688927943761,0.0,0.04745166959578207,0.0,0.02460456942003515,0.012302284710017574,0.0,0.056239015817223195,0.04745166959578207,0.022847100175746926,0.06502636203866433,0.026362038664323375,0.0,0.0,0.0,0.0,0.0035149384885764497,0.026362038664323375
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
