,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.08850574712643679,0.0011494252873563218,0.010344827586206896,0.010344827586206896,0.01264367816091954,0.0,0.0011494252873563218,0.014942528735632184,0.017241379310344827,0.052873563218390804,0.004597701149425287,0.0,0.0,0.022988505747126436,0.0,0.010344827586206896,0.006896551724137931,0.014942528735632184,0.008045977011494253,0.022988505747126436,0.0034482758620689655,0.016091954022988506,0.0,0.008045977011494253,0.006896551724137931,0.014942528735632184,0.0,0.0,0.02413793103448276,0.0,0.0,0.010344827586206896,0.0034482758620689655,0.03793103448275862,0.0,0.03908045977011494,0.03793103448275862,0.04942528735632184,0.006896551724137931,0.01264367816091954,0.0,0.01839080459770115,0.009195402298850575,0.0,0.013793103448275862,0.04367816091954023,0.005747126436781609,0.027586206896551724,0.03908045977011494,0.0367816091954023,0.05747126436781609,0.0034482758620689655,0.0,0.05172413793103448,0.05057471264367816,0.0011494252873563218,0.0,0.0,0.014942528735632184,0.01954022988505747,0.035632183908045977
F7,0.0,0.0,0.046232876712328765,0.032534246575342464,0.039383561643835614,0.0273972602739726,0.02910958904109589,0.0,0.017123287671232876,0.0,0.0,0.0,0.0410958904109589,0.03767123287671233,0.005136986301369863,0.0,0.032534246575342464,0.04794520547945205,0.02226027397260274,0.0,0.008561643835616438,0.04794520547945205,0.00684931506849315,0.023972602739726026,0.03424657534246575,0.030821917808219176,0.0,0.0273972602739726,0.04794520547945205,0.0,0.0,0.0,0.0,0.04794520547945205,0.0,0.02226027397260274,0.0,0.0,0.0,0.04794520547945205,0.018835616438356163,0.030821917808219176,0.0,0.0,0.0,0.0,0.0,0.04794520547945205,0.0,0.0,0.0,0.0,0.04794520547945205,0.0,0.0,0.010273972602739725,0.04794520547945205,0.03767123287671233,0.0136986301369863,0.0,0.008561643835616438,0.011986301369863013
FT9,0.0,0.011217948717948718,0.03365384615384615,0.04326923076923077,0.04487179487179487,0.038461538461538464,0.014423076923076924,0.0,0.028846153846153848,0.0,0.009615384615384616,0.0,0.02564102564102564,0.022435897435897436,0.017628205128205128,0.0,0.04326923076923077,0.041666666666666664,0.03365384615384615,0.0,0.020833333333333332,0.03685897435897436,0.019230769230769232,0.009615384615384616,0.04326923076923077,0.038461538461538464,0.0016025641025641025,0.01282051282051282,0.03205128205128205,0.0016025641025641025,0.0,0.0,0.0,0.03685897435897436,0.0016025641025641025,0.008012820512820512,0.0,0.0,0.01282051282051282,0.041666666666666664,0.030448717948717948,0.016025641025641024,0.00641025641025641,0.0,0.0,0.0,0.0016025641025641025,0.04006410256410257,0.0,0.0,0.0,0.0,0.03685897435897436,0.0,0.008012820512820512,0.022435897435897436,0.03365384615384615,0.028846153846153848,0.003205128205128205,0.0016025641025641025,0.020833333333333332,0.02403846153846154
FC5,0.0,0.010014306151645207,0.0357653791130186,0.03862660944206009,0.044349070100143065,0.034334763948497854,0.01859799713876967,0.0,0.02575107296137339,0.0,0.008583690987124463,0.0,0.02861230329041488,0.02575107296137339,0.015736766809728183,0.0,0.03862660944206009,0.04291845493562232,0.030042918454935622,0.0,0.01859799713876967,0.03862660944206009,0.017167381974248927,0.01430615164520744,0.03862660944206009,0.034334763948497854,0.001430615164520744,0.017167381974248927,0.034334763948497854,0.001430615164520744,0.0,0.0,0.0,0.03862660944206009,0.001430615164520744,0.012875536480686695,0.0,0.0,0.011444921316165951,0.04291845493562232,0.027181688125894134,0.020028612303290415,0.005722460658082976,0.0,0.0,0.0,0.001430615164520744,0.04148783977110158,0.0,0.0,0.0,0.0,0.03862660944206009,0.0,0.00715307582260372,0.020028612303290415,0.0357653791130186,0.031473533619456366,0.008583690987124463,0.001430615164520744,0.01859799713876967,0.02145922746781116
FC1,0.0,0.014754098360655738,0.029508196721311476,0.04262295081967213,0.04262295081967213,0.04262295081967213,0.009836065573770493,0.0,0.03278688524590164,0.0,0.013114754098360656,0.0,0.021311475409836064,0.018032786885245903,0.021311475409836064,0.0,0.04262295081967213,0.03770491803278689,0.03770491803278689,0.0,0.02459016393442623,0.03278688524590164,0.022950819672131147,0.004918032786885246,0.03934426229508197,0.03770491803278689,0.004918032786885246,0.00819672131147541,0.027868852459016394,0.004918032786885246,0.0,0.0,0.0,0.03278688524590164,0.004918032786885246,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.01639344262295082,0.03770491803278689,0.03442622950819672,0.011475409836065573,0.009836065573770493,0.0,0.0,0.0,0.004918032786885246,0.036065573770491806,0.0,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.03278688524590164,0.0,0.011475409836065573,0.02622950819672131,0.029508196721311476,0.02459016393442623,0.0,0.004918032786885246,0.02459016393442623,0.027868852459016394
C3,0.0,0.0,0.03694581280788178,0.017241379310344827,0.027093596059113302,0.009852216748768473,0.06157635467980296,0.0,0.0,0.007389162561576354,0.0,0.0,0.06157635467980296,0.04187192118226601,0.0,0.0,0.017241379310344827,0.05172413793103448,0.0024630541871921183,0.0,0.0,0.054187192118226604,0.0,0.046798029556650245,0.019704433497536946,0.014778325123152709,0.0,0.06403940886699508,0.046798029556650245,0.0,0.0,0.0,0.0,0.054187192118226604,0.0,0.03940886699507389,0.0024630541871921183,0.0024630541871921183,0.0,0.04433497536945813,0.0,0.06403940886699508,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.012315270935960592,0.0024630541871921183,0.0,0.0024630541871921183,0.05172413793103448,0.0,0.0,0.0,0.03940886699507389,0.029556650246305417,0.019704433497536946,0.0,0.0,0.0
T7,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.019230769230769232
TP9,0.0,0.020793950850661626,0.022684310018903593,0.03780718336483932,0.03780718336483932,0.04158790170132325,0.0,0.0,0.04158790170132325,0.0,0.01890359168241966,0.0,0.013232514177693762,0.00945179584120983,0.02835538752362949,0.0,0.03780718336483932,0.03213610586011342,0.043478260869565216,0.0,0.03213610586011342,0.026465028355387523,0.030245746691871456,0.0,0.034026465028355386,0.03213610586011342,0.00945179584120983,0.0,0.020793950850661626,0.00945179584120983,0.0,0.0,0.001890359168241966,0.026465028355387523,0.00945179584120983,0.0,0.005671077504725898,0.005671077504725898,0.022684310018903593,0.03213610586011342,0.04158790170132325,0.001890359168241966,0.015122873345935728,0.0,0.0,0.001890359168241966,0.00945179584120983,0.030245746691871456,0.0,0.005671077504725898,0.007561436672967864,0.007561436672967864,0.026465028355387523,0.0,0.017013232514177693,0.034026465028355386,0.022684310018903593,0.017013232514177693,0.0,0.00945179584120983,0.03213610586011342,0.035916824196597356
CP5,0.0,0.05042016806722689,0.0,0.0,0.0,0.0,0.0028011204481792717,0.0028011204481792717,0.0,0.058823529411764705,0.04201680672268908,0.011204481792717087,0.0028011204481792717,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0196078431372549,0.014005602240896359,0.0,0.028011204481792718,0.0,0.0,0.0196078431372549,0.0,0.04201680672268908,0.0,0.06162464985994398,0.06162464985994398,0.03081232492997199,0.0,0.0,0.01680672268907563,0.0196078431372549,0.0196078431372549,0.0,0.028011204481792718,0.056022408963585436,0.0,0.06442577030812324,0.06162464985994398,0.05042016806722689,0.06162464985994398,0.0,0.0,0.04481792717086835,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.011204481792717087,0.01680672268907563
